,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,Diagnosis
R_JS017_FPKM,1.424340507,1.239706471,1.755394211,1.438567236,9.3459539,1.854144735,1
R_JS018_FPKM,1.108210625,1.386504612,1.178009267,3.656737789,11.14968007,1.900853097,1
R_JS019_FPKM,1.312690997,0.612478881,0.981319183,1.080401804,7.111239826,1.847567981,1
R_JS020_FPKM,2.262115369,0.522732478,1.105039091,1.637860149,10.47639903,1.791722642,1
R_JS021_FPKM,1.207975133,0.578552077,0.875320284,1.90650563,15.99110746,0.95175637,1
R_JS022_FPKM,2.649388122,2.828566419,2.975386158,2.924289918,16.70406423,2.115187442,1
R_JS023_FPKM,3.478739958,0.477777186,0.744236798,1.524719114,11.22616367,1.473873301,1
R_JS024_FPKM,2.532571172,0.921817792,1.23064519,1.436359345,22.93202257,1.083265852,1
R_JS025_FPKM,3.316399127,1.219323593,0.651116183,1.188480376,9.436985103,0.0,1
R_JS026_FPKM,2.244979054,0.583704127,0.986990647,1.869283661,12.906674,0.160079019,1
R_JS027_FPKM,1.860991214,0.366147801,0.448079433,1.380811649,1.771076704,0.0,1
R_JS028_FPKM,2.413642968,1.668013905,1.336157735,1.471040249,9.836416446,1.067117215,1
R_JS029_FPKM,1.966609028,1.230227366,0.49773015,0.674864202,7.110600512,0.766664989,1
R_JS030_FPKM,2.784623715,0.70707501,0.944052903,1.31284904,24.1069987,0.323125677,1
R_JS031_FPKM,1.586915646,0.918828708,1.402013593,1.462336794,10.88583705,0.719819725,1
R_JS032_FPKM,1.109885845,0.10095249,0.179783064,0.585952201,8.375020475,0.276923913,1
R_JS033_FPKM,1.792280192,0.376360629,0.055848934,0.524049516,4.854833207,0.343927533,1
R_JS034_FPKM,3.650095837,0.352758945,0.784824776,1.200572723,8.449551777,0.644658667,1
R_JS035_FPKM,1.444221846,0.685597865,1.067937269,1.087333377,10.42401005,1.723324242,1
R_JS036_FPKM,1.961876147,1.575130205,1.121538024,1.535354146,8.708036906,1.295607985,1
R_JS037_FPKM,2.049363362,1.997951396,1.896819788,1.205575549,7.73207902,0.547867429,1
R_JS038_FPKM,1.178195841,0.504518556,0.95422685,0.96596128,9.064591338,0.345839333,1
R_JS039_FPKM,1.033794677,0.912175321,0.608938891,0.820338539,3.466886493,1.094262632,1
R_JS040_FPKM,0.975776472,0.355130285,1.000987026,1.291318275,7.853941383,0.973744329,1
R_JS041_FPKM,1.95010025,1.223710987,1.198143082,1.136035794,15.22232565,1.342134631,1
