,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,MTCO3P11,VN1R83P,CICP5,AC005682.1,AL022345.3,SEC22B2P,ASLP1,AC094019.2,AL117340.1,OR7E7P,FRG1KP,GUSBP15,PDIA3P2,AC008267.3,AL109840.1,UNC93B8,MTCO1P12,ARHGEF34P,FO538757.1,ENPP7P5,BLZF2P,MTND5P14,AC145285.4,DDX12P,AL353807.3,AL031432.2,AC093162.1,PKD1P1,TMSB4XP2,MTATP6P11,TREML5P,AC099654.2,AL157893.1,AL353743.4,PSPC1P1,AP005018.2,IDSP1,KRT128P,AGAP10P,MSTO2P,Diagnosis
RNA185_FPKM,1.423715349,0.575809842,0.614944207,1.068991398,2.227983963,2.52595827,0.910470713,1.231649562,0.176772322,0.373608763,0.0,9.839258989,1.106286236,0.663645242,0.125196065,0.696348154,0.2296485,4.870549695,4.460154,0.10998615,0.0,0.222156421,95.45644163,0.086396887,1.373709598,0.0,0.138602015,0.556199157,0.650776774,2.76333868,0.406365224,13.3064691,9.676790574,10.97747263,0.372905422,1.168678314,1.223445021,0.316360704,0.727338748,0.404908981,0.117759607,13.14590021,8.330172333,0.260816448,3.335504115,5.040035062,1
RNA2_FPKM,1.09827531,1.293249825,0.732487582,0.982303017,2.27505707,0.644824385,0.61971872,2.155981194,0.216551823,0.163484079,0.701387927,7.952819986,2.008096504,0.508116832,0.191711546,1.422009803,0.468963189,2.295243137,3.542177464,0.336841495,0.446450822,0.11335418,94.97312533,0.211697183,0.0,0.0,0.424479902,0.694088304,0.664352201,3.906487022,0.382998655,9.928030179,10.78839508,5.862411874,0.0,1.670508993,1.388012472,0.201892723,1.237608644,0.72349129,0.0,10.69852295,5.740870622,0.0,10.77866491,4.771566487,0
RNA201_FPKM,0.841135483,0.191292387,0.170305164,1.154564208,0.793303076,1.442752292,0.336209677,0.438545071,0.029378661,0.177386701,0.570521156,6.01735927,0.306361942,0.413458807,0.572026488,0.835723917,0.572294888,2.334524945,6.999866416,0.27409067,0.726697338,0.645927442,103.8024549,0.129198216,3.652298809,0.0,0.0,0.462136001,0.180259649,4.547499943,0.519413753,8.929146548,4.158372559,5.171953328,0.0,0.776794896,0.112975231,0.065696375,0.402720816,0.294362538,0.097855238,12.90032467,5.536729577,0.054182959,2.771191549,4.567964551,1
RNA205_FPKM,0.434891891,0.121768413,0.216760526,0.226056254,1.682978069,0.333881133,0.320940004,0.558219243,0.074765256,0.169330309,0.0,7.513707461,0.649941295,0.0,0.264756262,0.163641346,0.0,1.584556997,2.096266355,0.465182702,0.925167833,0.822045821,99.42912047,0.036541271,3.921828135,0.0,0.146553135,0.130706426,0.229369864,2.050918435,0.495793402,3.427227042,4.821877823,4.939722232,0.394297719,0.0,0.287508754,0.209097275,0.512709108,0.642246224,0.0,12.38905835,5.505086006,0.0,6.334619604,4.79619435,0
RNA209_FPKM,1.435357914,0.127459523,0.79387163,0.650576235,4.931040041,0.0,0.447821888,0.194769609,0.391195247,0.236274125,0.380142438,6.502233903,0.54413523,0.183628127,0.138504548,0.513718706,0.50812079,2.694830471,3.8389608,0.365086608,0.484203776,0.2457719,54.07685851,0.0,0.303981034,0.084066417,0.613409309,0.205163114,0.0,3.175372985,0.380476721,3.964251975,14.15394885,4.634726072,0.825091377,0.517334539,2.707725679,0.83143773,0.268335839,0.61609191,0.0,9.276040152,7.143652568,0.0,6.736797631,4.512333225,0
RNA213_FPKM,0.570586977,0.692218445,0.0,0.321329087,4.146120523,0.632672772,0.608150572,0.705181337,0.0708365,0.320864719,0.0,7.119904807,0.738945906,0.332421287,0.313554851,0.465127018,0.690188479,1.501462655,2.482639992,0.771292087,0.0,0.667671691,114.3524397,0.103863315,0.41290223,0.152185109,0.208278116,0.24767616,0.0,3.141408497,0.532435666,4.956793961,7.132276334,5.845231496,1.120734625,0.585458386,0.408601165,0.158487725,0.242883665,0.304271844,0.117972066,15.36654056,4.799095441,0.130643503,10.25305382,5.462950418,0
RNA219_FPKM,0.725017552,0.35984327,0.106759783,0.445403274,2.984066142,0.657778021,0.210760916,0.733163816,0.0,0.166798516,0.0,5.409042541,0.256089402,0.0,0.0,0.564181148,0.239192007,1.365912253,1.032461703,0.572784231,0.455667456,0.925554321,56.03187029,0.0,3.577389235,0.0,0.288723804,0.193128195,0.451880745,2.048083631,0.520970696,3.198606845,6.719702936,3.415948856,0.77680452,0.0,0.991234934,0.205970895,0.757564779,0.210897155,0.24530669,10.22019898,4.989316263,0.0,6.510230611,2.672640092,0
RNA23_FPKM,0.903934861,2.350040736,0.784387794,1.718024242,4.547040017,0.161043572,1.961434223,4.309288181,0.14429144,0.163413721,0.0,11.85269451,0.376338977,0.84636261,0.319331057,2.605456455,0.937259648,1.529213111,4.045639748,0.448884186,0.446243642,0.0,99.88960003,0.088147209,0.840983796,0.154951721,0.141376304,0.567552243,0.221267623,3.11797864,0.63793521,9.748317127,11.23616604,4.802298707,1.141561563,1.908092777,1.109741459,0.322833879,0.494598216,0.981351059,0.360493125,11.46997067,4.462514129,0.0,7.335839508,2.945471638,1
RNA246_FPKM,0.883574174,0.622479317,0.507826302,0.91488534,3.727861385,1.422199462,2.005145741,1.268124992,0.0,0.048089745,0.0,8.248569705,0.442999409,0.298930745,0.169179031,0.487977857,0.620653864,2.531457446,4.464626158,0.396335145,0.394120983,0.80044769,85.17313371,0.155651133,0.0,0.205279309,0.124863108,0.167042595,0.390845739,2.920355959,0.337926645,11.83407707,11.3229547,5.836272811,0.671882437,0.526475044,1.10219319,0.106890388,0.218413795,0.957618066,0.0,12.61538827,11.25690652,0.117481525,6.155763701,3.178374122,1
RNA253_FPKM,1.278182839,0.59646266,0.318507641,0.664409113,4.945931656,0.163477955,0.943177665,1.640493286,0.146467225,0.442354769,0.711643735,9.767715361,0.509301261,0.343760109,0.324216314,1.042024759,0.713606561,2.134627474,7.187431149,0.341769435,0.452989195,0.230148612,96.62266656,0.089495721,0.569166497,0.0,0.071756695,0.384119712,0.224612371,2.669877552,0.518111335,12.54718012,9.332756039,5.554656428,0.386119361,0.484216274,0.844929991,0.245797816,0.251037356,0.838958561,0.243992138,11.34813646,11.00229223,0.135099727,7.011148667,5.410815157,1
RNA26_FPKM,2.21546408,0.251988676,0.616778567,1.92990645,7.662094713,0.345468347,1.549697803,2.502898763,0.193399887,0.642425119,0.751545175,9.569412911,0.806996703,1.270620868,0.068486131,4.233011362,1.004998827,1.639734928,3.795778796,1.203316713,0.478637709,0.243052908,160.0819309,0.378094219,0.0,0.0,0.303278407,0.338106353,0.237330055,8.140326037,0.99185962,13.81271263,13.26535478,6.798759539,0.407981667,1.534498208,0.74371658,0.346166263,0.265251238,1.99375656,0.0,16.46829819,3.417931515,0.0,8.681089985,11.0793087,0
RNA277_FPKM,1.138359941,0.285812478,0.0,0.663178305,0.394815814,0.391839688,0.376585498,0.655004889,0.043848619,0.662274176,0.0,5.595367933,0.762522066,0.0,0.077637642,0.479966953,0.0,1.162025254,6.763803209,0.272966974,1.085768074,0.55120832,353.8616401,0.064315352,0.0,0.0,0.085951053,0.460106039,0.0,3.560455648,0.349074462,5.07998758,6.072197063,5.98203099,0.925488025,0.0,0.506036763,0.0,1.203101752,0.0,0.292259376,16.42877875,9.301914618,0.0,4.741198929,5.173216815,0
RNA288_FPKM,1.009428646,0.111310806,0.247737986,1.369427838,5.231762696,0.305207049,0.782451792,2.211598492,0.068344332,0.206443282,0.663959194,8.191505412,0.475435313,0.160363026,0.242088165,1.122164948,0.443937526,0.9056068,0.958118331,0.212616146,0.422856693,0.214727229,234.4773564,0.033403066,0.265583678,0.073415469,0.26801088,0.537802633,0.209671324,2.363389058,0.302230453,5.4429976,10.43103863,2.480879647,1.081718791,0.0,0.394376642,0.267639565,0.937623202,1.174492542,0.0,15.84115818,6.040358916,0.189143169,13.71346332,4.474138964,0
