,POM121B,MTCO2P11,MTCO1P11,Diagnosis
RNA295_FPKM,1.29851027,0.0,0.04383668,0
RNA3_FPKM,0.992200848,0.0,0.185408162,0
RNA302_FPKM,0.90931144,0.220624834,0.0,0
RNA303_FPKM,0.304023247,0.0,0.0,1
RNA31_FPKM,0.806420506,0.366907052,0.0,1
RNA314_FPKM,0.726050595,0.41724651,0.18568562,1
RNA319_FPKM,0.341303382,0.225821597,0.0,0
RNA32_FPKM,1.165164506,0.73122368,0.715898167,1
RNA328_FPKM,0.964475211,0.468076388,0.364498813,0
RNA331_FPKM,0.704889532,0.410542599,0.137014489,0
RNA334_FPKM,0.529810051,0.101454495,0.090345418,0
RNA335_FPKM,0.801107213,0.662718269,0.0,1
RNA336_FPKM,0.539198889,0.57719464,0.873375164,0
RNA35_FPKM,1.465785671,0.326648641,0.145367196,0
RNA358_FPKM,0.801152489,0.145828867,0.454214897,0
RNA365_FPKM,2.444357618,0.43757876,0.58413602,0
RNA368_FPKM,0.308220316,0.112212634,0.299537824,0
RNA37_FPKM,1.454676877,0.470636239,0.31416817,0
RNA379_FPKM,0.899151901,0.654529693,0.436884641,1
RNA38_FPKM,0.811758505,0.875428768,1.217486748,0
RNA383_FPKM,0.948727715,0.238163235,0.3709364,0
RNA385_FPKM,1.328610472,0.701967575,0.520656578,1
RNA386_FPKM,0.890591234,0.129710373,0.115392542,0
RNA39_FPKM,1.53348054,0.606697383,0.269996218,1
RNA392_FPKM,1.480381876,0.404137412,0.419615737,0
RNA409_FPKM,1.185406012,0.261435811,0.174547369,0
RNA41_FPKM,0.18194855,0.0,0.0,0
RNA418_FPKM,1.082173427,0.347487414,0.309332249,0
RNA431_FPKM,1.024714012,0.0,0.0,1
RNA44_FPKM,0.844823807,0.591333535,0.36840092,1
RNA442_FPKM,0.321158737,0.233762699,0.05201526,0
RNA454_FPKM,0.517303819,0.434489652,0.257832501,0
RNA457_FPKM,0.953545414,1.862267235,1.318494094,0
RNA466_FPKM,0.886025982,0.119464941,0.478384447,0
RNA471_FPKM,0.964663908,0.718221695,0.710259519,0
RNA476_FPKM,0.872077252,0.52903979,0.882812522,0
RNA483_FPKM,1.34423737,0.293521128,0.130624586,0
RNA488_FPKM,0.759050135,0.425009895,0.378281058,0
RNA499_FPKM,1.266165998,0.224800786,0.150088151,0
RNA50_FPKM,0.630332967,0.546238878,0.097256999,1
RNA504_FPKM,0.832244122,0.40776446,0.596241316,0
RNA519_FPKM,2.92060332,0.0,0.0,0
RNA52_FPKM,0.0,0.0,0.0,0
RNA521_FPKM,1.050819321,0.415745373,0.259024604,0
RNA528_FPKM,0.738318364,0.511875918,0.740305433,0
RNA53_FPKM,2.702841973,0.278423767,0.16520782,0
RNA535_FPKM,0.676159717,0.234433507,0.0,1
RNA58_FPKM,1.173101456,0.25111329,0.167680008,0
RNA6_FPKM,0.52797236,0.360328416,0.053471318,0
RNA60_FPKM,1.146290116,0.36813546,0.218420754,0
RNA62_FPKM,0.823855867,0.374824131,0.16680655,0
RNA63_FPKM,1.55769583,0.436098073,0.145566668,0
RNA64_FPKM,0.27343685,0.0,0.0,0
RNA66_FPKM,0.3222805,0.0,0.142360511,0
RNA67_FPKM,1.510122922,0.122184768,0.92407837,0
RNA69_FPKM,1.101348235,0.229024954,0.203896548,0
RNA7_FPKM,1.200165661,0.242711469,0.323989348,0
RNA72_FPKM,1.327024351,0.786245873,0.699799992,0
RNA74_FPKM,1.672330668,0.209937553,0.0,0
RNA75_FPKM,0.9991589,0.0,0.042582313,0
RNA78_FPKM,3.370876561,0.235935514,0.052518351,1
RNA86_FPKM,2.468060392,0.34114601,0.101212603,1
RNA87_FPKM,1.057796738,0.513352129,0.514040068,0
RNA89_FPKM,0.24321937,0.442576233,0.049250017,0
RNA94_FPKM,0.0,0.0,0.0,1
RNA95_FPKM,0.885240819,0.358001802,0.584154989,0
RNA97_FPKM,0.772861498,0.562534431,0.751098043,0
RNA98_FPKM,1.771383658,0.73263279,1.108538619,1
R_JS001_FPKM,1.69194795,1.642218786,1.461585021,1
R_JS002_FPKM,2.211634049,1.704689559,1.475058676,1
R_JS003_FPKM,2.295267131,1.05898844,1.256705045,1
R_JS004_FPKM,1.656461944,1.04344438,1.70275559,1
R_JS005_FPKM,1.533287137,1.819841525,1.619698693,1
R_JS006_FPKM,6.293401501,0.367419661,0.436108343,1
R_JS007_FPKM,1.868147251,0.557311673,0.644858817,1
R_JS008_FPKM,1.42112471,1.640056592,1.515848131,1
R_JS009_FPKM,1.516744354,1.885009249,2.936136462,1
R_JS010_FPKM,1.718749099,0.595751224,1.1931294,1
R_JS011_FPKM,1.439456167,0.564242372,2.833744321,1
R_JS012_FPKM,1.903006248,1.607956078,2.146680604,1
R_JS013_FPKM,2.957603314,0.678890377,0.474742421,1
R_JS014_FPKM,1.824273081,1.743799195,2.62658437,1
R_JS015_FPKM,2.798371832,1.642824307,1.462161034,1
R_JS016_FPKM,1.640320637,0.617646082,1.420111191,1
R_JS017_FPKM,1.424340507,1.239706471,1.755394211,1
R_JS018_FPKM,1.108210625,1.386504612,1.178009267,1
R_JS019_FPKM,1.312690997,0.612478881,0.981319183,1
R_JS020_FPKM,2.262115369,0.522732478,1.105039091,1
R_JS021_FPKM,1.207975133,0.578552077,0.875320284,1
R_JS022_FPKM,2.649388122,2.828566419,2.975386158,1
R_JS023_FPKM,3.478739958,0.477777186,0.744236798,1
R_JS024_FPKM,2.532571172,0.921817792,1.23064519,1
R_JS025_FPKM,3.316399127,1.219323593,0.651116183,1
R_JS026_FPKM,2.244979054,0.583704127,0.986990647,1
R_JS027_FPKM,1.860991214,0.366147801,0.448079433,1
R_JS028_FPKM,2.413642968,1.668013905,1.336157735,1
R_JS029_FPKM,1.966609028,1.230227366,0.49773015,1
R_JS030_FPKM,2.784623715,0.70707501,0.944052903,1
R_JS031_FPKM,1.586915646,0.918828708,1.402013593,1
R_JS032_FPKM,1.109885845,0.10095249,0.179783064,1
R_JS033_FPKM,1.792280192,0.376360629,0.055848934,1
R_JS034_FPKM,3.650095837,0.352758945,0.784824776,1
R_JS035_FPKM,1.444221846,0.685597865,1.067937269,1
R_JS036_FPKM,1.961876147,1.575130205,1.121538024,1
R_JS037_FPKM,2.049363362,1.997951396,1.896819788,1
R_JS038_FPKM,1.178195841,0.504518556,0.95422685,1
R_JS039_FPKM,1.033794677,0.912175321,0.608938891,1
R_JS040_FPKM,0.975776472,0.355130285,1.000987026,1
R_JS041_FPKM,1.95010025,1.223710987,1.198143082,1
