,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-10b-3p,hsa-miR-1183,hsa-miR-1224-3p,hsa-miR-1227-5p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-2909,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3148,hsa-miR-3150a-5p,hsa-miR-3614-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-369-3p,hsa-miR-3692-5p,hsa-miR-4280,hsa-miR-4295,hsa-miR-4448,hsa-miR-4505,hsa-miR-4507,hsa-miR-450b-3p,hsa-miR-4526,hsa-miR-4540,hsa-miR-4655-5p,hsa-miR-4657,hsa-miR-4699-5p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-5002-3p,hsa-miR-500a-5p,hsa-miR-502-5p,hsa-miR-518a-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-5197-3p,hsa-miR-548f-5p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-5585-5p,hsa-miR-559,hsa-miR-561-5p,hsa-miR-579-5p,hsa-miR-626,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6762-5p,hsa-miR-6764-5p,hsa-miR-6767-3p,hsa-miR-6771-5p,hsa-miR-6775-5p,hsa-miR-6799-3p,hsa-miR-6849-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6888-3p,hsa-miR-7108-3p,hsa-miR-7109-3p,hsa-miR-7111-3p,hsa-miR-7704,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_21,1080106.31,418.75,119319.67,31.0,1.0,0.0,41.0,0.0,389.0,11.0,1119.5,6606.83,32639.83,55.0,1301.58,15.0,110.5,4370.83,730758.82,0.0,13.5,62845.16,0.0,2.0,0.0,12.0,0.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,20.0,2462.17,1.0,100.25,24.0,0.0,3.0,3.0,0.0,0.0,0.0,2.33,5.5,0.0,0.0,6.0,6.0,0.0,7.0,27.0,0.0,19.0,1.0,0.0,1.0,2.0,0.0,3.0,41.0,26.0,8.0,0.0,0.0,1.0,5.33,25.33,378.33,30132.16,286.5,8025.5,0
sample_22,1234320.06,531.75,135104.58,24.0,1.0,0.0,57.5,0.0,500.17,18.0,1777.66,8450.25,49608.08,23.5,2168.5,13.0,183.5,4553.0,984850.64,0.0,13.25,79757.16,0.0,3.0,0.0,9.0,0.0,1723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,12.0,1.0,44.0,2809.0,0.0,137.25,29.25,0.0,1.0,0.0,1.0,0.0,0.0,5.33,5.58,0.0,0.0,10.0,11.0,0.0,7.0,25.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,5.83,1.0,16.0,17.0,0.0,0.0,0.0,6.67,19.5,540.33,41207.16,340.0,11690.17,0
sample_23,1036532.48,767.25,78018.17,62.0,0.0,0.0,76.5,0.0,238.0,13.0,1529.5,8631.08,43934.67,6.0,1224.0,13.0,108.5,1423.5,483931.48,0.0,3.83,86062.34,0.0,1.5,2.0,1.0,0.0,1439.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,14.0,727.67,1.0,46.0,17.0,0.0,11.5,8.5,0.0,0.0,0.0,12.0,1.66,0.0,0.0,6.5,5.0,0.0,8.0,16.33,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,52.67,22.0,2.0,1.0,2.0,0.0,4.33,24.83,298.0,20490.16,167.0,12603.25,0
sample_24,1478345.87,840.0,123298.08,11.0,4.0,0.0,83.0,0.0,365.0,6.0,2936.0,13138.42,59061.67,14.0,1469.25,11.0,244.0,2977.33,619079.32,0.0,5.25,126725.59,0.0,2.5,0.0,2.0,0.0,1914.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,3.0,6.0,25.0,936.17,0.0,91.33,21.0,0.0,11.5,8.5,1.0,0.0,0.0,2.0,3.5,3.0,0.0,4.0,6.0,0.0,10.0,12.5,3.0,20.0,0.0,0.0,0.0,3.0,0.0,3.33,141.08,34.5,5.0,1.0,2.0,0.0,4.67,26.0,484.0,21633.84,256.5,19701.42,0
sample_25,1858171.88,2626.0,144758.33,6.0,0.0,0.0,199.5,0.0,576.0,11.0,7244.0,31526.92,135796.08,6.0,2607.83,24.5,341.5,5968.0,944099.46,0.0,12.5,292987.41,0.0,8.0,0.0,5.0,0.0,3617.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.5,0.0,0.0,3.0,1.0,16.0,5.0,46.0,1230.92,1.0,133.83,29.33,0.5,24.5,6.0,0.0,0.0,0.0,23.5,4.66,0.0,0.0,28.5,26.0,0.0,19.0,20.0,7.0,30.0,0.0,0.0,0.0,2.0,0.0,6.25,272.67,77.0,4.0,0.0,1.0,4.0,10.67,43.17,809.0,46088.34,425.0,36399.25,0
sample_26,979381.07,1422.75,80560.33,67.0,0.0,0.0,97.0,0.0,174.0,6.0,6058.66,15481.58,79849.58,8.5,922.0,9.0,124.5,1838.0,491347.98,0.0,6.5,166237.25,0.0,2.0,0.0,2.0,0.0,2963.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,4.0,27.0,404.25,0.0,71.5,23.0,2.0,16.5,2.0,1.0,0.0,0.0,5.0,3.34,0.0,0.0,20.5,4.0,0.0,7.0,6.33,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,125.92,55.0,4.0,0.0,0.0,2.0,3.0,14.75,342.0,16076.66,185.0,19040.58,0
sample_27,885663.77,1481.08,73136.42,9.0,0.0,0.0,93.0,0.0,199.5,7.0,2459.34,16047.42,66052.75,4.0,1644.33,8.0,118.5,1844.5,384780.16,0.0,3.5,129844.41,0.0,2.5,0.0,5.0,0.0,1659.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,7.0,4.0,31.0,856.08,1.0,48.5,8.0,1.34,4.0,5.0,1.0,0.0,0.0,23.0,3.34,0.5,0.0,17.0,7.0,0.0,6.0,7.33,5.0,23.0,0.0,0.0,0.0,1.0,0.0,2.0,109.83,27.0,3.0,1.0,4.0,0.0,9.67,37.0,424.0,22516.34,234.0,16431.17,0
sample_28,918971.09,1465.25,96025.33,12.5,2.0,0.0,87.5,0.0,188.5,5.0,2485.5,18775.0,58080.08,179.5,1255.5,5.0,130.0,1397.0,355511.16,0.0,5.0,129408.16,3.0,5.0,2.0,8.0,0.0,1846.25,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,4.0,30.0,545.83,0.0,46.0,6.0,0.66,7.5,7.0,0.0,0.0,0.0,12.0,2.34,0.0,0.0,18.5,7.0,0.0,10.0,3.33,2.0,23.0,0.0,0.0,0.0,3.0,1.0,3.75,109.17,38.0,4.0,0.0,1.0,3.0,3.33,32.75,331.0,19804.66,202.0,14972.17,0
sample_29,876441.95,1335.75,62264.92,10.0,2.0,0.0,201.0,0.0,233.0,2.0,3017.66,16894.33,62849.08,9.0,1863.75,13.5,180.0,1706.5,420312.66,0.0,7.0,142587.34,0.0,3.5,0.0,7.0,0.0,1625.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0,2.0,6.0,26.0,415.33,0.0,50.0,21.0,0.66,4.0,4.0,0.0,0.0,0.0,3.5,4.08,2.0,0.0,24.0,14.0,0.0,5.0,7.33,1.0,17.5,0.0,0.0,0.0,1.0,2.0,5.08,107.33,38.0,3.0,0.0,2.0,0.0,3.33,52.5,379.0,18811.5,199.0,18037.83,0
sample_30,1666436.36,558.25,170163.0,8.0,2.0,0.0,105.5,0.0,539.83,36.0,1283.84,9636.5,48875.92,10.66,2416.0,16.0,209.0,3694.0,939717.16,0.0,12.25,96358.67,0.0,5.5,0.0,10.0,0.0,1618.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,4.0,19.0,3665.42,0.0,107.0,27.0,0.66,3.0,4.0,1.0,0.0,0.0,8.0,5.34,1.0,0.0,4.0,7.0,0.0,5.0,15.08,0.0,17.0,0.0,0.0,0.0,1.0,0.0,7.0,56.67,30.0,8.0,0.0,2.0,2.5,10.33,60.25,540.0,45076.66,383.0,13559.33,0
