,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-10b-3p,hsa-miR-1183,hsa-miR-1224-3p,hsa-miR-1227-5p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-2909,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3148,hsa-miR-3150a-5p,hsa-miR-3614-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-369-3p,hsa-miR-3692-5p,hsa-miR-4280,hsa-miR-4295,hsa-miR-4448,hsa-miR-4505,hsa-miR-4507,hsa-miR-450b-3p,hsa-miR-4526,hsa-miR-4540,hsa-miR-4655-5p,hsa-miR-4657,hsa-miR-4699-5p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-5002-3p,hsa-miR-500a-5p,hsa-miR-502-5p,hsa-miR-518a-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-5197-3p,hsa-miR-548f-5p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-5585-5p,hsa-miR-559,hsa-miR-561-5p,hsa-miR-579-5p,hsa-miR-626,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6762-5p,hsa-miR-6764-5p,hsa-miR-6767-3p,hsa-miR-6771-5p,hsa-miR-6775-5p,hsa-miR-6799-3p,hsa-miR-6849-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6888-3p,hsa-miR-7108-3p,hsa-miR-7109-3p,hsa-miR-7111-3p,hsa-miR-7704,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_69,1402234.46,1509.75,133068.5,55.0,3.0,0.0,107.0,0.0,278.83,14.0,4405.84,16381.75,85879.67,21.5,1126.0,8.0,90.0,3007.0,601588.65,0.0,11.0,155633.16,0.0,2.0,1.0,19.0,0.0,2257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,1.0,50.0,534.0,0.0,62.33,6.0,0.0,17.0,3.5,2.0,0.0,0.0,4.33,5.58,1.0,0.0,13.0,2.0,0.0,10.0,8.33,0.0,15.0,0.0,0.0,0.0,3.0,0.0,1.5,147.17,42.0,5.0,0.0,0.0,0.0,6.0,12.0,465.0,16324.66,183.5,21268.33,1
sample_70,1365902.08,1268.25,90272.17,9.0,2.0,0.0,110.75,0.0,277.33,6.0,4869.5,17333.58,93099.08,11.0,1009.0,12.0,72.0,2565.0,662197.48,0.0,10.17,187585.0,0.0,3.0,1.0,0.0,0.0,2351.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,4.0,2.0,35.5,482.67,1.0,62.0,22.0,0.0,14.0,9.0,1.0,0.0,0.0,9.0,3.16,0.0,0.0,15.0,8.0,0.0,12.0,16.33,2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,167.33,59.0,3.0,1.0,1.0,0.0,7.67,24.5,376.0,17927.0,197.5,22686.33,1
sample_71,1406241.55,644.75,102655.67,100.0,1.0,0.0,49.5,0.0,241.33,6.0,1309.16,7386.5,50599.75,17.0,971.5,3.0,66.0,1940.5,468068.66,0.0,5.5,69475.41,0.0,2.0,1.0,5.0,0.0,1023.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,6.5,3.0,35.0,607.0,0.0,38.5,12.0,0.66,5.0,2.0,0.0,0.0,0.0,9.0,3.74,1.0,0.0,11.5,8.0,0.0,8.0,5.33,0.0,18.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,23.0,3.0,1.0,1.0,0.0,4.67,15.0,281.0,19885.66,119.0,13699.0,1
sample_72,1042774.47,678.25,98242.42,28.0,2.0,0.0,15.0,0.0,396.75,2.0,1424.66,16306.42,60353.08,89.0,1057.33,8.5,58.0,1542.0,486468.32,0.0,5.5,96758.34,1.0,3.5,3.0,31.0,0.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,9.0,0.0,22.0,740.0,0.0,61.5,12.0,0.0,5.0,7.0,1.0,0.0,2.0,8.33,3.92,1.0,0.0,19.0,14.0,0.0,12.0,3.33,1.0,9.5,0.0,0.0,0.0,1.0,0.0,2.0,141.33,25.0,5.0,1.0,1.0,0.0,12.33,16.5,335.0,16004.16,216.0,11194.33,1
sample_73,1599403.33,1400.5,173094.58,154.0,3.0,0.0,43.5,0.0,289.0,19.0,2959.5,24567.17,68415.58,615.5,955.5,9.0,118.5,3875.08,606739.32,0.0,6.0,182408.0,3.0,2.0,3.0,15.0,0.0,3531.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,7.0,4.0,3.0,58.0,436.08,0.0,59.5,15.0,0.66,30.0,14.0,2.0,0.0,0.0,5.5,4.84,1.0,0.0,43.0,11.0,0.0,35.0,27.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,33.0,6.0,0.0,1.0,0.0,2.67,15.25,456.0,16609.0,275.0,21970.0,1
sample_74,1464129.38,1289.25,145027.83,19.0,5.0,0.0,34.25,0.0,312.0,17.0,3486.34,25643.33,111015.33,36.0,821.0,15.5,96.5,3211.0,601618.14,0.0,7.0,198921.66,0.0,3.5,0.0,8.0,0.0,3403.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,48.0,666.33,0.0,65.33,22.0,1.34,24.5,11.5,1.0,0.0,1.0,18.5,2.16,3.0,0.0,41.0,11.0,0.0,10.0,7.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,62.0,1.0,1.0,0.0,2.0,4.0,5.25,333.0,23991.84,227.0,24052.5,1
sample_75,1841514.27,672.75,184399.75,40.0,0.0,0.0,33.0,0.0,812.5,28.0,2054.16,15191.5,49571.83,170.0,2154.42,18.0,366.5,6199.75,1194868.66,0.0,23.25,101286.5,0.0,6.5,4.0,20.0,0.0,3027.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.5,0.0,0.0,0.0,0.0,12.0,2.0,39.0,10429.08,1.0,164.83,43.0,0.0,8.0,4.0,0.0,0.0,0.0,4.5,6.34,0.0,0.0,5.0,16.0,0.0,17.0,5.0,1.0,19.0,0.0,0.0,0.0,4.0,0.0,2.5,2.0,25.0,6.0,0.0,2.0,0.0,11.67,62.33,474.0,107933.5,576.5,14318.0,1
sample_76,2021922.24,427.5,207626.25,33.0,1.0,0.0,50.0,0.0,606.5,23.0,742.84,7789.25,46789.83,95.0,2235.67,21.5,161.0,5581.0,1084734.48,0.0,16.0,59971.5,0.0,5.0,0.0,23.0,0.0,975.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,12.0,1.0,32.0,4262.67,1.0,103.25,26.0,0.0,2.0,2.5,0.0,0.0,0.0,15.5,3.84,0.0,0.0,3.5,14.0,0.0,15.0,9.0,2.0,36.5,1.0,0.0,0.0,3.0,1.0,3.25,0.0,34.0,6.0,1.0,0.0,1.0,17.33,46.5,460.0,75571.5,430.5,14260.67,1
sample_77,919517.0,954.75,81279.67,25.0,0.0,0.0,26.5,0.0,149.5,5.0,1461.34,14237.5,69841.67,17.0,800.0,13.5,78.5,1774.0,353936.48,0.0,3.75,103603.0,0.0,5.0,0.0,10.0,0.0,1499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,5.0,2.0,19.0,312.5,0.0,27.5,13.0,0.0,9.0,6.0,0.0,0.0,0.0,8.5,1.5,1.0,0.0,4.0,7.0,0.0,6.0,0.25,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.5,57.0,29.0,1.0,1.0,2.0,0.0,3.67,10.5,284.0,16416.66,162.0,14291.67,1
sample_78,1456949.88,336.5,274732.58,257.5,4.0,0.0,47.0,0.0,213.5,42.0,464.34,2240.0,14713.5,66.0,1792.75,2.0,61.5,1684.0,488109.66,0.0,7.5,21178.5,0.0,1.5,1.0,11.0,0.0,374.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,25.0,1548.58,0.0,38.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,3.0,6.0,0.0,11.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7.0,4.0,0.0,2.0,0.0,25.67,23.0,325.0,19266.5,133.0,5457.08,1
sample_79,1760813.07,883.75,122454.17,12.0,0.0,0.0,62.0,0.0,326.33,5.0,1901.5,11486.08,65992.08,20.5,1003.0,13.0,99.5,2740.5,563442.82,0.0,6.5,111138.66,3.0,3.0,1.0,6.0,0.0,1183.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.83,0.0,0.0,0.0,2.0,8.0,2.0,40.0,1431.67,0.0,41.0,13.0,0.66,17.0,8.5,0.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,9.0,0.0,10.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.5,151.17,54.0,0.0,0.0,2.0,0.0,13.67,13.75,274.33,27037.66,161.0,16970.75,1
sample_80,1536240.56,402.0,152380.0,43.5,1.0,0.0,40.0,0.0,456.67,22.0,764.34,6754.92,39241.5,14.0,1332.83,10.0,122.0,2768.5,728669.66,0.0,7.5,48213.84,0.0,2.0,2.0,7.0,0.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,5.0,1.0,42.0,4402.58,0.0,57.5,12.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,2.16,1.0,0.0,4.0,7.0,0.0,4.0,3.92,1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.5,101.0,23.0,3.0,0.0,1.0,0.0,17.67,23.25,332.33,49973.84,246.0,9178.5,1
