,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1199-5p,hsa-miR-1268b,hsa-miR-1271-5p,hsa-miR-1302,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-202-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3122,hsa-miR-3153,hsa-miR-3659,hsa-miR-3660,hsa-miR-3663-5p,hsa-miR-3681-5p,hsa-miR-3684,hsa-miR-369-3p,hsa-miR-373-5p,hsa-miR-3910,hsa-miR-4500,hsa-miR-4517,hsa-miR-4534,hsa-miR-4637,hsa-miR-4650-5p,hsa-miR-4691-5p,hsa-miR-4713-3p,hsa-miR-4720-5p,hsa-miR-4757-5p,hsa-miR-4783-5p,hsa-miR-4802-5p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-5095,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-520b,hsa-miR-548f-5p,hsa-miR-548h-3p,hsa-miR-548m,hsa-miR-5571-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-6132,hsa-miR-6504-3p,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6729-5p,hsa-miR-6736-3p,hsa-miR-6743-5p,hsa-miR-6767-3p,hsa-miR-6820-5p,hsa-miR-6826-3p,hsa-miR-6858-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6871-3p,hsa-miR-6874-3p,hsa-miR-7853-5p,hsa-miR-8080,hsa-miR-8081,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-891a-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-940,hsa-miR-95-3p,Diagnosis
sample_22,1234320.06,135104.58,24.0,0.0,0.0,500.17,0.0,6.0,1777.66,8450.25,23.5,2168.5,0.0,183.5,4553.0,984850.64,13.25,79757.16,0.0,0.0,7.5,0.0,9.0,3.0,2.0,1723.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2809.0,29.25,0.0,1.0,0.0,0.0,0.0,0.0,5.33,0.0,10.0,8.0,1.5,0.0,7.0,25.0,0.0,3.0,0.0,0.0,1.0,9.0,2.0,5.83,1.0,1.0,16.0,8.0,0.0,0.0,19.5,540.33,0.0,41207.16,340.0,10.0,11690.17,0
sample_23,1036532.48,78018.17,62.0,0.0,0.0,238.0,0.0,5.0,1529.5,8631.08,6.0,1224.0,0.0,108.5,1423.5,483931.48,3.83,86062.34,0.0,0.0,7.0,0.0,1.0,3.0,3.0,1439.5,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,727.67,17.0,0.0,11.5,8.5,0.25,0.0,0.0,12.0,0.0,6.5,7.0,1.0,0.0,8.0,16.33,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,52.67,1.0,22.0,0.0,0.0,0.0,24.83,298.0,0.0,20490.16,167.0,0.0,12603.25,0
sample_24,1478345.87,123298.08,11.0,0.0,0.0,365.0,0.0,10.0,2936.0,13138.42,14.0,1469.25,0.0,244.0,2977.33,619079.32,5.25,126725.59,0.0,0.0,1.0,0.0,2.0,9.0,0.0,1914.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,936.17,21.0,0.0,11.5,8.5,1.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,10.0,12.5,0.0,10.0,1.0,0.0,1.0,2.0,2.0,3.33,141.08,1.5,34.5,2.0,0.0,0.0,26.0,484.0,0.0,21633.84,256.5,2.0,19701.42,0
sample_25,1858171.88,144758.33,6.0,0.0,0.0,576.0,0.0,11.0,7244.0,31526.92,6.0,2607.83,0.0,341.5,5968.0,944099.46,12.5,292987.41,0.0,0.0,12.0,1.0,5.0,16.0,4.0,3617.0,0.0,0.0,37.17,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1230.92,29.33,0.0,24.5,6.0,1.83,0.0,0.0,23.5,0.0,28.5,10.0,2.0,0.0,19.0,20.0,1.0,6.0,0.0,0.0,2.0,7.5,1.0,6.25,272.67,2.0,77.0,1.5,0.0,0.0,43.17,809.0,0.0,46088.34,425.0,0.0,36399.25,0
sample_26,979381.07,80560.33,67.0,0.0,0.0,174.0,0.0,7.0,6058.66,15481.58,8.5,922.0,0.0,124.5,1838.0,491347.98,6.5,166237.25,0.0,0.0,3.0,1.0,2.0,11.0,2.0,2963.5,0.0,0.0,20.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.25,23.0,0.0,16.5,2.0,1.0,0.0,0.0,5.0,0.0,20.5,15.0,0.0,0.0,7.0,6.33,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,125.92,0.0,55.0,0.0,0.0,0.0,14.75,342.0,0.0,16076.66,185.0,1.0,19040.58,0
sample_27,885663.77,73136.42,9.0,0.0,0.0,199.5,0.0,3.0,2459.34,16047.42,4.0,1644.33,0.0,118.5,1844.5,384780.16,3.5,129844.41,0.0,0.0,3.0,1.0,5.0,4.0,2.0,1659.5,0.0,0.0,20.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,856.08,8.0,0.0,4.0,5.0,1.33,0.0,0.0,23.0,0.0,17.0,7.0,0.0,0.0,6.0,7.33,0.0,2.0,0.0,0.0,1.0,20.0,0.0,2.0,109.83,2.0,27.0,0.0,0.0,0.0,37.0,424.0,0.0,22516.34,234.0,0.0,16431.17,0
sample_28,918971.09,96025.33,12.5,0.0,0.0,188.5,0.0,7.0,2485.5,18775.0,179.5,1255.5,0.0,130.0,1397.0,355511.16,5.0,129408.16,0.0,0.0,6.0,1.0,8.0,0.0,1.0,1846.25,0.0,0.0,14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,545.83,6.0,0.0,7.5,7.0,0.33,0.0,0.0,12.0,0.0,18.5,5.0,1.0,0.0,10.0,3.33,0.0,1.0,0.0,0.0,0.5,4.0,1.0,3.75,109.17,2.0,38.0,1.0,0.0,0.0,32.75,331.0,0.0,19804.66,202.0,0.0,14972.17,0
sample_29,876441.95,62264.92,10.0,0.0,0.33,233.0,3.0,1.0,3017.66,16894.33,9.0,1863.75,0.0,180.0,1706.5,420312.66,7.0,142587.34,0.0,0.0,0.0,0.0,7.0,13.0,2.0,1625.5,0.0,0.0,13.08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,415.33,21.0,0.0,4.0,4.0,0.0,0.0,0.0,3.5,0.0,24.0,8.0,0.0,0.0,5.0,7.33,0.0,3.0,0.0,0.0,2.0,51.5,1.0,5.08,107.33,0.0,38.0,0.0,0.0,0.0,52.5,379.0,0.0,18811.5,199.0,1.0,18037.83,0
sample_30,1666436.36,170163.0,8.0,0.0,0.0,539.83,0.0,3.0,1283.84,9636.5,10.66,2416.0,0.0,209.0,3694.0,939717.16,12.25,96358.67,0.0,0.0,5.0,0.0,10.0,10.0,2.0,1618.0,0.0,0.0,21.58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3665.42,27.0,0.0,3.0,4.0,0.33,0.0,0.0,8.0,0.0,4.0,3.0,4.0,0.0,5.0,15.08,0.25,3.0,0.0,0.0,4.0,3.0,3.0,7.0,56.67,3.0,30.0,2.0,0.0,0.0,60.25,540.0,0.0,45076.66,383.0,5.0,13559.33,0
sample_31,1427316.47,134636.83,9.0,0.0,0.0,302.0,0.0,8.0,1749.5,14831.0,56.0,1126.67,0.0,140.0,3832.0,570902.48,7.0,112473.34,0.0,0.0,8.0,0.0,30.0,5.0,1.0,1488.0,0.0,0.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2281.83,16.0,0.0,12.0,2.0,0.0,0.0,0.0,10.5,0.0,17.0,7.0,0.0,0.0,9.0,12.0,0.0,6.0,0.0,0.0,1.0,3.0,2.0,1.5,53.67,1.0,41.0,0.0,0.0,0.0,14.75,368.0,0.0,28221.66,225.0,3.0,12944.33,0
sample_32,694334.55,64745.75,13.0,0.0,0.0,213.67,0.0,3.5,1008.84,8812.83,9.0,602.5,0.0,84.0,2064.0,359765.48,4.0,63475.66,0.0,0.0,3.0,0.0,9.0,0.0,1.0,833.75,0.0,0.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,429.25,9.0,0.0,3.0,2.0,0.0,0.0,0.0,10.83,0.0,8.0,3.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.5,3.0,0.0,0.0,22.0,1.0,0.0,0.0,9.0,214.0,0.0,15707.5,119.33,3.0,7827.33,0
sample_33,1153565.45,84306.08,32.0,0.0,0.0,187.5,0.0,3.0,990.16,6194.83,13.0,722.5,0.0,57.5,1761.5,357101.16,3.5,66189.66,0.0,0.0,12.0,0.0,8.0,4.0,2.0,926.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.5,4.0,0.0,10.0,2.0,0.67,0.0,0.0,12.0,0.0,9.5,9.0,0.0,1.0,6.0,3.33,0.0,4.0,0.0,0.0,2.25,1.0,2.0,2.5,68.17,0.0,54.0,0.0,0.0,0.0,20.0,182.0,0.0,22580.0,86.0,1.0,19614.83,0
sample_34,1156942.33,87267.5,11.0,0.0,1.0,235.0,0.0,7.0,1039.5,6658.75,12.0,569.0,0.0,101.0,1858.5,391132.32,4.5,54513.0,0.0,0.0,5.0,0.0,8.0,5.0,1.0,2216.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1786.42,12.0,0.0,6.0,6.0,1.67,0.0,0.0,7.0,0.0,8.5,16.0,3.0,0.0,6.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.33,2.0,118.33,0.0,50.0,0.0,0.0,0.0,4.0,214.0,0.0,40640.84,140.0,0.0,14850.83,0
