,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1238-5p,hsa-miR-1244,hsa-miR-1255b-5p,hsa-miR-1261,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-1915-3p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3119,hsa-miR-3155a,hsa-miR-3156-5p,hsa-miR-3164,hsa-miR-3170,hsa-miR-3184-5p,hsa-miR-3201,hsa-miR-323b-5p,hsa-miR-34c-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-3944-3p,hsa-miR-3960,hsa-miR-3975,hsa-miR-411-3p,hsa-miR-4255,hsa-miR-4306,hsa-miR-4418,hsa-miR-4433-5p,hsa-miR-4632-5p,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4763-3p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-5100,hsa-miR-513b-3p,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5689,hsa-miR-5690,hsa-miR-579-5p,hsa-miR-601,hsa-miR-6127,hsa-miR-643,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6720-5p,hsa-miR-6723-5p,hsa-miR-6742-3p,hsa-miR-6753-3p,hsa-miR-6808-3p,hsa-miR-6850-3p,hsa-miR-6852-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6880-5p,hsa-miR-6883-3p,hsa-miR-6890-5p,hsa-miR-7108-3p,hsa-miR-7112-5p,hsa-miR-769-5p,hsa-miR-7853-5p,hsa-miR-7855-5p,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-939-5p,hsa-miR-95-3p,Disese Group
sample_52,1121914.44,1744.75,102896.92,6.0,65.5,0.0,0.0,0.0,0.0,311.67,51.0,6.0,30.0,3.0,2728.0,20510.25,0.0,87707.5,10.0,1322.5,144.5,2301.0,210.0,556982.32,537120.25,7.5,210166.16,0.0,0.0,2.01,3.0,0.0,1092.58,0.0,0.0,5.0,21.0,11.0,2546.5,0.0,0.0,0.0,0.0,43.0,0.0,0.33,0.0,0.5,0.0,13.5,0.0,1.0,11.0,2.0,0.0,27.0,340.42,295.0,55.75,12.0,13.25,0.0,0.0,4.5,0.0,5.0,27.0,6.0,0.0,8.0,8.0,0.0,0.0,5.0,12.0,4.0,0.0,10.5,0.0,0.0,1.0,1.0,0.33,0.83,166.0,0.0,45.5,0.0,0.0,0.0,5352.83,1.0,0.0,1771.42,32.83,365.0,24152.16,182.0,0.83,22286.58,1
sample_53,1079424.0,1153.0,89192.83,6.0,59.83,0.0,0.0,0.0,0.0,237.83,39.0,5.0,25.0,1.0,2308.84,14456.75,0.0,68632.92,32.0,851.5,63.0,1427.5,119.0,430519.98,429493.0,5.5,153877.34,0.0,0.0,0.0,1.0,1.0,772.17,0.0,0.0,3.0,15.0,15.0,1518.0,0.33,0.0,0.0,0.0,22.5,0.0,0.58,0.0,0.0,0.0,4.5,0.0,0.0,9.0,1.0,0.0,34.0,238.0,210.0,42.25,8.0,14.25,0.0,0.0,19.0,0.0,7.0,22.5,11.0,0.0,1.0,10.0,0.0,0.0,9.0,14.0,2.0,1.0,25.25,0.0,0.0,4.0,0.0,0.33,2.5,134.17,0.0,33.0,0.0,0.0,0.0,4783.08,0.0,0.0,1146.83,11.75,265.0,18400.5,129.0,0.0,18084.0,1
sample_54,1176624.79,1043.25,100762.75,10.0,47.5,0.0,0.0,0.0,0.0,316.5,29.5,6.0,13.0,5.0,1617.0,13652.58,0.0,69539.92,6.0,1023.5,118.5,2444.0,172.0,441853.16,372094.42,7.5,132932.0,0.0,0.0,0.0,2.0,0.0,1180.75,0.0,0.0,2.0,7.0,1.0,1612.0,0.0,0.0,0.0,0.0,36.5,0.0,1.5,0.0,0.0,0.0,12.33,0.0,1.0,6.0,3.0,0.0,17.0,547.42,210.0,39.0,11.0,13.0,0.0,0.0,2.0,0.0,3.0,13.0,10.0,0.0,6.0,6.0,0.0,0.0,2.0,8.0,4.0,1.0,17.25,2.0,0.0,5.0,0.0,0.58,1.25,61.17,0.0,32.0,0.0,0.0,0.0,4673.67,0.0,0.0,873.67,24.25,312.0,23417.34,169.5,0.5,13165.58,1
sample_55,1522291.84,907.0,128788.17,17.0,72.25,0.0,0.0,0.0,0.0,322.5,31.0,11.0,27.0,8.0,2305.34,14528.92,0.0,63774.58,12.0,1044.0,142.0,2243.0,102.0,612820.66,484254.5,6.5,134380.5,0.0,0.0,0.0,3.0,3.0,1252.25,0.0,0.0,7.0,8.0,7.0,2350.5,0.33,0.0,0.0,0.0,29.0,0.0,0.25,0.0,1.0,0.0,8.0,0.0,1.0,7.0,5.0,0.0,44.0,783.75,260.0,50.5,7.0,21.0,0.0,1.0,13.0,0.0,5.0,15.0,13.0,0.0,4.0,17.0,0.0,0.0,8.0,12.0,8.0,0.0,28.25,2.0,0.0,2.0,0.0,0.5,1.0,86.67,0.0,64.0,0.0,1.0,0.0,6535.25,0.0,0.0,1280.0,24.5,308.0,25982.16,203.0,1.0,19514.58,1
sample_56,1310055.5,448.0,103765.5,140.0,32.0,0.0,0.0,0.0,0.0,214.33,14.0,4.0,1.0,5.0,771.0,5185.25,0.0,34590.5,14.0,916.0,87.5,1759.0,84.0,369774.32,217018.75,5.75,56956.0,0.0,0.0,0.0,1.0,1.0,1183.0,0.0,2.0,6.0,9.0,4.0,755.5,0.0,4.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,3.0,1.0,0.0,21.0,903.67,182.0,27.58,10.0,5.33,0.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,1.0,6.0,0.0,0.0,2.0,8.0,3.0,0.0,11.0,0.0,0.0,5.0,1.0,0.25,1.5,1.0,1.0,25.0,2.0,0.0,0.0,3160.67,0.0,2.0,459.67,10.5,211.0,17262.66,130.0,0.83,9570.67,1
sample_57,1104968.79,1227.25,92659.0,6.0,72.5,0.0,0.0,0.0,0.0,273.0,31.0,6.0,20.0,2.5,2293.0,16353.83,2.0,84059.42,8.0,1116.83,103.0,2364.5,226.0,490719.82,452959.25,6.92,159639.91,0.0,0.0,0.0,3.0,1.0,1170.62,0.0,1.0,1.0,5.0,0.0,1946.83,1.33,0.0,0.0,0.0,28.0,0.0,0.5,0.0,0.0,0.25,2.5,0.0,5.0,9.0,5.0,0.0,35.5,372.0,228.0,49.33,16.0,10.0,0.25,0.0,8.5,0.0,2.5,13.5,11.0,0.0,6.0,9.0,0.0,0.0,7.0,10.0,7.0,0.0,4.5,1.0,0.0,4.0,1.0,0.25,0.0,1.0,1.0,39.0,1.0,1.0,0.0,5670.0,0.0,1.0,1266.33,20.33,367.0,22627.34,211.0,1.5,20119.0,1
sample_58,1474627.31,424.25,144728.08,23.0,29.33,0.0,0.0,0.0,0.0,406.67,13.0,17.0,14.5,5.0,915.16,6180.83,0.0,40979.83,35.16,1443.5,147.5,2864.33,44.0,740705.16,205150.25,11.5,60244.34,0.0,0.0,0.0,3.0,2.0,3994.37,0.0,0.0,0.0,9.0,1.0,1489.83,0.33,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,1.0,3.0,2.0,0.0,37.0,4515.25,474.0,93.75,13.5,23.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,0.0,6.0,7.0,0.0,0.0,5.0,5.0,4.0,0.0,5.25,1.0,0.0,1.0,0.0,0.33,3.33,60.33,0.0,68.5,1.0,0.0,0.0,3252.5,1.0,0.0,395.33,33.25,203.0,63088.34,256.0,3.83,9397.75,1
sample_59,1451569.61,594.5,162802.5,26.0,28.5,0.0,0.0,0.0,0.0,482.17,32.0,15.0,16.5,5.5,1219.16,11291.0,0.0,49564.58,22.0,1617.0,282.5,5952.83,95.0,984079.48,354448.0,19.17,105114.5,0.0,0.0,0.99,3.0,0.0,2499.08,0.0,0.0,11.0,13.0,20.0,1940.0,0.0,1.0,0.0,0.0,109.0,0.0,0.33,0.0,0.5,0.0,17.83,0.0,3.0,4.0,2.0,0.0,24.0,4133.25,564.0,158.83,9.5,22.33,0.0,0.0,2.0,0.0,1.0,6.0,3.0,0.0,3.0,18.0,0.0,0.0,10.0,13.0,7.0,1.0,8.25,4.0,0.0,1.0,0.0,1.08,3.0,66.83,0.0,44.0,0.0,0.0,0.0,6852.83,2.0,0.0,777.17,32.0,397.0,53882.34,435.0,1.5,11709.0,1
sample_60,1335679.22,1198.0,108961.92,16.0,35.5,0.0,0.0,0.0,0.0,270.5,60.0,6.0,30.0,7.33,3054.84,16310.08,0.0,82252.08,14.0,811.75,103.5,2461.5,174.0,492615.48,484901.33,3.5,161667.66,0.0,0.0,0.0,2.0,2.0,1059.67,0.0,0.0,6.0,21.0,19.5,1934.5,0.33,1.0,0.0,0.0,33.0,0.0,0.33,0.0,1.0,0.0,5.5,0.0,1.0,7.0,5.0,0.0,39.0,347.5,232.0,41.5,16.5,16.0,0.33,0.0,26.0,0.25,2.5,11.5,10.0,0.0,6.0,4.0,0.0,0.0,6.0,17.0,4.0,0.0,10.75,0.0,0.0,1.0,0.0,0.25,0.5,78.33,0.0,32.0,0.0,0.0,0.0,5682.08,1.0,1.0,879.67,16.0,360.0,23178.84,179.5,1.83,24445.42,1
sample_61,985183.4,1022.5,86326.17,24.0,33.5,0.0,0.0,0.0,0.0,336.5,25.25,5.0,7.0,3.0,3364.34,16550.75,0.0,60204.42,115.0,1129.5,66.0,1619.5,162.0,498263.66,381181.75,9.5,116369.16,0.0,0.0,0.0,2.0,2.0,937.25,0.0,0.0,8.0,8.0,23.0,1514.75,0.0,0.0,0.0,0.0,81.0,0.0,0.33,0.0,0.0,0.0,6.5,0.0,3.0,4.0,2.0,0.0,37.0,356.17,184.0,48.33,11.0,18.33,0.0,0.0,4.5,0.0,4.5,16.5,11.0,0.0,4.0,8.0,0.0,0.0,12.0,14.0,13.67,0.0,14.25,2.0,0.0,4.0,0.0,0.75,4.5,117.0,1.0,21.0,0.0,1.0,0.0,2992.67,2.0,1.0,969.67,10.5,408.0,13308.66,182.0,1.0,16388.25,1
sample_62,2234116.69,1298.25,227063.58,379.0,32.5,0.0,0.0,0.0,0.0,912.17,55.0,15.0,21.0,13.5,2544.16,21933.58,0.33,106888.58,39.5,1961.0,175.5,7077.33,98.0,1301247.14,664805.5,25.0,191776.34,0.0,0.0,0.0,7.0,0.0,4637.21,0.0,0.0,12.0,17.0,9.0,7409.5,1.0,0.0,0.0,0.0,194.0,0.0,0.33,0.0,1.0,0.0,5.0,0.0,3.0,13.0,1.0,0.0,64.0,5341.5,722.0,205.42,15.5,50.58,0.25,0.0,17.5,0.0,11.0,15.0,11.0,0.0,17.0,18.0,0.0,0.0,16.0,14.0,9.33,1.0,8.75,6.0,0.0,1.0,0.0,1.67,4.5,1.0,0.0,57.0,0.0,0.0,0.0,8483.08,1.0,0.0,1147.83,21.5,618.0,89474.66,505.5,1.83,23711.08,1
sample_63,1790417.32,1019.0,161597.08,65.0,121.5,0.0,0.0,0.0,0.0,476.0,22.0,15.0,33.5,11.0,3657.5,15210.33,1.0,72288.5,274.0,1635.5,138.5,3983.5,99.0,825674.48,588871.17,14.5,135393.41,0.0,0.0,0.0,2.0,0.0,1818.33,0.0,2.0,15.0,2.0,11.0,2732.5,0.0,1.0,0.33,0.0,204.0,0.0,0.5,0.0,0.0,0.0,9.75,0.0,5.0,3.0,2.0,0.0,38.0,1577.67,494.0,89.17,17.0,21.0,0.0,0.0,23.0,0.0,8.0,22.5,25.0,0.0,0.0,12.0,0.0,0.0,7.0,17.0,33.33,2.0,41.0,2.0,0.0,8.0,0.0,2.5,2.5,1.0,0.0,32.0,0.0,0.0,0.0,9061.67,1.0,9.0,2321.67,24.5,628.0,19473.66,276.0,1.0,23234.08,1
sample_64,968845.91,946.5,90085.92,39.0,27.0,0.0,0.0,0.0,0.0,238.0,19.0,3.0,28.5,5.0,1268.84,10552.25,0.0,43438.75,74.5,756.5,73.0,1903.0,112.0,432294.82,302143.42,9.67,103282.5,0.0,0.0,0.0,1.0,0.0,737.29,0.0,3.0,7.0,7.0,18.0,1208.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,0.0,17.0,385.42,244.0,42.5,6.0,22.0,0.0,0.0,11.0,0.0,3.0,10.5,11.0,0.0,2.0,10.0,0.0,0.0,3.0,14.0,7.33,0.0,10.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,17.0,0.0,0.0,0.0,3881.83,0.0,0.0,1153.25,12.75,277.0,13901.0,149.0,2.0,11248.42,1
sample_65,1565912.63,1815.5,138807.33,104.0,107.25,0.0,0.0,0.0,0.0,305.5,36.0,4.0,28.0,3.0,5176.84,21874.67,0.0,85743.42,59.5,1337.0,149.5,2454.5,237.0,759803.3,597618.58,16.5,225268.34,0.0,0.0,0.0,1.0,0.0,1268.0,0.0,2.0,7.0,7.0,22.0,2739.5,1.33,3.0,0.0,0.0,81.0,0.0,1.0,0.0,1.0,0.0,11.5,0.0,3.0,8.0,1.0,0.0,46.0,528.5,352.0,82.83,14.0,23.33,0.25,0.0,36.33,0.0,15.33,31.5,15.0,0.0,8.0,8.0,0.0,0.0,13.0,20.0,12.33,0.0,55.5,4.0,0.0,4.0,0.0,1.17,0.5,1.0,0.25,43.0,0.0,2.0,0.0,6686.33,3.0,6.0,1778.25,24.75,682.0,21177.34,253.0,3.0,24123.5,1
sample_66,1288898.64,1205.0,126066.58,11.0,42.5,0.0,0.0,0.0,0.0,258.83,33.0,15.0,26.5,5.5,4301.0,19007.67,0.0,76570.5,32.5,896.83,133.5,2941.0,112.0,665104.48,574820.42,12.5,178223.25,0.0,0.0,0.0,4.0,1.0,776.75,0.0,1.0,8.0,3.0,11.0,2582.5,0.0,0.0,0.0,0.0,114.5,0.0,3.33,0.0,0.0,0.0,3.33,0.0,3.0,6.0,1.0,0.0,28.0,496.25,296.0,56.58,11.0,20.0,0.0,1.0,20.5,0.0,8.5,23.5,15.0,0.0,2.0,7.0,0.0,0.0,5.0,14.0,11.58,0.0,22.5,2.0,0.0,2.0,0.0,1.75,1.0,2.0,1.0,38.0,0.0,0.0,0.0,6203.33,3.0,3.0,1693.67,15.5,467.0,14586.16,180.0,1.0,19645.33,1
sample_67,1680546.84,547.25,198004.92,18.0,54.5,0.0,0.0,0.0,0.0,767.5,12.0,24.0,7.0,8.0,1172.5,10132.67,0.0,49820.67,53.5,2720.0,136.0,7154.67,85.0,1244477.32,268267.67,14.75,78987.84,0.0,0.0,0.0,2.0,1.0,4583.58,0.0,2.0,17.0,2.0,8.0,1681.5,0.0,0.0,0.0,0.0,68.0,0.0,1.67,0.0,0.0,0.0,13.0,0.0,0.0,3.0,3.0,0.0,48.0,3727.92,459.0,194.25,19.5,38.0,0.0,0.0,3.0,0.0,4.0,8.0,14.0,0.0,3.0,8.0,0.0,0.0,13.0,9.0,8.67,1.0,10.25,2.0,0.0,3.0,0.0,0.0,4.5,148.5,1.0,53.0,1.0,0.0,0.0,7106.83,1.0,3.0,793.67,22.0,515.0,54735.16,576.0,0.33,14373.42,1
sample_68,987628.61,1260.25,92468.92,7.0,82.0,0.0,0.0,0.0,0.0,226.5,21.0,6.0,22.0,2.0,2998.0,10102.08,0.0,68848.33,99.0,942.5,66.5,1776.0,149.0,449262.98,357278.58,9.5,131292.66,0.0,0.0,0.0,2.0,2.0,920.75,0.0,1.0,3.0,10.0,11.0,1883.5,0.0,1.0,0.0,0.0,66.5,0.0,0.0,0.0,0.5,0.0,9.33,0.0,1.0,5.0,2.0,0.0,18.0,388.0,242.0,52.0,10.0,19.0,0.0,0.0,20.0,0.0,4.0,15.5,13.0,0.0,6.0,10.0,0.0,0.0,2.0,5.0,6.0,1.0,22.75,2.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,16.0,0.0,0.0,0.0,4629.83,1.5,4.0,973.5,18.5,470.0,10974.0,161.0,1.0,14424.67,1
sample_69,1402234.46,1509.75,133068.5,55.0,107.0,0.0,0.0,0.0,0.0,278.83,34.5,14.0,16.5,4.0,4405.84,16381.75,3.0,85879.67,21.5,1126.0,90.0,3007.0,189.0,601588.65,459585.25,11.0,155633.16,0.0,0.0,0.0,3.0,2.5,975.42,0.0,2.0,6.0,5.0,19.0,2257.0,0.0,0.0,0.0,0.0,57.5,0.0,0.5,0.0,0.0,0.0,7.5,0.0,1.0,5.0,1.0,0.0,50.0,534.0,253.0,62.33,15.0,6.0,0.0,0.0,17.0,0.0,3.5,13.0,10.0,0.0,3.0,2.0,0.0,0.0,4.0,10.0,8.33,0.0,18.0,6.0,0.0,5.0,0.0,0.33,1.5,147.17,0.0,22.0,1.0,0.0,0.0,4953.33,0.0,1.0,1801.08,12.0,465.0,16324.66,183.5,1.33,21268.33,1
sample_70,1365902.08,1268.25,90272.17,9.0,110.75,0.0,0.0,0.0,0.0,277.33,31.0,6.0,14.5,7.5,4869.5,17333.58,0.0,93099.08,11.0,1009.0,72.0,2565.0,53.0,662197.48,555213.92,10.17,187585.0,0.0,0.0,0.0,6.0,0.0,918.5,0.0,4.0,6.0,9.0,0.0,2351.5,0.33,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,35.5,482.67,370.0,62.0,10.0,22.0,0.0,0.0,14.0,0.0,9.0,15.0,24.0,0.0,2.0,8.0,0.0,0.0,9.0,12.0,16.33,0.0,27.25,2.0,0.0,8.0,0.0,0.58,1.0,167.33,0.0,17.5,0.0,1.0,0.0,5697.83,1.0,3.0,1672.83,24.5,376.0,17927.0,197.5,2.0,22686.33,1
sample_71,1406241.55,644.75,102655.67,100.0,49.5,0.0,0.0,0.0,0.0,241.33,21.0,6.0,7.5,4.0,1309.16,7386.5,0.0,50599.75,17.0,971.5,66.0,1940.5,58.0,468068.66,236616.17,5.5,69475.41,0.0,0.0,0.0,2.0,1.0,1420.25,0.0,1.0,2.0,9.0,5.0,1023.5,1.0,0.0,0.0,0.0,35.25,0.0,0.0,0.0,0.5,0.0,4.5,0.0,1.0,6.5,3.0,0.0,35.0,607.0,154.0,38.5,13.0,12.0,0.0,0.0,5.0,0.0,2.0,11.5,4.0,0.0,8.0,8.0,0.0,0.0,1.0,8.0,5.33,1.0,4.75,2.0,0.0,4.0,0.0,0.92,1.5,0.0,0.33,23.0,1.0,1.0,0.0,3016.0,0.0,2.0,470.0,15.0,281.0,19885.66,119.0,2.5,13699.0,1
sample_72,1042774.47,678.25,98242.42,28.0,15.0,0.0,0.0,0.0,0.0,396.75,31.0,2.0,16.5,9.0,1424.66,16306.42,0.0,60353.08,89.0,1057.33,58.0,1542.0,272.5,486468.32,402082.5,5.5,96758.34,0.0,0.0,0.0,4.0,0.33,1038.42,0.0,0.0,3.0,15.0,31.0,882.0,1.0,0.0,0.0,0.0,21.5,0.0,0.5,0.0,0.0,0.0,6.17,0.0,2.0,9.0,0.0,1.0,22.0,740.0,115.0,61.5,12.0,12.0,0.0,0.0,5.0,0.0,7.0,19.0,5.0,0.0,7.0,14.0,0.0,0.0,6.0,12.0,3.33,0.0,26.75,3.0,0.0,4.0,1.0,2.5,2.0,141.33,1.0,20.5,1.0,1.0,0.0,2853.0,0.0,0.0,874.83,16.5,335.0,16004.16,216.0,0.0,11194.33,1
sample_73,1599403.33,1400.5,173094.58,154.0,43.5,0.0,0.0,0.0,0.0,289.0,22.0,19.0,31.0,12.0,2959.5,24567.17,0.33,68415.58,615.5,955.5,118.5,3875.08,11181.5,606739.32,452213.08,6.0,182408.0,0.0,0.0,0.0,2.0,0.0,1079.75,0.0,1.0,10.0,8.0,15.0,3531.5,0.0,0.0,0.0,0.0,34.0,0.0,1.33,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,58.0,436.08,271.0,59.5,28.0,15.0,0.0,1.0,30.0,0.0,14.0,43.0,36.0,0.0,8.0,11.0,0.0,0.0,7.0,35.0,27.5,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,45.0,1.0,0.0,0.0,4828.5,0.0,1.0,1608.92,15.25,456.0,16609.0,275.0,1.0,21970.0,1
sample_74,1464129.38,1289.25,145027.83,19.0,34.25,0.0,0.0,0.0,0.0,312.0,46.0,17.0,23.0,12.5,3486.34,25643.33,0.0,111015.33,36.0,821.0,96.5,3211.0,139.0,601618.14,658817.0,7.0,198921.66,0.0,0.0,0.0,1.0,1.33,1106.75,0.0,0.0,3.0,16.0,8.0,3403.25,0.33,0.0,0.0,0.0,119.0,0.0,0.5,0.0,0.5,0.0,2.0,0.0,9.0,3.0,0.0,0.0,48.0,666.33,286.0,65.33,10.0,22.0,0.0,3.0,24.5,0.0,11.5,41.0,10.0,0.0,8.0,11.0,0.0,0.0,8.0,10.0,7.0,0.0,6.75,1.0,0.0,6.0,0.0,1.5,0.5,1.0,0.0,32.5,0.0,1.0,0.0,6858.5,0.0,0.0,1553.17,5.25,333.0,23991.84,227.0,0.5,24052.5,1
sample_75,1841514.27,672.75,184399.75,40.0,33.0,0.0,0.0,0.0,0.0,812.5,39.0,28.0,25.0,12.0,2054.16,15191.5,0.0,49571.83,170.0,2154.42,366.5,6199.75,321.0,1194868.66,421882.17,23.25,101286.5,0.0,0.0,0.99,9.0,0.0,6030.67,0.0,1.0,16.0,4.0,20.0,3027.0,1.0,1.0,0.0,0.0,75.0,0.0,1.33,0.0,1.0,0.0,17.83,0.0,4.0,12.0,2.0,0.0,39.0,10429.08,335.0,164.83,13.5,43.0,0.0,0.0,8.0,0.0,4.0,5.0,8.0,0.0,6.0,16.0,0.0,0.0,13.0,17.0,5.0,0.0,2.75,1.0,0.0,1.0,0.0,0.67,2.5,2.0,0.5,141.0,0.0,0.0,0.0,6584.25,1.0,1.0,672.67,62.33,474.0,107933.5,576.5,1.33,14318.0,1
sample_76,2021922.24,427.5,207626.25,33.0,50.0,0.0,0.0,0.0,0.0,606.5,24.0,23.0,12.0,9.0,742.84,7789.25,0.0,46789.83,95.0,2235.67,161.0,5581.0,264.0,1084734.48,360450.0,16.0,59971.5,0.0,0.0,0.0,3.0,1.0,4867.87,0.0,2.0,15.0,6.0,23.0,975.33,0.33,4.0,0.0,0.0,10.5,0.0,1.25,0.0,0.5,0.0,23.83,0.0,3.0,12.0,1.0,0.0,32.0,4262.67,328.0,103.25,19.0,26.0,0.0,0.0,2.0,0.0,2.5,3.5,8.0,0.0,5.0,14.0,0.0,0.0,11.0,15.0,9.0,0.0,2.75,2.0,0.0,4.0,0.0,1.25,3.25,0.0,0.0,83.0,1.0,1.0,0.0,5550.5,1.0,1.0,520.17,46.5,460.0,75571.5,430.5,3.33,14260.67,1
sample_77,919517.0,954.75,81279.67,25.0,26.5,0.0,0.0,0.0,0.0,149.5,36.0,5.0,17.0,2.0,1461.34,14237.5,0.0,69841.67,17.0,800.0,78.5,1774.0,105.0,353936.48,339519.67,3.75,103603.0,0.0,0.0,0.0,3.0,0.0,1020.5,0.0,0.0,1.0,8.0,10.0,1499.0,0.33,1.0,0.0,0.0,12.5,0.0,0.25,0.0,0.0,0.0,0.83,0.0,3.0,5.0,2.0,0.0,19.0,312.5,187.0,27.5,9.0,13.0,0.25,0.0,9.0,0.0,6.0,4.0,8.0,0.0,2.0,7.0,0.0,0.0,9.0,6.0,0.25,0.0,14.25,0.0,0.0,1.0,0.0,0.5,1.5,57.0,0.0,35.5,0.0,1.0,0.0,4945.17,0.0,0.0,1079.33,10.5,284.0,16416.66,162.0,1.75,14291.67,1
sample_78,1456949.88,336.5,274732.58,257.5,47.0,0.0,0.0,0.0,0.0,213.5,6.0,42.0,5.0,7.0,464.34,2240.0,0.0,14713.5,66.0,1792.75,61.5,1684.0,704.0,488109.66,85861.0,7.5,21178.5,0.0,0.0,0.0,2.0,0.0,2139.08,0.0,0.0,42.0,3.0,11.0,374.5,0.33,0.0,0.0,0.0,9.5,0.0,0.25,0.0,0.5,0.0,4.5,0.0,1.0,4.0,1.0,0.0,25.0,1548.58,112.0,38.5,20.5,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,6.0,0.0,0.0,2.0,11.0,4.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,16.0,0.5,0.0,0.0,1997.0,0.0,0.0,162.0,23.0,325.0,19266.5,133.0,4.0,5457.08,1
sample_79,1760813.07,883.75,122454.17,12.0,62.0,0.0,0.0,0.0,0.0,326.33,24.83,5.0,16.0,7.5,1901.5,11486.08,1.0,65992.08,20.5,1003.0,99.5,2740.5,103.0,563442.82,394265.83,6.5,111138.66,0.0,0.0,0.0,3.0,2.0,1170.0,0.0,1.0,5.0,8.5,6.0,1183.5,0.33,1.0,0.0,0.0,59.0,0.0,0.33,0.0,0.0,0.0,5.5,0.0,0.0,8.0,2.0,0.0,40.0,1431.67,176.0,41.0,10.0,13.0,0.0,0.0,17.0,0.0,8.5,4.0,7.0,0.0,1.0,9.0,0.0,0.0,6.0,10.0,2.0,0.0,14.25,0.0,0.0,4.0,0.0,0.5,0.5,151.17,0.0,33.0,0.0,0.0,0.0,3827.5,0.0,1.0,871.67,13.75,274.33,27037.66,161.0,0.0,16970.75,1
sample_80,1536240.56,402.0,152380.0,43.5,40.0,0.0,0.0,0.0,0.0,456.67,11.0,22.0,6.5,5.0,764.34,6754.92,0.0,39241.5,14.0,1332.83,122.0,2768.5,61.0,728669.66,250598.17,7.5,48213.84,0.0,0.0,0.99,4.0,2.0,2815.29,0.0,0.0,5.0,11.0,7.0,998.0,0.33,1.0,0.0,0.0,36.5,0.0,2.0,0.0,0.17,0.0,6.0,0.0,0.0,5.0,1.0,0.0,42.0,4402.58,124.0,57.5,20.0,12.0,0.0,0.0,2.0,0.0,4.0,4.0,5.0,0.0,3.0,7.0,0.0,0.0,4.0,4.0,3.92,1.0,13.75,1.0,0.0,1.0,0.0,0.0,2.5,101.0,2.5,45.0,0.0,0.0,0.0,4633.33,0.0,0.0,443.67,23.25,332.33,49973.84,246.0,1.83,9178.5,1
