,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1178-3p,hsa-miR-1183,hsa-miR-1207-3p,hsa-miR-1224-3p,hsa-miR-1226-5p,hsa-miR-1231,hsa-miR-1257,hsa-miR-125a-3p,hsa-miR-1263,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-128-2-5p,hsa-miR-1281,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-1302,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-1913,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200b-5p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-300,hsa-miR-30c-5p,hsa-miR-3135b,hsa-miR-3150b-3p,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3185,hsa-miR-3681-5p,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3942-5p,hsa-miR-423-3p,hsa-miR-4433-5p,hsa-miR-4464,hsa-miR-4474-5p,hsa-miR-4500,hsa-miR-4509,hsa-miR-4515,hsa-miR-4517,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4659a-5p,hsa-miR-4662a-3p,hsa-miR-4664-3p,hsa-miR-4694-5p,hsa-miR-4709-3p,hsa-miR-4728-5p,hsa-miR-4745-5p,hsa-miR-4746-5p,hsa-miR-4766-3p,hsa-miR-4788,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-5002-5p,hsa-miR-5004-3p,hsa-miR-5008-5p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-509-5p,hsa-miR-5096,hsa-miR-5100,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-519c-5p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ah-5p,hsa-miR-548am-3p,hsa-miR-548m,hsa-miR-548s,hsa-miR-561-5p,hsa-miR-5690,hsa-miR-571,hsa-miR-579-5p,hsa-miR-605-3p,hsa-miR-6128,hsa-miR-622,hsa-miR-6511a-5p,hsa-miR-658,hsa-miR-665,hsa-miR-6732-5p,hsa-miR-6741-5p,hsa-miR-6764-5p,hsa-miR-6769a-3p,hsa-miR-6774-5p,hsa-miR-6821-3p,hsa-miR-6846-3p,hsa-miR-6849-5p,hsa-miR-6859-5p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6874-5p,hsa-miR-6883-3p,hsa-miR-7106-5p,hsa-miR-7157-5p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7854-3p,hsa-miR-8077,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-921,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-940,hsa-miR-95-3p,Diagnosis
sample_33,1153565.45,581.5,84306.08,155.5,32.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,273.83,0.0,187.5,34.0,2.0,0.0,4.67,8.0,0.0,990.16,7.0,0.0,6194.83,0.0,63788.92,13.0,722.5,4.0,15.5,57.5,1761.5,357101.16,276555.33,0.0,66189.66,0.0,1.5,2.0,1366.0,0.0,4.0,926.5,4.0,11.0,2.0,1366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,2.0,0.5,46.0,397.5,0.0,156.0,0.0,1.0,0.0,16.0,6.0,4.0,2.0,0.0,0.25,10.0,0.0,2.0,1.0,0.0,0.67,0.5,0.0,1.0,0.0,12.0,0.0,9.5,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.33,1.0,3.5,26.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,1.0,68.17,1.0,22.0,0.0,4.0,3694.83,8.33,0.5,0.0,704.58,20.0,182.0,0.0,22580.0,86.0,1.0,19614.83,0
sample_34,1156942.33,312.5,87267.5,108.0,11.0,0.0,0.0,0.0,17.5,0.0,2.0,0.0,300.42,0.0,235.0,20.0,1.0,0.0,3.67,17.0,0.0,1039.5,7.0,0.0,6658.75,0.0,54646.0,12.0,569.0,10.0,11.0,101.0,1858.5,391132.32,329310.17,0.0,54513.0,0.0,2.5,2.0,3123.0,0.0,5.0,2216.0,12.33,23.0,1.0,3123.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,5.33,0.0,0.25,0.0,3.0,0.0,8.0,0.0,0.0,4.0,1.0,0.5,36.0,1786.42,0.0,128.5,1.0,0.0,0.0,32.5,17.5,12.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.67,3.0,0.0,0.0,0.0,7.0,2.0,8.5,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,118.33,1.0,24.5,0.0,3.0,4172.0,8.33,0.0,0.0,675.0,4.0,214.0,0.0,40640.84,140.0,0.0,14850.83,0
sample_35,1061832.11,1171.25,82160.42,282.67,13.0,0.0,0.0,0.0,66.08,0.0,2.0,0.0,289.67,0.0,259.0,29.0,3.0,0.0,4.08,11.0,0.0,2416.16,11.0,0.0,12640.08,0.0,64480.33,6.0,1050.83,14.0,13.5,156.0,2916.58,404816.66,360357.83,0.0,126423.84,0.0,1.0,3.0,1085.08,0.0,8.5,1633.0,6.0,22.0,0.0,1085.08,1.5,0.0,0.0,1.0,0.0,0.0,0.0,7.83,0.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,4.0,5.0,0.0,28.0,1035.5,1.0,210.0,1.0,0.0,0.0,44.0,18.0,11.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.67,8.0,0.0,2.0,0.0,11.0,0.0,16.5,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,2.83,2.0,140.67,0.0,29.83,0.0,2.0,5050.33,8.33,0.0,0.0,1079.5,18.0,297.0,0.0,22246.84,187.0,1.0,17941.33,0
sample_36,1252890.32,1405.25,105970.83,228.5,7.0,0.0,0.0,0.0,96.5,0.0,0.0,0.0,387.17,0.0,238.5,37.0,1.0,0.0,7.0,6.0,0.0,2212.0,11.0,0.0,15167.25,1.5,58104.92,9.0,1120.5,26.0,19.0,102.0,1487.0,411492.66,361609.92,0.0,144325.84,0.0,1.5,1.0,1272.88,0.0,3.0,1592.33,3.25,55.0,0.0,1272.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,26.0,402.92,0.0,169.0,1.0,1.0,0.0,51.0,19.0,14.0,5.0,0.0,0.0,7.5,0.0,2.0,0.0,0.0,0.67,11.0,0.0,2.0,0.0,10.33,0.0,19.5,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,1.75,2.0,136.17,1.0,52.0,1.0,3.0,5479.33,5.33,1.0,0.0,1166.33,16.25,293.0,0.0,24333.84,174.0,3.0,19516.92,0
sample_37,1672968.6,603.75,244416.25,407.5,17.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0,354.5,0.0,473.0,12.33,1.0,0.0,3.58,39.0,0.0,1159.84,12.0,0.0,11484.92,0.0,40491.83,97.0,1538.0,27.0,9.5,150.5,2971.0,957376.32,329443.17,0.0,89330.34,0.0,3.0,3.0,2379.58,0.0,2.0,2243.83,10.42,12.0,1.0,2379.58,1.0,0.0,0.0,0.33,0.0,0.0,0.0,5.0,0.0,0.5,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,49.0,2083.0,0.0,560.0,1.0,0.0,0.0,102.75,15.5,25.0,4.0,0.0,0.0,3.5,0.0,5.5,0.0,0.0,0.33,6.5,0.0,7.5,0.0,0.0,0.0,10.5,3.5,0.0,7.0,1.0,0.0,0.0,0.0,1.0,14.92,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,49.67,1.0,44.0,0.0,3.0,5900.83,11.0,1.0,0.0,541.0,8.0,450.0,0.0,32970.66,316.0,6.0,12870.83,0
sample_38,1971327.19,554.25,245438.83,383.5,32.0,2.0,0.0,0.0,48.5,0.0,0.0,0.0,385.17,0.0,603.83,18.0,1.0,0.0,7.33,35.0,0.0,849.0,7.0,0.0,10304.33,0.5,46535.25,337.5,2290.83,45.0,13.0,209.5,3650.33,1073443.82,310049.83,0.0,74905.5,0.0,4.5,10.0,3968.87,0.0,5.0,1750.0,16.5,16.0,5.0,3968.87,0.5,0.0,0.0,1.25,0.0,0.0,1.0,14.83,0.0,0.75,2.0,2.0,0.0,3.0,0.0,0.0,2.0,2.5,0.0,47.0,4606.33,0.0,375.0,1.0,0.0,0.0,117.25,27.0,21.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.25,4.0,0.0,4.0,0.0,8.0,2.0,10.5,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,6.25,0.0,0.5,24.0,0.0,0.0,2.0,3.0,1.0,0.0,3.5,3.0,130.33,1.0,83.5,0.0,1.0,5659.33,16.33,0.0,0.0,562.5,45.25,324.0,0.0,71566.16,443.75,5.0,12968.67,0
sample_39,1665552.5,500.5,246570.5,299.5,29.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,202.0,0.0,442.0,13.0,1.0,0.0,3.33,53.0,0.0,667.5,9.0,0.0,7581.5,1.0,40677.33,57.0,1520.5,23.0,7.0,121.0,4792.75,842892.98,392996.25,0.0,62701.16,0.0,3.5,4.0,2720.83,0.0,3.0,1646.25,13.25,4.0,2.0,2720.83,0.5,0.0,0.0,0.67,0.0,1.0,0.0,2.83,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,4.0,5.5,1.0,53.5,3614.92,0.0,356.0,1.0,2.0,0.0,74.75,22.0,27.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,6.83,0.0,2.5,0.0,2.0,0.0,13.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,15.33,0.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,40.33,2.0,52.0,0.0,3.0,7953.58,8.67,1.0,0.0,503.5,20.83,386.0,0.0,53491.0,359.0,7.0,12428.67,0
sample_40,994403.21,776.5,83164.17,225.83,221.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,192.5,0.0,205.0,19.0,2.0,0.0,1.67,22.0,1.0,1646.66,6.0,0.0,9979.0,0.0,47465.92,3.0,724.0,12.0,13.0,63.0,1692.5,362781.0,309952.5,0.0,98775.0,0.0,1.5,2.0,791.25,0.0,3.5,1441.5,3.75,10.0,2.0,791.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,3.0,2.0,1.0,5.0,0.0,0.0,1.0,3.5,0.0,20.0,454.67,0.0,147.0,0.0,0.0,0.0,35.0,5.5,6.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,3.5,0.0,1.5,0.0,6.0,0.0,10.5,4.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,53.67,0.0,14.0,0.0,2.0,4288.5,7.67,0.0,0.0,725.5,12.0,211.0,0.0,17461.16,137.5,0.0,12546.17,0
sample_41,1278626.4,1018.5,98027.42,193.0,31.0,0.0,0.0,0.0,193.5,0.0,0.0,0.0,458.5,0.0,248.83,25.0,0.0,0.0,8.17,6.0,1.0,2256.66,6.0,0.0,9690.25,1.5,59583.92,75.0,1624.17,16.0,12.0,126.5,1783.5,490505.32,320475.33,0.0,91859.84,0.0,1.0,2.0,2031.0,0.0,4.0,1642.83,2.5,44.0,1.0,2031.0,0.5,0.0,0.0,1.92,0.0,0.0,0.0,12.5,0.0,0.5,0.0,2.0,0.0,7.0,0.0,0.0,3.0,2.0,0.0,26.0,575.83,0.0,195.0,0.0,1.0,0.0,45.5,19.0,19.0,3.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.67,3.0,0.0,1.0,0.0,3.0,0.0,6.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,1.5,5.33,0.0,2.0,33.0,1.0,0.0,4.0,1.0,0.0,0.0,4.5,1.0,136.83,2.0,39.0,0.0,7.5,4931.83,14.0,0.0,0.0,1054.17,41.5,515.0,0.0,23051.66,161.0,1.0,17329.67,1
sample_42,1473476.69,1134.5,115119.67,224.5,16.5,1.0,0.0,0.0,111.0,1.0,4.0,0.0,505.42,0.0,307.83,31.0,1.0,0.0,6.75,6.0,1.5,4022.66,12.0,0.0,13341.0,0.0,74609.25,17.0,1450.67,12.0,17.5,174.0,2015.83,609860.14,421321.08,0.0,132917.5,0.0,2.5,1.0,1665.58,0.0,4.0,1855.0,4.33,35.0,5.0,1664.58,1.5,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,3.0,2.0,1.0,4.0,0.0,0.0,6.0,4.5,0.0,39.0,942.42,0.0,243.0,0.0,0.0,0.0,44.83,20.0,14.33,2.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.92,5.25,0.0,4.0,0.0,4.5,0.0,18.5,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.33,0.0,2.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,163.17,1.0,30.5,0.0,3.0,6724.33,15.33,0.0,0.0,1536.5,26.33,533.0,0.0,22959.5,250.0,1.0,23785.0,1
sample_43,1288680.22,832.75,92052.42,232.33,12.0,0.0,0.0,0.0,139.5,0.0,1.0,0.0,385.0,0.0,264.0,16.0,1.0,0.0,5.42,6.0,0.0,2307.84,4.0,0.0,9898.83,0.0,66674.75,271.0,1009.67,21.0,20.0,73.5,1589.0,474958.48,386260.67,0.0,108196.0,0.0,2.0,1.0,1218.67,0.0,3.0,1175.0,4.5,17.0,2.0,1218.67,0.0,0.0,0.0,2.92,0.0,1.0,0.0,6.5,0.0,0.5,1.0,3.0,0.0,4.0,0.0,0.0,6.0,5.0,0.0,24.0,328.17,0.0,289.0,0.0,0.0,0.0,36.5,14.5,15.0,1.0,0.0,0.0,13.5,0.0,11.5,2.0,0.0,0.67,2.0,0.0,1.0,0.0,4.0,3.0,12.5,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,153.33,2.0,28.0,0.0,1.0,5549.25,5.67,4.0,0.0,1175.17,19.5,319.0,0.0,16219.66,122.0,2.0,19936.08,1
sample_44,1134429.83,406.0,113001.58,378.0,26.0,0.0,0.0,0.0,57.0,1.0,2.0,0.0,215.42,0.0,488.33,16.0,0.0,0.0,2.92,25.0,0.0,839.84,3.0,0.0,6210.17,1.0,43090.58,7.0,1633.83,7.0,14.5,138.0,4906.08,837761.98,410805.42,0.0,53443.84,0.0,2.0,3.0,2381.21,0.0,4.0,1754.5,21.67,13.0,1.0,2380.21,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.92,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,37.0,2470.83,0.0,469.5,0.0,0.0,0.0,74.08,11.0,36.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.33,1.5,0.0,2.5,0.0,3.0,1.0,11.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,9.67,0.0,0.0,19.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,58.83,0.0,56.0,0.0,3.0,9020.17,6.67,0.0,0.0,651.17,34.58,272.0,0.0,52934.66,398.0,5.0,10093.33,1
sample_46,1104152.52,1471.75,84586.67,216.5,162.0,0.0,0.0,0.0,152.25,0.0,0.0,0.0,390.08,0.0,243.83,24.0,0.0,0.0,5.83,5.0,0.0,2722.0,6.0,0.0,10929.0,0.25,62306.58,18.0,1436.0,12.0,4.0,146.0,1836.0,482796.98,396716.42,0.0,131275.0,0.0,3.0,0.0,1260.5,0.0,3.0,1707.5,3.5,44.0,3.0,1260.5,1.0,0.0,0.0,1.67,0.0,0.0,0.0,13.17,0.0,0.5,1.0,3.0,0.0,6.0,0.0,0.0,5.0,8.0,0.0,35.0,382.67,0.0,232.0,0.0,0.0,0.0,42.83,16.0,12.33,4.0,0.0,0.25,11.0,0.0,8.0,1.0,0.0,1.33,4.0,0.0,3.0,0.0,7.0,0.0,18.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.33,0.0,5.5,30.0,1.0,0.0,1.0,2.0,0.0,0.0,2.25,0.0,1.0,1.0,33.0,0.0,2.0,5964.0,5.0,1.0,0.0,1413.67,27.0,445.0,0.0,17707.16,175.0,4.0,17242.25,1
sample_47,1268156.49,801.0,103398.58,377.0,6.0,1.0,0.0,0.0,50.75,0.0,0.0,0.0,382.5,0.0,362.83,14.0,0.0,0.0,6.92,12.0,0.0,2235.5,13.0,0.0,12841.75,0.0,62941.58,13.5,1008.08,10.0,10.0,118.5,2199.0,589243.32,395553.17,0.0,110661.5,0.0,2.0,0.5,1012.67,0.0,4.0,1681.0,4.5,14.0,4.0,1012.67,0.0,1.0,0.0,2.75,0.0,0.0,0.0,2.5,0.0,0.5,0.0,3.0,0.0,2.0,0.0,0.0,5.0,6.0,0.0,31.0,518.25,0.0,235.0,0.0,0.0,0.0,58.0,9.5,17.0,0.0,0.0,0.25,9.0,0.0,2.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,10.5,1.0,7.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,0.5,1.0,0.0,3.0,20.0,0.0,2.0,6124.67,3.67,0.0,0.0,1127.08,14.0,404.5,0.0,16788.0,212.0,1.0,15612.33,1
sample_48,1476603.36,930.0,97773.33,357.0,37.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,369.17,0.0,487.17,22.0,1.0,0.0,5.83,13.0,0.0,2228.5,10.0,0.0,13941.17,1.0,75057.92,46.5,1389.83,11.0,13.33,87.0,2204.0,739304.32,404798.5,0.0,115364.84,0.0,2.0,2.0,1423.83,0.0,5.0,1241.75,5.33,15.0,5.0,1423.83,0.0,0.0,1.0,1.58,0.0,0.0,0.0,8.17,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,3.5,0.5,18.0,584.17,0.0,215.0,0.0,0.0,0.0,77.5,11.0,21.0,1.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.58,5.5,0.0,1.0,0.0,7.83,1.0,10.5,5.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,11.67,0.0,2.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,2.33,0.0,76.0,0.0,38.0,0.0,2.0,5306.33,5.67,0.0,0.0,1164.42,27.25,447.0,0.0,23338.0,229.0,2.0,17069.25,1
sample_49,1496229.11,1996.75,133960.42,480.0,8.0,0.0,0.0,0.0,72.75,0.0,0.0,0.0,515.33,0.0,352.0,45.5,0.0,0.0,7.75,11.0,0.0,4715.84,6.0,0.0,23031.92,0.0,98125.08,50.0,1126.0,10.0,13.5,89.0,4428.25,784251.64,593074.83,0.0,243959.0,0.0,3.5,1.0,881.75,0.0,16.0,2368.5,1.75,39.0,2.0,881.75,0.0,0.0,0.0,0.67,0.0,0.0,0.0,9.67,0.0,0.67,4.0,3.0,1.0,8.5,0.0,1.0,3.0,4.5,1.0,47.0,398.25,0.0,386.0,0.0,0.0,0.0,81.67,12.5,27.67,4.0,0.0,0.0,21.33,0.0,12.0,0.0,0.0,2.17,3.83,0.0,2.0,0.0,9.0,0.0,15.5,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,12.58,0.0,2.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,90.83,0.0,41.0,0.0,4.0,6590.67,5.67,0.0,0.0,1542.67,22.83,540.0,0.0,16050.0,210.5,2.0,23485.33,1
sample_50,1028619.51,1840.25,89313.92,454.0,12.0,0.0,0.0,0.0,84.0,0.0,1.0,0.0,369.08,0.0,293.0,36.0,1.0,0.0,7.08,6.0,0.0,5133.16,13.0,0.0,21848.42,0.0,91983.42,15.0,993.67,14.0,15.0,139.0,1934.5,569870.48,607294.0,0.0,250847.16,0.0,2.0,0.0,779.25,0.0,4.0,2413.75,2.25,35.0,4.0,779.25,1.0,0.0,2.0,1.0,0.0,0.0,0.0,5.83,0.0,0.75,1.0,2.0,0.0,8.0,1.0,0.0,0.0,10.5,0.0,18.0,241.33,0.0,428.0,0.0,2.0,0.0,54.25,4.0,21.0,4.0,0.0,0.0,58.5,0.0,22.0,1.0,0.0,1.92,20.58,1.0,1.0,0.0,12.5,0.0,18.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,1.33,0.0,71.67,0.0,57.0,0.0,3.0,8879.33,5.0,1.0,0.0,2038.42,24.33,394.0,0.0,16872.34,193.5,0.0,21787.5,1
sample_51,1344007.7,2147.25,110700.83,450.33,19.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,321.0,0.0,281.5,42.5,0.0,0.0,9.08,6.0,0.0,3367.5,20.0,0.0,22149.08,1.0,91532.0,60.5,1288.0,11.0,16.5,182.5,2814.33,614604.82,579259.42,0.0,227498.5,0.0,2.0,3.0,1317.79,0.0,7.0,2734.0,4.25,14.0,4.0,1317.79,0.5,0.0,0.0,0.33,0.0,0.0,0.0,12.33,0.0,0.75,3.0,4.0,1.0,5.0,0.0,0.0,3.0,9.0,0.0,39.0,379.92,0.0,293.0,1.0,0.0,0.0,70.0,15.0,15.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,1.33,19.83,0.0,3.0,0.0,15.5,0.0,21.5,11.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,3.0,21.0,2.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,167.33,1.0,55.0,0.0,4.0,5568.17,7.33,0.0,0.0,1729.0,36.25,468.0,0.0,27620.66,209.5,1.0,22545.83,1
sample_52,1121914.44,1744.75,102896.92,304.0,6.0,0.0,0.0,0.0,65.5,0.0,4.0,0.0,334.67,0.0,311.67,51.0,4.0,0.0,6.0,6.0,0.0,2728.0,17.0,0.0,20510.25,0.0,87707.5,10.0,1322.5,11.0,9.0,144.5,2301.0,556982.32,537120.25,0.0,210166.16,0.0,3.0,1.0,1092.58,0.0,4.0,2546.5,4.83,20.0,0.0,1092.58,0.5,0.0,0.0,0.67,0.0,0.0,0.0,13.5,0.0,0.17,1.0,3.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,27.0,340.42,0.0,295.0,0.0,0.0,0.0,55.75,12.0,13.25,1.0,0.0,0.0,4.5,0.0,5.0,0.0,0.0,1.0,14.25,0.0,6.0,0.0,18.0,1.0,27.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.83,2.0,166.0,0.0,45.5,0.0,4.0,5352.83,6.67,1.0,0.0,1771.42,32.83,365.0,0.0,24152.16,182.0,1.0,22286.58,1
sample_53,1079424.0,1153.0,89192.83,272.0,6.0,0.0,0.0,0.0,59.83,0.0,0.0,0.0,247.42,0.0,237.83,39.0,0.0,0.0,6.33,5.0,0.0,2308.84,17.0,0.0,14456.75,0.0,68632.92,32.0,851.5,18.0,13.0,63.0,1427.5,430519.98,429493.0,0.0,153877.34,0.0,2.0,1.0,772.17,0.0,7.0,1518.0,2.25,16.0,2.0,772.17,0.0,0.0,0.0,0.33,0.0,0.0,0.0,4.5,0.0,0.5,0.0,2.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,34.0,238.0,0.0,210.0,0.0,0.0,0.0,42.25,8.0,14.25,1.0,0.0,0.0,19.0,0.0,7.0,0.0,0.0,1.25,6.83,0.0,1.0,0.0,3.83,0.0,22.5,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,14.5,2.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,134.17,1.0,33.0,0.0,4.0,4783.08,4.67,0.0,0.0,1146.83,11.75,265.0,0.0,18400.5,129.0,1.0,18084.0,1
sample_54,1176624.79,1043.25,100762.75,364.0,10.0,0.0,0.0,0.0,47.5,0.0,1.0,0.0,273.33,0.0,316.5,29.5,3.0,0.0,4.75,6.0,0.5,1617.0,6.0,0.0,13652.58,0.0,69539.92,6.0,1023.5,8.0,10.0,118.5,2444.0,441853.16,372094.42,0.0,132932.0,0.0,2.0,2.0,1180.75,0.0,0.0,1612.0,4.75,21.0,1.0,1180.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.0,0.25,1.0,5.0,2.0,3.0,0.0,0.0,3.0,5.0,0.0,17.0,547.42,0.0,210.0,0.0,0.0,0.0,39.0,11.0,13.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.58,6.75,0.0,2.0,0.0,15.0,1.0,13.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,61.17,0.0,32.0,0.0,0.0,4673.67,5.0,0.0,0.0,873.67,24.25,312.0,0.0,23417.34,169.5,1.0,13165.58,1
sample_55,1522291.84,907.0,128788.17,320.33,17.0,0.0,0.0,0.0,72.25,0.0,2.0,0.0,293.92,1.0,322.5,31.0,3.0,0.0,8.33,11.0,0.0,2305.34,12.0,0.0,14528.92,1.0,63774.58,12.0,1044.0,15.0,21.0,142.0,2243.0,612820.66,484254.5,0.0,134380.5,0.0,4.0,0.0,1252.25,0.0,5.0,2350.5,3.5,12.0,0.5,1252.25,1.0,0.0,0.0,1.67,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,6.5,0.0,44.0,783.75,0.0,260.0,0.0,1.0,0.0,50.5,7.0,21.0,2.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,1.0,7.83,0.0,1.0,0.0,11.33,0.0,15.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,86.67,2.0,64.0,0.0,2.0,6535.25,7.33,2.0,0.0,1280.0,24.5,308.0,0.0,25982.16,203.0,1.0,19514.58,1
