,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1225-3p,hsa-miR-125a-3p,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1279,hsa-miR-1290,hsa-miR-1294,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-1299,hsa-miR-1469,hsa-miR-147b,hsa-miR-148a-5p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-2117,hsa-miR-212-3p,hsa-miR-214-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3134,hsa-miR-3184-5p,hsa-miR-3188,hsa-miR-3191-5p,hsa-miR-3606-5p,hsa-miR-3614-3p,hsa-miR-3620-5p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3671,hsa-miR-3689f,hsa-miR-369-3p,hsa-miR-378e,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3914,hsa-miR-3918,hsa-miR-3920,hsa-miR-3925-5p,hsa-miR-3927-3p,hsa-miR-3938,hsa-miR-3973,hsa-miR-411-3p,hsa-miR-423-3p,hsa-miR-4256,hsa-miR-4258,hsa-miR-4282,hsa-miR-4299,hsa-miR-4306,hsa-miR-4315,hsa-miR-4318,hsa-miR-4464,hsa-miR-4480,hsa-miR-4489,hsa-miR-4496,hsa-miR-449b-3p,hsa-miR-4500,hsa-miR-4510,hsa-miR-4512,hsa-miR-4646-3p,hsa-miR-466,hsa-miR-4662a-3p,hsa-miR-4665-3p,hsa-miR-4694-5p,hsa-miR-4704-3p,hsa-miR-4710,hsa-miR-4718,hsa-miR-4746-5p,hsa-miR-4758-3p,hsa-miR-4758-5p,hsa-miR-4792,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-508-5p,hsa-miR-510-3p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-520a-5p,hsa-miR-520b,hsa-miR-525-3p,hsa-miR-545-3p,hsa-miR-548ai,hsa-miR-548aj-3p,hsa-miR-548ap-5p,hsa-miR-548at-3p,hsa-miR-548f-3p,hsa-miR-548h-3p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-550b-3p,hsa-miR-5586-3p,hsa-miR-561-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-6087,hsa-miR-633,hsa-miR-635,hsa-miR-638,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6721-5p,hsa-miR-6791-3p,hsa-miR-6799-3p,hsa-miR-6810-3p,hsa-miR-6829-5p,hsa-miR-6844,hsa-miR-6845-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6871-3p,hsa-miR-6874-3p,hsa-miR-6883-3p,hsa-miR-6884-5p,hsa-miR-6889-5p,hsa-miR-7156-5p,hsa-miR-7157-5p,hsa-miR-7159-3p,hsa-miR-7159-5p,hsa-miR-762,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-8079,hsa-miR-8081,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-887-5p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Disese Group
sample_30,1666436.36,558.25,170163.0,495.5,8.0,105.5,2.5,435.17,539.83,28.0,0.0,0.0,40.25,29.33,36.0,0.0,0.0,16.0,20.0,3.0,1283.84,9636.5,48875.92,10.66,2416.0,16.0,0.0,209.0,21.75,3694.0,38.0,939717.16,312831.5,12.25,96358.67,29867.08,3.0,3124.71,6.0,5.5,0.0,0.0,0.0,5.0,10.0,0.0,0.0,1618.0,0.5,0.0,14.08,16.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,43.0,3124.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.58,0.0,0.0,18.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,2.0,0.0,3665.42,602.0,107.0,16.0,27.0,4.0,4.0,3.0,4.0,1.0,0.33,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,8.0,5.34,5.34,8.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,15.08,3.0,22.0,1.0,5.0,0.0,6.0,1.0,7.0,56.67,3.0,30.0,60.5,2.0,1.0,6.0,5.0,0.0,0.0,0.0,8969.33,10.33,0.0,0.0,843.83,60.25,540.0,26.0,45076.66,383.0,13559.33,0
sample_31,1427316.47,1174.5,134636.83,245.5,9.0,47.0,0.0,348.83,302.0,26.0,0.0,0.0,41.0,23.83,16.0,0.0,0.0,20.0,18.0,8.0,1749.5,14831.0,56916.75,56.0,1126.67,11.5,0.0,140.0,5.5,3832.0,115.0,570902.48,452170.33,7.0,112473.34,20810.92,0.0,1293.87,7.0,2.0,0.0,2.0,0.0,8.0,30.0,0.0,0.0,1488.0,0.0,1.0,5.75,11.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,82.0,1293.87,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,1.0,0.0,8.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2281.83,182.0,67.5,14.0,16.0,3.0,1.0,12.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,6.0,0.0,10.5,2.08,2.08,4.0,2.5,17.0,7.0,0.0,0.0,0.0,0.0,9.0,12.0,1.0,10.0,2.0,1.0,2.0,2.0,0.0,1.5,53.67,1.0,41.0,36.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,6503.75,7.67,0.0,0.0,1330.42,14.75,368.0,23.0,28221.66,225.0,12944.33,0
sample_32,694334.55,467.75,64745.75,214.5,13.0,17.0,0.0,145.17,213.67,24.5,0.0,0.0,12.5,0.5,4.0,0.0,0.0,10.0,6.0,3.5,1008.84,8812.83,41984.83,9.0,602.5,8.0,0.0,84.0,2.0,2064.0,65.0,359765.48,270564.25,4.0,63475.66,12307.5,0.0,822.25,6.0,2.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,833.75,0.0,0.0,5.08,14.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,820.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.25,82.0,36.0,9.0,9.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,10.83,1.66,1.66,2.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,22.0,24.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3265.17,3.67,0.0,0.0,546.17,9.0,214.0,7.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,581.5,84306.08,155.5,32.0,94.0,0.0,273.83,187.5,34.0,0.0,0.0,18.0,4.67,8.0,0.0,0.0,11.0,8.0,3.0,990.16,6194.83,63788.92,13.0,722.5,15.5,0.0,57.5,0.0,1761.5,187.0,357101.16,276555.33,3.5,66189.66,9074.0,0.0,1366.0,1.0,4.5,0.0,0.0,0.0,12.0,8.0,0.0,0.0,926.5,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,1366.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.67,1.5,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,397.5,156.0,16.0,6.0,4.0,0.0,0.0,10.0,2.0,1.0,0.67,0.0,0.5,0.0,0.0,0.0,1.0,6.0,0.0,12.0,3.0,3.0,4.0,2.5,9.5,9.0,0.0,0.0,0.0,0.0,6.0,3.33,3.0,5.0,0.0,2.0,0.0,2.5,0.0,2.5,68.17,0.0,54.0,22.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,3694.83,8.33,0.0,0.0,704.58,20.0,182.0,26.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,312.5,87267.5,108.0,11.0,17.5,1.0,300.42,235.0,20.0,0.0,0.0,11.0,3.67,17.0,0.0,0.0,13.0,10.0,7.0,1039.5,6658.75,54646.0,12.0,569.0,11.0,0.0,101.0,2.0,1858.5,133.0,391132.32,329310.17,4.5,54513.0,6910.5,0.0,3123.0,0.0,2.5,0.0,0.0,0.0,5.0,8.0,0.0,0.0,2216.0,1.0,0.33,12.33,23.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,38.0,3123.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1786.42,128.5,32.5,17.5,12.0,1.0,1.0,6.0,6.0,1.0,1.67,0.0,3.0,0.33,0.0,0.0,1.0,1.0,0.0,7.0,3.16,3.16,4.0,0.0,8.5,16.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,118.33,0.0,50.0,24.5,2.0,0.0,2.0,3.0,0.0,0.0,0.0,4172.0,8.33,0.0,0.0,675.0,4.0,214.0,15.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,1171.25,82160.42,282.67,13.0,66.08,0.0,289.67,259.0,29.0,0.0,0.0,20.0,4.08,11.0,0.0,0.0,18.0,19.0,4.5,2416.16,12640.08,64480.33,6.0,1050.83,13.5,1.0,156.0,1.0,2916.58,149.0,404816.66,360357.83,4.5,126423.84,9703.0,0.0,1085.08,2.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1633.0,0.0,0.33,6.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.5,1085.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.83,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1035.5,210.0,44.0,18.0,11.0,2.0,0.0,7.0,4.0,2.0,0.67,0.0,8.0,0.0,0.0,0.0,3.0,4.0,0.0,11.0,2.34,2.34,4.0,0.5,16.5,5.5,0.0,0.0,0.0,0.0,13.0,5.0,3.0,11.0,0.0,6.0,0.0,5.0,0.0,2.83,140.67,2.0,33.0,29.83,0.0,1.0,3.0,2.0,0.0,0.0,0.0,5050.33,8.33,0.0,0.0,1079.5,18.0,297.0,12.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,1405.25,105970.83,228.5,7.0,96.5,1.0,387.17,238.5,37.0,0.0,0.0,23.5,7.0,6.0,0.0,0.0,28.0,17.0,8.5,2212.0,15167.25,58104.92,9.0,1120.5,19.0,0.0,102.0,2.75,1487.0,282.0,411492.66,361609.92,7.5,144325.84,12226.0,0.0,1272.88,9.0,3.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,1592.33,0.0,0.0,3.25,55.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,22.0,1272.88,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,402.92,169.0,51.0,19.0,14.0,8.0,0.0,7.5,2.0,2.0,0.67,0.0,11.0,0.67,0.0,0.0,2.0,4.0,0.0,10.33,3.5,3.5,5.0,2.5,19.5,13.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,8.0,0.0,4.0,1.0,3.0,0.0,1.75,136.17,3.0,54.0,52.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,5479.33,5.33,0.0,0.0,1166.33,16.25,293.0,22.0,24333.84,174.0,19516.92,0
sample_37,1672968.6,603.75,244416.25,407.5,17.0,16.0,2.0,354.5,473.0,12.33,0.0,0.0,31.5,3.58,39.0,0.0,0.0,15.0,53.0,8.5,1159.84,11484.92,40491.83,97.0,1538.0,9.5,0.0,150.5,6.75,2971.0,475.0,957376.32,329443.17,13.5,89330.34,49333.33,0.0,2379.58,7.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2243.83,0.25,0.0,10.42,12.0,0.0,0.0,0.0,4.5,0.0,2.0,0.0,20.5,2379.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,3.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2083.0,560.0,102.75,15.5,25.0,10.0,0.0,3.5,5.5,2.5,0.33,0.0,6.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.92,0.92,4.0,0.5,10.5,7.0,0.33,0.0,0.0,0.0,20.0,14.92,3.0,11.0,2.0,1.0,0.0,5.0,0.0,2.0,49.67,1.0,20.0,44.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,5900.83,11.0,0.0,0.0,541.0,8.0,450.0,24.0,32970.66,316.0,12870.83,0
sample_38,1971327.19,554.25,245438.83,383.5,32.0,48.5,0.0,385.17,603.83,18.0,0.0,0.0,28.0,7.33,35.0,0.0,0.0,5.5,30.0,5.5,849.0,10304.33,46535.25,337.5,2290.83,13.0,0.0,209.5,21.12,3650.33,122.0,1073443.82,310049.83,14.5,74905.5,30070.25,2.0,3968.87,31.0,4.5,0.0,0.0,0.0,6.0,7.0,0.0,0.0,1750.0,0.0,0.0,16.5,16.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,30.0,3968.87,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.0,0.0,14.83,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4606.33,375.0,117.25,27.0,21.0,4.0,1.0,2.0,2.0,1.0,0.25,0.0,4.0,0.67,0.0,0.0,1.0,6.0,0.0,8.0,3.16,3.16,6.5,0.5,10.5,7.0,0.0,0.0,0.0,0.0,10.0,6.25,4.0,15.0,1.0,3.0,0.5,1.0,0.0,3.5,130.33,0.0,39.0,83.5,5.0,1.0,7.0,1.0,0.0,0.0,0.0,5659.33,16.33,0.0,0.0,562.5,45.25,324.0,20.0,71566.16,443.75,12968.67,0
sample_39,1665552.5,500.5,246570.5,299.5,29.0,19.0,0.0,202.0,442.0,13.0,0.0,0.0,17.0,3.33,53.0,0.0,0.0,11.0,94.0,11.0,667.5,7581.5,40677.33,57.0,1520.5,7.0,0.0,121.0,3.5,4792.75,518.0,842892.98,392996.25,8.0,62701.16,40383.83,0.0,2720.83,5.0,1.5,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1646.25,0.33,0.0,13.25,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,38.0,2720.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,2.83,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3614.92,356.0,74.75,22.0,27.0,4.0,0.0,6.0,6.0,4.0,1.0,0.0,6.83,0.5,0.0,0.0,1.0,3.0,0.0,2.0,1.34,1.34,3.0,2.0,13.0,12.0,0.0,0.0,0.0,0.0,7.0,15.33,2.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,40.33,1.0,29.0,52.0,7.0,0.0,9.0,3.0,0.0,0.0,0.0,7953.58,8.67,0.0,0.0,503.5,20.83,386.0,14.0,53491.0,359.0,12428.67,0
sample_40,994403.21,776.5,83164.17,225.83,221.0,34.0,0.0,192.5,205.0,19.0,0.0,0.0,19.0,1.67,22.0,0.0,0.0,20.0,12.0,3.0,1646.66,9979.0,47465.92,3.0,724.0,13.0,0.0,63.0,0.5,1692.5,116.0,362781.0,309952.5,4.5,98775.0,18732.83,0.0,791.25,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,1441.5,0.0,0.0,3.75,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.5,791.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,454.67,147.0,35.0,5.5,6.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.16,1.16,4.0,0.5,10.5,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,3.0,2.0,2.0,0.0,4.0,0.0,2.0,53.67,2.0,27.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4288.5,7.67,0.0,0.0,725.5,12.0,211.0,8.0,17461.16,137.5,12546.17,0
sample_41,1278626.4,1018.5,98027.42,193.0,31.0,193.5,2.0,458.5,248.83,25.0,0.0,0.0,20.5,8.17,6.0,0.0,0.0,13.0,9.0,4.5,2256.66,9690.25,59583.92,75.0,1624.17,12.0,0.0,126.5,0.5,1783.5,153.0,490505.32,320475.33,6.0,91859.84,14219.0,0.0,2031.0,0.0,5.0,0.0,0.0,2.0,7.0,16.0,0.0,0.0,1642.83,0.5,0.0,2.5,44.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,35.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.92,1.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,575.83,195.0,45.5,19.0,19.0,3.0,0.0,7.0,2.0,3.0,0.67,0.0,3.0,0.25,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,12.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,14.0,5.33,2.0,14.0,3.0,3.0,0.0,7.0,0.0,4.5,136.83,0.0,39.0,39.0,2.0,0.0,3.0,7.5,0.0,0.0,0.0,4931.83,14.0,0.0,0.0,1054.17,41.5,515.0,17.0,23051.66,161.0,17329.67,1
sample_42,1473476.69,1134.5,115119.67,224.5,16.5,111.0,0.0,505.42,307.83,31.0,0.0,0.0,18.0,6.75,6.0,0.0,0.0,23.0,19.0,8.0,4022.66,13341.0,74609.25,17.0,1450.67,17.5,0.0,174.0,1.75,2015.83,110.0,609860.14,421321.08,9.5,132917.5,16550.0,0.0,1665.58,8.0,5.5,0.0,0.0,0.0,9.0,13.0,0.0,0.0,1855.0,0.0,0.33,4.33,35.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,218.5,1664.58,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,11.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,942.42,243.0,44.83,20.0,14.33,1.0,0.0,5.0,3.0,4.0,0.92,1.0,5.25,0.0,0.0,0.0,2.0,2.0,0.0,4.5,2.5,2.5,13.0,0.5,18.5,14.0,0.0,0.0,0.0,0.0,10.0,9.33,4.0,16.0,1.0,1.0,0.0,4.0,0.0,1.0,163.17,1.0,35.0,30.5,5.0,1.0,4.0,3.0,0.0,0.0,0.0,6724.33,15.33,0.0,0.0,1536.5,26.33,533.0,26.0,22959.5,250.0,23785.0,1
sample_43,1288680.22,832.75,92052.42,232.33,12.0,139.5,1.0,385.0,264.0,16.0,0.0,0.0,19.0,5.42,6.0,0.0,0.0,14.0,4.0,8.0,2307.84,9898.83,66674.75,271.0,1009.67,20.0,0.0,73.5,2.5,1589.0,101.0,474958.48,386260.67,9.5,108196.0,13580.0,0.0,1218.67,0.0,1.5,0.0,0.0,1.0,2.0,5.0,0.0,0.0,1175.0,0.0,1.0,4.5,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,1218.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,1.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,328.17,289.0,36.5,14.5,15.0,1.0,0.0,13.5,11.5,6.0,0.67,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,2.16,2.16,8.0,2.5,12.5,10.0,0.0,0.0,0.0,0.0,12.0,9.0,2.0,14.0,1.0,4.0,0.0,5.0,0.0,1.0,153.33,0.5,60.0,28.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,5549.25,5.67,0.0,0.0,1175.17,19.5,319.0,29.0,16219.66,122.0,19936.08,1
sample_44,1134429.83,406.0,113001.58,378.0,26.0,57.0,0.0,215.42,488.33,16.0,0.0,0.0,12.0,2.92,25.0,0.0,0.0,9.0,28.0,14.5,839.84,6210.17,43090.58,7.0,1633.83,14.5,0.0,138.0,8.75,4906.08,58.0,837761.98,410805.42,11.75,53443.84,16493.33,1.0,2381.21,9.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1754.5,0.0,0.33,21.67,13.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,66.0,2380.21,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2470.83,469.5,74.08,11.0,36.0,3.0,0.0,2.0,0.0,0.0,0.33,0.0,1.5,0.0,0.0,0.0,1.0,6.0,0.0,3.0,1.58,1.58,0.0,1.0,11.0,13.0,0.0,0.0,0.0,0.0,4.0,9.67,1.0,5.0,0.0,2.0,0.0,3.0,0.0,5.0,58.83,0.0,24.0,56.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,9020.17,6.67,0.5,0.0,651.17,34.58,272.0,14.0,52934.66,398.0,10093.33,1
sample_46,1104152.52,1471.75,84586.67,216.5,162.0,152.25,0.0,390.08,243.83,24.0,0.0,0.0,32.0,5.83,5.0,0.0,0.0,18.5,13.0,5.0,2722.0,10929.0,62306.58,18.0,1436.0,4.0,0.0,146.0,1.0,1836.0,113.0,482796.98,396716.42,7.0,131275.0,16218.33,0.0,1260.5,10.0,2.5,0.0,0.0,0.0,9.0,6.0,0.0,0.0,1707.5,0.0,0.0,3.5,44.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.5,1260.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.67,1.0,0.0,13.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,382.67,232.0,42.83,16.0,12.33,3.5,1.0,11.0,8.0,6.0,1.33,0.0,4.0,0.33,0.0,0.0,1.0,7.0,0.0,7.0,2.5,2.5,12.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,10.0,2.33,3.0,5.0,0.0,4.0,1.0,5.0,0.0,2.25,1.0,1.0,52.0,33.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5964.0,5.0,0.0,0.0,1413.67,27.0,445.0,28.0,17707.16,175.0,17242.25,1
sample_47,1268156.49,801.0,103398.58,377.0,6.0,50.75,1.0,382.5,362.83,14.0,0.0,0.0,30.0,6.92,12.0,0.0,0.0,23.0,14.0,2.0,2235.5,12841.75,62941.58,13.5,1008.08,10.0,0.0,118.5,6.0,2199.0,105.0,589243.32,395553.17,8.5,110661.5,16682.33,0.0,1012.67,2.0,2.25,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1681.0,0.25,0.0,4.5,14.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,55.5,1012.67,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,518.25,235.0,58.0,9.5,17.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,2.0,2.0,0.0,10.5,1.84,1.84,9.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,5.0,17.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,44.0,20.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,6124.67,3.67,0.0,0.0,1127.08,14.0,404.5,9.0,16788.0,212.0,15612.33,1
sample_48,1476603.36,930.0,97773.33,357.0,37.0,51.5,1.0,369.17,487.17,22.0,0.0,0.0,24.0,5.83,13.0,0.0,0.0,14.0,9.0,4.0,2228.5,13941.17,75057.92,46.5,1389.83,13.33,0.0,87.0,4.0,2204.0,64.0,739304.32,404798.5,4.5,115364.84,16835.25,0.0,1423.83,12.0,5.0,0.0,2.0,0.0,6.0,9.0,0.0,0.0,1241.75,0.33,0.33,5.33,15.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,35.5,1423.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,3.0,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,584.17,215.0,77.5,11.0,21.0,0.0,1.0,9.0,8.0,1.0,0.58,0.0,5.5,0.25,0.0,0.0,0.0,5.0,0.0,7.83,2.24,2.24,10.0,1.5,10.5,11.0,0.0,0.0,0.0,0.0,7.0,11.67,7.0,8.0,1.0,2.0,1.0,1.0,0.0,2.33,76.0,0.0,32.0,38.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,5306.33,5.67,0.0,0.0,1164.42,27.25,447.0,16.0,23338.0,229.0,17069.25,1
sample_49,1496229.11,1996.75,133960.42,480.0,8.0,72.75,1.0,515.33,352.0,45.5,0.0,0.0,72.75,7.75,11.0,0.0,0.0,19.0,8.0,8.0,4715.84,23031.92,98125.08,50.0,1126.0,13.5,0.0,89.0,2.0,4428.25,182.0,784251.64,593074.83,16.0,243959.0,21966.75,0.0,881.75,1.0,2.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,2368.5,0.0,0.0,1.75,39.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,61.0,881.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.0,9.67,0.0,4.0,0.0,1.0,0.0,0.5,0.0,3.0,0.0,1.0,0.0,398.25,386.0,81.67,12.5,27.67,0.0,0.0,21.33,12.0,4.0,2.17,0.0,3.83,0.0,0.0,0.0,1.0,4.0,0.0,9.0,2.66,2.66,18.0,2.5,15.5,20.0,0.0,0.0,0.0,0.0,24.0,12.58,3.0,7.0,1.0,4.0,0.5,5.0,0.0,1.5,90.83,3.0,58.0,41.0,10.0,0.0,6.0,4.0,0.0,0.0,0.0,6590.67,5.67,0.0,0.0,1542.67,22.83,540.0,35.0,16050.0,210.5,23485.33,1
