,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10b-3p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-193a-3p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23a-5p,hsa-miR-26a-5p,hsa-miR-30c-5p,hsa-miR-3159,hsa-miR-3621,hsa-miR-369-3p,hsa-miR-383-3p,hsa-miR-3927-3p,hsa-miR-3938,hsa-miR-4304,hsa-miR-4314,hsa-miR-4316,hsa-miR-4321,hsa-miR-4455,hsa-miR-4476,hsa-miR-4490,hsa-miR-4500,hsa-miR-4659a-5p,hsa-miR-4679,hsa-miR-4687-3p,hsa-miR-4740-3p,hsa-miR-4742-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-518c-3p,hsa-miR-525-3p,hsa-miR-527,hsa-miR-548as-5p,hsa-miR-548b-5p,hsa-miR-5580-3p,hsa-miR-5584-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5693,hsa-miR-5694,hsa-miR-620,hsa-miR-649,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6764-5p,hsa-miR-6791-5p,hsa-miR-6801-5p,hsa-miR-6829-3p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6891-3p,hsa-miR-711,hsa-miR-7156-5p,hsa-miR-7157-5p,hsa-miR-7704,hsa-miR-8082,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_21,1080106.31,119319.67,1.0,389.0,11.0,10.0,1119.5,6606.83,1.0,55.0,1301.58,15.0,110.5,4370.83,2.0,730758.82,62845.16,3.0,0.0,1387.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,1.0,1.0,2.0,14.0,2462.17,0.0,615.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,2.0,41.0,43.5,1.0,0.0,3.0,1.0,5.33,0.0,25.33,378.33,30132.16,286.5,8025.5,0
sample_22,1234320.06,135104.58,1.0,500.17,18.0,6.0,1777.66,8450.25,4.0,23.5,2168.5,13.0,183.5,4553.0,4.0,984850.64,79757.16,2.0,0.0,1723.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.33,0.5,1.0,1.0,12.0,31.0,2809.0,0.0,581.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,7.0,25.0,4.0,0.0,18.0,0.0,1.0,0.0,5.83,2.0,1.0,49.5,1.0,0.0,4.0,3.0,6.67,0.0,19.5,540.33,41207.16,340.0,11690.17,0
sample_23,1036532.48,78018.17,0.0,238.0,13.0,5.0,1529.5,8631.08,1.0,6.0,1224.0,13.0,108.5,1423.5,1.0,483931.48,86062.34,2.0,0.0,1439.5,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,2.0,15.0,727.67,0.0,215.0,11.5,2.0,0.0,0.0,0.0,2.0,1.0,6.5,7.0,0.0,0.0,0.0,0.0,8.0,16.33,1.0,0.0,20.0,0.0,0.0,0.0,4.0,1.0,52.67,29.0,0.0,0.0,0.0,3.0,4.33,0.0,24.83,298.0,20490.16,167.0,12603.25,0
sample_24,1478345.87,123298.08,4.0,365.0,6.0,10.0,2936.0,13138.42,1.0,14.0,1469.25,11.0,244.0,2977.33,2.0,619079.32,126725.59,3.0,0.0,1914.5,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,3.0,11.0,936.17,0.0,271.0,11.5,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,10.0,12.5,4.0,0.0,20.0,0.0,0.0,0.0,3.33,0.0,141.08,42.0,0.0,0.0,3.0,5.0,4.67,0.0,26.0,484.0,21633.84,256.5,19701.42,0
sample_25,1858171.88,144758.33,0.0,576.0,11.0,11.0,7244.0,31526.92,5.0,6.0,2607.83,24.5,341.5,5968.0,6.0,944099.46,292987.41,2.0,0.0,3617.0,82.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,37.17,0.5,1.0,0.0,16.0,29.0,1230.92,0.0,350.0,24.5,0.0,0.25,0.0,0.0,7.0,0.0,28.5,10.0,1.0,1.0,0.0,0.0,19.0,20.0,5.0,0.0,30.0,0.0,1.0,1.0,6.25,0.0,272.67,82.5,0.0,0.0,6.0,4.0,10.67,0.0,43.17,809.0,46088.34,425.0,36399.25,0
sample_26,979381.07,80560.33,0.0,174.0,6.0,7.0,6058.66,15481.58,3.0,8.5,922.0,9.0,124.5,1838.0,0.0,491347.98,166237.25,2.0,0.0,2963.5,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08,0.5,0.0,0.5,4.0,15.0,404.25,0.0,336.0,16.5,0.0,1.0,0.0,0.0,6.0,0.0,20.5,15.0,0.0,0.0,0.0,0.0,7.0,6.33,2.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,125.92,39.5,0.0,0.0,1.0,5.0,3.0,0.0,14.75,342.0,16076.66,185.0,19040.58,0
sample_27,885663.77,73136.42,0.0,199.5,7.0,3.0,2459.34,16047.42,2.0,4.0,1644.33,8.0,118.5,1844.5,2.0,384780.16,129844.41,0.0,0.0,1659.5,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,0.0,0.0,1.5,7.0,12.5,856.08,0.0,181.0,4.0,0.0,0.67,0.0,0.0,2.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,6.0,7.33,4.0,0.0,23.0,0.0,0.0,1.0,2.0,1.0,109.83,37.0,0.0,0.0,5.0,5.0,9.67,0.0,37.0,424.0,22516.34,234.0,16431.17,0
sample_28,918971.09,96025.33,2.0,188.5,5.0,7.0,2485.5,18775.0,5.0,179.5,1255.5,5.0,130.0,1397.0,2.0,355511.16,129408.16,1.0,0.0,1846.25,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,14.92,0.25,2.0,0.0,8.0,11.0,545.83,0.0,189.0,7.5,0.0,0.33,0.0,0.0,1.0,0.0,18.5,5.0,0.0,0.0,0.0,0.0,10.0,3.33,1.0,0.0,23.0,0.0,0.0,0.0,3.75,0.0,109.17,35.0,0.0,0.0,3.0,6.0,3.33,0.0,32.75,331.0,19804.66,202.0,14972.17,0
sample_29,876441.95,62264.92,2.0,233.0,2.0,1.0,3017.66,16894.33,1.0,9.0,1863.75,13.5,180.0,1706.5,2.0,420312.66,142587.34,1.0,0.0,1625.5,40.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,0.0,1.0,0.0,2.0,14.0,415.33,0.0,260.0,4.0,0.0,0.33,0.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,5.0,7.33,3.58,0.0,17.5,0.0,0.0,2.0,5.08,0.0,107.33,35.0,1.0,0.0,3.0,3.0,3.33,0.0,52.5,379.0,18811.5,199.0,18037.83,0
sample_30,1666436.36,170163.0,2.0,539.83,36.0,3.0,1283.84,9636.5,4.0,10.66,2416.0,16.0,209.0,3694.0,0.0,939717.16,96358.67,8.0,0.0,1618.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.58,0.0,1.0,0.0,6.0,13.0,3665.42,0.0,602.0,3.0,0.0,0.33,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,5.0,15.08,3.33,0.0,17.0,1.0,0.0,1.0,7.0,2.0,56.67,60.5,0.0,0.0,6.0,5.0,10.33,0.0,60.25,540.0,45076.66,383.0,13559.33,0
