,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-1184,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-1343-5p,hsa-miR-1469,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-302f,hsa-miR-30c-5p,hsa-miR-3138,hsa-miR-3168,hsa-miR-3682-5p,hsa-miR-3689b-3p,hsa-miR-378f,hsa-miR-4291,hsa-miR-4458,hsa-miR-4537,hsa-miR-4662a-3p,hsa-miR-4666b,hsa-miR-4747-3p,hsa-miR-4773,hsa-miR-4777-3p,hsa-miR-484,hsa-miR-5007-5p,hsa-miR-5089-3p,hsa-miR-5100,hsa-miR-515-3p,hsa-miR-518c-3p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-5692a,hsa-miR-579-5p,hsa-miR-593-3p,hsa-miR-6072,hsa-miR-619-5p,hsa-miR-631,hsa-miR-6500-5p,hsa-miR-6502-3p,hsa-miR-665,hsa-miR-6740-5p,hsa-miR-675-5p,hsa-miR-6778-3p,hsa-miR-6787-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-7702,hsa-miR-7974,hsa-miR-8067,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_21,1080106.31,119319.67,0.0,389.0,11.0,0.0,0.0,10.0,1119.5,6606.83,2.5,1301.58,4370.83,730758.82,0.0,62845.16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2462.17,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,2.0,0.0,3.0,41.0,0.0,0.0,0.0,25.33,378.33,30132.16,286.5,8025.5,0
sample_22,1234320.06,135104.58,0.0,500.17,18.0,0.0,0.0,6.0,1777.66,8450.25,1.0,2168.5,4553.0,984850.64,0.0,79757.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2809.0,0.0,2.0,0.0,0.0,1.0,0.0,3.33,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0,5.83,1.0,0.0,0.0,0.0,19.5,540.33,41207.16,340.0,11690.17,0
sample_23,1036532.48,78018.17,0.0,238.0,13.0,0.0,0.0,5.0,1529.5,8631.08,2.0,1224.0,1423.5,483931.48,0.0,86062.34,2.0,0.33,0.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,727.67,0.0,0.0,0.5,6.0,11.5,0.25,1.83,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33,1.0,0.0,3.0,0.0,4.0,52.67,0.0,0.0,0.0,24.83,298.0,20490.16,167.0,12603.25,0
sample_24,1478345.87,123298.08,0.0,365.0,6.0,0.0,0.0,10.0,2936.0,13138.42,1.5,1469.25,2977.33,619079.32,0.0,126725.59,7.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.17,0.0,0.0,0.0,1.0,11.5,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,0.0,0.0,0.0,3.33,141.08,0.0,0.0,0.0,26.0,484.0,21633.84,256.5,19701.42,0
sample_25,1858171.88,144758.33,0.0,576.0,11.0,0.0,0.0,11.0,7244.0,31526.92,4.0,2607.83,5968.0,944099.46,0.0,292987.41,3.5,0.0,2.0,0.0,0.67,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1230.92,0.0,3.0,0.0,1.0,24.5,1.83,19.17,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,2.33,0.0,6.25,272.67,0.0,0.0,0.0,43.17,809.0,46088.34,425.0,36399.25,0
sample_26,979381.07,80560.33,0.0,174.0,6.0,1.0,0.0,7.0,6058.66,15481.58,1.5,922.0,1838.0,491347.98,0.0,166237.25,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,404.25,0.0,1.0,0.0,1.0,16.5,1.0,14.17,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,1.0,2.0,0.0,1.0,2.0,125.92,0.0,0.0,0.0,14.75,342.0,16076.66,185.0,19040.58,0
sample_27,885663.77,73136.42,0.0,199.5,7.0,2.0,0.0,3.0,2459.34,16047.42,0.0,1644.33,1844.5,384780.16,0.0,129844.41,5.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,856.08,0.0,1.0,0.0,0.0,4.0,1.33,10.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,4.0,0.0,3.0,0.0,2.0,109.83,0.0,0.0,0.0,37.0,424.0,22516.34,234.0,16431.17,0
sample_28,918971.09,96025.33,0.0,188.5,5.0,0.0,0.0,7.0,2485.5,18775.0,1.0,1255.5,1397.0,355511.16,0.0,129408.16,2.5,1.83,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,545.83,0.0,0.0,0.0,1.0,7.5,0.33,16.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.0,0.0,0.0,0.0,3.75,109.17,0.0,0.0,0.0,32.75,331.0,19804.66,202.0,14972.17,0
sample_29,876441.95,62264.92,0.0,233.0,2.0,0.0,0.0,1.0,3017.66,16894.33,2.5,1863.75,1706.5,420312.66,0.0,142587.34,6.0,1.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,415.33,0.0,0.0,0.25,0.0,4.0,0.0,8.5,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,4.0,0.0,5.08,107.33,0.0,0.0,0.0,52.5,379.0,18811.5,199.0,18037.83,0
sample_30,1666436.36,170163.0,0.0,539.83,36.0,0.0,0.0,3.0,1283.84,9636.5,1.5,2416.0,3694.0,939717.16,0.0,96358.67,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3665.42,0.0,0.0,0.0,0.0,3.0,0.33,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08,1.0,0.0,1.0,0.0,7.0,56.67,0.0,0.0,0.0,60.25,540.0,45076.66,383.0,13559.33,0
