,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1181,hsa-miR-1193,hsa-miR-1271-5p,hsa-miR-1273a,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-153-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-18b-3p,hsa-miR-1915-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3201,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3685,hsa-miR-369-3p,hsa-miR-371b-3p,hsa-miR-378e,hsa-miR-3938,hsa-miR-3960,hsa-miR-4313,hsa-miR-4469,hsa-miR-4474-5p,hsa-miR-4477b,hsa-miR-4537,hsa-miR-4639-3p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4747-5p,hsa-miR-4752,hsa-miR-4797-3p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-518d-3p,hsa-miR-518f-3p,hsa-miR-545-3p,hsa-miR-548as-5p,hsa-miR-548f-3p,hsa-miR-563,hsa-miR-5680,hsa-miR-5700,hsa-miR-579-5p,hsa-miR-599,hsa-miR-6075,hsa-miR-6084,hsa-miR-6087,hsa-miR-6501-3p,hsa-miR-665,hsa-miR-6727-5p,hsa-miR-676-5p,hsa-miR-6772-5p,hsa-miR-6799-3p,hsa-miR-6810-3p,hsa-miR-6811-3p,hsa-miR-6846-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-7151-5p,hsa-miR-7157-5p,hsa-miR-7162-3p,hsa-miR-8085,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_21,1080106.31,119319.67,31.0,0.0,1.0,389.0,0.0,11.0,9.0,1119.5,0.0,6606.83,0.0,0.0,55.0,1301.58,4370.83,730758.82,13.5,62845.16,2.0,0.0,3.0,12.0,0.0,1387.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.33,0.0,7.0,5.0,2.0,0.0,0.0,2.5,2462.17,24.0,0.0,3.0,4.0,0.0,3.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,41.0,43.5,1.0,1.0,0.0,0.0,25.33,378.33,30132.16,286.5,8025.5,0
sample_22,1234320.06,135104.58,24.0,0.0,0.0,500.17,0.0,18.0,9.0,1777.66,0.0,8450.25,3.0,0.0,23.5,2168.5,4553.0,984850.64,13.25,79757.16,3.0,0.0,7.5,9.0,0.0,1723.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,3.0,1.0,12.0,0.0,0.0,2.5,2809.0,29.25,0.0,0.0,3.33,0.0,4.66,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.67,0.0,25.0,0.0,1.0,0.0,0.0,3.5,0.0,1.0,5.83,1.0,49.5,0.0,3.0,0.0,0.0,19.5,540.33,41207.16,340.0,11690.17,0
sample_23,1036532.48,78018.17,62.0,0.0,2.0,238.0,0.0,13.0,16.0,1529.5,0.0,8631.08,0.0,0.0,6.0,1224.0,1423.5,483931.48,3.83,86062.34,1.5,0.0,7.0,1.0,0.0,1439.5,0.5,0.0,2.0,0.0,0.0,1.0,0.0,1.33,0.0,5.0,1.0,2.0,0.0,0.0,2.0,727.67,17.0,0.0,8.5,1.83,0.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16.33,0.0,2.0,0.0,0.0,2.0,0.0,3.0,4.0,52.67,29.0,1.0,3.0,0.0,0.0,24.83,298.0,20490.16,167.0,12603.25,0
sample_24,1478345.87,123298.08,11.0,0.0,0.0,365.0,0.0,6.0,11.0,2936.0,0.0,13138.42,1.0,0.0,14.0,1469.25,2977.33,619079.32,5.25,126725.59,2.5,0.0,1.0,2.0,1.5,1914.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.33,0.0,1.0,0.0,3.0,0.0,0.0,1.0,936.17,21.0,0.0,8.5,4.0,0.0,4.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1.0,3.0,3.0,0.0,2.0,3.33,141.08,42.0,0.0,5.0,0.0,0.0,26.0,484.0,21633.84,256.5,19701.42,0
sample_25,1858171.88,144758.33,6.0,0.0,2.0,576.0,0.0,11.0,49.5,7244.0,0.0,31526.92,0.0,1.0,6.0,2607.83,5968.0,944099.46,12.5,292987.41,8.0,0.0,12.0,5.0,4.0,3617.0,0.0,0.75,9.0,0.0,0.0,4.0,1.0,5.92,0.0,9.0,4.0,16.0,0.5,0.0,3.5,1230.92,29.33,0.0,6.0,19.17,0.0,9.0,0.0,10.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,4.0,2.0,11.0,0.0,3.0,6.25,272.67,82.5,0.0,4.0,0.0,0.0,43.17,809.0,46088.34,425.0,36399.25,0
sample_26,979381.07,80560.33,67.0,0.0,2.0,174.0,0.0,6.0,23.0,6058.66,0.0,15481.58,0.0,0.0,8.5,922.0,1838.0,491347.98,6.5,166237.25,2.0,0.0,3.0,2.0,1.0,2963.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.67,0.0,3.0,2.0,4.0,0.0,0.0,2.5,404.25,23.0,1.0,2.0,14.17,0.0,4.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,125.92,39.5,0.0,5.0,0.0,0.0,14.75,342.0,16076.66,185.0,19040.58,0
sample_27,885663.77,73136.42,9.0,0.0,2.0,199.5,0.0,7.0,17.0,2459.34,0.0,16047.42,0.0,0.0,4.0,1644.33,1844.5,384780.16,3.5,129844.41,2.5,0.0,3.0,5.0,0.0,1659.5,0.5,0.0,4.0,0.0,0.0,2.0,0.0,0.33,0.0,6.0,2.0,7.0,0.0,0.0,2.5,856.08,8.0,0.0,5.0,10.5,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,109.83,37.0,0.0,5.0,0.0,0.0,37.0,424.0,22516.34,234.0,16431.17,0
sample_28,918971.09,96025.33,12.5,0.0,2.0,188.5,0.0,5.0,5.0,2485.5,0.0,18775.0,0.0,0.0,179.5,1255.5,1397.0,355511.16,5.0,129408.16,5.0,0.0,6.0,8.0,1.0,1846.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.33,0.0,5.0,1.0,8.0,0.0,0.0,1.5,545.83,6.0,1.5,7.0,16.0,0.0,5.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.33,0.0,1.0,1.0,3.0,5.5,0.0,1.0,3.75,109.17,35.0,0.0,6.0,0.0,0.0,32.75,331.0,19804.66,202.0,14972.17,0
sample_29,876441.95,62264.92,10.0,0.0,2.0,233.0,0.0,2.0,21.0,3017.66,0.0,16894.33,4.0,0.0,9.0,1863.75,1706.5,420312.66,7.0,142587.34,3.5,0.0,0.0,7.0,1.0,1625.5,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.67,0.0,4.0,0.0,2.0,0.0,0.0,1.0,415.33,21.0,0.0,4.0,8.5,0.0,6.0,0.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.08,107.33,35.0,0.0,3.0,0.0,0.0,52.5,379.0,18811.5,199.0,18037.83,0
sample_30,1666436.36,170163.0,8.0,0.0,2.0,539.83,0.0,36.0,16.0,1283.84,0.0,9636.5,3.0,0.0,10.66,2416.0,3694.0,939717.16,12.25,96358.67,5.5,0.0,5.0,10.0,0.0,1618.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,1.67,0.0,1.0,3.0,6.0,0.0,0.0,2.0,3665.42,27.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,15.08,1.0,0.0,2.0,1.0,5.0,0.0,4.0,7.0,56.67,60.5,0.0,5.0,0.0,0.0,60.25,540.0,45076.66,383.0,13559.33,0
