,AC093525.7,AC253536.3,LINC01772,AC010531.3,AC138028.4,AC007878.1,AL355916.2,AC006059.1,AC022395.1,AP005131.4,AL034550.1,ILF3-DT,AC138207.7,ACTA2-AS1,STARD4-AS1,WAC-AS1,AC008507.2,AP001350.1,AC131971.1,AC009951.5,AP005131.1,AL450326.1,AC006441.1,Diagnosis
RNA31_FPKM,0.412823265,0.149092238,0.743202118,1.296875082,4.913094874,0.669409931,0.252268589,0.272221302,0.243787804,0.0,0.253039346,17.86529133,0.871412347,0.070081469,0.040244664,5.647658149,0.0,0.327423616,0.056135944,0.129182405,0.05258099,1.203675937,0.570930882,1
RNA314_FPKM,0.495580591,0.338921445,0.524611945,1.659225889,3.947050863,0.585629933,0.617922699,0.15479652,0.0,0.0,0.767315842,16.54956897,0.0,0.338760283,0.061018906,4.28186851,0.0,0.682612236,0.127610099,0.146909101,0.279036602,1.244463608,0.0,1
RNA319_FPKM,0.592975124,0.688124129,0.567953907,1.347155235,4.037259894,1.236265705,0.286701869,0.161583034,0.112566479,0.203153707,0.623033765,16.41923377,0.229878272,0.080904607,0.080513312,4.38929316,0.0,0.251950961,0.155423771,0.238445164,0.080921657,0.909329784,0.351392874,0
RNA32_FPKM,1.31637927,1.247470411,1.562886579,1.550714782,3.557274863,3.201854578,0.696127853,1.464764182,0.182203042,0.0,0.907652005,6.569251092,1.339737839,0.146668455,0.320806077,5.487023387,0.169095567,0.391509381,0.201271647,0.154391605,0.125745057,0.654252767,0.910306428,1
RNA328_FPKM,0.680262059,0.57041567,0.735616686,4.187793925,5.390785566,1.182415121,1.030453317,0.204640199,0.116633178,0.0,0.968357211,11.15476102,0.357392011,0.067065306,0.051335452,3.501079441,0.0,0.365455502,0.322132325,0.0,0.033531752,1.046963222,0.5463109,0
RNA331_FPKM,0.923788162,0.625278583,1.053764777,0.816211067,4.954904382,0.950615142,1.042170161,0.195799054,0.153432128,0.061528797,0.21233077,25.44347922,0.208903159,0.26467527,0.16884483,5.104519182,0.0,0.36631469,0.706336501,0.21668837,0.117653022,1.469114705,0.479080409,0
RNA334_FPKM,0.53294543,0.371033792,0.659321105,1.210741847,2.730668105,0.982895031,0.370398001,0.16136762,0.025279977,0.0,0.0,20.84729901,0.206658382,0.058174378,0.111326609,4.784596724,0.0,0.452867001,0.186299324,0.107125864,0.043632636,0.817250747,0.315898854,0
RNA335_FPKM,0.820218017,0.161590061,0.972094002,0.527110797,6.545729295,0.781286697,1.14615825,0.316074666,0.0,0.039756285,0.548399344,20.1339811,0.0,0.284840149,0.087227795,4.233407127,0.076672835,0.177432965,0.364859483,0.140011264,0.151941483,1.77875177,0.41244985,1
RNA336_FPKM,0.54123934,0.140652432,0.70153161,2.295276932,3.318689236,1.409578994,0.393823718,0.385439689,0.143822776,0.0,0.796130538,13.4593972,0.587563406,0.066162726,0.063310324,3.631787734,0.0,0.10299745,0.211881443,0.243739308,0.09925741,0.929606123,0.538957074,0
RNA35_FPKM,0.775889573,0.530755259,0.912621358,1.443281845,7.423715545,0.733477845,0.457811452,0.467386174,0.0,0.032645661,1.276477767,15.68093355,0.0,0.156005813,0.107480235,3.928074863,0.062959489,0.145748737,0.199839025,0.0,0.031207738,1.168954322,0.338857477,0
RNA358_FPKM,1.859312264,1.066087334,1.09989379,1.35290519,9.296447953,1.350575647,1.052631493,1.344478611,0.145309444,0.174845447,1.206646516,16.9490457,0.593636936,0.10444861,0.087957887,2.8755882,0.084322814,0.780678127,0.334489273,0.307961583,0.229839797,1.695943546,0.680516804,0
RNA365_FPKM,1.641083005,1.066500203,0.855746578,3.093146686,7.794351692,1.351016324,0.995114828,0.997092494,0.109033916,0.34984239,1.408163106,12.40328313,0.296909322,0.188065706,0.039994272,3.928873648,0.084369158,0.780914301,0.468437524,0.0,0.18810534,1.826906345,1.815657988,0
RNA368_FPKM,0.883634084,0.546866466,0.681755973,2.527960366,4.506916541,0.56684487,0.284814494,0.178359898,0.055896778,0.100902512,0.618968536,9.271369831,0.0,0.112515463,0.024610976,3.993502824,0.0,0.200230635,0.154417609,0.0,0.064310113,1.003743793,0.872897206,0
RNA37_FPKM,1.301807945,1.720605604,1.183453867,2.963183423,6.28779052,1.981574312,1.213488408,1.328139709,0.087937899,0.141107867,1.217120136,9.481361645,0.598800671,0.168580195,0.148410818,3.826000411,0.067998474,0.892451952,0.70179766,0.496945097,0.185468453,2.421244393,0.732340143,0
RNA379_FPKM,1.963950098,1.196343604,1.097270116,3.90409416,7.598897268,1.240124027,1.60978718,0.676399506,0.122308489,0.294338506,1.128438055,12.79353045,0.333053204,0.187560131,0.116665933,3.526385214,0.0,1.168189478,0.525546597,0.0,0.234486812,1.756895491,0.25469182,1
RNA38_FPKM,0.923475389,0.533463577,0.779661814,3.62635429,3.145871585,0.967583328,0.312546835,0.626335966,0.027259536,0.0,0.603743978,7.354878448,0.445617779,0.17246506,0.036007357,2.41091331,0.0,0.58593454,0.150625919,0.346626727,0.094089615,0.685395116,0.170231749,0
RNA383_FPKM,2.188381541,0.725519389,0.648755709,3.156645763,5.134684511,1.604374784,0.765199586,0.719392779,0.059344448,0.0,0.903339573,16.21027482,0.0,0.187672317,0.104486865,3.780423168,0.0,0.531285852,0.382449945,0.125679844,0.187711869,1.171964235,0.555809655,0
RNA385_FPKM,2.164774263,0.570296237,1.01334697,3.6185128,5.576782878,1.313602248,0.940571563,0.632420738,0.07774547,0.093548231,0.968231137,12.99845687,0.71457777,0.100576896,0.098382649,4.997537617,0.045114572,0.870015997,0.357889802,0.0,0.078246583,1.465511252,0.728204349,1
RNA386_FPKM,1.167155766,0.158069989,1.059668579,2.921730578,4.826635543,0.87351767,0.246890276,0.103072869,0.12921935,0.116632653,0.44710209,26.67766503,0.659944103,0.111471916,0.028440972,4.9274196,0.075002597,0.404962247,0.356980914,0.0,0.092906778,1.276168916,0.605315463,0
RNA39_FPKM,1.638333108,0.591415329,0.686525725,2.734244714,8.362696371,2.196841517,1.068543361,0.983848155,0.120926989,0.254655687,0.669476232,7.988769049,0.741039865,0.208620589,0.186324412,3.011786961,0.0,0.920385524,0.334017969,0.128174638,0.10432342,1.954115721,0.37758553,1
RNA392_FPKM,1.995682383,0.656558075,0.846828616,2.678322474,5.163311673,1.92842479,0.726720838,0.449755976,0.033577771,0.201937012,1.114772808,14.45817642,0.274221112,0.115808445,0.088649568,4.328546995,0.077919845,0.480844215,0.432640247,0.142288412,0.019311641,1.928438377,0.628863707,0
RNA409_FPKM,1.740852785,0.955944013,0.958934957,2.946210437,5.734331534,0.990921351,0.549770379,0.914629197,0.260637895,0.039211653,0.901680697,13.40546954,0.0,0.206065991,0.129069924,3.18241553,0.075622473,0.641725194,0.239973285,0.138093211,0.131158859,1.52074414,1.424139101,0
RNA41_FPKM,0.103499182,0.0,0.323812643,2.340933199,1.342456416,0.418256341,0.061294748,0.105289376,0.055011618,0.0,0.0,10.55990469,0.0,0.015810077,0.084746514,4.311300772,0.0,0.0,0.101300071,0.0,0.063265744,0.592529817,0.34353937,0
RNA418_FPKM,0.803846516,1.129459675,0.704008927,1.996313379,5.123640501,0.926791603,0.47793236,0.497294867,0.115456524,0.104184939,0.798925486,10.84509494,0.353729703,0.132793615,0.127071365,3.533109766,0.0,0.620288289,0.744195799,0.122343807,0.099612155,0.725590904,0.360592272,0
RNA431_FPKM,1.733410714,0.197572593,1.325273253,6.663429714,3.705517012,1.024145459,0.656139319,0.5672017,0.121231449,0.0,0.782887177,15.84807677,0.330076368,0.139396786,0.097823114,2.636594033,0.0,0.651192763,0.074389681,0.171188676,0.139426164,0.870496245,0.504556096,1
RNA44_FPKM,1.131106079,0.144094805,1.040857299,3.605539804,3.269071796,1.792613146,0.797532502,0.582876649,0.058926274,0.177295769,0.815632462,14.43734105,0.120366619,0.203334052,0.103776539,4.53980142,0.341927554,0.211090487,0.379835767,0.249704662,0.18643172,0.105795923,0.73615996,1
