Model Name,Feature Count,CV Score (Mean +/- Std)
Naive Bayes,102,0.7586 +/- 0.0218
Naive Bayes,126,0.7586 +/- 0.0218
ANN,37,0.7586 +/- 0.0218
Naive Bayes,105,0.7586 +/- 0.0218
ANN,75,0.7517 +/- 0.0703
Random Forest,9,0.7517 +/- 0.0632
Random Forest,33,0.7517 +/- 0.0632
Random Forest,27,0.7517 +/- 0.0593
Random Forest,47,0.7517 +/- 0.0593
Random Forest,143,0.7517 +/- 0.0593
SVM(linear),19,0.7517 +/- 0.0593
Random Forest,49,0.7517 +/- 0.0507
Random Forest,117,0.7517 +/- 0.0507
Random Forest,57,0.7517 +/- 0.0507
Random Forest,10,0.7517 +/- 0.0507
Random Forest,17,0.7517 +/- 0.0507
ANN,17,0.7517 +/- 0.0507
Random Forest,36,0.7517 +/- 0.0457
Random Forest,64,0.7517 +/- 0.0402
Random Forest,128,0.7517 +/- 0.0402
ANN,18,0.7517 +/- 0.0402
Random Forest,73,0.7517 +/- 0.0402
ANN,59,0.7517 +/- 0.0402
SVM(linear),45,0.7517 +/- 0.0338
SVM(linear),46,0.7517 +/- 0.0338
ANN,19,0.7517 +/- 0.0258
Naive Bayes,122,0.7517 +/- 0.0258
Naive Bayes,103,0.7517 +/- 0.0258
Naive Bayes,76,0.7517 +/- 0.0258
Naive Bayes,123,0.7517 +/- 0.0258
Naive Bayes,77,0.7517 +/- 0.0258
Naive Bayes,106,0.7517 +/- 0.0258
Naive Bayes,104,0.7517 +/- 0.0258
Naive Bayes,127,0.7517 +/- 0.0258
Logistic Regression,9,0.7517 +/- 0.0258
Naive Bayes,75,0.7517 +/- 0.0258
Logistic Regression,10,0.7517 +/- 0.0258
Naive Bayes,141,0.7517 +/- 0.0258
ANN,64,0.7517 +/- 0.0138
Random Forest,95,0.7517 +/- 0.0138
Logistic Regression,78,0.7448 +/- 0.0941
SVM(linear),20,0.7448 +/- 0.0710
Logistic Regression,62,0.7448 +/- 0.0710
ANN,82,0.7448 +/- 0.0676
SVM(linear),22,0.7448 +/- 0.0640
Logistic Regression,57,0.7448 +/- 0.0640
Random Forest,94,0.7448 +/- 0.0560
Naive Bayes,5,0.7448 +/- 0.0516
Random Forest,93,0.7448 +/- 0.0516
Random Forest,112,0.7448 +/- 0.0468
Random Forest,89,0.7448 +/- 0.0468
Random Forest,106,0.7448 +/- 0.0468
Random Forest,137,0.7448 +/- 0.0468
Random Forest,129,0.7448 +/- 0.0352
Naive Bayes,110,0.7448 +/- 0.0352
Naive Bayes,109,0.7448 +/- 0.0352
Random Forest,135,0.7448 +/- 0.0352
Naive Bayes,133,0.7448 +/- 0.0352
Naive Bayes,128,0.7448 +/- 0.0352
Naive Bayes,132,0.7448 +/- 0.0352
Naive Bayes,134,0.7448 +/- 0.0352
Naive Bayes,108,0.7448 +/- 0.0352
Naive Bayes,131,0.7448 +/- 0.0352
Naive Bayes,135,0.7448 +/- 0.0352
Naive Bayes,129,0.7448 +/- 0.0352
Naive Bayes,78,0.7448 +/- 0.0352
Naive Bayes,130,0.7448 +/- 0.0352
Naive Bayes,89,0.7448 +/- 0.0276
Random Forest,136,0.7448 +/- 0.0276
Naive Bayes,80,0.7448 +/- 0.0276
SVM(linear),42,0.7448 +/- 0.0276
SVM(linear),44,0.7448 +/- 0.0276
Naive Bayes,142,0.7448 +/- 0.0276
Random Forest,122,0.7448 +/- 0.0276
SVM(linear),43,0.7448 +/- 0.0276
ANN,66,0.7448 +/- 0.0276
SVM(linear),47,0.7448 +/- 0.0276
