,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,AC016629.1,TUBBP1,CCDC144CP,CBX3P2,AC091167.1,AL356235.1,CHP1P2,CSNK1A1P1,AP001992.1,AC135983.2,CICP18,RPL13AP7,CAP2P1,GLDCP1,AC007161.1,DENND10P1,RTEL1P1,PLEKHA8P1,AC079416.2,TMEM14EP,UPF3AP2,AL590396.1,ANP32BP1,RPS4XP16,AL391825.1,AC021148.1,AC006122.1,SMPD4BP,RPSAP36,RPL6P27,VN1R105P,AL049840.7,CYP2F2P,TSPY26P,Diagnosis
RNA185_FPKM,0.213611944,45.14376941,0.207903023,30.01207957,0.462359774,0.295509957,0.065903756,0.781828262,0.246224133,0.14322842,1.585255472,0.243498358,7.751743164,0.243199188,0.092839524,2.197874363,0.215968391,0.140424636,30.69813693,1.27508754,1.472010516,8.506441021,0.171544663,0.083198022,0.205419654,0.39550575,1.262175928,0.0,1.102142814,1.574073136,7.197329642,0.06175595,1.754269527,2.66346234,0.435024135,0.548582407,0.068713196,0.821598439,1.171387047,0.132766553,3.014609871,0.169014687,0.0,0.133543892,7.749098849,0.356434765,1.650705249,0.099821719,0.187121,0.799036368,0.0,1.616895317,0.477908397,2.789899716,0.099808996,0.064612326,10.71388134,0.036765323,11.34556958,0.172110195,0.250994034,0.266060221,1.037037425,1
RNA2_FPKM,0.218083793,43.33962966,0.106119975,24.49224376,0.269750627,0.150837198,0.033645371,0.63307901,0.377127213,0.073121375,1.895386467,0.162548998,4.12933693,0.0,0.189569577,1.122220683,0.264568279,0.0,32.36693045,2.103012607,0.989714513,6.419360434,0.087529789,0.148649147,0.438545555,0.605634203,1.387829575,0.038624793,0.971841726,1.205181631,7.670217398,0.054046455,1.384028204,2.719371373,0.71064304,0.139955687,0.0,1.631096526,1.378413485,0.022581152,3.506472977,0.517621175,0.149270945,0.136339561,5.659738687,0.33084841,1.046070925,0.152856051,0.095529538,0.729899125,0.0,0.94333147,0.487946633,1.709093242,0.142662258,0.0,9.86375301,0.112596781,186.1313809,0.17573236,0.384344783,0.349268657,1.887430363,0
RNA201_FPKM,0.106466207,54.65958854,0.0,48.69386388,0.027445691,0.163664333,0.041058817,0.571159931,0.153421821,0.029754793,0.77983332,0.070030656,6.813598726,0.20209234,0.154253877,0.0,0.035892848,0.0,22.71984413,1.847089056,0.86501106,9.586895927,0.213748693,0.155518277,0.108604543,0.328481877,1.250301666,0.094322164,1.415156202,0.327003685,6.96167558,0.029321272,1.093083203,1.438354768,0.216861598,0.113964507,0.0,0.530919275,1.204127361,0.073531023,2.663101096,0.140397523,0.0,0.0,4.364362809,0.0,0.945802207,0.0,0.0,1.222858688,0.083966108,2.494777943,0.305413805,1.112606466,0.165824982,0.0,11.3260435,0.0,14.58214883,0.142943762,0.104284829,0.189468502,1.086340884,1
RNA205_FPKM,0.225866124,42.84781428,0.0,30.6812393,0.244429483,0.0,0.0,0.399078078,0.358000152,0.0,0.793976927,0.168340171,10.33449245,0.257150686,0.065443605,0.290535161,0.182686202,0.049493438,34.69355159,1.797642745,1.366615948,5.584316576,0.090692794,0.065978104,0.473911237,0.836389101,1.026596239,0.0,1.536178553,0.41609307,4.416100417,0.027989585,1.138208776,2.252873553,0.4293185,0.290026343,0.0,1.158304952,0.860700301,0.070191456,4.196251827,0.059570159,0.061839075,0.028240969,6.659188103,0.137046312,0.641980771,0.15832222,0.0,0.311247209,0.213683925,1.628219993,0.427583281,2.438624343,0.105534694,0.0,8.496309712,0.077748846,267.4048584,0.0,0.132696348,0.160781594,0.17480852,0
RNA209_FPKM,0.0,42.28478087,0.076667783,17.73499837,0.877070148,0.163485324,0.01823532,0.49222901,0.44278268,0.118857643,1.223302477,0.217628472,7.334520558,0.538103072,0.068487283,3.344190123,0.430129617,0.569691683,43.44139274,2.062136065,0.516478284,4.2725814,0.0,0.023020578,0.413288619,0.218869889,0.752037105,0.0,0.831547234,4.354258652,1.133593307,0.039055115,1.05882552,2.06298614,0.513474371,0.303448668,0.0,0.707103381,1.208302913,0.146901195,3.166893698,0.249362692,0.064700967,0.059095904,9.281262065,0.268923717,1.217709802,0.0,0.258787846,0.884128198,0.0,1.064960686,0.732230043,3.74577039,0.088354357,0.071511944,9.34123674,0.162729644,167.8206582,0.476055884,0.0,0.46266708,0.232828378,0
RNA213_FPKM,0.128398402,42.62715157,0.0,25.81936578,0.330879054,0.148021554,0.033011329,0.391662666,0.185026943,0.035871707,1.400233567,0.178286591,13.50736541,0.0,0.155011705,0.550536307,0.649116655,0.046892662,33.66643423,2.849930031,1.187093656,5.276798672,0.08592708,0.020837032,0.430350557,0.396219312,0.875513185,0.037917556,1.254870591,2.75959782,5.842691919,0.008839597,0.998657196,3.335650907,0.435869813,0.137393036,0.022945722,0.75460544,0.795692502,0.17734145,4.702723177,0.338639239,0.26365303,0.053513932,10.90462284,0.373362277,1.292689177,0.250004537,0.421781848,1.011230564,0.101227644,1.504306689,0.810332611,2.198985948,0.039995628,0.129457795,11.69702551,0.220989926,231.1878491,0.0,0.377170306,0.380832154,0.210824774,0
RNA219_FPKM,0.088995608,31.43223047,0.216542853,26.02388301,0.275207,0.205193647,0.0,0.435272631,0.224430551,0.111885425,0.478001716,0.204862333,12.05308976,0.0,0.032232553,0.286191139,0.314920751,0.146260265,33.1768125,2.417957844,0.972341283,5.917314621,0.178673548,0.064991613,0.369598144,0.205970895,1.061905744,0.078844345,1.095875858,0.409871731,3.940002356,0.0,2.865519393,1.248435835,0.936481004,0.428534893,0.0,0.784482368,1.261502102,0.09218929,3.338863161,0.058679478,0.0,0.0,6.953133625,0.151889152,1.126509909,0.0,0.048724298,1.095119154,0.0,0.962412679,0.306345444,2.867317083,0.062374057,0.067297421,9.774523194,0.153172722,8.282580716,0.179262581,0.130712299,0.475132861,0.814066031,0
RNA23_FPKM,0.0,32.95252491,0.141418381,14.75102493,0.808786689,0.150772282,0.016805725,0.866553801,0.251262217,0.182662621,1.809161948,0.248461723,3.553754245,1.73706046,0.363121049,5.887387061,1.454341938,0.047745136,44.39446021,2.535492802,0.842620646,6.143924501,0.174978339,0.360770192,0.762235965,3.228338789,0.941196583,0.0,0.562341016,1.204662956,6.915300164,0.126036264,1.627319451,6.658408322,1.124520402,0.279781478,0.0,1.327413341,2.957797837,0.090309562,5.801794637,0.057465908,0.0,0.163492757,10.33564107,0.347176766,1.91670969,0.050909887,0.381846523,0.472040284,0.0,1.57131534,0.975299749,2.087695938,0.22404767,0.329606561,7.464248283,0.112548323,268.8938551,0.52677007,0.128008993,0.19392386,1.242224264,1
RNA246_FPKM,0.423327108,40.236113,0.093647331,22.08312278,0.119017555,0.08873919,0.044528291,0.667904729,0.332746165,0.0,1.202660488,0.345922379,8.70402389,0.219092099,0.292715896,3.217732985,0.311260685,0.042168354,40.79123753,1.502185208,0.87329457,0.586416018,0.07727016,0.056213272,0.336486404,0.178150646,0.612276228,0.0,0.6318628,4.962821892,3.880943871,0.031796127,1.580397139,2.15951051,0.339649593,0.247102122,0.0,1.028034368,0.626023505,0.259127974,0.103139848,0.050753709,0.026343411,0.024061274,7.138001776,0.481676266,1.196512668,0.314744163,0.084286327,0.606174473,0.0,0.797671993,0.927325405,2.748018838,0.089915442,0.058207637,9.302597661,0.165604826,136.5874948,0.310099586,0.226114282,0.171232174,0.907184346,1
RNA253_FPKM,0.176991218,42.676167,0.035878348,28.5935809,0.273696519,0.050996897,0.0,0.67025685,0.286957356,0.0,1.145209549,0.455968465,7.797196743,0.0,0.272466698,0.569314988,0.223714622,0.484820429,37.15174325,2.032100789,0.929797527,7.417244666,0.266527752,0.064632095,0.290173906,0.204760267,1.558938674,0.196034127,0.934126056,2.445626507,7.346837951,0.036554919,1.817216139,3.034946544,0.06009436,0.426164339,0.0,1.158439844,1.04890007,0.091671349,2.29270303,0.175064631,0.181732515,0.027655207,10.16187538,0.201398583,1.061352487,0.0,0.096926387,0.784124073,0.0,0.757723073,0.342732165,2.196456794,0.103388888,0.06690187,9.567668061,0.380800271,175.9911793,0.980521191,0.129944016,0.393740087,1.556903835,1
