,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,Diagnosis
RNA219_FPKM,0.088995608,31.43223047,0.216542853,26.02388301,0.275207,0.205193647,0.0,0.435272631,0.224430551,0.111885425,0.478001716,0.204862333,12.05308976,0.0,0.032232553,0.286191139,0.314920751,0.146260265,33.1768125,2.417957844,0.972341283,5.917314621,0.178673548,0.064991613,0.369598144,0.205970895,1.061905744,0.078844345,1.095875858,0
RNA23_FPKM,0.0,32.95252491,0.141418381,14.75102493,0.808786689,0.150772282,0.016805725,0.866553801,0.251262217,0.182662621,1.809161948,0.248461723,3.553754245,1.73706046,0.363121049,5.887387061,1.454341938,0.047745136,44.39446021,2.535492802,0.842620646,6.143924501,0.174978339,0.360770192,0.762235965,3.228338789,0.941196583,0.0,0.562341016,1
RNA246_FPKM,0.423327108,40.236113,0.093647331,22.08312278,0.119017555,0.08873919,0.044528291,0.667904729,0.332746165,0.0,1.202660488,0.345922379,8.70402389,0.219092099,0.292715896,3.217732985,0.311260685,0.042168354,40.79123753,1.502185208,0.87329457,0.586416018,0.07727016,0.056213272,0.336486404,0.178150646,0.612276228,0.0,0.6318628,1
RNA253_FPKM,0.176991218,42.676167,0.035878348,28.5935809,0.273696519,0.050996897,0.0,0.67025685,0.286957356,0.0,1.145209549,0.455968465,7.797196743,0.0,0.272466698,0.569314988,0.223714622,0.484820429,37.15174325,2.032100789,0.929797527,7.417244666,0.266527752,0.064632095,0.290173906,0.204760267,1.558938674,0.196034127,0.934126056,1
RNA26_FPKM,0.327186607,26.96159622,0.075819602,18.22423714,0.505890384,0.484959339,0.0180257,2.227097274,0.336777319,1.292781412,0.867259909,0.573838584,6.760671805,0.798225,0.253930498,3.607416841,0.708848455,0.153633264,36.41499782,3.219608734,2.121280192,7.122205601,0.375361008,0.136535697,0.531261602,14.27935833,0.53116026,0.165637796,0.657782341,0
RNA277_FPKM,0.106029725,42.03860805,0.128972202,47.31005325,0.040963598,0.061084711,0.020434397,0.886409908,0.534653334,0.0,0.879933542,0.127817355,37.63516289,0.90520862,0.057592803,0.0,0.107199385,0.0,27.49355504,2.312215875,1.915451141,10.13212276,0.0,0.129011037,0.67193915,0.736053473,1.566067442,0.0,0.994568501,0
RNA288_FPKM,0.041293698,40.4354451,0.334994374,18.7872094,0.063847615,0.333287005,0.047793172,0.677695338,0.446395805,0.0,1.512514873,0.271639152,2.932712924,0.470132597,0.194459856,1.062639629,0.208794066,0.0,42.02214238,3.635138274,2.776908561,6.078781971,0.082903996,0.040207887,0.884705765,0.191139768,1.314192347,0.073167084,0.339044363,0
RNA29_FPKM,0.0,29.89909622,0.195378329,7.384021727,0.496617488,0.0,0.185800557,0.39274343,0.752155686,0.0,0.941001373,0.510518382,6.018438578,0.0,0.058164398,1.807535185,0.487098758,0.0,56.17881864,2.673363578,1.585936107,3.851425916,0.0,0.078185927,0.456352031,1.300877596,1.186288943,0.0,0.75334617,0
RNA295_FPKM,0.0,40.1234621,0.029638251,26.87146811,0.169426966,0.042127325,0.028172476,0.622410978,0.315834822,0.122454301,0.980955434,0.280278412,11.71950816,0.208020022,0.039692991,0.46983782,0.295430289,0.240114367,36.25194545,2.376252399,0.859566261,5.894752495,0.073365221,0.142261651,0.718575676,0.67628171,1.369810304,0.0,1.199433152,0
RNA3_FPKM,0.0,39.24318875,0.083602473,25.9660431,0.119486998,0.237594004,0.099357303,0.585330972,0.371261997,0.0,1.132209925,0.429270327,5.284935441,0.0,0.149309947,0.662952944,0.0,0.0,34.76237585,1.932396878,1.169265425,9.582457106,0.10347294,0.100338504,0.315350581,0.238562612,0.936891864,0.0,0.966862813,0
RNA302_FPKM,0.122785642,34.12017265,0.132765387,17.16138346,0.189849078,0.0,0.031564251,0.503647195,0.294882837,0.0,1.278955488,0.260196701,9.148560216,0.0,0.029643329,0.78970555,0.496528861,0.0,38.85899623,2.380545189,1.066293906,4.634610876,0.082191889,0.01993126,0.268369403,0.189497967,1.162712241,0.0,0.959925704,0
RNA303_FPKM,0.0,40.65313068,0.13319624,31.76005242,0.126960566,0.047320129,0.0,0.621772619,0.118326848,0.034402838,2.224953205,0.098994922,43.07575994,0.467323016,0.029732861,0.0,0.124499182,0.0,35.01845503,2.576314511,1.552572273,7.904341233,0.164817099,0.0,0.26919152,1.140155335,1.632755805,0.10909474,0.67401218,1
RNA31_FPKM,0.0,46.46215961,0.257567897,24.25315916,0.105228509,0.052322936,0.122470744,0.186107254,0.130741609,0.038039995,0.797494491,0.169093087,3.698700429,0.0,0.246473101,1.750854704,0.18345651,0.0,42.91849412,3.05564346,0.533833337,6.410348677,0.364300824,0.198802227,0.932169815,0.210084518,0.876495538,0.080378601,1.915415432,1
RNA314_FPKM,0.206403212,45.1662295,0.125543198,34.35097023,0.039902767,0.297387291,0.0,0.341899361,0.371773719,0.0,1.058121145,0.124423041,13.29756418,1.1749599,0.168184723,0.995535533,0.208680137,0.113041343,29.16175447,1.855963495,1.084103841,7.200852349,0.310764104,0.025128675,0.496232495,0.0,0.996749102,0.0,0.665579685,1
