,SSPOP,NRADDP,Diagnosis
RNA53_FPKM,0.121015124,0.575097533,0
RNA535_FPKM,0.155993223,1.872816483,1
RNA58_FPKM,0.126220904,1.187747729,0
RNA6_FPKM,0.146822493,1.057611851,0
RNA60_FPKM,0.113337649,0.560309718,0
RNA62_FPKM,0.152732747,1.344692805,0
RNA63_FPKM,0.168822495,1.777933876,0
RNA64_FPKM,0.030037867,0.72129208,0
RNA66_FPKM,0.075314739,1.321560961,0
RNA67_FPKM,0.129403405,0.876371364,0
RNA69_FPKM,0.152451088,1.195295652,0
RNA7_FPKM,0.11866451,0.474873595,0
RNA72_FPKM,0.097643131,0.915854036,0
RNA74_FPKM,0.128287487,0.992551373,0
RNA75_FPKM,0.064993752,0.90512551,0
RNA78_FPKM,0.144211539,1.462065563,1
RNA86_FPKM,0.101933643,1.44631248,1
RNA87_FPKM,0.122016732,0.627828999,0
RNA89_FPKM,0.087170239,1.118730684,0
RNA94_FPKM,0.0,0.0,1
RNA95_FPKM,0.327413933,0.505966896,0
RNA97_FPKM,0.175753018,0.59631111,0
RNA98_FPKM,0.12339325,0.621244495,1
R_JS001_FPKM,0.241636179,1.294305105,1
R_JS002_FPKM,0.177510243,1.760512241,1
R_JS003_FPKM,0.460276168,1.573352142,1
R_JS004_FPKM,0.258269759,2.155388668,1
R_JS005_FPKM,0.247175273,2.017915965,1
R_JS006_FPKM,0.219618582,1.038668878,1
R_JS007_FPKM,0.21195987,2.035782417,1
R_JS008_FPKM,0.253607162,1.522372777,1
R_JS009_FPKM,0.354800113,0.746532166,1
R_JS010_FPKM,0.142965776,1.198251844,1
R_JS011_FPKM,0.271508458,1.314392269,1
R_JS012_FPKM,0.204955394,1.815218952,1
R_JS013_FPKM,0.300331133,0.917246184,1
R_JS014_FPKM,0.185838914,1.04994661,1
R_JS015_FPKM,0.359988905,2.107390448,1
R_JS016_FPKM,0.240481137,2.383593351,1
R_JS017_FPKM,0.413307021,1.984818519,1
R_JS018_FPKM,0.277358982,1.808820947,1
R_JS019_FPKM,0.196349944,1.55823032,1
R_JS020_FPKM,0.369219557,2.472128692,1
R_JS021_FPKM,0.330019187,2.07540904,1
R_JS022_FPKM,0.227027142,1.341873219,1
R_JS023_FPKM,0.451036178,1.324525785,1
R_JS024_FPKM,0.325524908,1.116598096,1
R_JS025_FPKM,0.351089103,1.232702945,1
R_JS026_FPKM,0.320270202,1.256307805,1
R_JS027_FPKM,0.211354212,1.582175836,1
R_JS028_FPKM,0.410830708,1.015462531,1
R_JS029_FPKM,0.443581502,1.495515404,1
R_JS030_FPKM,0.409786688,1.153062278,1
R_JS031_FPKM,0.29597519,1.883748789,1
R_JS032_FPKM,0.329217053,0.889301779,1
R_JS033_FPKM,0.166984989,1.309234557,1
R_JS034_FPKM,0.424772645,1.917192405,1
R_JS035_FPKM,0.235920703,1.86344453,1
R_JS036_FPKM,0.36798533,1.643884464,1
R_JS037_FPKM,0.184536007,1.520423444,1
R_JS038_FPKM,0.479677772,1.439713602,1
R_JS039_FPKM,0.148676706,3.123727381,1
R_JS040_FPKM,0.356968715,1.428546836,1
R_JS041_FPKM,0.405571681,2.195115386,1
