,SSPOP,NRADDP,LINC01529,MFSD13B,ZNF271P,GGNBP1,PRORSD1P,AL109809.1,TP73-AS1,AC113208.3,CMAHP,TEX21P,LINC02210,BX571818.1,C3orf86,AC015871.7,CRYZL2P,C22orf46,SMPD5,COL6A4P2,BPIFB9P,Diagnosis
RNA140_FPKM,0.118894649,1.06141795,0.051557824,0.122037589,1.304676882,0.050868253,1.471646113,1.046857344,0.25985808,0.149418719,1.467037036,0.208538716,0.28002915,0.425357108,3.795144908,30.84895874,0.714243696,0.554598677,0.187274042,0.065527996,0.044275617,1
RNA145_FPKM,0.125476721,1.156117726,0.1233727,0.0,1.069761591,0.0,1.658562737,1.036587467,0.121476339,0.204315478,0.754243047,0.085546887,0.134023033,0.388631785,12.11674175,121.2239216,0.611713951,0.434341799,0.388379299,0.250911751,0.0,0
RNA150_FPKM,0.168044033,1.163933729,0.072866277,0.0,0.996818705,0.080863721,1.534834938,1.683705219,0.171683587,0.113133813,1.310650712,0.300020376,0.293133711,0.409905007,6.671101987,65.40357456,0.425054709,0.217599416,1.091809347,0.191025641,0.140842733,1
RNA151_FPKM,0.055051774,1.287082699,0.081665486,0.038669821,1.338271614,0.072501011,0.78959144,0.926346378,0.156227777,0.426038309,1.290805503,0.028309769,0.1463815,0.220511871,5.06811601,64.0410793,0.7502987,0.318319531,0.118658535,0.186852803,0.0,0
RNA152_FPKM,0.178025017,1.169476391,0.085213493,0.044827654,1.285646952,0.056045771,1.883014584,1.034133076,0.243705991,0.329279815,1.559960389,0.213366906,0.154274238,0.34083598,6.325376494,76.03160159,0.441814173,0.694404176,0.240731153,0.324919058,0.195181446,0
RNA155_FPKM,0.134274176,1.537078662,0.193637577,0.0,1.255709941,0.078145029,2.139547275,1.109269417,0.141135673,0.284239334,1.108979166,0.045776544,0.107563669,0.099025941,7.873269446,83.15635553,0.53907719,0.468484178,0.159859055,0.167806437,0.226845843,0
RNA165_FPKM,0.14036325,1.053211958,0.138464944,0.140492381,1.241076378,0.146354097,1.775900405,1.16343928,0.274069567,1.056514763,1.061849125,0.257198114,0.278010457,0.267054024,4.451374772,41.11556115,0.533663245,0.887091799,0.251473859,0.339436098,0.101941346,0
RNA174_FPKM,0.23401319,1.577957118,0.2078149,0.128333869,0.999167486,0.160419564,1.297890181,1.973849069,0.32408752,0.314246344,1.172129628,0.266286359,0.342308516,0.589590272,3.662381143,46.09713041,0.737870796,0.965655397,0.328190141,0.292869261,0.186306317,1
RNA179_FPKM,0.216548523,1.339328288,0.10173151,0.0,1.202825563,0.082113696,1.047406765,2.369920288,0.212034523,0.528397746,0.992856267,0.09618821,0.192132243,0.166469302,7.264367151,86.50001104,0.647344174,0.333332495,0.470276703,0.211581023,0.047673283,0
RNA18_FPKM,0.0,0.197227932,0.0,0.219200553,1.544134279,0.0,2.097781149,0.817053035,0.052105961,0.0,4.363715039,0.43348336,0.184860603,0.437610873,0.699003857,202.1194675,1.16146498,0.163020102,0.0,0.335491695,0.0,1
RNA185_FPKM,0.147024439,1.051563573,0.105802809,0.083486288,1.197286346,0.078284044,2.070245812,0.444481905,0.210833312,0.35045463,1.722263677,0.290416888,0.13648569,0.436445204,4.091419584,34.15377591,0.655742103,0.502562987,0.224165258,0.218536901,0.136349632,1
RNA2_FPKM,0.373675691,1.111982638,0.081014912,0.127841761,0.954208105,0.079917076,1.765565764,1.172374763,0.168408999,0.178903143,1.543642286,0.327719123,0.132019074,0.162041737,1.962817412,50.17959893,0.853291394,0.203734531,1.504112872,0.34327831,0.0,0
RNA201_FPKM,0.184521047,0.499235089,0.183128345,0.034687491,1.351477901,0.021684016,1.618804715,0.27697555,0.289534662,0.27295984,1.534640654,0.304774105,0.131297672,0.280207472,1.638167189,24.22300934,1.324610461,0.721475765,0.133047044,0.223466114,0.151030929,1
RNA205_FPKM,0.188530347,1.826637529,0.158483523,0.044137804,0.854657927,0.027591643,1.879955406,0.783301671,0.180963811,0.393704104,1.049534127,0.129288469,0.125327148,0.356597966,7.349134815,77.51003997,0.598195328,0.390726695,0.474094049,0.248853575,0.04805718,0
RNA209_FPKM,0.13845631,1.080480821,0.058538828,0.092360975,0.78261355,0.202117896,0.80852773,1.639469424,0.192126929,0.339310727,1.112907082,0.152220378,0.218593032,0.131716071,7.22735654,76.50738458,0.455285031,0.498860785,0.389813573,0.316225315,0.0,0
RNA213_FPKM,0.14417225,1.542763862,0.194348436,0.0,1.12874297,0.052283521,1.195730651,0.853576105,0.228638161,0.416966207,1.192108962,0.168464338,0.212323537,0.357791428,5.235276434,64.26668285,0.347826861,0.47391435,0.064172944,0.235808732,0.091063754,0
RNA219_FPKM,0.127075178,1.408274545,0.119394006,0.043477865,0.905089268,0.108716394,1.014777706,1.466121748,0.18731527,0.296598089,0.938062097,0.0,0.213251979,0.0,7.342491797,95.44632859,0.348222716,0.461897104,0.10007911,0.140084971,0.047338639,0
RNA23_FPKM,0.191518181,1.111326807,0.080969338,0.042578684,1.386674116,0.079882682,1.590571895,1.322881859,0.218931798,0.156456914,1.750691548,0.655047946,0.465460285,0.263160434,2.489852342,81.60141449,0.892166532,0.312970209,0.294105805,0.480300296,0.185493639,1
RNA246_FPKM,0.146543673,1.015011235,0.158865836,0.075210721,0.864722676,0.094032197,1.579814337,3.336947118,0.198876988,0.295985794,0.870538042,0.082624621,0.200618878,0.232342007,7.904749913,63.03839723,0.47491905,0.296288231,0.288511629,0.151440733,0.122833992,1
RNA253_FPKM,0.178223345,0.933678033,0.191800345,0.043222317,1.020473765,0.027019349,2.094094875,1.458057153,0.236388056,0.2268824,1.286993257,0.237497401,0.152546794,0.53432315,5.872312351,60.40410604,0.586044745,0.666067225,0.663514845,0.191557382,0.09416992,1
RNA26_FPKM,0.229318554,0.410916786,0.125412673,0.182678358,1.06128582,0.085647601,2.744868699,1.864287085,0.408450378,0.407411063,1.481648448,0.986705612,0.632721874,6.316690773,1.267478454,53.77545583,0.379845,0.933997616,0.455537812,0.055180002,0.198899942,0
RNA277_FPKM,0.058216793,0.885316373,0.142217475,0.0,1.078103352,0.032364109,1.601603469,0.919163876,0.246201864,0.027167746,1.353899228,0.189645953,0.222819044,0.295364985,4.678820969,65.11395076,0.239291096,0.962835033,0.158937368,0.312855898,0.112798889,0
RNA288_FPKM,0.102829468,0.871434034,0.05966967,0.0,1.26013578,0.126139168,1.883806399,1.074349552,0.182255654,0.084713928,2.116360428,0.221673029,0.329896266,0.402803627,2.692720639,143.3581598,0.621553796,0.496606707,0.123865969,0.211284098,0.087859951,0
RNA29_FPKM,0.061738678,1.55306913,0.24860422,0.196142068,1.329443541,0.049045321,1.94572963,1.601387959,0.203981818,0.082341263,1.680459608,0.057460475,0.445596414,0.130516222,2.802936691,120.5689627,0.483379166,0.277846071,0.0,0.031598327,0.0,0
RNA295_FPKM,0.291550498,1.252381466,0.105549777,0.035704929,0.738664036,0.04461972,1.728528994,1.266886378,0.243903938,0.543131878,1.332127316,0.15683853,0.092134205,0.695495094,7.270824746,59.83194855,0.241872361,0.587711253,0.547688712,0.143735271,0.194306445,0
RNA3_FPKM,0.271671618,1.812024363,0.148886948,0.15101475,1.115126399,0.062959543,1.586418595,0.714856469,0.282732669,0.132096576,1.934686184,0.110621912,0.277272891,0.239293266,2.616207279,43.20611137,0.589347982,0.757742156,0.154508984,0.405534788,0.109658496,0
RNA302_FPKM,0.104891211,1.259298217,0.05912801,0.040000637,1.021216896,0.074997028,1.236695419,1.348487637,0.134262526,0.50361221,1.001337081,0.087864955,0.154846967,0.418137513,10.41329759,113.3252342,0.172451841,0.438994362,0.398874446,0.06441601,0.261249079,0
RNA303_FPKM,0.033065538,2.093206082,0.194876654,0.0,0.873843421,0.025071311,1.614960716,0.355940178,0.120371516,0.484111767,1.010711088,0.044059539,0.110449892,0.247844447,6.537087606,93.65931751,0.234757975,0.578828456,1.138724173,0.064625054,0.218376383,1
RNA31_FPKM,0.073089942,1.954384345,0.177918098,0.088647829,1.046228335,0.05541597,1.862417497,0.983443996,0.150154585,0.255886353,1.312494606,0.162326809,0.175472601,0.168557618,9.004595597,102.6251435,0.751048432,0.659327591,0.170061399,0.16068922,0.193039265,1
RNA314_FPKM,0.222912395,1.17934733,0.106496154,0.050431482,1.501010672,0.031525978,2.118028942,0.313181038,0.212705628,0.079364371,1.373538693,0.092298613,0.12146957,0.215653124,5.596547385,73.44757989,0.636712203,0.089263045,0.425481001,0.223336421,0.164670706,1
RNA319_FPKM,0.110436205,0.99441173,0.129697471,0.040927155,1.109753258,0.0,1.552542079,0.290591908,0.239599402,0.257763696,1.650310377,0.239824826,0.24656649,0.311280108,5.003367018,64.53709238,0.466550901,0.61606789,0.251252062,0.395665614,0.178290146,0
RNA32_FPKM,0.139039727,1.526214805,0.201551727,0.371049301,1.167638185,0.099395062,1.391883873,4.703967065,0.214198375,0.751028186,0.901586892,0.038816394,0.2235044,0.251931358,7.011307146,115.3099069,0.734795838,0.290956499,0.406696552,0.106747983,0.173119315,1
RNA328_FPKM,0.127144957,1.144880646,0.170223443,0.042406226,1.06261731,0.07955277,1.95518093,1.731358883,0.209197657,0.311603914,1.222378096,0.26403401,0.131391966,0.181438553,6.236211727,59.25285874,0.222109398,0.352966925,0.195255667,0.273313043,0.23090309,0
RNA331_FPKM,0.111512955,1.33879726,0.204302716,0.0,1.400197669,0.093025314,2.214005607,0.099034124,0.236528577,0.078089222,1.470447905,0.177077696,0.192059467,0.053042346,1.911020358,27.46844838,0.148960433,0.704763629,0.313955716,0.569309784,0.162024937,0
RNA334_FPKM,0.038598403,1.655048856,0.054400682,0.03677455,1.558410862,0.0460006,2.683330425,0.163237774,0.175987345,0.057912407,1.326770228,0.202079634,0.234261795,0.052454233,3.345406517,44.78654501,0.27198104,0.710020226,0.084677651,0.251874641,0.200281286,0
RNA335_FPKM,0.061205334,1.253539261,0.213114179,0.096077071,1.529231785,0.150166086,1.990346316,0.127912885,0.195558688,0.075638556,1.195420709,0.228696225,0.268710047,0.251170554,3.092137978,21.09298248,0.355169284,0.884669555,0.221154091,0.328916258,0.261548708,1
RNA336_FPKM,0.068992074,1.430681405,0.097226525,0.041835851,1.048355809,0.026152635,1.342920056,0.816939265,0.164116468,0.329364214,1.126889894,0.045973891,0.284457855,0.497221648,6.325449962,58.45707494,0.244907285,0.440843634,0.321057141,0.185373286,0.045550817,0
RNA35_FPKM,0.204080684,0.674670405,0.141719072,0.039467142,1.198909856,0.024671896,2.026511815,1.716092496,0.180581949,0.165684719,1.553823156,0.332392979,0.356581926,0.33763553,6.851331495,89.78858269,0.729422736,0.740711979,0.242258842,0.286098634,0.214858847,0
RNA358_FPKM,0.217839133,0.713256263,0.078148898,0.052859078,1.093788662,0.132139111,1.72694022,1.829066338,0.259096701,0.388244945,1.265104973,0.077405714,0.422936186,0.929394218,3.807255844,32.69619411,0.50467032,0.655034307,0.202745645,0.255421525,0.172597704,0
RNA365_FPKM,0.11093391,0.713509329,0.111674132,0.158610638,1.145321471,0.066089779,1.97425749,1.407442717,0.237188146,0.166463528,0.974108495,0.329104505,0.218359414,0.1758866,8.678295095,45.36770848,0.390841838,0.753532946,0.283936365,0.191618686,0.057584521,0
RNA368_FPKM,0.127998449,1.097651186,0.060128182,0.0,1.03356252,0.07625688,1.423703094,1.226941443,0.137741409,0.426785298,1.075903448,0.163800483,0.248445269,0.483188914,10.92555774,164.7470285,0.438433301,0.252008057,0.249612669,0.081892675,0.0,0
RNA37_FPKM,0.284459908,0.95931034,0.126124789,0.127922456,0.98072354,0.02664652,1.493127753,2.61137049,0.220486621,0.537117721,1.155234376,0.296723228,0.245879588,0.263507508,6.094288735,62.13265806,0.748824185,0.48328423,0.130892696,0.274824081,0.557224566,0
RNA379_FPKM,0.0800096,0.85387087,0.100231999,0.059328532,1.184481745,0.037087746,1.765083097,1.473775467,0.151559497,0.560223861,1.410489165,0.152032024,0.153114118,0.422857978,5.638774584,43.79810685,0.475034595,0.651131945,0.31855217,0.23886645,0.129123355,1
RNA38_FPKM,0.133769645,1.213430498,0.016758962,0.079337067,0.936150496,0.099191162,0.833231392,2.006379376,0.153212885,0.520369161,2.161390287,0.072626186,0.112637554,0.207377546,14.94326648,64.91225491,0.134403805,0.403839702,0.821718732,0.047923489,0.086382088,0
RNA383_FPKM,0.190844334,0.932019797,0.091169873,0.043143827,0.955967685,0.188867317,1.586661702,1.761859769,0.192364282,0.407687731,0.951623658,0.205474101,0.233985476,0.205137988,8.639840343,42.20782695,0.478635782,0.565528316,0.264919689,0.121681155,0.140968554,0
RNA385_FPKM,0.201282299,1.322742557,0.095548522,0.056534069,1.002569697,0.017679019,1.682668289,0.903193852,0.164642883,0.65276504,0.926097458,0.27952642,0.107042568,0.134378689,4.707722519,44.57374556,0.592206276,0.613215097,0.238607715,0.318810011,0.03079207,1
RNA386_FPKM,0.147936537,0.930307169,0.119131306,0.047016553,1.234375041,0.058753683,2.742438421,0.458792988,0.258344437,0.172632857,0.991833563,0.327006421,0.303322151,0.201056137,5.689269125,40.33259729,0.637022529,0.911237987,0.432721933,0.075706227,0.051191558,0
RNA39_FPKM,0.168101572,1.028888015,0.037159076,0.13195594,1.176414569,0.027505654,1.539834087,2.849167604,0.209088011,0.207710202,1.558472098,0.193268264,0.253572115,0.313570474,5.505779619,68.46483549,0.365808864,0.43999481,0.371193804,0.07084795,0.143673444,1
RNA392_FPKM,0.175645243,1.274058941,0.06188795,0.097643765,0.998729591,0.091573955,1.709461187,1.256581311,0.22632185,0.38432991,0.961208558,0.214555141,0.172266358,0.139251807,6.025890403,52.62104901,0.330895283,0.695965176,0.074920124,0.098323989,0.21262879,0
RNA409_FPKM,0.177584126,0.724894942,0.060062691,0.0,0.785818043,0.148141431,1.852808552,2.481314417,0.226708708,0.198959669,1.029979155,0.173542293,0.3140148,0.405456798,6.548357147,47.29027484,0.846726872,0.641941543,0.218166364,0.038165812,0.0,0
RNA41_FPKM,0.116936511,1.547890026,0.0,0.0,0.837709348,0.0,1.424049358,0.639057702,0.141460507,0.335915729,1.014426593,0.058597688,0.068854396,0.171138584,9.756887359,95.81455449,0.295778431,0.506504207,0.368362095,0.048338628,0.0,0
RNA418_FPKM,0.229731093,0.717874551,0.115314578,0.04199862,1.102863494,0.026254386,1.298646243,2.422169831,0.220839197,0.616984491,0.92584575,0.276786849,0.296300933,0.439082818,7.661876401,87.99474396,0.400999637,0.620840242,0.322184265,0.287503138,0.137139548,0
RNA431_FPKM,0.088104453,1.851043441,0.124159811,0.058766262,0.967523624,0.11024346,1.30334874,1.87780089,0.136225782,0.462655921,1.268205312,0.107618903,0.19726213,0.307298907,7.080538936,52.78817928,0.362139681,0.452734365,0.225493513,0.213056627,0.192014292,1
RNA44_FPKM,0.102806433,0.77138845,0.217323142,0.0,1.120682967,0.080405532,1.500814013,1.027125744,0.201246139,0.134968309,1.221954387,0.125575153,0.328303884,0.183381988,3.670370829,31.65399077,0.277312335,0.728671032,0.460463482,0.189913806,0.093331284,1
RNA442_FPKM,0.130194372,1.639320935,0.035797463,0.0,1.697460778,0.185414836,1.705962831,0.112789949,0.187585335,0.200108687,1.541455165,0.15515672,0.167721517,0.221521964,3.302633018,40.58995144,0.50904218,0.59644317,0.357606214,0.290102575,0.276814048,0
RNA454_FPKM,0.149510949,1.322630263,0.088721554,0.052513378,0.927704435,0.065624081,1.133479103,1.164726175,0.25738306,0.192845042,0.950821806,0.038441902,0.185221368,0.499049399,10.66422336,59.72216269,0.76010005,0.618168922,0.201424605,0.232586751,0.057176493,0
RNA457_FPKM,0.156367688,1.104287526,0.103701812,0.030695847,1.088099369,0.057549944,0.895209395,2.042146862,0.159543318,0.370329267,1.217722911,0.078655345,0.124094804,0.175001735,7.82706664,41.02777201,0.945180225,0.646515408,0.470846522,0.222434043,0.033421595,0
RNA466_FPKM,0.31148655,1.246531465,0.100601706,0.0,0.875085202,0.054139393,0.353678144,3.073633283,0.204536228,0.272637738,1.227305214,0.142684254,0.227259379,0.411556927,6.365715051,63.93958302,0.880214865,0.498283234,0.564737715,0.296432742,0.094296181,0
RNA471_FPKM,0.208102812,1.014988592,0.097756756,0.086778741,1.172772546,0.108495113,1.890328874,2.104799843,0.213997643,0.531246651,1.061383933,0.201244323,0.176719466,0.536167017,8.591159156,44.44894205,0.543517701,0.59921911,0.155354338,0.198041998,0.031484342,0
RNA476_FPKM,0.114964612,0.862659061,0.081014989,0.0,1.560739544,0.089899203,1.454568681,1.318748637,0.237867931,0.377325184,1.056944821,0.087764096,0.140251462,0.182288856,4.132827466,38.26902429,0.516844282,1.044031679,0.110342539,0.250989604,0.0,0
RNA483_FPKM,0.146201023,1.755253724,0.067429608,0.106393586,0.910093285,0.066509286,1.552258432,2.455111271,0.16124388,0.148898151,1.066916355,0.246784187,0.131242056,0.269729359,7.414257949,99.8097886,0.327780073,0.493003393,0.299371984,0.15714137,0.0,0
RNA488_FPKM,0.294422644,0.797046217,0.227802875,0.11553171,0.862396168,0.02408172,1.730515639,1.059567196,0.219724335,0.505281075,1.18888195,0.112827144,0.285027773,0.054911955,4.912516734,53.03823747,0.676273219,0.641054664,0.236406322,0.13960556,0.083887685,0
RNA499_FPKM,0.177099204,1.503002804,0.086062681,0.162968587,1.094717089,0.050937865,1.783035125,1.446211298,0.213060765,0.213796551,1.289714167,0.104443444,0.259440556,0.23237578,6.760357737,51.22628428,0.451816357,0.486949964,0.312606409,0.180505116,0.133101971,0
RNA50_FPKM,0.139481916,1.033261522,0.12547318,0.0,1.456996542,0.074253163,2.125814388,0.035148698,0.214140103,0.041568866,2.513263162,0.377028407,0.320307447,0.715209222,0.280583654,40.30478101,0.463535435,0.610009516,0.0,0.44655344,0.0,1
RNA504_FPKM,0.170904519,1.633867756,0.178410288,0.06335041,1.226687634,0.118792757,2.476508869,0.805727122,0.2189572,0.277010631,1.040840529,0.278357857,0.143540867,0.270972951,3.964921305,23.17712309,0.55937837,0.67670841,0.243021596,0.331660084,0.160928516,0
RNA519_FPKM,0.151100706,1.410945565,0.113572532,0.0,1.024898588,0.084012358,1.437911124,0.715684241,0.187705937,0.399682523,0.917296112,0.13125612,0.111806921,0.298136289,7.59303084,105.5126982,0.703886981,0.725890008,0.550040985,0.144359189,0.048760772,0
RNA52_FPKM,0.0,0.0,0.0,0.167023811,3.044126948,0.0,1.286349038,0.177841878,0.107184158,0.0,3.166730598,0.134548975,0.816283442,0.111136537,0.0,49.32942822,0.432147986,0.05618553,0.0,0.0,0.654598487,0
RNA521_FPKM,0.103898123,1.003311983,0.095491267,0.030139323,1.601308658,0.094204216,2.831309411,1.123279252,0.239090078,0.158140165,1.808350616,0.342115413,0.339731262,0.58729946,2.971937478,25.26183338,0.492036913,0.925848445,0.18500244,0.376268197,0.131262613,0
RNA528_FPKM,0.236379407,1.085071177,0.097978795,0.0,1.021727185,0.115986546,1.109685009,2.181544658,0.190188112,0.462450561,0.810836554,0.06794371,0.155660754,0.308645883,7.531997318,66.64942725,0.485800436,0.665241718,0.391488047,0.224162324,0.0,0
RNA53_FPKM,0.121015124,0.575097533,0.262926171,0.067280797,0.842811741,0.021029453,2.061096267,1.940449463,0.162925163,0.141223803,1.494021661,0.184782512,0.217109492,0.12791363,6.078486043,45.65359921,0.445599942,0.148913136,0.464608985,0.284520638,0.073255238,0
RNA535_FPKM,0.155993223,1.872816483,0.197406001,0.0,1.305894089,0.026546951,1.958184827,0.603159091,0.19184903,0.356665264,1.424952584,0.140005183,0.164491206,0.423991715,7.97657906,90.71160942,0.615022589,0.654371249,0.749656477,0.171085004,0.0,1
RNA58_FPKM,0.126220904,1.187747729,0.048077028,0.091021875,0.484816843,0.028450023,1.089006292,2.464069813,0.206931146,0.38218036,1.139829485,0.166688303,0.278105948,0.411074192,5.671402978,64.49986982,0.490772516,0.07253666,0.558811773,0.311651632,0.099104491,0
RNA6_FPKM,0.146822493,1.057611851,0.147137889,0.0,1.080183494,0.054421576,1.397183699,1.313562691,0.297517275,0.342689962,1.535812548,0.207243464,0.374625304,0.33106957,2.982038978,58.21317963,0.590074955,0.651371603,0.066797198,0.280534906,0.189627102,0
RNA60_FPKM,0.113337649,0.560309718,0.075169636,0.177903471,0.86673752,0.055620564,0.986283877,1.815703164,0.178416443,0.233401717,1.351970282,0.244321796,0.29854754,0.295983218,7.485509279,60.36314974,0.205527186,0.637935175,0.375424806,0.197061754,0.0,0
RNA62_FPKM,0.152732747,1.344692805,0.08609855,0.045300419,0.98663838,0.056613403,1.189177647,2.371189661,0.181660628,0.617885341,1.141178275,0.099504356,0.151985933,0.043044546,7.487860237,93.09486694,0.348772883,0.44905893,0.173733019,0.200630753,0.098605236,0
RNA63_FPKM,0.168822495,1.777933876,0.008345999,0.039510033,1.21015806,0.0,1.475874727,2.560177319,0.116251124,0.290334298,1.499978715,0.07236598,0.234652913,0.150264347,5.694105232,57.57675374,0.2434806,0.108462298,0.454858627,0.031838782,0.0,0
RNA64_FPKM,0.030037867,0.72129208,0.008470881,0.200422733,0.863506548,0.075178763,1.754122768,1.351621662,0.167920666,0.0,2.61963372,0.249518352,0.075880719,0.285761576,0.923058887,181.5831647,0.876627806,0.141940055,0.738101082,0.048435266,0.0,0
RNA66_FPKM,0.075314739,1.321560961,0.02449351,0.115952484,1.263112317,0.024169219,1.917104134,1.166223234,0.244623281,0.040558051,1.62530603,0.198159496,0.259433248,0.110223897,3.35512367,95.65400235,0.547712969,0.407214993,0.177936082,0.249069586,0.0,0
RNA67_FPKM,0.129403405,0.876371364,0.046756282,0.265633362,0.830562949,0.027685985,1.782540273,1.885864865,0.29335107,0.511114488,1.680371426,0.389090913,0.293351977,0.315637311,4.078316445,53.01462443,0.422779405,0.540902971,0.203815209,0.231803782,0.0,0
RNA69_FPKM,0.152451088,1.195295652,0.228003664,0.04152904,1.100384363,0.051895024,1.841046549,1.510467254,0.204761761,0.152503321,1.797961101,0.228035767,0.164327792,0.651152752,5.711764679,94.45156367,0.652212248,0.650542773,0.222985428,0.284234479,0.135603858,0
RNA7_FPKM,0.11866451,0.474873595,0.120782703,0.0,0.82511891,0.027485526,0.692947567,2.302849818,0.171197132,0.415452543,1.419995302,0.080533215,0.143821559,0.271768731,5.402112652,89.53457432,0.555497812,0.295937122,0.134974202,0.124005036,0.047872352,0
RNA72_FPKM,0.097643131,0.915854036,0.120402476,0.12212792,0.699748763,0.050905567,1.829348597,2.095602127,0.195978698,0.149551663,1.647908696,0.283281835,0.227730383,0.406389777,5.144949044,83.69421036,0.288470945,0.501034213,0.499820857,0.032796824,0.354654923,0
RNA74_FPKM,0.128287487,0.992551373,0.136601952,0.114124048,1.703481822,0.0,2.01988302,0.202551291,0.28482456,0.0,2.707830859,0.181090384,0.389529541,0.216951528,0.920949472,18.97908212,0.796822287,0.814989323,0.467003171,0.275762368,0.24851621,0
RNA75_FPKM,0.064993752,0.90512551,0.080606141,0.034683248,1.813743347,0.065044092,1.963429935,0.369408188,0.22572315,0.145621259,1.573372615,0.215953073,0.22686283,0.115411763,4.854611781,65.07617135,0.384682581,0.506729494,0.745243728,0.251479898,0.0,0
RNA78_FPKM,0.144211539,1.462065563,0.063231223,0.042776141,0.79185516,0.0,0.598847192,1.935322438,0.152467114,0.224386223,0.949553236,0.062633671,0.091993109,0.101626638,13.93822966,117.770786,0.39517277,0.431579055,0.459350911,0.20667171,0.046574603,1
RNA86_FPKM,0.101933643,1.44631248,0.095766931,0.082437557,1.356883149,0.077300662,1.6835447,1.426471864,0.25472855,0.043259541,1.116476573,0.301862966,0.269550488,0.509349518,7.179737952,62.51564024,0.355509919,1.025367724,0.25301081,0.248993523,0.089757898,1
RNA87_FPKM,0.122016732,0.627828999,0.029476987,0.046532158,1.221741763,0.232642085,1.845771349,1.155845918,0.229439588,0.341742416,1.589741213,0.221439549,0.204148463,0.751742178,3.488496825,42.70496655,0.673491163,0.901915337,0.463981517,0.281026935,0.0,0
RNA89_FPKM,0.087170239,1.118730684,0.059307951,0.0,1.446624467,0.025076316,1.240419673,1.032187996,0.134666099,0.736644843,1.092781339,0.102813569,0.176021338,0.095314382,6.442030731,94.45482994,0.580704328,0.468720238,0.307734858,0.339231805,0.131028484,0
RNA94_FPKM,0.0,0.0,0.0,0.206822475,2.242857706,0.0,3.234308068,1.54170076,0.204020684,0.0,1.550412812,0.49985152,0.049833266,0.943687921,0.46409002,421.8407187,0.305814935,0.051270176,0.0,0.0,0.0,1
RNA95_FPKM,0.327413933,0.505966896,0.063963352,0.086495282,0.753876891,0.027049676,1.918233189,1.842506908,0.192783653,0.27238179,1.587235769,0.142557813,0.238216357,0.596208811,3.626952048,55.24845532,0.666227381,0.375289493,0.696968743,0.121953312,0.0,0
