,AL133216.2,AL732372.2,GTF2IP13,AMZ2P1,FAM157B,PKD1P5,RP9P,SMG1P1,CCDC144B,AC009093.3,Diagnosis
R_JS012_FPKM,0.182197659,8.835427819,0.520255595,1.602416392,47.76433609,11.65364744,1.680039837,0.93872275,0.372832593,0.43655257,1
R_JS013_FPKM,0.205355142,2.748758449,0.633860109,1.007424539,21.83526558,2.86602259,0.699819997,0.483265169,0.428423601,0.256715371,1
R_JS014_FPKM,0.123495954,4.6811874,0.390620007,1.377762072,33.63554112,2.114204779,1.252628251,1.34198635,1.48142587,0.670691998,1
R_JS015_FPKM,0.241989419,11.12708132,1.048915134,0.766969468,91.00800831,1.973678822,0.743804972,0.604516408,0.165066266,0.322113907,1
R_JS016_FPKM,0.075818997,7.022189295,0.639486363,1.117357198,61.57372383,2.994331294,0.65538806,0.733903386,0.240741492,0.756890383,1
R_JS017_FPKM,0.114134904,7.790844826,0.423001384,1.262805881,78.36199501,2.416309506,0.908929001,0.959029286,0.082000683,0.762394545,1
R_JS018_FPKM,0.208889191,4.291812468,0.701502474,1.382950315,31.90896945,3.213814657,0.802567398,1.584790919,0.425817016,0.630237165,1
R_JS019_FPKM,0.078953629,3.702778111,0.539090184,1.587164877,19.19944062,1.767611268,1.456002808,0.422630078,0.362913935,0.540461257,1
R_JS020_FPKM,0.204538515,3.37897257,0.752689599,1.037261029,33.86508905,3.286657422,0.887597239,0.871655297,0.190179229,0.807213664,1
R_JS021_FPKM,0.095871478,6.769388771,0.456728113,1.120860878,41.13771908,3.090742806,0.736690324,0.337061832,0.330726677,0.306274541,1
R_JS022_FPKM,0.130207498,6.757820627,0.449298708,1.200553699,39.10058181,7.912310288,0.81865321,1.074394819,2.104900119,0.453777237,1
R_JS023_FPKM,0.252931338,4.741293718,0.231894535,0.543733081,31.06686191,2.346436722,0.963334815,1.034777713,0.254527146,0.351306755,1
R_JS024_FPKM,0.145480271,6.633479718,0.596508722,1.029766992,53.31046375,7.409219246,0.78251545,0.575420258,0.335347585,0.5422101,1
R_JS025_FPKM,0.190825409,5.846045478,0.860033106,0.796944159,36.87496251,2.776629076,0.879798048,0.588880637,0.348522994,0.143429552,1
R_JS026_FPKM,0.128957714,4.831740245,0.747838074,0.871967442,36.6997734,4.27490545,0.495480931,0.626417492,0.363998984,0.343321994,1
R_JS027_FPKM,0.176972195,3.394329376,0.533099852,1.645265231,23.03974575,3.166484584,1.126726353,0.912231594,0.137955948,0.32304476,1
R_JS028_FPKM,0.112619714,4.096706964,0.705220408,1.246000088,28.25659942,3.086540252,1.604830935,0.886601559,1.005607804,0.261660604,1
R_JS029_FPKM,0.092676514,4.167843948,0.781664153,0.95294646,30.10541383,5.022671772,1.234302193,0.960312267,0.866086559,0.394746158,1
R_JS030_FPKM,0.10849603,5.586272676,0.816031789,1.210472714,41.05643611,2.936497511,0.850423014,0.67761633,0.367498434,0.103981619,1
R_JS031_FPKM,0.145029112,4.54919615,0.637104731,1.041862855,29.58681876,2.974162032,0.835803968,0.865459288,0.675410162,0.540527816,1
R_JS032_FPKM,0.130168014,3.959632173,0.535904948,1.096242394,35.35214126,2.867532905,0.943094878,0.433567382,0.614101226,0.118818565,1
R_JS033_FPKM,0.092396224,3.921129524,0.665688948,1.127453859,13.56723363,2.268025102,1.437728318,0.452015805,0.130398917,0.553434193,1
R_JS034_FPKM,0.162362883,6.45765834,0.654305174,0.933118851,47.11836096,2.752309489,0.898254845,1.162691552,0.84932566,0.933628214,1
R_JS035_FPKM,0.1367645,2.836603792,0.510242766,1.307089716,17.79942552,2.264604764,1.843185717,0.604467981,0.296949086,0.504152941,1
R_JS036_FPKM,0.241689854,4.786325951,1.162013791,0.735385197,31.93424276,4.965266802,0.757747107,1.135091751,0.158267037,0.46327359,1
R_JS037_FPKM,0.147152004,2.902182751,0.370640855,0.932788842,14.81942837,7.363226632,1.130759009,1.439791097,0.498417342,0.391755176,1
R_JS038_FPKM,0.150959384,4.164306094,0.832526329,0.927447852,32.04919034,2.484917951,0.96368713,0.995936282,0.393305314,0.111290858,1
R_JS039_FPKM,0.125975985,2.781975152,0.538648412,0.8517394,18.03339854,3.151633321,1.742382197,0.952799797,1.208899378,0.368881521,1
R_JS040_FPKM,0.108995721,2.895585413,0.704808974,0.75997469,21.78243398,4.362927934,0.804007229,0.816814014,1.212075541,0.208900167,1
R_JS041_FPKM,0.168999554,6.283479335,0.760245366,1.056968018,45.47265279,4.510001928,0.519427885,1.107037309,0.744127414,0.971790168,1
