,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,Diagnosis
RNA253_FPKM,3.294083485,5.407551944,1.963741258,0.697687964,1.207641873,2.178779041,2.128883407,0.965550307,2.498104998,4.294232426,1.715912085,4.31235155,2.374047195,1.277374475,1.541411987,0.45577183,2.718880866,7.964684293,2.683895266,2.952792203,0.216804989,1.895104155,1.52690458,0.233674541,1.448379441,6.089083761,1.348609836,1.642872017,0.986848197,3.783874324,1
RNA26_FPKM,2.609425887,6.425711248,3.031372159,0.0,1.488171339,1.947185227,0.0,1.019954166,0.9312625,4.031818822,1.647618269,2.3859181,0.835864878,1.124358923,0.610518883,0.0,0.638183612,2.213854004,3.149858455,2.201528479,2.061725534,1.801601284,2.822273175,0.246905331,1.092808035,1.837558176,5.90168254,0.0,0.0,4.246339794,0
RNA277_FPKM,7.644145534,36.16313772,3.799324253,0.208870302,2.651813665,7.627835499,0.765031957,7.518055906,3.168043384,6.857983233,42.59852748,6.395105783,25.1180815,1.019952404,8.538593091,0.272822164,2.170960144,19.58164664,5.536384817,5.825088148,1.298734107,6.582805736,2.971843276,0.560093617,1.734895513,26.30719505,15.69249651,2.951406575,0.472877093,6.51483851,0
RNA288_FPKM,8.64671543,14.29990998,6.344145027,0.651295256,4.508535885,5.787399361,1.589547734,5.40755941,3.428679909,10.2426389,10.62790622,8.624825011,7.016567412,0.794887911,5.394714851,5.103763938,8.881770672,12.51990232,4.035815449,17.99441279,1.012148776,4.245186827,5.700135644,0.0,1.351852905,10.351316,8.092175485,5.941433672,2.210389248,9.932378657,0
RNA29_FPKM,15.87695625,3.679625199,6.715291726,0.633053798,1.826116724,3.193063189,0.0,2.847329023,1.199877782,10.17331367,29.43776084,2.049411503,2.51291477,1.931561784,2.272452617,5.788396273,4.933722728,10.64924854,3.111592929,3.939810624,0.590314203,5.502427778,6.233903777,2.544985728,0.18773598,10.06245755,7.167153504,2.23572164,0.358114375,10.72800047,0
RNA295_FPKM,3.398728177,9.113320458,1.994955949,0.287965115,2.326023736,3.043393968,1.581620896,1.992615753,1.69816588,7.877052363,6.566729122,5.76325688,5.715628778,1.230167409,7.792863099,1.880671048,2.618287213,6.401321906,5.538580529,5.448167076,1.432125975,5.788111163,7.246845033,0.0,2.220421221,10.41124109,9.701230491,3.898696525,0.977399844,4.294468456,0
RNA3_FPKM,4.794368128,8.395592091,5.628329894,0.406325998,1.171824468,8.781644747,0.74357919,0.843165689,7.870793732,5.000435781,11.80634058,18.41197268,3.455453127,0.0,4.93568321,3.449165463,9.673755268,12.69094107,1.736195811,3.033695464,26.26443076,1.544829088,4.666945499,0.0,1.927698072,31.90568293,7.403524816,6.216954678,0.0,5.782658417,0
RNA302_FPKM,2.284788895,7.918619067,1.396986849,0.322634166,1.489223451,2.169900231,0.393766108,0.669839529,1.223081056,2.647667132,2.741005155,2.65881446,2.195626402,0.196958517,1.960149959,1.26441619,0.558751907,5.233797755,1.103229873,2.409577959,0.802272123,4.031378405,1.23556672,0.0,1.339581265,9.452663825,3.563809681,2.65881446,0.182581983,2.624509693,0
RNA303_FPKM,4.010714608,9.823994831,1.82167976,0.161804313,1.493745718,2.332066204,1.974954161,1.343754503,0.0,3.098473638,4.051850142,2.857519095,3.303505023,0.0,0.893735171,0.211345522,2.662339042,6.999849091,1.383193999,7.41198958,2.414446593,3.692106438,4.249267229,0.867502886,0.575808717,6.052118191,5.71952042,4.191039395,1.830796923,6.142746572,1
RNA31_FPKM,4.010382308,4.389140637,2.322905708,0.715283124,0.412663341,3.436364642,0.0,1.485099972,3.76630545,0.978254861,0.479801529,18.31663954,1.217057538,0.0,1.382668523,0.0,1.393836845,11.81882416,1.987310733,1.068508759,0.667103731,2.914486834,0.978353228,0.0,1.697186013,5.573728173,3.358164615,2.736954529,0.0,3.15188641,1
