,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,Diagnosis
RNA32_FPKM,0.757067463,3.314779423,3.703607589,0.427648144,0.0,1.438199359,0.521932774,0.295917243,2.702183284,4.972213808,0.573624193,2.517400178,1.455269015,1
RNA328_FPKM,4.442873754,5.304445612,4.741497781,0.342168088,0.987210979,4.274347527,0.417606722,5.20979839,1.153094685,7.254794787,15.45461336,11.68346459,5.822136944,0
RNA331_FPKM,4.427922823,8.14149888,4.418391078,0.7503343,2.597495518,7.930130124,2.381021095,2.699907849,0.758543981,10.26236231,16.77515828,5.300017827,6.808273869,0
RNA334_FPKM,9.108692039,10.54405978,2.313390728,0.296876987,3.767535318,4.42044832,3.985083289,3.902618683,0.375066768,7.307593064,5.441531944,7.687856082,5.386551325,0
RNA335_FPKM,3.888558197,21.02937268,3.020966823,0.581522234,2.012728516,11.91750909,1.4192172,3.486936788,5.551227868,4.771350541,6.239458399,6.160477913,5.495483394,1
RNA336_FPKM,3.984693963,8.504241265,1.754236303,0.0,1.363604316,5.190070901,2.884496086,1.869097013,0.995529963,4.617557122,3.019171964,8.346782346,4.595067609,0
RNA35_FPKM,5.637390204,9.048938174,2.895285871,0.955359466,3.123094487,4.589115166,1.36032155,3.525496189,0.402393253,6.532740413,2.989939448,9.933928992,8.125995369,0
RNA358_FPKM,8.807352196,14.04555473,5.723356138,2.558609602,2.952241849,9.422906199,2.862440512,2.360726167,4.131056703,4.957254611,42.51765874,7.530085221,12.81615102,0
RNA365_FPKM,6.041184748,5.234271685,19.3919311,2.985911446,5.906269952,4.098256066,0.520565426,1.771152123,8.624010111,11.66767953,4.958773496,5.272590465,2.660720161,0
RNA368_FPKM,8.519288055,8.688201657,3.409513833,0.328047971,1.892916334,2.994737293,0.0,2.724566858,5.113407805,3.141166973,11.00289771,3.862677064,2.790978931,0
RNA37_FPKM,2.030663974,3.333556816,4.320660525,1.720605604,0.992552972,3.801954005,0.0,0.952478102,3.188731038,1.882544955,1.846342167,2.835732274,2.536741787,0
RNA379_FPKM,9.601830121,7.108835612,8.081008536,4.546452966,8.559159311,7.586656721,2.628505793,7.285358616,4.636197138,9.490769594,0.641884357,9.014282348,4.342245765,1
RNA38_FPKM,4.34386653,3.307175346,0.831387755,0.480059381,1.661744011,1.076240265,0.390646557,0.442965292,0.404397848,2.407409337,0.143060143,3.767736204,1.088915181,0
RNA383_FPKM,4.726709281,15.06928892,13.26874575,1.04484516,1.20559057,31.11650399,0.425068241,4.337748922,6.307396256,3.810390111,4.204134799,6.149656395,4.344659211,0
RNA385_FPKM,2.423035283,6.924299075,4.938287369,1.140629435,1.184461416,13.25920997,0.695985732,0.631450556,4.900115026,3.119805338,1.019985937,15.84391133,1.681720335,1
RNA386_FPKM,8.727473447,7.347377682,3.612086494,0.56886636,3.500573292,4.55415972,2.545638782,3.936095187,0.95841615,7.001821802,13.22547899,8.258999328,11.18251882,0
RNA39_FPKM,6.073047857,15.35590468,6.45317427,1.774426755,2.252031887,2.727527006,1.515903142,2.946765826,5.082128761,11.16283628,1.745324713,4.386524789,4.628493093,1
RNA392_FPKM,2.324838289,11.95890489,2.558620911,1.181993291,0.681919206,5.677600946,0.480786622,1.36307483,2.157245881,1.885802488,0.352268659,5.101651329,6.032061995,0
RNA409_FPKM,10.60552654,12.34801621,2.814536228,1.147132816,2.426772196,7.347579893,0.700021994,6.085781886,0.483167354,12.81306327,9.745451197,9.003110552,9.324450614,0
RNA41_FPKM,4.38136045,4.795155604,2.37603977,0.0,1.489948798,4.497063384,0.0,2.903980359,0.0,6.843251126,3.031017909,1.900192583,3.112032577,0
