,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,TRBV7-2,TRBV5-6,TRAV38-1,TRBV30,TRBV28,TRBV6-2,TRAV23DV6,TRAV8-6,TRGV9,TRAV8-4,TRBV7-9,TRAV20,TRBV11-3,TRGV2,TRBV29-1,TRBV6-5,TRAV8-3,TRAV1-1,TRBV19,TRAV10,TRBV5-1,Diagnosis
RNA69_FPKM,9.488139966,5.408311287,1.16020086,0.502463326,2.125740219,4.022710875,0.408758447,4.40411059,0.141138548,7.100832226,28.90587902,4.337586371,3.419201658,0.204484195,3.884841156,1.750078263,2.900576626,6.238457252,3.722243643,2.168073372,2.498881782,1.091801153,4.031403804,0.673329817,0.397288185,5.011162395,9.804535776,20.30828779,0.758038747,4.314230782,2.965043739,0.811338346,2.868244377,7.317754482,15.40497454,0.367304171,5.331632054,5.414243862,8.439005575,9.133148252,1.571179745,1.342855595,1.788102908,11.59622623,2.712235709,34.00180081,7.993656544,0.397288185,2.398485873,1.027394235,1.194547267,0
RNA7_FPKM,5.026138492,5.271496749,2.612072824,1.064635964,4.094816298,1.875263189,0.866173029,6.630435795,2.242237285,9.221922973,10.94863877,2.715623246,2.414905966,1.299358853,2.547912547,1.85421214,0.307344132,2.558427509,1.971822026,8.127523196,0.661839202,6.747490535,4.271187687,0.0,1.052478725,2.875794054,4.507693182,6.266719718,2.409030283,4.811110694,1.88472991,0.0,3.272394462,2.584239922,0.680021598,0.389254243,1.008732666,2.059100258,5.37399272,3.342701291,0.0,4.064559035,0.841867154,4.853672955,4.720743357,11.26999184,2.419775134,0.421030099,16.74151745,0.435471765,0.63277862,0
RNA72_FPKM,4.071117893,5.940743455,1.564585493,0.985597471,1.137227851,4.260835549,0.601343774,3.637089273,0.276752913,4.268390712,2.937686946,4.060811266,3.539641078,0.200378924,1.088605283,1.287367483,4.267104752,16.38134288,2.246437492,2.28970961,0.612598871,1.60610935,3.234893186,0.880504945,1.558853143,4.91456415,7.256993881,3.674057828,0.557450068,6.680569248,2.520177711,0.198813463,2.596616567,5.468015347,18.04607291,1.260960363,2.427750655,2.586903462,3.477835434,4.071547262,0.880504945,0.940590113,0.974182617,8.564733224,1.900094627,6.520280092,6.271752621,0.779426571,2.629081235,1.20924228,0.937224589,0
RNA74_FPKM,12.49742869,17.44418437,9.302283211,1.074263674,5.135160329,15.77633608,1.123867269,7.433520959,2.456375847,6.926425542,3.568177069,7.768442606,5.04748686,0.0,3.898706321,7.617302688,6.910288592,15.67392676,27.41676149,13.44733699,1.144902218,4.168303082,13.43283625,1.645163652,2.912813144,7.844119227,8.64485937,9.394493604,0.173574645,12.69129772,3.622483874,0.371764416,6.873438706,11.01563066,31.56409113,1.009890164,0.697887271,12.21172578,3.66066026,13.69421051,2.673562069,5.273123077,0.0,6.4278093,3.727855287,49.43126685,12.13788388,2.002470669,8.661647409,3.765853948,2.736248035,0
RNA75_FPKM,16.02138894,34.34589326,7.271088896,0.839708505,1.937788859,5.647068951,1.366393707,2.517841321,5.776651451,11.67541327,8.134564266,15.81610498,20.47531967,1.537170016,3.246058637,4.021506909,6.059305749,8.912259712,6.57936775,10.17252553,1.7400999,3.497014564,81.91963239,3.188263952,3.48620073,5.408547048,7.265035756,8.402311294,1.424967825,8.917143013,4.1292477,1.525160875,2.580907811,9.608588797,22.34765977,1.074363747,3.659467563,4.755999284,9.377000756,9.157866081,2.625534459,3.686507964,0.331968233,5.024230463,3.723189635,57.93377342,10.49611747,1.660197354,13.43964677,1.88882094,3.393535843,0
RNA78_FPKM,2.850540549,2.451191074,1.643256586,0.172576431,0.398104589,2.320481356,0.631717033,0.47748854,1.162580792,1.179765703,0.154323154,4.264834261,2.152265333,0.0,2.858197352,0.676079184,0.896291337,2.487537021,0.884758176,1.889569136,0.0,0.562346237,0.56631574,0.231262364,0.204714389,4.30139792,3.048810274,2.843323991,0.780711189,1.403231626,0.407198348,0.626781744,0.6818249,1.256278497,3.746530864,0.0,1.176793271,1.000991957,0.647327364,1.368325367,1.155966394,2.568632847,0.0,1.179677568,1.796001586,3.326188377,1.176305979,0.818551782,1.598602874,0.635050632,0.246067714,1
RNA86_FPKM,9.81256913,18.04189337,5.039582504,1.662933953,1.726892952,3.195132179,1.014782531,3.221682742,1.680856058,10.23388263,5.501747428,19.77100329,3.206011434,0.405913012,2.020204549,2.389062121,19.00666852,6.593289269,4.832590765,6.126142746,3.514611465,2.529171499,2.001190859,1.782741875,1.578090384,3.938652937,25.52917195,3.915048037,1.128852976,6.762997851,0.392519943,0.402741817,1.971495353,9.340879979,14.65733457,0.0,3.02478792,5.926679564,5.125090319,6.10001847,3.342397205,2.856679385,2.366919755,22.45753481,4.23158416,7.920831236,9.070052636,1.775351682,20.45120724,5.30449221,2.490445404,1
RNA87_FPKM,4.651253055,8.969198598,15.43839235,0.938438227,3.24819718,3.065112099,0.0,5.454147928,6.797974158,4.363277223,4.363398999,4.19772889,6.598154614,0.916219023,2.072802109,1.470702921,4.712760893,6.990293002,4.491651235,4.671676984,1.866735015,2.44681856,3.080055209,0.754423977,0.667819184,6.083022733,7.047806117,2.430238015,2.972576973,20.60841854,1.107547654,1.363464167,0.247292714,4.880700563,16.78226248,0.411534887,4.054041349,6.377880469,3.621460712,4.46562649,2.01198529,1.719603192,1.335638367,7.700102042,8.466174844,13.83504821,8.189260174,1.113198408,4.110448332,0.921053952,1.070795852,0
RNA89_FPKM,4.01051205,5.852376843,3.643105422,0.647208255,0.746778755,3.731073471,0.789899838,0.895689995,0.681532363,5.753963564,1.157630657,3.619325812,4.588033137,1.579968351,12.15336542,0.845370333,3.502967572,2.722035741,1.93644822,3.866894133,0.402427945,2.637107144,2.655722018,0.0,2.303366786,3.025956722,12.15336542,4.000358854,0.0,4.606827252,1.145837284,0.0,3.836769604,2.525015341,13.22971155,0.53245773,0.919818739,2.682509308,1.257663069,12.51395061,1.951648321,1.111970173,0.0,4.979337023,3.556302726,4.588033137,3.530415304,0.767734282,0.81786212,0.595678304,1.731107143,0
RNA94_FPKM,2.56026266,0.0,0.0,0.0,0.0,0.0,0.0,2.078619256,0.0,14.60680872,6.864562529,7.268750494,20.81923776,0.0,0.0,0.0,0.0,5.614316214,0.0,0.0,0.0,0.0,4.564693674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.501166434,3.801667245,14.22915677,5.590763146,0.0,0.0,1.569080476,0.0,0.0,5.233845785,0.0,9.137494239,0.0,0.0,1
