Model Name,Feature Count,CV Score (Mean +/- Std)
XGBoost,35,0.7379 +/- 0.1301
Logistic Regression,13,0.7379 +/- 0.0833
XGBoost,25,0.7379 +/- 0.0743
XGBoost,64,0.7379 +/- 0.0710
XGBoost,40,0.7379 +/- 0.0676
Logistic Regression,19,0.7379 +/- 0.0676
XGBoost,66,0.7379 +/- 0.0676
Logistic Regression,16,0.7379 +/- 0.0601
SVM(linear),5,0.7379 +/- 0.0516
Random Forest,51,0.7379 +/- 0.0516
Random Forest,38,0.7379 +/- 0.0468
XGBoost,38,0.7379 +/- 0.0468
XGBoost,42,0.7310 +/- 0.1202
ANN,72,0.7310 +/- 0.1032
XGBoost,72,0.7310 +/- 0.1009
SVM(linear),12,0.7310 +/- 0.0935
XGBoost,55,0.7310 +/- 0.0828
XGBoost,56,0.7310 +/- 0.0828
XGBoost,67,0.7310 +/- 0.0798
SVM(linear),10,0.7310 +/- 0.0798
ANN,7,0.7310 +/- 0.0798
XGBoost,57,0.7310 +/- 0.0798
ANN,9,0.7310 +/- 0.0798
Random Forest,37,0.7310 +/- 0.0736
Random Forest,58,0.7310 +/- 0.0703
Logistic Regression,22,0.7310 +/- 0.0703
Logistic Regression,17,0.7310 +/- 0.0703
XGBoost,76,0.7310 +/- 0.0703
Logistic Regression,18,0.7310 +/- 0.0703
Logistic Regression,12,0.7310 +/- 0.0669
XGBoost,58,0.7310 +/- 0.0669
XGBoost,60,0.7310 +/- 0.0669
Random Forest,25,0.7310 +/- 0.0632
XGBoost,65,0.7310 +/- 0.0632
Random Forest,52,0.7310 +/- 0.0593
XGBoost,51,0.7310 +/- 0.0593
XGBoost,62,0.7310 +/- 0.0552
ANN,13,0.7310 +/- 0.0552
Random Forest,28,0.7310 +/- 0.0507
XGBoost,44,0.7310 +/- 0.0457
Random Forest,35,0.7310 +/- 0.0402
Random Forest,30,0.7310 +/- 0.0338
XGBoost,36,0.7241 +/- 0.1090
XGBoost,89,0.7241 +/- 0.1046
XGBoost,90,0.7241 +/- 0.1046
XGBoost,79,0.7241 +/- 0.1046
XGBoost,70,0.7241 +/- 0.0925
ANN,8,0.7241 +/- 0.0925
XGBoost,88,0.7241 +/- 0.0899
XGBoost,80,0.7241 +/- 0.0899
XGBoost,87,0.7241 +/- 0.0899
XGBoost,86,0.7241 +/- 0.0899
Logistic Regression,24,0.7241 +/- 0.0845
XGBoost,69,0.7241 +/- 0.0816
Random Forest,43,0.7241 +/- 0.0786
ANN,6,0.7241 +/- 0.0786
XGBoost,53,0.7241 +/- 0.0723
XGBoost,49,0.7241 +/- 0.0654
XGBoost,48,0.7241 +/- 0.0654
Logistic Regression,21,0.7241 +/- 0.0617
XGBoost,50,0.7241 +/- 0.0577
Random Forest,40,0.7241 +/- 0.0577
SVM(linear),16,0.7241 +/- 0.0577
SVM(linear),64,0.7241 +/- 0.0436
ANN,15,0.7241 +/- 0.0378
XGBoost,45,0.7241 +/- 0.0378
Random Forest,64,0.7241 +/- 0.0308
XGBoost,93,0.7172 +/- 0.1009
XGBoost,92,0.7172 +/- 0.1009
XGBoost,91,0.7172 +/- 0.1009
XGBoost,73,0.7172 +/- 0.0883
XGBoost,71,0.7172 +/- 0.0856
ANN,10,0.7172 +/- 0.0828
XGBoost,68,0.7172 +/- 0.0798
SVM(linear),21,0.7172 +/- 0.0798
Random Forest,44,0.7172 +/- 0.0736
Logistic Regression,69,0.7172 +/- 0.0703
XGBoost,43,0.7172 +/- 0.0703
SVM(linear),6,0.7172 +/- 0.0703
XGBoost,61,0.7172 +/- 0.0593
XGBoost,52,0.7172 +/- 0.0552
Random Forest,68,0.7172 +/- 0.0507
XGBoost,63,0.7172 +/- 0.0507
ANN,47,0.7172 +/- 0.0507
ANN,17,0.7172 +/- 0.0457
ANN,5,0.7172 +/- 0.0457
XGBoost,78,0.7172 +/- 0.0457
ANN,19,0.7172 +/- 0.0402
Logistic Regression,65,0.7172 +/- 0.0402
Logistic Regression,66,0.7172 +/- 0.0258
XGBoost,94,0.7103 +/- 0.0990
XGBoost,95,0.7103 +/- 0.0990
XGBoost,96,0.7103 +/- 0.0990
XGBoost,75,0.7103 +/- 0.0941
XGBoost,74,0.7103 +/- 0.0889
XGBoost,103,0.7103 +/- 0.0889
XGBoost,99,0.7103 +/- 0.0889
XGBoost,102,0.7103 +/- 0.0889
XGBoost,100,0.7103 +/- 0.0889
XGBoost,97,0.7103 +/- 0.0889
XGBoost,98,0.7103 +/- 0.0889
XGBoost,101,0.7103 +/- 0.0889
XGBoost,54,0.7103 +/- 0.0833
SVM(linear),77,0.7103 +/- 0.0833
ANN,11,0.7103 +/- 0.0833
SVM(linear),20,0.7103 +/- 0.0743
Logistic Regression,20,0.7103 +/- 0.0743
Random Forest,22,0.7103 +/- 0.0710
XGBoost,84,0.7103 +/- 0.0710
XGBoost,59,0.7103 +/- 0.0710
XGBoost,85,0.7103 +/- 0.0710
XGBoost,41,0.7103 +/- 0.0676
XGBoost,77,0.7103 +/- 0.0676
XGBoost,82,0.7103 +/- 0.0676
Random Forest,46,0.7103 +/- 0.0640
Random Forest,48,0.7103 +/- 0.0640
SVM(linear),18,0.7103 +/- 0.0640
SVM(linear),23,0.7103 +/- 0.0640
Random Forest,55,0.7103 +/- 0.0601
Logistic Regression,6,0.7103 +/- 0.0601
XGBoost,47,0.7103 +/- 0.0560
Random Forest,61,0.7103 +/- 0.0516
ANN,64,0.7103 +/- 0.0516
Random Forest,63,0.7103 +/- 0.0468
Random Forest,34,0.7103 +/- 0.0352
SVM(linear),67,0.7103 +/- 0.0276
Random Forest,59,0.7034 +/- 0.1014
Logistic Regression,23,0.7034 +/- 0.0990
Random Forest,79,0.7034 +/- 0.0889
ANN,77,0.7034 +/- 0.0889
SVM(linear),19,0.7034 +/- 0.0774
SVM(linear),22,0.7034 +/- 0.0710
Random Forest,56,0.7034 +/- 0.0676
XGBoost,81,0.7034 +/- 0.0640
Random Forest,102,0.7034 +/- 0.0640
XGBoost,83,0.7034 +/- 0.0640
SVM(linear),17,0.7034 +/- 0.0560
Random Forest,47,0.7034 +/- 0.0560
XGBoost,3,0.7034 +/- 0.0468
Logistic Regression,67,0.7034 +/- 0.0468
Random Forest,49,0.7034 +/- 0.0468
Logistic Regression,5,0.7034 +/- 0.0468
ANN,16,0.7034 +/- 0.0414
XGBoost,6,0.7034 +/- 0.0352
Random Forest,53,0.7034 +/- 0.0352
Random Forest,3,0.7034 +/- 0.0352
ANN,32,0.6966 +/- 0.1279
ANN,44,0.6966 +/- 0.0961
ANN,78,0.6966 +/- 0.0910
ANN,62,0.6966 +/- 0.0768
Logistic Regression,64,0.6966 +/- 0.0768
ANN,29,0.6966 +/- 0.0736
Random Forest,57,0.6966 +/- 0.0669
Logistic Regression,72,0.6966 +/- 0.0669
Random Forest,78,0.6966 +/- 0.0402
Random Forest,70,0.6966 +/- 0.0338
ANN,36,0.6966 +/- 0.0338
ANN,31,0.6897 +/- 0.1090
ANN,26,0.6897 +/- 0.1068
Logistic Regression,26,0.6897 +/- 0.1046
Naive Bayes,12,0.6897 +/- 0.0975
Naive Bayes,11,0.6897 +/- 0.0975
Random Forest,66,0.6897 +/- 0.0975
Logistic Regression,27,0.6897 +/- 0.0899
ANN,25,0.6897 +/- 0.0816
Random Forest,80,0.6897 +/- 0.0755
Naive Bayes,14,0.6897 +/- 0.0755
SVM(linear),78,0.6897 +/- 0.0723
Random Forest,45,0.6897 +/- 0.0723
Random Forest,4,0.6897 +/- 0.0723
ANN,70,0.6897 +/- 0.0690
Random Forest,83,0.6897 +/- 0.0690
Random Forest,101,0.6897 +/- 0.0654
Random Forest,81,0.6897 +/- 0.0617
Logistic Regression,68,0.6897 +/- 0.0617
SVM(linear),24,0.6897 +/- 0.0577
ANN,69,0.6897 +/- 0.0577
Random Forest,60,0.6897 +/- 0.0488
SVM(linear),58,0.6897 +/- 0.0378
XGBoost,5,0.6897 +/- 0.0378
ANN,14,0.6897 +/- 0.0378
ANN,45,0.6828 +/- 0.0961
Logistic Regression,78,0.6828 +/- 0.0856
Logistic Regression,4,0.6828 +/- 0.0856
SVM(linear),4,0.6828 +/- 0.0798
Logistic Regression,63,0.6828 +/- 0.0768
Logistic Regression,71,0.6828 +/- 0.0703
ANN,79,0.6828 +/- 0.0703
Logistic Regression,75,0.6828 +/- 0.0669
Logistic Regression,73,0.6828 +/- 0.0669
Random Forest,62,0.6828 +/- 0.0669
Random Forest,54,0.6828 +/- 0.0593
Random Forest,85,0.6828 +/- 0.0593
Logistic Regression,70,0.6828 +/- 0.0593
ANN,67,0.6828 +/- 0.0507
Random Forest,67,0.6828 +/- 0.0457
SVM(linear),69,0.6828 +/- 0.0402
Random Forest,84,0.6828 +/- 0.0258
ANN,66,0.6828 +/- 0.0258
Logistic Regression,31,0.6759 +/- 0.1037
Logistic Regression,40,0.6759 +/- 0.0990
Logistic Regression,44,0.6759 +/- 0.0990
Naive Bayes,10,0.6759 +/- 0.0966
Logistic Regression,76,0.6759 +/- 0.0966
Random Forest,103,0.6759 +/- 0.0833
ANN,61,0.6759 +/- 0.0833
Naive Bayes,13,0.6759 +/- 0.0833
Random Forest,99,0.6759 +/- 0.0774
Random Forest,91,0.6759 +/- 0.0774
Random Forest,100,0.6759 +/- 0.0743
Random Forest,98,0.6759 +/- 0.0710
SVM(linear),60,0.6759 +/- 0.0640
SVM(linear),76,0.6759 +/- 0.0640
Logistic Regression,74,0.6759 +/- 0.0601
ANN,58,0.6759 +/- 0.0601
Random Forest,89,0.6759 +/- 0.0560
XGBoost,4,0.6759 +/- 0.0560
Random Forest,75,0.6759 +/- 0.0560
ANN,4,0.6759 +/- 0.0468
SVM(linear),65,0.6759 +/- 0.0276
ANN,28,0.6690 +/- 0.1166
Logistic Regression,25,0.6690 +/- 0.1125
Logistic Regression,28,0.6690 +/- 0.1014
Logistic Regression,34,0.6690 +/- 0.0889
Logistic Regression,35,0.6690 +/- 0.0889
Logistic Regression,77,0.6690 +/- 0.0833
ANN,92,0.6690 +/- 0.0833
ANN,75,0.6690 +/- 0.0804
Random Forest,96,0.6690 +/- 0.0804
ANN,74,0.6690 +/- 0.0774
SVM(linear),44,0.6690 +/- 0.0743
ANN,51,0.6690 +/- 0.0743
Random Forest,94,0.6690 +/- 0.0640
ANN,22,0.6690 +/- 0.0640
ANN,38,0.6690 +/- 0.0640
ANN,68,0.6690 +/- 0.0560
Random Forest,74,0.6690 +/- 0.0516
Logistic Regression,56,0.6690 +/- 0.0516
ANN,18,0.6690 +/- 0.0468
Random Forest,76,0.6690 +/- 0.0468
SVM(linear),66,0.6690 +/- 0.0352
SVM(linear),68,0.6690 +/- 0.0352
Logistic Regression,58,0.6690 +/- 0.0352
SVM(linear),70,0.6690 +/- 0.0276
SVM(linear),71,0.6690 +/- 0.0276
SVM(linear),72,0.6690 +/- 0.0276
SVM(linear),26,0.6621 +/- 0.1222
Logistic Regression,45,0.6621 +/- 0.1222
Logistic Regression,33,0.6621 +/- 0.1202
Logistic Regression,32,0.6621 +/- 0.1202
ANN,98,0.6621 +/- 0.1032
Logistic Regression,29,0.6621 +/- 0.1009
Naive Bayes,9,0.6621 +/- 0.0961
Logistic Regression,3,0.6621 +/- 0.0961
Logistic Regression,43,0.6621 +/- 0.0935
Logistic Regression,30,0.6621 +/- 0.0935
Logistic Regression,42,0.6621 +/- 0.0910
SVM(linear),59,0.6621 +/- 0.0856
ANN,42,0.6621 +/- 0.0798
ANN,49,0.6621 +/- 0.0798
Logistic Regression,59,0.6621 +/- 0.0798
Naive Bayes,5,0.6621 +/- 0.0703
SVM(linear),63,0.6621 +/- 0.0703
ANN,39,0.6621 +/- 0.0669
ANN,85,0.6621 +/- 0.0593
Random Forest,69,0.6621 +/- 0.0593
Logistic Regression,1,0.6621 +/- 0.0552
ANN,59,0.6621 +/- 0.0507
Logistic Regression,61,0.6621 +/- 0.0457
Logistic Regression,62,0.6621 +/- 0.0457
Random Forest,73,0.6621 +/- 0.0402
ANN,1,0.6621 +/- 0.0402
ANN,21,0.6621 +/- 0.0402
Naive Bayes,6,0.6552 +/- 0.1133
SVM(linear),25,0.6552 +/- 0.1023
Logistic Regression,41,0.6552 +/- 0.1023
ANN,43,0.6552 +/- 0.0951
SVM(linear),75,0.6552 +/- 0.0899
ANN,23,0.6552 +/- 0.0872
ANN,54,0.6552 +/- 0.0845
ANN,30,0.6552 +/- 0.0786
ANN,20,0.6552 +/- 0.0786
ANN,24,0.6552 +/- 0.0723
Logistic Regression,39,0.6552 +/- 0.0723
Random Forest,88,0.6552 +/- 0.0690
ANN,65,0.6552 +/- 0.0654
Logistic Regression,55,0.6552 +/- 0.0654
ANN,41,0.6552 +/- 0.0654
Random Forest,95,0.6552 +/- 0.0577
Random Forest,87,0.6552 +/- 0.0577
ANN,12,0.6552 +/- 0.0534
Random Forest,65,0.6552 +/- 0.0488
Random Forest,77,0.6552 +/- 0.0308
Naive Bayes,7,0.6483 +/- 0.1260
SVM(linear),45,0.6483 +/- 0.1162
ANN,34,0.6483 +/- 0.1162
ANN,27,0.6483 +/- 0.1055
SVM(linear),73,0.6483 +/- 0.1009
SVM(linear),27,0.6483 +/- 0.1009
ANN,3,0.6483 +/- 0.0856
SVM(linear),74,0.6483 +/- 0.0828
SVM(linear),61,0.6483 +/- 0.0828
ANN,102,0.6483 +/- 0.0798
Logistic Regression,84,0.6483 +/- 0.0736
Random Forest,82,0.6483 +/- 0.0736
Logistic Regression,79,0.6483 +/- 0.0736
SVM(linear),79,0.6483 +/- 0.0736
Logistic Regression,38,0.6483 +/- 0.0703
SVM(linear),41,0.6483 +/- 0.0703
ANN,40,0.6483 +/- 0.0669
Logistic Regression,95,0.6483 +/- 0.0669
Logistic Regression,94,0.6483 +/- 0.0669
Random Forest,92,0.6483 +/- 0.0632
Logistic Regression,2,0.6483 +/- 0.0593
SVM(linear),43,0.6483 +/- 0.0593
Random Forest,71,0.6483 +/- 0.0552
SVM(linear),2,0.6483 +/- 0.0552
ANN,87,0.6483 +/- 0.0507
ANN,93,0.6483 +/- 0.0507
ANN,2,0.6483 +/- 0.0457
SVM(linear),42,0.6483 +/- 0.0402
Logistic Regression,87,0.6483 +/- 0.0338
Logistic Regression,57,0.6483 +/- 0.0258
ANN,73,0.6414 +/- 0.0915
ANN,48,0.6414 +/- 0.0861
Logistic Regression,81,0.6414 +/- 0.0833
SVM(linear),3,0.6414 +/- 0.0833
Logistic Regression,80,0.6414 +/- 0.0833
Naive Bayes,8,0.6414 +/- 0.0804
Logistic Regression,103,0.6414 +/- 0.0676
Logistic Regression,102,0.6414 +/- 0.0676
Logistic Regression,91,0.6414 +/- 0.0640
SVM(linear),62,0.6414 +/- 0.0640
ANN,97,0.6414 +/- 0.0640
Logistic Regression,83,0.6414 +/- 0.0640
Logistic Regression,92,0.6414 +/- 0.0640
Logistic Regression,37,0.6414 +/- 0.0640
Logistic Regression,89,0.6414 +/- 0.0640
Logistic Regression,90,0.6414 +/- 0.0640
Logistic Regression,93,0.6414 +/- 0.0640
Random Forest,97,0.6414 +/- 0.0601
Logistic Regression,60,0.6414 +/- 0.0601
ANN,81,0.6414 +/- 0.0560
Random Forest,86,0.6414 +/- 0.0352
Logistic Regression,86,0.6414 +/- 0.0276
Logistic Regression,88,0.6414 +/- 0.0276
Random Forest,93,0.6414 +/- 0.0169
SVM(linear),33,0.6345 +/- 0.1166
SVM(linear),40,0.6345 +/- 0.0915
ANN,71,0.6345 +/- 0.0889
SVM(linear),54,0.6345 +/- 0.0889
ANN,35,0.6345 +/- 0.0833
Logistic Regression,97,0.6345 +/- 0.0804
Logistic Regression,99,0.6345 +/- 0.0804
Logistic Regression,100,0.6345 +/- 0.0804
Logistic Regression,98,0.6345 +/- 0.0804
Logistic Regression,101,0.6345 +/- 0.0804
Logistic Regression,82,0.6345 +/- 0.0743
SVM(linear),84,0.6345 +/- 0.0710
ANN,100,0.6345 +/- 0.0710
Logistic Regression,96,0.6345 +/- 0.0640
SVM(linear),56,0.6345 +/- 0.0601
Logistic Regression,53,0.6345 +/- 0.0601
ANN,56,0.6345 +/- 0.0601
Logistic Regression,54,0.6345 +/- 0.0516
ANN,37,0.6345 +/- 0.0468
ANN,57,0.6276 +/- 0.1099
SVM(poly),15,0.6276 +/- 0.1099
SVM(poly),16,0.6276 +/- 0.1099
SVM(linear),28,0.6276 +/- 0.1009
SVM(linear),30,0.6276 +/- 0.0935
ANN,84,0.6276 +/- 0.0910
Random Forest,90,0.6276 +/- 0.0828
ANN,46,0.6276 +/- 0.0798
Logistic Regression,47,0.6276 +/- 0.0798
ANN,76,0.6276 +/- 0.0768
SVM(linear),80,0.6276 +/- 0.0736
Logistic Regression,36,0.6276 +/- 0.0703
SVM(linear),53,0.6276 +/- 0.0669
Naive Bayes,15,0.6276 +/- 0.0669
Logistic Regression,51,0.6276 +/- 0.0593
Logistic Regression,50,0.6276 +/- 0.0593
ANN,82,0.6276 +/- 0.0593
SVM(linear),57,0.6276 +/- 0.0593
Logistic Regression,46,0.6276 +/- 0.0593
Logistic Regression,85,0.6276 +/- 0.0593
Logistic Regression,52,0.6276 +/- 0.0552
SVM(linear),36,0.6276 +/- 0.0507
ANN,91,0.6276 +/- 0.0457
SVM(linear),37,0.6276 +/- 0.0457
Logistic Regression,49,0.6276 +/- 0.0402
ANN,33,0.6207 +/- 0.1344
ANN,60,0.6207 +/- 0.0951
ANN,52,0.6207 +/- 0.0845
SVM(linear),81,0.6207 +/- 0.0816
SVM(linear),82,0.6207 +/- 0.0816
SVM(linear),38,0.6207 +/- 0.0816
ANN,86,0.6207 +/- 0.0755
ANN,63,0.6207 +/- 0.0755
SVM(linear),85,0.6207 +/- 0.0755
SVM(linear),55,0.6207 +/- 0.0617
Naive Bayes,17,0.6207 +/- 0.0577
ANN,88,0.6207 +/- 0.0436
ANN,96,0.6138 +/- 0.1099
SVM(linear),91,0.6138 +/- 0.1099
SVM(linear),89,0.6138 +/- 0.1055
SVM(linear),90,0.6138 +/- 0.1055
SVM(linear),29,0.6138 +/- 0.0798
SVM(poly),12,0.6138 +/- 0.0736
SVM(linear),83,0.6138 +/- 0.0669
ANN,53,0.6138 +/- 0.0552
SVM(linear),1,0.6138 +/- 0.0552
ANN,55,0.6138 +/- 0.0552
ANN,103,0.6138 +/- 0.0552
SVM(linear),47,0.6138 +/- 0.0507
SVM(linear),46,0.6138 +/- 0.0507
Naive Bayes,4,0.6138 +/- 0.0457
SVM(linear),88,0.6138 +/- 0.0338
SVM(linear),86,0.6138 +/- 0.0338
SVM(linear),87,0.6138 +/- 0.0338
SVM(linear),32,0.6069 +/- 0.1319
SVM(linear),34,0.6069 +/- 0.1014
SVM(linear),49,0.6069 +/- 0.0941
ANN,95,0.6069 +/- 0.0804
SVM(poly),17,0.6069 +/- 0.0710
Logistic Regression,48,0.6069 +/- 0.0560
XGBoost,2,0.6069 +/- 0.0516
Naive Bayes,18,0.6069 +/- 0.0352
SVM(linear),93,0.6000 +/- 0.1301
SVM(linear),94,0.6000 +/- 0.1301
SVM(linear),96,0.6000 +/- 0.1301
SVM(linear),95,0.6000 +/- 0.1301
SVM(linear),92,0.6000 +/- 0.1301
SVM(linear),52,0.6000 +/- 0.1037
SVM(linear),39,0.6000 +/- 0.0990
SVM(linear),31,0.6000 +/- 0.0941
SVM(linear),50,0.6000 +/- 0.0915
ANN,101,0.6000 +/- 0.0833
SVM(poly),18,0.6000 +/- 0.0833
SVM(poly),14,0.6000 +/- 0.0710
Naive Bayes,16,0.6000 +/- 0.0710
SVM(poly),13,0.6000 +/- 0.0710
Naive Bayes,1,0.6000 +/- 0.0676
SVM(poly),11,0.6000 +/- 0.0601
Random Forest,2,0.6000 +/- 0.0516
ANN,94,0.6000 +/- 0.0516
Naive Bayes,19,0.6000 +/- 0.0468
ANN,99,0.6000 +/- 0.0352
SVM(linear),102,0.5931 +/- 0.1298
SVM(linear),101,0.5931 +/- 0.1298
SVM(linear),98,0.5931 +/- 0.1298
SVM(linear),100,0.5931 +/- 0.1298
SVM(linear),103,0.5931 +/- 0.1298
SVM(linear),97,0.5931 +/- 0.1298
SVM(linear),99,0.5931 +/- 0.1298
SVM(poly),19,0.5931 +/- 0.1032
SVM(linear),35,0.5931 +/- 0.0669
ANN,89,0.5862 +/- 0.1046
ANN,83,0.5862 +/- 0.1023
SVM(poly),2,0.5862 +/- 0.0786
SVM(linear),48,0.5862 +/- 0.0723
ANN,90,0.5862 +/- 0.0654
SVM(poly),8,0.5862 +/- 0.0617
SVM(poly),9,0.5793 +/- 0.0856
Naive Bayes,79,0.5793 +/- 0.0828
Naive Bayes,2,0.5793 +/- 0.0798
SVM(linear),51,0.5793 +/- 0.0703
ANN,80,0.5724 +/- 0.1187
Naive Bayes,28,0.5724 +/- 0.0990
SVM(poly),1,0.5724 +/- 0.0941
SVM(poly),6,0.5724 +/- 0.0804
SVM(poly),3,0.5724 +/- 0.0804
SVM(poly),5,0.5724 +/- 0.0601
SVM(poly),20,0.5724 +/- 0.0601
SVM(poly),4,0.5724 +/- 0.0560
Naive Bayes,31,0.5655 +/- 0.1226
Naive Bayes,30,0.5655 +/- 0.1125
Naive Bayes,26,0.5655 +/- 0.0743
SVM(poly),45,0.5655 +/- 0.0710
Naive Bayes,89,0.5655 +/- 0.0710
SVM(poly),43,0.5655 +/- 0.0710
Naive Bayes,3,0.5655 +/- 0.0601
Naive Bayes,81,0.5586 +/- 0.1009
Naive Bayes,74,0.5586 +/- 0.0883
Naive Bayes,24,0.5586 +/- 0.0856
SVM(poly),44,0.5586 +/- 0.0798
Naive Bayes,88,0.5586 +/- 0.0768
ANN,50,0.5586 +/- 0.0768
Naive Bayes,75,0.5586 +/- 0.0736
Naive Bayes,77,0.5586 +/- 0.0736
Naive Bayes,78,0.5586 +/- 0.0736
Naive Bayes,27,0.5586 +/- 0.0736
SVM(poly),10,0.5586 +/- 0.0736
SVM(poly),7,0.5586 +/- 0.0703
Naive Bayes,22,0.5586 +/- 0.0632
Naive Bayes,101,0.5586 +/- 0.0593
Naive Bayes,90,0.5586 +/- 0.0593
Naive Bayes,100,0.5586 +/- 0.0593
SVM(poly),21,0.5586 +/- 0.0507
SVM(poly),22,0.5586 +/- 0.0507
Naive Bayes,25,0.5517 +/- 0.0925
Naive Bayes,71,0.5517 +/- 0.0845
Naive Bayes,73,0.5517 +/- 0.0845
Naive Bayes,72,0.5517 +/- 0.0845
Naive Bayes,70,0.5517 +/- 0.0845
SVM(poly),24,0.5517 +/- 0.0786
SVM(poly),25,0.5517 +/- 0.0786
Naive Bayes,76,0.5517 +/- 0.0786
Naive Bayes,21,0.5517 +/- 0.0617
SVM(poly),28,0.5517 +/- 0.0577
SVM(poly),29,0.5517 +/- 0.0577
Naive Bayes,20,0.5517 +/- 0.0577
Naive Bayes,91,0.5517 +/- 0.0534
SVM(poly),42,0.5517 +/- 0.0488
SVM(poly),26,0.5448 +/- 0.1222
Naive Bayes,29,0.5448 +/- 0.1032
Naive Bayes,84,0.5448 +/- 0.0935
Naive Bayes,80,0.5448 +/- 0.0856
Naive Bayes,34,0.5448 +/- 0.0856
Naive Bayes,64,0.5448 +/- 0.0828
Naive Bayes,63,0.5448 +/- 0.0828
Naive Bayes,23,0.5448 +/- 0.0828
Naive Bayes,66,0.5448 +/- 0.0736
Naive Bayes,87,0.5448 +/- 0.0593
SVM(poly),41,0.5448 +/- 0.0457
Naive Bayes,33,0.5379 +/- 0.0941
Naive Bayes,85,0.5379 +/- 0.0889
Naive Bayes,82,0.5379 +/- 0.0833
Naive Bayes,65,0.5379 +/- 0.0804
Naive Bayes,67,0.5379 +/- 0.0710
Naive Bayes,52,0.5379 +/- 0.0710
SVM(poly),23,0.5379 +/- 0.0676
SVM(poly),40,0.5379 +/- 0.0676
Naive Bayes,99,0.5379 +/- 0.0640
SVM(poly),27,0.5379 +/- 0.0601
Naive Bayes,93,0.5379 +/- 0.0601
Naive Bayes,102,0.5379 +/- 0.0468
Naive Bayes,45,0.5379 +/- 0.0468
Naive Bayes,32,0.5310 +/- 0.1103
SVM(poly),36,0.5310 +/- 0.0966
Naive Bayes,69,0.5310 +/- 0.0966
Naive Bayes,86,0.5310 +/- 0.0861
Naive Bayes,68,0.5310 +/- 0.0710
Naive Bayes,35,0.5310 +/- 0.0676
SVM(poly),39,0.5310 +/- 0.0676
SVM(poly),46,0.5310 +/- 0.0640
