,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,TRBV7-2,TRBV5-6,TRAV38-1,TRBV30,TRBV28,TRBV6-2,TRAV23DV6,TRAV8-6,TRGV9,TRAV8-4,TRBV7-9,TRAV20,TRBV11-3,TRGV2,TRBV29-1,TRBV6-5,TRAV8-3,TRAV1-1,TRBV19,TRAV10,TRBV5-1,TRAV5,TRAV30,TRBV20-1,TRAV16,TRAV34,TRAV2,TRAV12-3,TRDV1,TRAV6,TRBV16,TRAV40,TRBV4-2,TRGV4,TRBV23-1,TRGV8,TRAV8-1,TRAV12-2,TRAV22,TRDV3,TRAV18,TRAV1-2,TRBV10-3,TRAV8-2,TRBV10-2,TRBV12-3,TRAV27,TRBV5-5,TRBV6-1,TRAV3,TRBV3-1,TRBV9,TRBV12-4,TRBV14,TRGV10,Diagnosis
RNA140_FPKM,7.747354696,13.99047683,3.26847559,0.328291675,2.650977276,8.514052877,1.802696981,2.72550615,1.659003743,9.875550455,3.81560367,4.63660324,5.211433376,3.004280131,5.075267658,2.357868892,4.263209149,12.22569058,4.208351678,7.84350441,2.040412935,7.131910632,4.309313599,1.759247288,5.25612448,5.114598304,9.244320845,4.443471878,0.557037753,11.12411717,1.54938784,0.3975407,5.620719287,5.46308488,17.81986756,0.899802576,6.530219083,5.985182094,2.067221713,5.694796599,7.697001744,2.067490949,1.168074064,2.805567785,1.518554251,15.44843419,7.608717646,5.645552104,10.23012766,1.812209894,2.106707433,6.503816229,0.905725236,13.67319726,2.087621732,0.874582821,4.385715159,4.590121002,1.960963739,1.700068192,0.0,0.481563497,3.354349176,5.102242418,1.759247288,1.956773646,5.001332348,9.088797089,2.13805378,0.0,0.693703192,3.98635762,6.013740285,5.123325303,0.77273267,11.94111499,1.795563383,4.360653929,9.13445526,7.645911015,1.561275726,1.565278997,1.315694387,0.0,14.30842768,1
RNA145_FPKM,2.224653302,3.652312513,2.040359316,0.0,0.724990406,1.509148418,0.575221921,1.521817516,1.190971472,2.577980592,5.197454983,3.143692455,2.850602288,0.575221921,1.214562198,0.820705432,2.856479802,1.50992834,1.879892226,2.0333777,1.56241248,1.877340699,1.718653728,0.84199174,1.304415014,5.091621373,5.031672979,0.924671187,0.0,4.046192672,0.556242517,0.0,1.241520398,3.758423312,6.02018106,2.067248588,0.0,0.911462898,2.399766376,1.713223495,1.052579593,0.719633334,0.931747752,3.088263273,0.545173014,5.879281604,3.427410375,1.677082276,5.690096543,0.385450044,1.120288089,2.075079075,1.083813409,0.884370747,3.552422304,0.627964332,2.51871667,4.942979341,0.625634119,1.988865889,0.0,0.0,0.64213436,8.918286362,0.42099587,2.18517387,1.544244893,5.252654995,0.787166204,0.171938788,0.49808989,2.362157677,0.0,1.161512813,1.664344943,4.643459101,1.718653728,0.834774668,1.821515796,2.392598304,0.747240751,0.749156753,0.0,0.719633334,9.55863769,0
RNA150_FPKM,5.338170356,8.089294113,4.669818437,1.565625988,0.401442561,2.507110917,1.273868914,2.166714537,1.905034037,4.758514894,0.466676977,5.324656001,6.510911835,1.061557428,2.305672476,1.590547001,2.25966794,8.9880636,4.31233667,3.291229953,1.730281841,2.645956693,1.52264802,1.864914722,2.476245185,7.156766361,10.18377415,1.843078695,0.787257188,4.245229481,1.231837706,0.0,2.291520568,9.410465862,11.11180464,1.144679378,2.373320569,2.739758267,1.072372964,4.48451838,0.932457361,9.56383137,1.857183889,2.676679617,2.615867633,13.61370667,6.167856658,2.682598951,2.784428239,1.49402304,1.240654541,5.055898909,0.720095039,1.371028408,3.688272595,0.0,6.043790575,6.082210086,0.346426878,1.601795565,0.0,0.510351268,1.955598762,6.584361838,2.797372082,5.185473984,2.22321097,4.544603245,0.348666707,0.570993007,0.183842446,1.40854411,3.29739588,3.715970177,1.22871913,10.28478787,1.712979022,3.929208674,7.665653947,3.429048971,0.206881524,1.037059949,3.387248857,0.398476237,6.003764127,1
RNA151_FPKM,1.288567643,3.827933351,1.620782784,0.311894512,3.599505189,0.299650719,0.0,2.374451696,0.525579924,2.773078582,1.534261096,2.570610893,1.415220089,0.0,0.689121421,0.814944152,0.270076254,4.872743301,1.466573106,2.640185944,0.0,1.525198181,1.365271145,0.0,0.369976909,2.333405777,2.756485684,0.367166957,0.0,4.017655995,0.0,0.0,1.849248786,1.622530614,11.95533943,0.513149842,1.063939038,2.197801847,0.794268591,1.855779008,0.417956623,1.071800656,0.740102342,2.533191188,0.721691836,3.538050223,1.276102834,1.295141968,0.919738499,1.339566363,0.222440105,1.442317192,3.013030572,1.756104563,0.881824068,0.415561456,0.625217049,2.544840358,1.087142723,0.718119105,0.0,0.228847271,0.95637597,2.846360818,0.0,0.619914783,1.686714101,2.444799748,0.0,0.0,0.0,1.984616343,0.0,1.537739143,0.550824135,2.482619322,0.511942431,1.450559004,5.426114154,1.676994903,0.0,0.0,0.535900328,0.0,1.699922568,0
RNA152_FPKM,5.548622644,7.941226864,3.131594657,0.723220714,1.877868558,3.127010273,1.544849528,3.503498036,2.89414792,5.935188126,4.850874911,7.450251304,6.56255686,1.103397143,2.596386368,0.94465627,2.97499004,15.6431315,3.245887887,3.600998567,10.34177447,10.21568842,2.57194979,0.969157441,3.860900439,6.988074083,12.18291351,4.044480131,0.204614792,5.88327686,1.920764033,0.0,1.905621387,11.28615192,10.62588916,0.595023675,3.083794669,3.597083713,2.762368274,3.764953114,12.1156233,3.313496585,1.072434468,3.091298402,0.836561274,7.793022691,4.931572818,1.930563849,7.616161748,1.553001768,1.160707099,1.911035084,0.748635128,14.04767781,1.789020274,0.481929395,4.59071739,5.900628272,1.620516122,1.456900174,0.727060629,0.265289209,1.478427142,8.921495012,0.727060629,1.796556886,1.599959892,8.880519655,0.906022223,0.989163086,0.57338645,2.719101146,4.341221879,2.376819105,1.490095367,10.4846405,2.374075251,5.765611323,7.548493627,4.212249175,1.935501353,1.940464177,4.970354589,0.0,10.18184232,0
RNA155_FPKM,1.785460172,6.513876522,0.727849885,0.0,0.77589159,3.71459999,0.410346864,1.395912101,1.840861628,6.207300926,5.110922805,11.08178933,4.003717658,0.0,11.88283944,1.976043,3.63899471,13.12880228,2.299023624,5.858353182,12.12205599,1.826267256,6.43729632,1.576938166,3.190481764,6.705999204,4.827342606,2.374644407,6.085979813,9.571370521,0.992018752,0.0,0.664343436,4.721436946,33.28525584,0.0,2.484488065,2.229356242,2.567998768,1.000056431,2.477848597,7.701078653,0.598248043,2.87381096,1.749928627,4.575534346,4.584613379,1.395912101,4.24818034,2.681149389,1.198838015,4.219267286,0.927846619,2.838977661,2.851016842,0.223985896,1.347777201,2.350838448,1.841142319,1.160956599,0.0,0.493192919,1.546090787,6.70322677,1.126384404,3.674562644,1.817787449,17.21428149,4.548453265,0.551795842,0.35532308,3.305571963,0.0,1.795327948,0.395802925,13.37824419,1.103591685,1.340075617,4.288517001,3.614583973,1.199556179,0.0,1.155237601,0.577618801,12.51891878,0
RNA165_FPKM,15.16011042,7.0759253,6.706509011,1.133400249,3.051382558,2.359265911,1.152778598,0.522752797,3.659967378,8.783946334,0.33777873,5.114688588,8.141052763,0.691768257,1.877897439,0.98703982,2.453679585,4.993487138,4.682597625,5.078561388,1.174354668,1.847184163,1.86022311,0.759549585,3.137008089,3.296802066,7.71973673,2.446176611,0.641274224,8.707118815,1.114742756,0.457408697,1.244217127,3.93006328,11.1005604,1.035869447,0.214724865,2.348709335,1.417585382,2.996691699,1.012640276,5.625047788,1.344467132,3.22929832,7.210744487,7.712650472,4.121549581,3.137008089,9.38856646,0.695418749,0.808329932,2.495503669,0.782088149,9.783544757,2.669961372,0.0,4.291008267,5.503626396,0.188056681,3.043829631,0.0,0.554084983,1.158310144,13.66095583,1.77191235,3.378404587,3.157020881,5.526990198,0.757297793,0.206641105,0.0,3.277676461,2.148355494,1.551974013,2.001505878,11.16781198,1.86022311,0.75303916,9.638061717,4.400326401,1.572515564,0.675804375,1.298106196,0.64917169,7.720276396,0
RNA174_FPKM,3.665855069,9.807514898,2.540381783,1.380477425,1.194588363,5.968560663,2.316735803,2.627012919,0.145383055,8.49642165,12.96248944,7.313375597,7.437283544,0.210633717,3.430752725,2.254002513,3.287435161,10.16011006,4.277780891,4.639421654,4.505618277,5.624473561,7.74127198,1.156360895,2.86589459,7.099273519,8.005231523,6.094366289,1.171336035,5.848708513,2.647663028,0.626964423,1.591134721,3.410734549,14.99055203,0.378544557,5.297334749,2.860694812,4.023774552,3.421854562,1.849919316,1.383425016,6.550453001,4.720179369,1.197559976,11.93875703,7.765481005,3.889281488,11.33874245,1.6937256,1.107627989,5.243193545,0.0,8.354609969,2.438981443,1.149734185,4.611637326,6.837795661,2.405633146,3.178053395,0.0,0.506318272,2.116324807,0.0,2.312463674,5.486704223,1.696458551,16.22901937,1.383452592,1.699231644,1.094134342,3.792533193,5.015228608,2.693636649,1.218782558,9.809814279,2.454539372,2.751222248,5.002760648,10.20435076,0.820986661,0.411545877,2.569406978,0.790654641,8.619886141,1
RNA179_FPKM,2.918341468,3.193962607,2.600092626,0.883077709,5.095047336,1.866689128,0.862178655,1.711051396,3.719753762,2.415695503,5.054264126,4.574381962,2.203603752,0.862178655,1.365589713,0.46146667,1.529490635,2.546626367,0.754836645,1.406968601,0.878315688,1.535173683,5.024576809,0.473435546,1.88570256,4.403749974,2.146027407,1.6634287,0.199856611,5.507352601,1.042211002,0.427818059,0.0,6.614557971,6.769052778,0.0,2.81131183,0.878381822,0.899442003,4.378047072,0.946657255,1.213724635,3.771405121,5.737113139,0.612993039,6.009598076,4.817005104,2.514143888,9.522526615,0.433462096,0.377949696,4.433329189,0.731226118,4.573903007,1.997125643,0.235361224,1.179974525,0.823283377,1.231077664,0.203319473,0.0,0.259120086,0.541589454,6.565754779,1.183375028,6.142235782,2.257263153,2.030286603,0.0,0.0,0.186684244,2.04312555,2.231892584,1.451124507,0.0,3.21297964,1.932556402,0.704066291,1.228858359,1.107732696,0.420158912,0.210618121,0.404635799,0.0,10.58719263,0
RNA18_FPKM,14.40388634,2.970097712,3.216480661,1.238172125,1.632791411,6.287553156,1.942991704,1.468705767,0.0,12.09532619,4.586847671,0.0,7.823672021,0.215918374,1.562980852,6.006939192,8.117507152,8.076073974,3.175092123,5.635878994,0.219959627,3.074592553,2.709411945,0.0,0.0,6.173983615,2.735154576,0.0,2.001071715,9.831285903,0.626382491,0.428463023,5.358854536,3.127942983,14.46100746,2.909823059,3.619695388,2.052584807,3.223554073,2.981216446,1.896296653,0.405245815,0.0,6.65243707,0.0,6.419403635,5.306189884,1.468750098,5.959902471,0.0,0.630705886,6.308906968,2.196676081,6.571962205,6.749955176,0.0,7.799483881,6.390201979,3.874541222,1.628749848,0.0,0.0,0.0,0.836845986,0.0,5.272277114,1.738774788,8.317282396,2.4816812,8.902003064,0.0,5.319577991,0.0,1.453075044,0.0,9.652521034,2.515847473,0.0,19.07499194,6.338855808,2.734616819,0.0,0.0,0.0,13.97575514,1
