,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Y_RNA.387,Y_RNA.213,Y_RNA.398,RN7SKP292,RN7SL172P,Y_RNA.510,Metazoa_SRP.55,Metazoa_SRP.24,Y_RNA.464,Y_RNA.680,RN7SL648P,RN7SL128P,Y_RNA.655,RN7SKP80,Y_RNA.206,RN7SL263P,Y_RNA.237,Diagnosis
RNA277_FPKM,5.715238735,12.1438083,0.0,0.32483174,63.81679644,1.067304288,13.12867363,1.905416522,0.306387035,0.320543532,1.735290047,0.292544248,0.998209505,0.0,4.047936101,0.0,0.0,0.0,0.686757898,0.830125558,1.674919159,1.033241386,0
RNA288_FPKM,8.1644964,0.788451543,1.339669878,0.759735606,17.07106484,4.991593302,19.77913157,0.742072041,0.238773969,0.499612859,0.675815608,0.0,0.259216946,0.0,6.30851757,0.0,0.248168355,2.524010512,2.139991826,6.470831493,1.305322905,1.610454216,0
RNA29_FPKM,15.15139788,2.299765749,3.907566583,0.0,85.13874858,0.0,11.93391956,3.607475685,0.232153009,0.728638653,1.314151857,0.0,2.268262109,0.0,1.533177166,1.222466843,0.0,0.0,0.520088367,3.144978802,1.776370786,0.782898978,0
RNA295_FPKM,10.50285632,4.882226905,1.184989191,0.224021562,45.29308104,2.207540941,11.4605086,1.312782143,0.633710491,0.883853324,1.793627015,0.201754358,0.0,0.0,4.184493082,0.222533047,0.0,0.0,1.183003549,3.433430221,0.461737168,0.712579223,0
RNA3_FPKM,1.85236852,10.82251371,1.672049461,0.947503918,51.85566052,1.038140599,18.72002371,3.703671236,0.893702434,0.934995616,0.843489237,0.284550586,0.323530118,0.0,2.951079912,0.627712921,0.0,0.0,2.00253023,3.22884159,2.605716015,2.010016905,0
RNA302_FPKM,10.29638933,4.688876706,0.0,0.250973896,119.1469941,0.0,11.48916931,0.735697989,0.946529255,1.73305563,0.670010669,0.226027696,1.798341972,0.0,1.562759239,0.498421551,0.0,0.0,0.0,3.847283451,0.776089938,0.798310584,0
RNA303_FPKM,11.06588277,6.270620043,0.0,0.0,16.96764281,0.82680226,8.135162394,0.0,0.474694042,0.4966271,2.687709835,0.0,0.0,0.0,0.0,0.249963474,0.0,0.0,1.063687285,0.0,1.038012074,0.800414954,1
RNA31_FPKM,24.45965041,6.063577584,0.0,0.834437443,32.61259397,0.914213945,12.73682255,0.0,1.311672308,1.646843534,0.0,0.250582738,0.0,0.0,1.732326316,0.276390262,0.272765472,0.0,0.881614118,1.421395952,0.286874031,1.769184323,1
RNA314_FPKM,4.635743071,6.896507447,0.837251866,1.265341431,27.81643402,4.157550416,6.815976759,0.927543734,0.0,0.312242445,0.844727329,0.284968256,0.324005003,0.0,0.985515217,0.314317146,0.0,0.0,1.336880169,0.808627871,0.0,1.006483626,1
RNA319_FPKM,6.775398389,0.799784822,0.0,0.2567871,17.31524054,0.843729043,7.610142983,0.752738656,0.484412258,1.013841324,0.0,0.231263081,0.0,0.0,0.0,0.0,0.0,0.0,1.085490888,0.6562337,0.794269064,0.81680152,0
RNA32_FPKM,21.44797708,4.143790719,4.400284093,1.662983621,79.94319106,1.092617511,10.75063597,3.900038324,2.195862743,1.969175895,4.439572344,1.198204545,1.362342154,1.949572422,5.179501068,0.660652449,0.977982231,0.0,2.108340269,11.04913492,0.34285584,1.05774674,1
RNA328_FPKM,8.580844408,7.459770505,3.520761279,0.798454393,39.78371278,2.623493004,14.33679368,3.900451221,1.004075533,2.363491645,0.710304291,0.479241449,0.0,1.559883932,4.144229422,1.057448319,0.260833051,0.0,0.84359669,6.120837337,0.274324416,0.846320006,0
RNA331_FPKM,67.04836671,13.08488367,1.234931952,0.700194444,22.57710961,0.767151959,9.430546791,1.368110888,0.220223433,0.690950953,1.869269096,0.210273579,0.0,0.0,1.453617818,0.463612327,0.0,0.775675869,0.493100037,2.386059547,2.406244478,0.742668385,0
RNA334_FPKM,31.80137263,5.032629731,0.0,0.230732631,47.3631941,1.517008782,13.67852913,1.353409796,0.0,0.0,0.61597372,0.0,0.236263893,0.6763633,1.437997908,0.0,0.0,0.766545074,0.975602821,1.17989572,0.476026894,0.733926134,0
RNA335_FPKM,18.55555904,11.2660149,1.59504942,0.301562723,44.1793763,1.980665763,15.42726521,2.651057242,0.0,0.297581697,2.414355703,1.900268095,0.0,0.0,0.0,0.299558984,0.0,1.001858381,2.229289779,1.540517815,1.86455777,0.95922611,1
RNA336_FPKM,18.4703698,5.724297285,0.694549178,0.524976971,37.71089771,0.862462166,10.6079015,0.76945154,0.990562455,0.518046582,2.10289501,0.0,0.268781017,0.76945154,2.453377512,0.521488752,0.0,0.872045079,0.277328824,1.341607814,0.541269359,0.834936778,0
RNA35_FPKM,5.807086951,6.170029886,0.0,0.495253235,30.48565711,0.813630315,13.33989328,0.725885869,0.7006974,0.733072858,0.661074631,1.115065642,1.26781436,0.0,1.542507471,0.245981258,0.0,0.0,2.35464038,1.898470734,0.510623163,0.78766339,0
RNA358_FPKM,16.52418204,13.42621974,3.509287371,0.994601482,49.57254611,0.0,8.038401582,3.887739931,1.25094471,2.290562252,1.770779103,0.298685632,0.0,0.0,4.130723676,0.0,0.325126655,1.101818109,1.050833368,4.236864126,0.683887102,1.054932232,0
RNA365_FPKM,17.50216185,14.46300857,2.633217316,1.658491585,35.97606191,1.090309114,7.148130997,2.917191732,0.0,3.273194614,0.885876155,0.597395865,0.339788114,0.0,4.131988069,0.658921685,0.325305342,0.0,2.803683889,3.390349185,1.367830533,1.055512015,0
RNA368_FPKM,6.731446735,3.178661334,0.675261866,0.2551993,59.08488525,0.838511987,6.872480024,0.748084224,0.962622991,2.014201242,0.0,0.229833105,0.783722251,0.0,2.383821847,1.774081015,0.250178986,0.847828787,1.347901339,2.608132377,0.789127232,0.811750966,0
RNA37_FPKM,1.568787462,12.50083806,4.248220916,1.872960432,43.9252263,0.0,12.97429631,1.568787462,1.009566695,3.696746693,0.713983979,0.481976871,0.0,0.0,5.000510036,0.531615685,1.049287352,0.888513395,0.847994794,6.154115301,1.103560836,2.553005604,0
RNA379_FPKM,14.18177351,22.02188156,3.938762752,0.74407873,31.63589865,2.444830114,15.03622017,1.09117966,2.10586666,4.77406237,4.967683181,0.335241944,0.761916234,1.09117966,0.0,0.369768523,1.459279315,0.0,1.179434154,13.31384712,1.534759279,1.184046014,1
RNA38_FPKM,7.295371572,14.72719518,1.975465594,0.99556079,48.87856765,0.817486529,20.11108028,1.459179785,0.939030524,0.736724793,1.328895875,0.0,0.254764637,0.0,3.100757042,0.24714709,0.243905817,0.0,1.314713605,12.72013505,0.769750387,0.791396533,0
RNA383_FPKM,21.43284407,17.71221309,2.149458578,0.812337188,50.80446265,0.889426587,13.13048322,0.793508033,1.277097221,1.603475246,2.168650172,0.0,0.831811025,0.0,3.373979164,0.538043189,0.0,1.799455554,1.144530034,6.228562554,1.116903447,4.306806587,0
RNA385_FPKM,14.55899048,14.36415745,4.224229652,1.773888586,23.91855814,1.165471579,13.85650239,2.08007242,0.501932651,1.225346657,0.473703005,0.958509941,0.363212033,0.0,2.210076946,0.176261583,0.347730864,1.178421263,2.248942053,6.34622662,1.097328622,1.692687768,1
RNA386_FPKM,12.96596062,11.02088672,0.780557999,0.589698339,60.50866233,0.969264329,11.12082192,1.728625525,0.834456964,1.746025462,0.787527267,0.265671849,0.0,0.0,0.918781812,0.0,0.578097716,0.980033933,8.723449336,2.260879123,0.607999322,0.938330361,0
RNA39_FPKM,2.426954351,6.016240596,6.571362601,1.10371155,14.56007792,0.907082056,13.37953106,3.235389739,0.780912756,2.450706184,1.473257828,0.248627913,0.847771725,1.61769487,6.876078794,0.822423069,0.540999596,0.917160746,0.874732664,3.526104449,1.137964667,0.878132629,1
RNA392_FPKM,20.65476482,13.35868191,4.053036664,1.531749642,35.92103082,1.006964146,9.902396296,1.79587944,1.155707904,1.511528525,0.818158369,0.276005233,0.0,0.0,2.862640002,0.608570441,0.60058919,2.035330032,1.942144453,4.697665644,0.947632552,0.974826993,0
RNA409_FPKM,20.91916413,7.409175159,3.147260245,2.973435341,16.56061084,0.977275032,5.606745832,0.871882627,0.280542675,1.173730718,2.381324819,0.267867554,0.608823122,0.0,2.778212288,0.295455242,0.582873284,0.988133644,1.884864874,3.799764407,1.226346233,0.946085404,0
RNA41_FPKM,52.24406624,3.909250366,0.664023235,0.753047928,37.52745166,0.0,6.76194658,0.0,0.236702289,0.247639028,0.669952014,0.678196778,0.0,0.0,0.0,0.0,0.0,0.0,0.26514002,1.283134229,0.0,0.798240697,0
RNA418_FPKM,4.633918391,4.923538291,2.091074704,0.79027238,16.99078314,0.865817708,9.226205074,0.77244521,0.0,0.260031061,2.109745014,0.0,0.269826752,0.0,1.641446072,0.261758842,0.258325939,0.0,2.783535438,4.03982629,0.543375251,0.838185228,0
RNA431_FPKM,37.83750564,20.67537022,2.927793138,0.0,59.45835422,0.0,13.90765234,2.161676609,0.347777625,4.002999289,0.984334885,0.996507906,1.133015838,1.080838305,3.446256507,0.0,0.361460679,1.224950079,0.779120191,8.482203167,1.901143582,2.345649087,1
RNA44_FPKM,6.307073605,13.40338868,2.135371695,0.537825426,52.0363829,0.883570343,13.0408569,2.365656877,1.268475722,2.654170323,0.717900904,0.484366875,1.377078096,0.0,5.026163596,0.0,0.0,0.893387792,1.704988358,6.186399203,2.495892092,0.85537129,1
RNA442_FPKM,31.17202153,10.76438048,2.110070378,0.0,25.71682622,0.0,10.74179424,2.337626988,0.250723399,0.262307979,0.709636764,0.239395535,0.544378888,0.0,0.827909558,0.0,0.521175853,0.0,1.123382581,0.0,0.548133225,0.845524655,0
RNA454_FPKM,32.82931397,9.232905109,1.742812973,1.317618933,100.4205157,1.082583489,8.87273863,2.896597681,0.310773178,1.300224624,0.879599085,0.593186343,0.0,0.0,3.077635036,0.327292683,0.968698241,1.094612195,1.044003405,2.525239004,1.358510555,1.048032952,0
RNA457_FPKM,7.336443685,17.98780852,3.565940993,1.155069979,59.81875974,1.265076643,14.51988868,1.693209638,0.726321606,2.849634424,1.027874773,1.560461767,0.394253337,0.0,2.998222476,0.19131365,0.377449097,1.27913305,1.017064868,12.29956498,0.992515026,0.612610729,0
RNA466_FPKM,1.592865877,11.84453368,2.15603078,1.629899523,19.9070489,0.892705052,8.049042837,0.796432939,1.024819047,1.34027656,2.175281055,0.0,0.556412053,0.0,3.384037894,0.0,0.532696129,0.902623997,1.147942183,3.470972629,0.0,0.864214465,0
RNA471_FPKM,12.23548144,13.00019903,4.322042057,0.907330964,45.75089515,1.192850517,11.24341538,2.127886646,1.711792659,2.328168945,1.937896767,0.490352161,1.486605739,1.064209775,2.825957899,0.18022432,0.177860723,0.602750227,3.067765906,11.5946026,0.935489511,0.577101281,0
RNA476_FPKM,15.86985334,14.9885113,2.38750006,1.203167415,66.12617606,0.988566488,6.481928958,0.881956377,0.0,2.077671828,1.605606753,0.270962501,0.0,0.0,5.620573058,0.0,0.589599857,0.99955056,0.635434475,3.842867207,0.620096401,0.957016494,0
RNA483_FPKM,10.43746842,9.703738201,2.944394004,0.667539688,63.9305105,0.731114897,10.19056968,1.304538345,0.839700526,0.658727283,1.188061707,0.0,0.455694901,0.0,1.386071992,0.0,0.0,0.0,0.940583275,7.393396681,0.688256437,0.707781443,0
RNA488_FPKM,9.20871986,6.773778096,2.557581668,0.724874543,56.6707402,0.794167475,9.764215372,0.708521963,0.683714474,0.715305242,1.290522147,0.217678434,0.247497398,0.0,1.505609172,0.0,0.473896657,1.605983117,0.765856849,4.323200421,1.494983479,1.53764341,0
RNA499_FPKM,7.493359521,8.75825867,1.352783489,1.278258293,20.98140666,1.679830047,5.508631864,1.498671904,0.964445011,1.261383596,1.364861913,0.0,0.785392792,0.749707462,2.388903077,0.0,0.25072184,0.0,1.620472094,1.306534481,1.581357251,0.813512353,0
RNA50_FPKM,7.283185034,3.869192049,0.0,1.242282397,28.40426614,0.81653129,7.362065053,0.728473994,0.0,1.716340368,1.326863346,0.0,0.0,0.0,1.548007238,0.0,0.0,0.0,1.575076976,2.539641789,0.0,0.790471781,1
RNA504_FPKM,10.09707942,13.20409207,2.453803833,0.927357301,41.94197949,1.305993068,7.137391032,1.165150678,0.499793262,1.830229921,1.061119368,0.0,0.135712799,0.388511149,2.063152095,0.131654941,0.259728629,0.880191466,1.259706944,3.046983462,1.092786105,0.421575928,0
