,MIR4513,MIR553,MIR1244-1,Diagnosis
RNA64_FPKM,0.874766163,1.106321913,0.88505753,0
RNA66_FPKM,0.0,0.0,456.3987214,0
RNA67_FPKM,4.828401677,2.442330163,207.1521918,0
RNA69_FPKM,3.622720057,0.0,244.6386444,0
RNA7_FPKM,0.959117008,2.427114689,202.8823054,0
RNA72_FPKM,0.887725232,1.122711322,186.9082387,0
RNA74_FPKM,0.829525337,0.0,294.6838583,0
RNA75_FPKM,2.26973629,0.956849613,565.78148,0
RNA78_FPKM,0.933116748,1.18011824,218.9552074,1
RNA86_FPKM,4.495722607,1.137153365,340.2183711,1
RNA87_FPKM,3.044013023,0.0,258.7225651,0
RNA89_FPKM,0.875046812,1.10667685,455.8888656,0
RNA94_FPKM,0.0,0.0,0.9127277,1
RNA95_FPKM,1.88680405,1.193765836,190.9329295,0
RNA97_FPKM,5.559933328,1.406336077,1.125068862,0
RNA98_FPKM,3.475746259,1.46526558,172.3175837,1
R_JS001_FPKM,5.410746884,2.736181036,139.0367691,1
R_JS002_FPKM,4.493261714,0.947287081,0.757829665,1
R_JS003_FPKM,9.303982663,1.176917203,186.3791209,1
R_JS004_FPKM,3.667368017,2.319070952,300.5273868,1
R_JS005_FPKM,7.673844135,3.639433432,157.2305136,1
R_JS006_FPKM,2.905178716,0.0,252.8236518,1
R_JS007_FPKM,1.762459782,0.0,384.3367278,1
R_JS008_FPKM,8.977930992,1.262194561,165.5192309,1
R_JS009_FPKM,2.129560284,1.346633709,222.9769714,1
R_JS010_FPKM,2.355694673,1.985837415,190.6516991,1
R_JS011_FPKM,4.461451314,3.223980291,139.9262432,1
R_JS012_FPKM,8.801224748,2.473546824,154.3577578,1
R_JS013_FPKM,2.300240952,1.939418842,107.0664237,1
R_JS014_FPKM,7.424404444,1.341383996,136.2840809,1
R_JS015_FPKM,6.061665668,1.094927,84.98715793,1
R_JS016_FPKM,9.766651215,1.029410136,164.698563,1
R_JS017_FPKM,3.56455732,1.127285121,157.7806002,1
R_JS018_FPKM,7.973029555,1.260988844,219.8313194,1
R_JS019_FPKM,4.842856269,1.225484286,293.0379078,1
R_JS020_FPKM,7.234017168,2.614386193,195.5109218,1
R_JS021_FPKM,1.829998049,2.314409297,120.3291844,1
R_JS022_FPKM,8.133155994,2.571187912,117.259674,1
R_JS023_FPKM,7.555546203,1.195061528,142.3830449,1
R_JS024_FPKM,4.164476099,2.63341871,103.238743,1
R_JS025_FPKM,6.748541673,2.438877051,83.88541754,1
R_JS026_FPKM,10.15301912,2.334135671,75.64097415,1
R_JS027_FPKM,7.23780537,0.914913414,158.1685527,1
R_JS028_FPKM,8.792325926,1.111622887,249.091622,1
R_JS029_FPKM,9.72737917,1.117984399,160.1584887,1
R_JS030_FPKM,7.454434215,1.17845835,0.94276668,1
R_JS031_FPKM,3.113638811,1.31261244,179.5763545,1
R_JS032_FPKM,2.395371557,0.0,183.4010637,1
R_JS033_FPKM,0.992292691,0.0,1.003966723,1
R_JS034_FPKM,9.296544934,2.351726302,153.3088151,1
R_JS035_FPKM,0.903831409,2.284908422,197.462212,1
R_JS036_FPKM,6.641981368,2.100328327,146.17264,1
R_JS037_FPKM,3.159793546,1.332580983,136.3937273,1
R_JS038_FPKM,1.994608245,2.52259278,162.4510904,1
R_JS039_FPKM,4.508190225,0.0,352.1022491,1
R_JS040_FPKM,3.744009203,1.183767616,258.5518765,1
R_JS041_FPKM,5.805512591,2.447421975,183.0741219,1
