,RNU4-31P,RNU6-785P,RNU1-134P,RNU6-915P,RNU6-1076P,RNU6-553P,RNU6-262P,RNU4-62P,RNU6-1016P,RNU1-22P,RNU7-181P,RNU4-82P,RNU6-375P,RNU6-1152P,RNU6-1278P,RNU6-1153P,RNU6-442P,RNU6-30P,RNVU1-4,RNU6-878P,RNU6-1043P,RNU6-223P,RNU6ATAC39P,RNU6-1237P,RNU6-838P,RNU6-322P,RNU6-32P,RNU6-88P,RNU5A-6P,RNU6-118P,RNU6-1262P,RNU6-1128P,RNU6-226P,RNU6-48P,U2.4,RNU6-5P,U6.16,RNU6-1231P,RNU6-595P,RNU6-100P,RNU6-767P,RNU6-877P,Diagnosis
RNA303_FPKM,0.533609969,0.723451977,0.455993974,0.0,0.0,0.0,0.0,1.736284746,0.800414954,0.476196238,4.067885156,0.0,0.0,0.0,0.0,2.866890491,0.0,0.703168277,2.753058005,3.420568247,0.0,0.0,0.504959769,0.0,0.0,4.383509834,1.406336554,0.752390057,0.0,8.114671972,0.783739642,1.380532214,0.703168277,0.0,2.757803762,11.25195372,0.0,0.0,2.813303753,0.0,0.0,0.0,1
RNA31_FPKM,0.590024603,1.599070446,0.0,0.0,0.799937201,0.0,0.0,7.036874711,1.769184323,1.579093641,2.247342248,0.0,0.0,0.0,0.777509056,0.792318752,0.0,0.0,0.0,1.511848422,0.84033807,0.0,1.674475136,0.0,1.539845615,4.844597968,2.331745751,1.663033264,0.0,4.892094026,0.0,0.763242834,0.0,0.777509056,0.870698044,20.98493034,0.799937201,0.0,5.440219141,0.0,0.777509056,0.0,1
RNA314_FPKM,1.34126359,0.0,1.146170704,0.918538455,0.0,0.0,0.0,1.454755124,2.011895385,0.598794056,2.555650894,0.675781863,0.946094609,0.884200569,0.0,1.801125392,0.0,0.884200569,1.730046506,0.860086008,0.95565112,0.0,0.634962825,0.884200569,0.0,3.673175611,0.884200569,0.946094609,0.0,2.781643402,0.0,0.0,0.0,2.651660066,4.456454875,15.90996039,0.909706354,0.0,5.303320131,0.0,0.0,0.0,1
RNA319_FPKM,0.0,0.738262912,0.0,0.0,0.738262912,0.0,0.0,2.363030163,0.0,0.485945208,3.112676063,0.548423878,0.0,0.717563952,0.0,1.462463674,0.0,0.717563952,1.404500175,1.395988052,0.0,0.0,1.030595206,0.0,0.0,2.982465255,0.0,1.535586858,0.0,3.764443766,0.0,1.408795282,0.0,0.717563952,2.814303403,10.04732617,0.738262912,0.0,2.152691857,0.0,0.0,0.0,0
RNA32_FPKM,0.0,2.868120967,0.0,0.0,0.956040322,1.035710349,0.0,1.529664516,5.289703219,2.51774626,5.3757285,1.420402765,0.994281935,0.0,0.0,0.946935176,0.956040322,0.929235454,0.606269473,5.42418451,1.004325187,0.0,0.667303312,0.0,0.0,2.895966802,0.929235454,0.994281935,0.0,6.824396957,2.071420698,2.736555785,6.505499903,1.858470907,1.561699375,17.6580288,3.825037587,0.965322267,7.434735356,1.876003651,1.858470907,0.0,1
RNA328_FPKM,0.564213337,1.529886164,0.0,0.0,4.590385626,0.828688339,0.0,3.6723085,2.539764504,4.02853333,5.376297628,1.136486865,0.0,0.74349608,0.0,0.75765791,0.764943082,0.74349608,2.425890393,0.723218914,0.803576571,0.74349608,1.067840007,0.0,0.0,3.090213048,0.0,0.795540806,1.371622078,3.120509254,1.657376678,2.190255628,3.718187145,2.974691065,3.332504011,14.12854575,0.764943082,0.0,5.948675385,0.750510194,0.74349608,0.0,0
RNA331_FPKM,1.484809495,0.671257964,1.268837205,0.0,0.0,0.727196127,0.0,17.17791306,1.484545857,0.441840685,1.885774467,0.498648773,0.0,1.304180472,0.652437647,1.329022005,0.0,0.652437647,2.978823816,1.268611914,0.705159881,0.0,4.215264539,0.652437647,0.0,2.032603289,0.652437647,0.698108282,1.804811541,4.105061544,0.727196127,1.280250555,0.0,1.956618119,11.32627157,5.869854358,0.0,0.0,1.956618119,0.0,0.652437647,0.652437647,0
RNA334_FPKM,0.48928409,0.0,0.0,0.0,0.663356314,0.0,0.0,16.98835418,1.468593608,0.873720248,2.797795349,0.492778976,1.380477992,0.0,0.0,0.657038635,1.327382684,0.0,1.683509746,1.254979993,0.696859158,0.0,4.632008792,0.0,0.0,2.010066561,0.644757539,0.689890566,0.0,2.029773096,0.0,1.26649357,0.644757539,0.644757539,5.05861373,9.029861892,0.0,0.0,3.225090234,0.0,0.644757539,0.0,0
RNA335_FPKM,1.91778609,0.0,2.184734356,0.0,0.0,0.939242232,0.0,12.4789168,1.917453026,0.0,2.435683573,0.0,0.901672543,0.84268462,0.0,0.858735755,1.733082542,0.0,4.945912146,0.819702312,0.910780347,0.0,1.81481771,0.0,0.0,3.499817173,0.84268462,3.604811688,0.777303917,1.767064553,0.939242232,0.0,0.0,1.684491443,5.662499637,8.423335012,0.0,0.0,4.211667506,0.850634475,0.84268462,0.0,1
RNA336_FPKM,0.0,0.754654395,0.475660952,0.0,1.50930879,0.0,0.0,3.62289548,0.834936778,0.496734539,3.182760015,1.121200816,1.569681142,0.0,0.733495861,0.74746721,0.0,0.0,0.478561324,1.426982856,0.0,0.0,1.053477277,0.0,0.0,4.572586529,0.733495861,1.569681142,0.0,3.847964268,0.817542261,2.160772855,3.668152854,2.201161132,4.520778889,13.20561969,0.754654395,0.761981137,13.93911555,2.221926803,0.733495861,0.0,0
RNA35_FPKM,0.0,0.711926525,0.0,0.718838433,1.423853051,0.771253736,0.638278954,1.13908244,3.150653559,2.811659189,2.001090774,0.0,0.740403586,0.691965969,0.0,1.410292545,1.423853051,0.691965969,3.16025921,1.346188339,0.0,0.0,0.496915159,0.0,0.685558876,2.1565153,0.0,2.961614345,0.0,1.451771738,0.771253736,0.679269345,2.075897906,0.691965969,3.48881271,10.37875104,0.0,0.0,13.14661491,0.698493949,0.691965969,0.0,0
RNA358_FPKM,0.703288155,0.95349644,1.201983391,0.0,0.95349644,1.032954477,0.854858877,1.525594304,2.109864464,5.020278431,1.340049051,2.124184594,0.991636298,0.0,0.0,0.0,0.0,0.926762895,1.209312558,1.802975087,1.001652826,0.0,0.665527717,0.0,0.918181757,3.849994883,0.926762895,0.991636298,0.854858877,2.915547482,1.032954477,0.909758071,0.926762895,2.779306945,2.076175251,5.559595631,0.95349644,0.0,5.559595631,0.0,0.926762895,0.0,0
RNA365_FPKM,0.0,0.954020475,0.601321996,0.0,2.861091891,0.0,0.0,2.288873513,3.165463369,3.766500717,2.680208477,0.0,0.992181294,0.0,0.0,0.0,0.954020475,0.927272237,1.209362362,1.803049339,2.003388155,0.0,0.0,0.927272237,0.0,4.814456155,0.0,0.992181294,0.855328701,1.944464974,2.065994034,1.819591076,4.634476486,2.780874361,0.519466646,1.853602124,1.907071416,0.963282809,6.48807861,0.936020088,0.0,0.0,0
RNA368_FPKM,0.0,0.733697989,0.462452066,0.0,1.466752947,0.0,0.0,1.173402357,1.622790494,0.482940448,2.06138252,0.545032792,0.0,0.0,0.0,0.726710389,0.0,0.0,0.465271895,0.693678098,1.540831378,0.713127017,0.0,0.713127017,0.0,2.962635807,0.713127017,0.0,0.0,0.748084224,0.0,2.799554937,0.0,0.713127017,1.997152246,10.69440525,1.466752947,0.0,5.703766133,0.0,0.713127017,0.0,0
RNA37_FPKM,0.0,6.923379714,0.48464367,0.0,3.077236945,0.0,0.0,0.615124658,8.511506445,1.518876752,4.324765437,0.0,0.799662056,0.0,0.0,0.76158291,0.0,0.0,0.975709275,2.181659334,0.0,0.0,0.0,0.0,1.481632603,3.107113032,0.747347716,0.799662056,0.0,1.568787462,1.666836679,1.468039644,3.73830699,2.990959274,0.837781786,9.720225538,4.615855418,0.776370928,5.981918548,2.263986101,0.747347716,0.0,0
RNA379_FPKM,0.0,2.139226349,0.674547426,1.080585682,4.279617221,1.159378389,0.0,1.71138108,3.550849634,4.22506159,6.014597175,0.795002324,2.224795403,1.040189956,0.0,1.060003098,1.070195436,1.040189956,6.106467727,2.022541276,1.12424571,1.040189956,0.746982049,1.040189956,1.030558568,2.159995537,1.040189956,1.113003253,0.959485563,3.272351624,1.159378389,3.062200602,1.040189956,1.040189956,1.747538564,6.238875993,2.139226349,0.0,6.238875993,0.0,0.0,1.040189956,1
RNA38_FPKM,0.0,2.86223727,0.450856207,0.0,0.715300713,0.0,0.0,1.717135478,2.374761831,1.884004279,3.016589353,0.531366244,1.48836338,0.0,0.0,0.0,0.715300713,2.086239366,0.907538647,1.353057618,0.0,0.0,0.0,0.695245553,0.0,2.890025981,0.695245553,0.0,1.28307188,1.459179785,0.774909105,4.095919489,1.390993813,1.390993813,1.558495686,6.954466359,3.577537983,0.72224538,17.3861659,0.701804473,0.695245553,0.695245553,0
