,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-516b-5p,hsa-miR-148a-3p,hsa-miR-3184-5p,hsa-miR-585-3p,hsa-miR-5680,hsa-let-7c-5p,hsa-miR-550a-3p,hsa-miR-486-3p,hsa-miR-6513-5p,hsa-miR-181d-3p,hsa-miR-6764-3p,hsa-miR-499a-3p,hsa-miR-3663-5p,hsa-miR-196a-5p,hsa-miR-193b-5p,hsa-miR-1269a,hsa-miR-455-3p,hsa-miR-6513-3p,hsa-miR-27b-3p,hsa-miR-487b-3p,hsa-miR-95-3p,hsa-miR-155-5p,hsa-miR-146b-5p,hsa-miR-2355-3p,hsa-miR-6861-3p,hsa-miR-378c,hsa-let-7f-5p,Diagnosis
sample_69,377.0,1984.83,3.0,36499.5,975.42,112.5,10.0,133068.5,13.33,652.08,4.0,27.0,4.0,1.0,19.0,21.5,336.0,3.0,542.0,10.0,270276.92,7718.0,21268.33,833.5,6052.08,52.5,1.5,31.92,1014383.56,1
sample_70,508.0,2366.67,1.0,33780.83,918.5,68.0,24.0,90272.17,16.67,713.42,2.0,22.5,15.33,2.0,0.0,11.0,341.5,6.0,373.0,12.0,250565.5,11542.42,22686.33,758.0,2628.42,55.5,1.0,47.92,989958.47,1
sample_71,410.0,1426.0,1.0,34807.5,1420.25,103.0,4.0,102655.67,3.84,791.66,0.0,9.0,2.0,6.5,5.0,17.0,114.0,3.0,248.0,8.0,124003.67,2913.5,13699.0,759.0,2967.42,13.33,1.5,56.58,696202.07,1
sample_72,353.0,1733.5,1.0,23542.5,1038.42,119.0,5.0,98242.42,17.67,443.74,3.0,18.0,3.0,15.0,31.0,89.0,120.0,1.0,516.5,12.0,128960.33,2175.0,11194.33,490.0,7979.58,43.0,2.0,91.42,602058.91,1
sample_73,413.0,1746.0,4.0,55371.0,1079.75,126.0,36.0,173094.58,13.67,945.5,5.0,21.0,14.0,7.0,15.0,615.5,219.0,6.0,560.5,35.0,239972.33,8559.17,21970.0,419.0,7733.08,57.5,0.5,18.5,994735.73,1
sample_74,715.5,2377.0,2.0,48203.33,1106.75,75.0,10.0,145027.83,14.0,510.5,5.0,11.0,9.5,23.25,8.0,36.0,109.0,2.0,588.0,10.0,235347.17,8242.5,24052.5,521.0,5470.25,42.5,0.5,139.83,924484.98,1
sample_75,376.0,1329.0,5.0,24190.5,6030.67,151.0,8.0,184399.75,50.0,955.34,5.0,17.0,18.0,8.5,20.0,170.0,186.0,5.0,567.17,17.0,112004.08,5723.17,14318.0,1006.0,11798.5,49.5,2.5,129.92,958616.98,1
sample_76,380.0,1671.0,6.0,28540.0,4867.87,141.0,8.0,207626.25,33.16,1553.66,4.0,18.0,9.33,2.75,23.0,95.0,181.5,5.0,437.75,15.0,100421.58,3382.67,14260.67,1519.0,12398.42,41.5,3.25,144.67,1096258.65,1
sample_77,409.0,1433.0,0.0,15384.5,1020.5,76.0,8.0,81279.67,13.84,524.66,5.0,11.0,2.0,9.25,10.0,17.0,153.0,12.0,309.0,6.0,152273.17,5522.67,14291.67,369.0,2716.5,24.5,1.5,65.33,551524.74,1
sample_78,139.0,530.5,2.0,30979.5,2139.08,110.5,4.0,274732.58,6.67,1038.42,1.0,11.0,1.5,0.5,11.0,66.0,270.0,0.0,170.5,11.0,62561.5,1530.0,5457.08,5510.0,12031.5,29.5,0.5,14.17,818832.14,1
sample_79,420.0,1726.5,3.0,32316.5,1170.0,44.5,7.0,122454.17,9.33,686.5,4.0,18.0,10.25,0.5,6.0,20.5,154.0,2.0,491.0,10.0,158206.25,3819.33,16970.75,551.0,4149.5,37.0,0.5,46.83,897320.9,1
sample_80,225.5,664.0,6.0,16976.0,2815.29,38.0,5.0,152380.0,14.49,2064.34,4.0,21.0,4.0,0.5,7.0,14.0,175.0,2.0,208.5,4.0,54467.92,2513.5,9178.5,938.0,7298.0,15.0,2.5,72.42,789306.64,1
