,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-516b-5p,hsa-miR-148a-3p,hsa-miR-3184-5p,hsa-miR-585-3p,hsa-miR-5680,hsa-let-7c-5p,hsa-miR-550a-3p,hsa-miR-486-3p,hsa-miR-6513-5p,hsa-miR-181d-3p,hsa-miR-6764-3p,hsa-miR-499a-3p,hsa-miR-3663-5p,hsa-miR-196a-5p,Diagnosis
sample_29,318.0,1186.0,0.0,15490.0,1402.25,40.0,8.0,62264.92,13.84,1167.84,2.0,48.0,9.0,0.0,7.0,9.0,0
sample_30,264.0,1790.5,2.0,21331.5,3124.71,57.0,3.0,170163.0,48.33,1639.08,1.0,24.0,11.0,9.0,10.0,10.66,0
sample_31,265.0,1086.83,2.0,19100.5,1293.87,72.5,7.0,134636.83,10.33,626.84,3.0,14.0,9.5,4.75,30.0,56.0,0
sample_32,202.0,788.0,1.0,13555.83,822.25,21.0,3.0,64745.75,11.33,358.0,2.0,6.0,11.83,8.25,9.0,9.0,0
sample_33,507.0,1498.5,0.0,32249.0,1366.0,27.0,9.0,84306.08,2.0,593.84,0.0,22.0,3.5,1.75,8.0,13.0,0
sample_34,517.5,1056.5,0.0,31372.83,3123.0,31.0,16.0,87267.5,2.67,595.08,1.0,9.0,5.5,4.0,8.0,12.0,0
sample_35,392.0,1623.5,0.0,22056.5,1085.08,20.0,5.5,82160.42,11.16,730.34,2.0,18.0,7.0,4.0,2.0,6.0,0
sample_36,342.0,1440.0,1.0,25245.5,1272.88,27.0,13.0,105970.83,3.33,1331.34,8.0,30.0,7.5,4.0,4.0,9.0,0
sample_37,244.0,1087.0,6.0,35174.33,2379.58,74.5,7.0,244416.25,26.16,1306.24,3.0,17.0,4.0,5.75,0.0,97.0,0
sample_38,349.0,1118.0,5.0,31688.0,3968.87,45.0,7.0,245438.83,40.49,1814.34,2.0,23.0,8.0,5.0,7.0,337.5,0
sample_39,187.0,651.33,2.0,21105.33,2720.83,108.0,12.0,246570.5,27.49,1614.66,2.0,9.0,7.0,8.5,2.0,57.0,0
sample_40,258.0,1182.5,0.0,23901.0,791.25,47.0,3.0,83164.17,7.84,431.84,2.0,10.0,6.5,7.5,3.0,3.0,0
sample_41,381.5,1100.0,2.0,25921.5,2031.0,42.0,5.0,98027.42,4.0,930.49,3.0,38.0,4.33,2.5,16.0,75.0,1
sample_42,387.0,1532.0,0.0,26024.0,1665.58,44.0,14.0,115119.67,10.67,1157.34,1.0,37.0,10.0,0.5,13.0,17.0,1
sample_43,475.0,2095.83,4.0,34862.0,1218.67,57.5,10.0,92052.42,4.67,728.34,5.0,26.0,8.0,6.5,5.0,271.0,1
sample_44,247.0,865.0,8.0,14291.33,2381.21,133.0,13.0,113001.58,18.67,1961.16,0.0,14.0,6.0,1.25,4.0,7.0,1
sample_46,307.0,1404.0,1.0,21714.0,1260.5,66.5,13.0,84586.67,12.49,740.58,4.0,13.0,5.0,1.5,6.0,18.0,1
sample_47,381.0,1798.5,4.0,27506.5,1012.67,23.0,11.0,103398.58,16.0,574.5,5.0,16.0,4.0,10.0,5.0,13.5,1
sample_48,407.0,1615.33,3.0,23915.0,1423.83,149.0,11.0,97773.33,17.33,542.84,2.0,19.0,2.25,9.25,9.0,46.5,1
sample_49,543.0,3044.0,5.0,43013.0,881.75,106.0,20.0,133960.42,16.33,470.84,4.0,29.0,5.0,9.0,8.0,50.0,1
sample_50,465.0,2421.5,5.0,25056.5,779.25,59.5,9.0,89313.92,14.67,461.66,5.0,19.0,11.75,14.75,6.0,15.0,1
sample_51,501.0,2818.5,1.0,29543.5,1317.79,39.0,23.0,110700.83,9.84,526.17,6.0,25.0,8.0,24.0,24.0,60.5,1
sample_52,582.0,2203.5,1.0,26424.5,1092.58,30.0,6.0,102896.92,15.67,517.0,3.0,27.0,6.75,0.5,11.0,10.0,1
sample_53,351.0,1903.0,1.0,22783.5,772.17,64.0,11.0,89192.83,2.67,506.42,4.0,13.0,5.5,13.0,15.0,32.0,1
sample_54,441.0,2058.25,0.0,23777.5,1180.75,53.0,10.0,100762.75,11.33,400.34,0.0,14.0,6.0,8.0,1.0,6.0,1
sample_55,366.0,1468.0,1.0,30143.0,1252.25,49.0,13.0,128788.17,16.49,636.84,3.0,14.0,10.0,6.0,7.0,12.0,1
sample_56,270.0,981.5,0.0,24104.5,1183.0,60.0,8.0,103765.5,5.33,513.0,3.0,7.0,8.0,1.75,4.0,14.0,1
sample_57,442.5,2135.83,0.0,26526.33,1170.62,19.0,11.0,92659.0,7.33,596.58,2.0,23.0,8.0,11.5,0.0,8.0,1
