,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,AC012618.2,AL354710.1,AC068790.1,FTH1P12,AC139451.1,AL139132.1,RPS12P3,RPL10P12,BAK1P1,AC018638.4,SRP72P2,AL162151.2,RPL41P2,MTND3P12,FTH1P16,RPL11P3,YWHAQP6,RPL23AP23,AC138932.2,AC084337.1,EEF1A1P29,EIF4BP5,NSRP1P1,RPS24P16,RIMKLBP1,NDUFB4P6,MTCYBP3,RPS27AP10,YBX1P1,HNRNPA3P15,RPL23AP30,FAM32BP,AC005183.1,AC093433.1,RBM8B,PRKXP1,AL512310.6,ST13P7,AL513475.1,RPL21P134,EEF1A1P16,XBP1P1,VDAC2P5,PTMAP2,Diagnosis
RNA185_FPKM,0.195043932,66.25914706,0.491743413,0.365145939,0.085522539,0.493703954,0.500714783,0.0,1887.481559,0.618563495,0.648083905,43.47866527,1.08003994,4.334883118,0.318333896,0.22059194,0.994707904,0.71191035,0.910583006,3.710238697,1.723534764,3.201084548,32.88753737,0.237423361,23.78822146,0.574401994,0.716251267,1.844103055,2.695020227,1.545594839,0.166263564,0.123517569,2.511150464,0.071450856,0.0,0.0925105,0.0,0.134553503,0.427924254,0.0,0.752982101,38.66246213,0.534194985,0.156307662,0.470331162,0.356091123,0.0,22.22334206,1.395825184,0.0,1.781237155,0.248603614,0.648531168,0.498376472,0.720645447,16.62063462,55.31548762,1
RNA2_FPKM,0.896006767,44.89839298,0.502092456,0.159780909,0.0,0.504095324,1.469881305,0.255318521,1574.243792,0.631512783,0.661603157,22.5188165,1.654107954,1.224177065,0.0,0.0,0.580458974,2.180283132,0.464873393,6.37983777,3.519625866,1.257067899,44.90960718,0.080806694,5.565885322,0.586384216,0.0,2.027610553,3.057342959,1.314959184,0.16967027,0.042016139,2.796991559,0.0,0.0,0.0,0.0,0.618121506,0.218346167,0.070285574,1.537658148,28.06490487,0.233753552,0.638389011,0.720213647,0.484796175,0.0,13.24847886,3.06392587,0.0,1.236644377,0.0,2.317269204,0.282706925,0.735678357,19.32893841,44.00784433,0
RNA201_FPKM,0.0,65.17289008,0.612723883,0.130015028,0.023689018,0.123047009,0.468046614,0.207903301,1361.896196,0.513902091,0.807622501,34.89515765,0.598221357,0.919527527,0.0,0.0,0.944560037,0.0,2.269415321,2.920159561,0.0,3.068652287,21.10067435,0.098611701,18.94030389,0.477145616,0.0,0.942848877,0.995129217,0.856007533,0.0,0.0,1.327635122,0.059373844,0.036252776,0.076833328,0.166004422,0.111751567,0.177797086,0.0,0.0,58.34684483,0.253631862,0.0,0.976876947,0.0,0.113964507,25.03096389,1.507519219,0.055381901,2.486207211,0.0,0.942813348,0.41409216,0.0,27.24806948,73.80946995,1
RNA205_FPKM,0.0,45.72216756,0.649941295,0.110329808,0.0,0.208833596,0.79420856,0.529089591,2721.357468,0.523238679,0.685158321,29.56968886,0.666140579,0.682617554,0.0,0.0,1.202077722,0.0,0.240705003,2.477693039,1.301926431,1.822578539,20.30278374,0.0,18.34090003,0.607353455,0.0,1.499909179,1.424755919,0.544753428,0.351603062,0.0,0.482813534,0.151099491,0.0,0.244543771,0.0,0.0,0.0,0.291301745,0.0,36.30905929,0.322816846,0.0,0.0,0.0,0.0,23.49799139,1.25444935,0.070470231,1.958725674,0.0,2.914062464,0.175677202,0.253995463,16.16430508,48.36039751,0
RNA209_FPKM,1.079075307,53.93561338,0.272008146,0.057743155,0.0,0.491692935,0.900430965,0.276908869,2881.893744,0.136923343,0.717080456,40.87099066,0.89635057,1.734955849,0.0,0.0,0.786226596,1.312760165,0.251954872,2.592934317,1.362298285,2.316002383,35.71346092,0.175146105,19.19384498,0.42364105,0.792505077,1.255711086,2.982122354,0.569964438,1.103786264,0.136667542,1.389350124,0.079080726,0.096528796,0.153539082,0.0,0.0,0.947033173,0.0,0.416694596,23.46677174,0.675587251,0.0,0.260277706,0.262700015,0.0,15.34879211,2.780124762,0.073763809,1.261492996,0.0,0.896916883,0.183834275,0.398683536,14.85085609,30.73693182,0
RNA213_FPKM,0.488489562,51.8889613,1.10841886,0.156798315,0.085676837,0.296789749,0.878015246,0.250643526,2202.472853,0.743615391,0.757462022,31.50900455,0.811566452,2.772225974,0.318908227,0.0,0.854280476,0.0,0.456112929,1.956394607,0.986810361,1.603688127,25.71969775,0.079283905,49.15871297,0.383625544,0.47836234,0.710610722,2.700196496,0.0,0.499690597,0.041246805,1.029246084,0.071579766,0.0,0.278032216,0.0,0.202194391,0.0,0.275994455,0.754340613,30.56481354,0.535243632,0.0,0.235589861,0.079283905,0.0,21.36970205,1.957858293,0.0,1.713295095,0.0,1.786838098,0.721319412,0.601621348,21.28355954,49.90418207,0
RNA219_FPKM,0.304724064,44.16057546,0.896312907,0.217360359,0.0296922,0.205711159,0.391196521,0.0,2664.998614,0.386561491,0.450010894,25.72211916,1.968797662,2.689994449,0.0,0.459518167,1.184239195,0.988660298,0.0,1.627221437,1.025968233,1.410706321,28.22804255,0.0,66.59291078,0.997120716,0.0,1.329855563,2.339325274,0.536608385,0.519518946,0.085767061,0.594493255,0.074420141,0.0,0.0,0.0,0.140145145,0.222853756,0.071736565,0.392136897,26.08328167,0.397487693,0.0,0.0,0.0,0.0,23.92531765,0.654260491,0.069416574,1.261688869,0.25893484,1.350964382,0.403784527,0.125098887,18.2383604,46.64327453,0
RNA23_FPKM,1.094569126,52.03945027,0.752528672,0.319360935,0.203616115,0.806066936,1.46902928,0.255200038,1991.505918,0.378717106,0.551011244,29.61307905,2.112362792,3.858578343,0.32470574,0.0,0.289936885,0.968501637,0.0,6.176974336,3.517521522,2.6382159,39.9506305,0.080725227,4.045639748,0.390599569,2.192343574,1.592280812,2.138760696,0.788578711,0.339183066,0.210033203,1.630571201,0.0,0.0,0.283142802,1.222859092,0.411821962,0.0,0.562190924,0.38402698,15.56414872,0.623012749,0.159436351,1.199649105,0.242223731,0.139890739,10.65342744,1.49545928,0.0,2.690015899,0.507159441,1.8197495,0.508549287,0.857873418,20.58755752,34.69709213,1
RNA246_FPKM,0.527130679,56.10933414,0.442999409,0.282002622,0.025681709,0.133444494,0.958628716,0.450783744,2495.790125,0.33434908,0.389228446,39.83508126,0.891906424,1.163252717,0.0,0.0,1.280237628,0.213780775,1.435562765,4.046046967,0.665543923,3.105665272,39.68827082,0.0,52.23766286,1.207417093,0.64525295,1.277918357,4.72091148,1.392387945,0.149782709,0.037091302,1.645330712,0.193104897,0.117906946,0.041670204,0.0,0.242431807,0.192753158,0.248188763,1.017514267,25.86583318,0.206279696,0.140813684,0.211854822,0.0,0.123551061,16.9304374,2.389139079,0.060040558,1.412177255,0.0,1.168355324,0.44898393,0.757413483,15.53392975,37.75245342,1
RNA253_FPKM,0.100977666,49.93695685,0.382009164,0.162118479,0.059066171,0.051125514,1.556130056,0.518385852,2332.589113,0.512519594,0.55944084,32.03040103,0.65260315,0.668745278,0.0,0.0,0.883266198,0.245712321,0.471670848,3.236580781,1.530439229,1.530439229,36.18416463,0.204949272,29.26292121,0.594962928,0.247210567,0.881666078,1.240792441,1.067187182,0.688800219,0.127938926,2.128336771,0.0,0.0,0.0,0.0,0.139394134,0.221543896,0.0,0.389832047,32.69931966,0.158143052,0.0,0.974248959,0.081988263,0.0,14.98691266,2.168804255,0.0,2.214193244,0.515094513,1.007618375,0.114748778,0.497584208,18.32219398,40.92949535,1
RNA26_FPKM,0.640170485,30.18441325,0.806996703,0.228317522,0.0,0.432162169,1.164264228,0.0,1239.917293,0.541397472,0.472696,16.85825784,1.477174999,6.963079326,0.0,0.0,0.155492105,0.519249394,0.249058575,9.614530545,1.077687421,0.808265566,60.12278272,0.086585296,13.55635284,0.418954279,0.261207774,0.310420833,2.457250955,2.536464966,0.363805308,0.0,5.495263263,0.07817167,0.047730446,0.202424454,0.218561607,0.22081482,0.0,0.376764072,0.0,21.68700342,0.668040156,0.342020559,0.257285736,0.173170591,0.0,8.975596664,4.581612298,0.0,2.182831846,0.0,3.015516666,0.36354802,1.182646242,14.78193441,49.51957726,0
RNA277_FPKM,0.604889858,56.24183031,0.915155967,0.258895314,0.0,0.306258863,0.621265972,0.0,1375.528469,0.767340531,0.402037483,40.98303313,1.67503767,0.228919299,0.394815814,0.0,0.528996689,0.588946925,0.0,3.876584957,0.611171337,1.374892337,25.0912174,0.049077661,205.3775171,2.375443073,0.29611186,1.232027249,0.557317735,0.639317386,0.0,0.051064506,1.841156548,0.088617418,0.108274365,0.0,0.0,0.166969489,0.0,0.085421891,0.466945626,57.78667752,0.378754255,0.0,0.291665736,0.0,0.0,28.6837461,1.472045684,0.16540637,3.536146376,0.0,5.43103825,0.343512416,0.894101765,25.47413333,112.9012961,0
RNA288_FPKM,0.659933174,49.25248773,2.614689585,0.252194299,0.027554186,0.238678211,1.210301893,0.967579215,2630.182213,0.119575589,0.417727302,31.62916012,1.566327553,0.713330609,0.0,0.213215065,1.099124658,0.0,0.220032989,2.454267653,2.142754517,2.14261788,18.89355495,0.0,33.06168254,0.740470157,0.69256386,2.742912441,0.868518146,0.497969396,0.0,0.039795661,1.434637506,0.069061449,0.042167882,0.134176578,0.0,0.325209315,0.0,0.266360857,1.092119933,23.81585325,0.442724162,0.0,0.454602691,0.0,0.0,8.219573067,2.968830329,0.0,1.653266571,0.0,4.075202191,2.409339377,0.928861483,20.36586331,49.77604987,0
RNA29_FPKM,0.824822585,44.24668974,0.808708835,0.2941739,0.026790136,0.0,0.823577183,0.705359463,3263.21599,0.697559279,1.319589726,37.29300969,3.722010502,0.866813946,0.0,0.0,0.934931992,0.669022763,0.0,1.284657177,0.694268905,1.851383748,15.16679848,0.0,9.781282174,0.359865545,0.0,2.533075318,1.407122447,2.662886657,0.312494709,0.077384336,1.930998647,0.13429289,0.0,0.043468697,0.0,0.0,0.0,0.0,0.353810115,8.126003485,0.358637934,0.146891226,0.441997021,0.0,0.0,15.1393302,0.918266538,0.062631918,1.607187495,0.0,3.809299299,0.780684271,1.241591325,22.55442661,12.6032391,0
RNA295_FPKM,0.833771972,46.21229118,0.630630041,0.089209713,0.024383854,0.211090797,0.321112179,0.214001428,2610.746954,0.42307671,1.015863917,31.4019344,1.385281751,0.157719409,0.0,0.0,1.093643487,0.0,0.583971586,1.836661696,0.631717691,2.737123015,26.08324334,0.0,59.32716653,1.309572407,0.204214777,1.091662249,1.536297872,0.220336997,0.28429677,0.0,0.975975063,0.061115371,0.0,0.079092604,0.170873589,0.115037611,0.18301215,0.058911563,0.322030995,36.96461377,0.195795542,0.0,0.603261939,0.0,0.0,21.17048105,1.551524276,0.057006338,1.218470338,0.0,1.108933984,0.473492852,0.205373894,18.77164528,54.05514423,0
RNA3_FPKM,0.235294631,57.02422269,0.444746737,0.251681856,0.068781066,0.714648241,1.056966417,0.603647249,1762.15928,0.298485923,0.390763685,38.18753435,2.714053222,0.890056118,0.0,0.0,1.028522786,1.144771109,0.274624403,3.768594954,0.890892049,1.930664945,43.9400979,0.143154963,8.966682164,0.692674014,0.57604143,3.935495337,1.264219598,0.621518385,0.0,0.0,1.789945925,0.08619598,0.0,0.055800824,0.0,0.405708987,0.258116925,0.16617554,0.454186512,23.80941691,0.184153596,0.56547639,0.28369608,0.095473264,0.0,17.2709323,2.18867834,0.0,2.062660801,0.299907284,1.368916873,0.601145493,0.57940869,22.08496324,43.61481969,0
RNA302_FPKM,0.373660989,42.77881295,0.706643899,0.24989405,0.0,0.0,0.719589788,0.239748227,3119.922026,0.237006141,0.724297732,34.37499109,0.776023842,0.265095503,0.0,0.0,0.953023332,0.45462087,0.0,2.057913049,1.651307723,2.12317451,27.2022894,0.113727176,23.26499047,0.550283819,0.686177079,2.038537874,0.430336677,0.740348954,0.159323131,0.078877438,0.437390341,0.0,0.0,0.088614818,0.0,0.0,0.0,0.0,0.0,22.4273621,0.146223087,0.0,0.0,0.075808432,0.0,22.57692594,0.334305676,0.0,0.955624851,0.238226016,1.087196389,0.159169789,0.115093857,16.51936901,28.90616335,0
RNA303_FPKM,0.374873601,44.07516528,0.708793584,0.300800475,0.0,0.142318422,0.2406263,0.24038021,2084.780223,0.832133521,0.726538646,29.61224578,1.816346616,0.177241474,0.0,0.0,1.365621661,0.227996987,0.0,0.375256886,0.236600647,1.656416725,14.85322711,0.0,92.86894352,1.655791026,0.458774425,2.453690325,0.575570749,0.247496729,0.159743112,0.0,0.658165471,0.068648728,0.0,0.133323696,0.0,0.0,0.205571054,0.26475242,0.0,41.30778861,0.219997093,0.0,0.0,0.190127593,0.131767085,33.1088899,1.07304728,0.064033196,2.670299013,0.0,2.336894498,0.319308001,0.115397248,21.09670116,58.21904513,1
