,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,Diagnosis
RNA431_FPKM,1.235887635,47.90507989,0.17306987,0.440757592,0.040133057,0.347623984,0.352586836,0.0,2256.358248,0.0,0.152062768,35.22076383,1.140710081,1
RNA44_FPKM,1.502267014,57.73616996,0.3788022,0.107135112,0.029270077,0.811302215,0.321428301,0.0,1812.270932,0.254043922,0.221806624,29.37142349,2.865475204,1
RNA442_FPKM,0.0,40.71776386,0.748745061,0.211803644,0.028933133,0.350838538,0.063532628,0.0,758.9114911,0.502238974,0.0,25.17494056,1.004996772,0
RNA454_FPKM,0.122683808,55.52425006,0.463819409,0.065632976,0.071691979,0.186288123,0.708520296,0.0,2623.01847,0.0,0.679287115,31.98902982,0.679202215,0
RNA457_FPKM,0.645172238,35.89300164,0.180725235,0.230090555,0.020963017,0.362931824,0.690199225,0.183978941,1861.996186,0.090972209,1.111522513,31.80619967,0.926268761,0
RNA466_FPKM,0.505733247,51.34791677,1.147521877,0.162312777,0.029572683,0.102441563,1.752929102,0.0,2220.221594,0.513219017,0.224099751,31.96272045,1.21360813,0
RNA471_FPKM,0.405471775,50.37281781,0.255568159,0.144599892,0.019747914,0.273700426,1.691647654,0.0,1960.058117,0.257183124,0.973014056,38.10086225,0.498952731,0
RNA476_FPKM,0.112029328,57.24362572,0.423528268,0.23967159,0.032748289,0.056721028,0.93454003,0.0,1956.38543,0.284088399,0.248038561,36.84507359,0.310100583,0
RNA483_FPKM,0.331488253,55.17821487,0.626762917,0.132974262,0.0,0.083898431,1.32975489,0.425121122,2692.516634,0.420513534,0.275302575,22.23972311,0.152945875,0
RNA488_FPKM,0.269909699,55.38844448,0.567152227,0.144395395,0.0,0.182223662,0.750830876,0.230892141,2398.47466,0.228338832,0.498311681,33.98514601,1.16271111,0
RNA499_FPKM,0.571100377,53.05708091,0.599998791,0.152787938,0.0,0.14459943,0.610969361,0.488385093,2424.09889,0.603790252,0.316323718,28.32757807,1.054238167,0
RNA50_FPKM,0.092533434,61.81726962,1.399394455,0.148456857,0.108168216,0.0,0.0,0.237394081,793.6681066,0.23476887,0.512334396,22.92707432,2.561671978,1
RNA504_FPKM,0.295954789,56.26412386,0.435290162,0.105552608,0.014425969,0.174829655,0.443293098,0.0,1584.663724,0.125145706,0.49172009,31.07014757,0.318712452,0
RNA519_FPKM,0.0,80.57037787,0.395794484,0.167968745,0.030584205,0.105993869,0.470290678,0.0,1687.182919,0.663866291,0.695612177,21.86272326,1.642373585,0
RNA52_FPKM,0.0,31.19521287,1.377134545,0.04177094,0.0,0.0,1.853273035,0.0,1052.283289,1.880839453,0.08648025,33.01963294,2.664878812,0
RNA521_FPKM,0.563301327,64.42010511,0.26628589,0.150676537,0.020582953,0.10695089,0.949085667,0.0,1640.432239,0.08932286,0.31195239,50.44239686,0.454930569,0
RNA528_FPKM,0.325077243,50.15277584,0.273152948,0.115921671,0.0,0.384055895,0.765138509,0.0,2710.381808,0.274879033,0.36005107,36.70576413,0.800173848,0
RNA53_FPKM,0.550144097,63.38186385,0.396291285,0.042044895,0.045947861,0.517290059,0.403577216,0.40325487,2421.483938,0.299096622,0.609332014,26.79155612,1.233171933,0
RNA535_FPKM,0.198524016,50.78257281,0.12506656,0.265434365,0.0,0.150745387,0.764387489,0.254528431,1613.392885,0.12585687,0.109886067,21.15773161,0.366378831,1
RNA58_FPKM,0.106324432,54.01709971,0.402221431,0.056881092,0.0,0.161547952,1.911267786,0.0,2645.336807,0.404763115,0.117763474,23.36245231,1.07968126,0
RNA6_FPKM,0.508521137,53.42821021,0.384651998,0.05443316,0.089196696,0.102975504,0.718136786,0.521786421,2042.202837,0.387082659,0.337963204,29.16864181,1.783626338,0
RNA60_FPKM,0.831359325,59.30634494,0.916921546,0.111204072,0.182258546,0.263082866,0.933849531,0.0,2100.303783,0.263692437,0.575516448,30.47603398,0.959093262,0
RNA62_FPKM,0.423242834,44.5002334,0.0,0.226425047,0.0,0.0,1.697863196,0.54280135,3153.66906,0.268399404,0.0,31.37354603,0.390648271,0
RNA63_FPKM,0.369298492,47.13879602,0.232817971,0.098804162,0.0,0.093508857,0.88899228,0.236807735,2638.197627,0.234289174,0.102235615,30.87505902,0.681716527,0
RNA64_FPKM,0.187274693,36.81095648,0.472155663,0.050119847,0.0,0.142251872,0.360627287,0.480452328,4029.500915,0.475139269,0.5186111,20.97698584,2.074318557,0
RNA66_FPKM,0.270892728,43.54371161,0.341486438,0.193243629,0.0,0.182886941,1.217231531,0.0,2243.811265,0.229060085,0.100043899,21.59722652,0.83346254,0
RNA67_FPKM,0.93087457,58.97123603,0.782304845,0.16599873,0.090704075,0.314204405,1.195031622,0.265449336,2121.27202,0.131256939,0.458275497,28.6555322,2.004768566,0
RNA69_FPKM,0.581931374,60.23446381,0.489095644,0.103755475,0.0,0.245512242,0.560300831,0.746471076,2033.248115,0.369108131,0.751999133,23.30135186,2.327471887,0
RNA7_FPKM,0.719321867,43.81217547,0.38858377,0.219861375,0.0,0.208078136,1.121249486,0.527296482,2873.061916,0.2607327,0.227646619,36.91905792,2.655529299,0
RNA72_FPKM,1.141476523,63.91661311,1.079144116,0.203554441,0.0,0.096322578,1.221100889,0.0,1986.829183,0.241339033,0.210713942,32.52875424,0.965726908,0
RNA74_FPKM,0.088840821,74.85831181,1.792500397,0.095108285,0.051968524,0.090011057,0.399306641,0.0,741.9235314,0.112700125,0.689010494,26.83294385,2.05061347,0
RNA75_FPKM,0.486257105,61.25525301,0.510829955,0.043348284,0.0,0.0,0.624243733,0.207877871,1404.12956,0.514057948,0.269237684,21.48746311,0.673174455,0
RNA78_FPKM,0.499527197,43.63585314,0.503724174,0.053463051,0.0,0.151755479,1.026018486,0.256383515,3477.593124,0.126774155,0.331978193,30.70438325,0.737637468,1
RNA86_FPKM,0.288890768,67.32273445,0.485566272,0.0,0.02814941,0.04875563,1.421601328,0.0,1820.365583,0.366475966,0.426628573,26.26043779,0.533285716,1
RNA87_FPKM,0.76072798,60.82945204,0.685045174,0.116249695,0.0,0.275141094,1.464903041,0.0,1748.322194,0.689374053,0.722165848,33.8720151,0.702143181,0
RNA89_FPKM,0.56221655,46.7834438,0.82686643,0.100271853,0.0,0.094897889,0.421034305,0.240428197,3002.064611,0.0,0.415105984,27.27839563,1.037838828,0
RNA94_FPKM,2.319318751,38.82743649,1.461792203,0.0,0.0,0.0,0.0,1.983495897,2894.573392,0.245124343,0.749189891,12.13135889,0.713602547,1
RNA95_FPKM,0.404255669,45.68885781,0.764336657,0.05408133,0.11817157,0.613975347,2.46487598,0.259348488,2191.355248,0.256343046,0.223813998,23.40352569,0.932758336,0
RNA97_FPKM,0.833777763,52.29889303,0.450380785,0.127422856,0.0,0.241187524,1.376155476,0.916589648,2490.366879,0.453226793,0.131904625,27.45459302,1.868772502,0
RNA98_FPKM,0.372246797,46.66123053,0.625670703,0.066381119,0.036271591,0.188470478,0.876114032,1.273329833,2333.895106,0.0,0.549727224,31.6913501,1.259791556,1
R_JS001_FPKM,2.781197898,67.04318612,5.112908497,0.619941923,0.135506465,0.938805191,2.529136991,0.891847554,1224.217359,0.588050961,1.026858643,23.45207274,3.529726899,1
R_JS002_FPKM,0.962351672,88.26855949,1.213137195,0.214526973,0.187542384,1.136901797,4.169628144,0.205800388,1822.723177,0.203524555,0.888289616,18.31253195,1.332401035,1
R_JS003_FPKM,0.49822074,82.95134092,2.63773123,0.533072957,0.029133735,0.050460511,1.598941389,0.255688082,1463.372361,1.264048197,1.876129529,17.25309512,2.942904687,1
R_JS004_FPKM,1.865537113,55.09851588,3.218008878,0.367714115,0.20092424,0.646239488,4.159494445,0.755735582,1614.05515,1.868298029,1.848730313,16.78843705,2.084283239,1
R_JS005_FPKM,2.568406577,64.19133567,2.331198917,0.494633191,0.06006103,0.884287444,2.967539441,1.317792723,1814.548817,1.172897978,2.0482396,19.45700571,3.034353164,1
R_JS006_FPKM,1.452246214,68.11210449,3.269030812,0.277440877,0.151597654,0.3151199,1.930902799,1.064494486,2012.045294,2.500146076,1.493534214,22.33913695,4.308398274,1
R_JS007_FPKM,0.943890256,67.74242645,3.688770252,0.555478168,0.027604243,0.286759642,1.211809688,0.968783552,1545.083579,2.155317867,1.568159742,20.32837175,4.356197374,1
R_JS008_FPKM,3.632316066,73.79674051,3.366793933,0.285786574,0.031244714,0.649060058,2.40014311,0.822356035,1596.351085,2.439500996,1.419874831,18.96109788,3.845649941,1
