,RNA5SP494,RNA5SP493,RNA5SP82,RNA5SP37,RNA5SP498,RNA5SP310,RNA5SP317,RNA5SP207,5S_rRNA.3,RNA5SP312,RNA5SP450,RNA5SP434,RNA5SP295,RNA5SP449,RNA5SP39,RNA5SP383,RNA5SP155,RNA5SP284,RNA5SP392,RNA5SP490,RNA5SP437,RNA5SP244,RNA5SP78,RNA5SP195,RNA5SP311,RNA5SP108,RNA5SP151,RNA5SP483,RNA5SP307,RNA5SP390,RNA5SP203,RNA5SP324,RNA5SP219,RNA5SP393,RNA5SP283,RNA5SP290,RNA5SP479,RNA5SP474,RNA5SP395,RNA5SP377,RNA5SP132,RNA5SP464,RNA5SP237,RNA5SP21,RNA5SP131,RNA5SP260,RNA5SP217,RNA5SP492,RNA5SP340,RNA5SP496,RNA5SP345,RNA5SP315,RNA5SP425,RNA5SP196,RNA5SP466,RNA5SP427,RNA5SP248,RNA5SP477,RNA5SP452,RNA5SP221,RNA5SP33,RNA5SP159,RNA5SP357,RNA5SP74,RNA5SP69,RNA5SP282,RNA5SP320,RNA5SP354,RNA5SP146,RNA5SP141,RNA5SP111,RNA5SP376,RNA5SP212,RNA5SP152,RNA5SP245,RNA5SP88,RNA5SP294,RNA5SP52,RNA5SP363,RNA5SP247,RNA5SP465,RNA5SP229,RNA5SP129,RNA5SP364,RNA5SP20,RNA5SP507,RNA5SP370,RNA5SP122,RNA5SP197,RNA5SP371,RNA5SP473,RNA5SP344,RNA5SP209,RNA5SP154,5S_rRNA.4,RNA5SP394,RNA5SP67,RNA5SP435,RNA5SP298,RNA5SP369,RNA5SP372,RNA5SP289,RNA5SP367,RNA5SP386,RNA5SP432,RNA5SP124,RNA5SP65,RNA5SP296,RNA5SP174,RNA5SP469,RNA5SP97,RNA5SP341,RNA5SP25,RNA5SP482,RNA5SP297,RNA5SP327,RNA5SP18,Diagnosis
R_JS012_FPKM,1.955827722,0.92418233,9.141368699,3.881565786,3.504191335,1.450010207,2.175015311,4.715921049,0.731309496,4.350030622,1.649031216,1.39009243,0.695046215,2.587710524,4.205029602,4.905867869,2.607770296,0.712716882,0.750898143,0.618386706,0.651942574,0.750898143,1.425433763,0.718808479,1.450010207,0.0,0.0,0.712716882,2.900020415,0.0,0.618386706,0.778709185,1.488506054,0.0,0.706727664,0.0,0.718808479,0.934451023,0.712716882,0.0,0.0,0.778709185,0.0,0.876047834,0.706727664,0.757662991,0.92418233,0.0,0.0,0.771565065,0.0,0.0,0.0,0.824515608,0.0,0.0,0.662209386,0.706727664,0.0,0.0,0.858169306,0.0,0.0,0.0,0.0,0.778709185,0.0,0.0,0.0,0.0,1.665358258,0.0,0.0,1.529101673,0.0,1.543130129,0.0,0.0,0.731309496,0.0,0.771565065,0.84950093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808659539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462618992,0.613872935,0.0,0.785986841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764550837,0.712716882,0.0,0.0,0.0,1
R_JS013_FPKM,1.022329312,1.449236058,4.30114365,1.014465241,5.495551486,0.56845035,1.136900701,4.314443518,1.146786794,0.56845035,1.292945895,0.544960666,0.0,2.536653655,2.198008021,6.045053492,1.533493968,2.235262394,0.588752149,0.484854711,0.0,0.588752149,2.235262394,0.5635918,0.56845035,0.0,1.127183601,0.558815599,0.0,0.0,0.0,0.610557784,1.167083905,0.0,0.554119669,0.519214493,0.0,0.73266934,1.117631197,0.0,0.0,3.0533794,0.0,0.686877507,0.0,1.188112444,0.0,0.0,0.0,0.604956336,0.0,0.0,0.0,0.0,1.221115567,0.0,0.0,0.0,0.0,0.0,0.672859598,0.0,0.0,0.0,0.0,0.610557784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599456733,0.0,0.0,0.0,0.0,0.0,0.628002292,0.0,0.0,0.558815599,0.8453877,0.0,0.0,0.0,0.0,0.0,1.05504385,0.0,0.0,0.0,0.0,0.0,1.108239338,0.0,0.0,0.0,0.0,0.0,0.481315625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
R_JS014_FPKM,2.121258413,1.002352876,5.452771286,1.403294027,12.92199916,0.392968962,0.78632855,3.835895762,0.396386084,3.53828316,4.023929868,0.753835634,0.376730575,0.350649228,4.940575584,7.601175979,1.060453576,0.773000947,0.407003568,1.005871407,0.353367439,0.407003568,0.773000947,1.169218046,0.392968962,0.389610253,5.067257009,0.0,3.931642748,0.403401766,0.335179409,0.422077774,1.210606295,0.389610253,0.383062182,0.718221352,0.0,1.01349013,0.386308471,0.0,0.0,0.422077774,0.403401766,0.950146997,1.149567322,1.232419021,1.503280345,0.0,0.0,0.0,1.266652883,0.392968962,0.0,0.0,0.422077774,0.766505141,0.0,0.383062182,0.0,0.0,1.861512485,0.0,0.0,0.0,0.0,0.0,0.0,0.335179409,0.370604875,0.379869997,0.0,0.0,1.27849076,0.0,0.0,0.418205501,0.0,0.0,0.396386084,0.0,0.0,0.460448481,0.0,0.0,0.542671424,0.0,0.0,0.422077774,1.149567322,0.0,0.0,1.315370301,0.0,0.0,0.0,1.533010281,0.0,0.422077774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
R_JS015_FPKM,0.577170822,2.455209953,3.237816758,1.145915921,8.688387458,0.641853759,0.641853759,9.048144476,0.647435096,1.284216118,2.190432409,0.615330876,0.0,6.301402994,3.723735095,5.585602643,2.309140634,1.893424625,0.664777107,0.5474635,0.577170822,0.664777107,0.630974882,0.0,0.0,0.0,3.819215482,0.630974882,1.284216118,0.658894124,0.5474635,0.689398482,1.318310351,0.0,0.625672572,0.0,0.0,0.827278178,0.630974882,0.664777107,0.0,0.689398482,0.0,0.775573292,0.625672572,0.67076609,0.818187209,0.653114351,0.0,0.683073725,0.689398482,0.0,0.0,0.0,0.689398482,0.0,0.586260126,0.625672572,0.0,0.722864427,0.759745266,0.0,0.0,0.0,0.636367829,2.06874172,0.600443839,0.5474635,0.0,0.0,0.0,0.0,0.695841458,0.676863964,0.615330876,0.683073725,0.0,0.0,0.647435096,0.0,0.683073725,0.0,0.630974882,0.0,0.0,0.0,0.0,0.0,0.625672572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689398482,0.67076609,0.0,0.647435096,0.543467416,0.0,0.0,0.0,0.676863964,0.0,0.0,0.0,0.683073725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
R_JS016_FPKM,4.341078403,2.307688657,6.847815253,2.153842746,5.249991694,0.603447321,4.827578569,7.849831817,1.217389378,1.206894642,2.745093696,1.157022963,1.735534444,3.769224806,4.666659283,8.749430602,2.713174002,2.372877602,0.624999011,0.514705068,0.5426348,0.624999011,1.186438801,1.196579303,0.603447321,0.0,1.794868955,0.5932194,1.810341963,0.619468046,0.514705068,0.648147123,2.477872186,0.0,0.588234363,0.0,1.196579303,1.555553094,0.5932194,0.0,0.5932194,0.648147123,0.0,0.0,0.588234363,0.630629633,0.0,0.614034116,0.654204572,1.926602456,0.648147123,0.0,0.0,0.686273424,0.0,0.0,0.0,0.588234363,0.0,0.0,0.0,0.0,0.0,1.926602456,0.0,1.296294245,0.0,0.514705068,0.569104791,0.0,0.69306821,0.0,0.0,0.63636263,0.0,0.0,1.414139177,0.0,0.0,0.0,0.0,0.0,0.5932194,0.0,0.0,0.0,0.0,0.0,0.588234363,0.0,0.0,0.673075858,0.0,0.630629633,0.0,0.588234363,0.0,0.648147123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5932194,0.0,0.0,0.0,1
R_JS017_FPKM,1.187915915,1.683968715,2.498875448,1.1787781,5.109198825,1.321044423,2.642689047,2.864971304,0.666568593,3.96373347,0.751523414,1.26645581,0.633515605,2.358091765,1.91580451,5.747993727,3.564287461,4.546173481,0.684423109,0.56364256,0.594227816,0.684423109,0.649621934,1.964927703,0.660822312,0.0,1.964927703,0.0,3.30351136,0.678366267,2.817700865,0.709772113,1.356116398,0.0,0.644162926,0.0,1.309753445,0.851726536,1.948275773,0.0,0.649621934,0.0,1.356116398,0.798493627,1.287740782,0.690589083,0.842366904,0.672415686,0.0,1.405882138,0.709772113,0.660822312,0.0,0.751523414,0.0,0.0,0.0,0.644162926,0.0,0.0,0.782197839,0.0,0.644162926,0.0,1.309753445,1.418899565,0.0,0.56364256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649621934,0.0,0.0,0.633515605,0.0,0.709772113,1.287740782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690589083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
R_JS018_FPKM,1.328646147,2.825742795,7.453049367,1.318425792,7.143125204,0.739200357,3.69429265,6.408229362,0.745628186,2.216746503,2.521005827,1.416490521,0.0,2.637614121,5.000270251,4.285709906,2.658060742,0.726671537,0.765600369,0.630494422,0.664707298,0.765600369,2.905846066,2.930682357,0.739200357,0.0,2.197799952,1.452502992,3.69429265,0.0,1.260259949,2.380949948,0.758825145,0.0,2.160862138,0.0,0.0,2.857139938,2.179174529,0.0,1.452502992,2.380949948,0.0,0.893200431,0.0,0.0,0.0,0.0,0.0,1.572434431,1.586994009,0.0,0.765600369,0.840659229,0.793955939,0.720565054,0.0,0.0,0.720565054,0.0,0.874971851,0.0,0.0,0.786671939,0.0,0.793955939,0.0,1.260259949,0.0,0.0,0.0,0.0,0.801376088,0.0,0.0,0.0,0.0,0.0,0.0,0.816640394,0.0,0.0,0.726671537,1.099323607,1.020800493,0.0,0.0,0.793955939,0.0,0.0,0.0,0.824492706,0.0,0.77249767,0.0,1.440297084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77249767,0.0,0.0,0.0,0.0,0.779520376,0.0,0.0,0.0,0.0,1
R_JS019_FPKM,1.937281281,0.915746499,4.527017817,1.922379118,2.082577378,0.71838734,1.43600305,3.892389151,0.724634187,2.154390391,0.816989524,0.688701913,0.0,1.922379118,5.554036946,7.636614323,1.291289565,1.411664016,0.744044031,0.612742143,0.645991717,0.744044031,1.411664016,2.135976797,0.71838734,0.0,1.42372952,0.706211283,1.43600305,0.73745957,1.837568274,0.771601217,1.474127025,0.0,1.399801293,0.0,0.712247277,0.0,0.706211283,0.0,0.706211283,1.542373647,0.73745957,0.0,0.0,0.75074713,0.915746499,0.0,0.0,0.764522307,0.771601217,0.71838734,0.0,0.816989524,0.0,0.700276735,0.0,0.0,0.0,0.0,0.0,0.0,0.700276735,0.764522307,0.0,0.771601217,0.0,0.0,0.677503508,0.694441095,0.0,0.0,0.778812443,0.0,0.0,0.0,0.841746782,0.0,0.0,0.0,0.0,0.841746782,0.0,0.0,0.992058708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636129248,0.0,0.0,0.0,0.724634187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
R_JS020_FPKM,1.378126055,1.953607265,6.76223344,6.152348462,3.702893461,0.0,4.596865051,2.491298637,0.0,1.532571217,0.871462064,0.734620914,0.0,2.050530416,3.702893461,6.665044167,2.066426001,1.506595433,0.793652952,0.653596548,1.378126055,0.793652952,0.753297717,0.759736159,0.766285608,0.0,2.278367129,0.753297717,1.532571217,0.0,0.653596548,0.823047505,0.786629474,1.519472317,0.746967484,0.0,0.759736159,0.987657006,2.259058933,0.793652952,2.259058933,0.823047505,0.0,0.0,0.746967484,2.401522109,0.976803633,0.0,0.0,0.815496611,1.646095011,0.766285608,0.0,0.871462064,0.0,0.746967484,0.0,0.746967484,0.0,0.0,0.0,0.863001268,0.0,0.0,0.0,0.823047505,0.0,0.0,0.0,0.0,0.880090402,0.793652952,0.830739538,0.0,0.0,0.0,0.897870006,0.0,1.545897923,0.0,0.0,1.795740012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678542981,0.0,0.800802978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800802978,0.0,0.0,0.0,0.0,0.0,0.753297717,0.0,0.0,0.0,1
R_JS021_FPKM,4.269200832,1.729448705,5.131208258,0.605044213,6.55635406,0.0,0.67806679,5.882080888,0.0,1.356722691,0.771134781,0.0,0.650047501,4.841405039,4.589390895,5.900889496,1.219998699,1.333727392,0.702283461,0.578351086,0.0,0.702283461,2.000301524,1.345126771,1.356722691,0.672271348,2.017398118,0.666574133,0.67806679,0.696068563,1.157204649,0.72829396,2.088810441,0.0,0.660972669,0.0,0.672271348,0.0,0.666574133,0.0,0.666574133,0.72829396,0.0,0.0,0.0,0.708610339,0.0,0.689962699,0.0,0.721612364,0.0,0.0,0.0,0.0,0.0,0.660972669,0.0,0.660972669,0.660972669,0.763648036,0.0,0.0,0.0,0.0,0.0,0.72829396,0.0,0.0,0.639477623,1.311498602,0.0,0.0,0.0,0.0,0.0,0.721612364,0.794502502,0.0,0.683963023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322519598,0.600425555,0.0,0.0,0.0,0.0,0.574129545,0.0,0.0,0.0,0.715052251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666574133,0.0,0.0,0.0,1
