,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,Diagnosis
R_JS024_FPKM,0.668180867,12.49438697,3.160102451,1.989694136,5.386258157,0.705009733,5.969693119,0.987532016,3.630404477,1.336361733,1
R_JS025_FPKM,0.61881955,15.42549776,0.975550821,3.070599588,1.246944658,1.305855429,2.456363886,3.048308982,2.240602193,0.0,1
R_JS026_FPKM,0.592531295,9.229772687,1.867308537,3.527709914,4.177744601,0.625190501,1.763854957,1.750885435,1.608921751,0.592531295,1
R_JS027_FPKM,1.393316153,13.02732841,1.464591204,4.610750088,1.87203387,0.980238208,5.071595363,0.686413105,2.10266633,0.0,1
R_JS028_FPKM,1.692909635,9.672200093,2.668822248,5.601037256,2.273986823,1.191019959,0.559928566,2.502020858,3.065539069,1.128802498,1
R_JS029_FPKM,0.567335367,11.49623321,2.684051611,5.07043504,2.287540569,2.395613351,1.126825539,2.236802286,1.02784762,1.135234685,1
R_JS030_FPKM,3.588141842,15.8416008,0.94276668,1.780781507,3.615120352,2.523942293,1.187187671,1.17845835,1.62436151,1.196047281,1
R_JS031_FPKM,1.998305505,8.303036828,5.250449759,0.661167747,4.697770837,0.702816109,1.322335495,1.31261244,3.01546101,2.66440734,1
R_JS032_FPKM,0.512296217,5.58965669,0.807619919,1.525940399,2.065477605,0.540533017,1.525940399,1.767317924,0.463835764,0.0,1
R_JS033_FPKM,1.273045198,8.927624235,1.003966723,3.159357664,0.641632868,0.0,3.159357664,0.627161973,0.57660251,1.909889762,1
R_JS034_FPKM,0.596706674,15.80383309,1.881381042,5.922243439,4.207720161,0.629596018,4.737670191,3.526971229,1.620784344,1.790120021,1
R_JS035_FPKM,4.639295151,8.131509556,8.227174374,1.726690918,4.08974473,3.059545483,5.180072754,0.285770225,2.625420786,0.0,1
R_JS036_FPKM,1.598757383,16.60632971,3.360525323,5.818102867,3.75848227,0.562292623,2.644857893,4.200366554,0.965015718,0.532919128,1
R_JS037_FPKM,2.703384151,34.75530399,2.130902801,6.037944142,1.361855174,0.0,4.025811036,0.999052371,2.447658623,2.703384151,1
R_JS038_FPKM,0.0,5.983824735,1.009037112,3.176598316,4.514113396,0.0,1.270639326,1.576620488,1.159029115,2.560243419,1
R_JS039_FPKM,2.314771689,9.015454935,2.736174812,1.722776733,1.74868315,2.442357531,0.0,0.570036419,0.52381725,0.0,1
R_JS040_FPKM,1.201435789,10.29696038,1.894028185,2.981340662,1.815703711,0.63382833,1.192536265,1.775651423,1.087786458,0.0,1
R_JS041_FPKM,0.621327188,13.54619605,1.95793758,6.163877566,4.379939294,1.966004232,6.163877566,3.059277468,2.81153535,0.621327188,1
