,SNORA25,SNORD62B,SNORD14E,SNORA55,Diagnosis
R_JS021_FPKM,1.17447636,4.574597815,3.702250912,2.914188237,1
R_JS022_FPKM,2.609563851,16.26631199,1.028475165,5.181121596,1
R_JS023_FPKM,1.818719606,11.3333193,1.911108746,2.406581383,1
R_JS024_FPKM,0.668180867,12.49438697,3.160102451,1.989694136,1
R_JS025_FPKM,0.61881955,15.42549776,0.975550821,3.070599588,1
R_JS026_FPKM,0.592531295,9.229772687,1.867308537,3.527709914,1
R_JS027_FPKM,1.393316153,13.02732841,1.464591204,4.610750088,1
R_JS028_FPKM,1.692909635,9.672200093,2.668822248,5.601037256,1
R_JS029_FPKM,0.567335367,11.49623321,2.684051611,5.07043504,1
R_JS030_FPKM,3.588141842,15.8416008,0.94276668,1.780781507,1
R_JS031_FPKM,1.998305505,8.303036828,5.250449759,0.661167747,1
R_JS032_FPKM,0.512296217,5.58965669,0.807619919,1.525940399,1
R_JS033_FPKM,1.273045198,8.927624235,1.003966723,3.159357664,1
R_JS034_FPKM,0.596706674,15.80383309,1.881381042,5.922243439,1
R_JS035_FPKM,4.639295151,8.131509556,8.227174374,1.726690918,1
R_JS036_FPKM,1.598757383,16.60632971,3.360525323,5.818102867,1
R_JS037_FPKM,2.703384151,34.75530399,2.130902801,6.037944142,1
R_JS038_FPKM,0.0,5.983824735,1.009037112,3.176598316,1
R_JS039_FPKM,2.314771689,9.015454935,2.736174812,1.722776733,1
R_JS040_FPKM,1.201435789,10.29696038,1.894028185,2.981340662,1
R_JS041_FPKM,0.621327188,13.54619605,1.95793758,6.163877566,1
