,SNORA25,SNORD62B,SNORD14E,Diagnosis
RNA32_FPKM,0.742001444,6.937910419,3.50923036,1
RNA328_FPKM,8.31331338,9.252233128,4.680541465,0
RNA331_FPKM,8.853268689,8.925834033,4.926073853,0
RNA334_FPKM,15.45103167,3.210413935,2.435727716,0
RNA335_FPKM,8.743363886,5.240097943,2.120477464,1
RNA336_FPKM,5.858094856,4.563864597,1.846683696,0
RNA35_FPKM,6.629890187,5.165606416,1.742126085,0
RNA358_FPKM,0.740027088,5.764105845,3.498656978,0
RNA365_FPKM,2.960230258,4.612451798,7.001260157,0
RNA368_FPKM,6.831749733,1.773747749,3.590017507,0
RNA37_FPKM,3.582454951,7.442619589,1.882544955,0
RNA379_FPKM,3.321493962,5.175351057,6.545653132,1
RNA38_FPKM,1.665877703,6.056980096,2.626207202,0
RNA383_FPKM,3.02119268,6.590590919,9.525642803,0
RNA385_FPKM,2.374815675,9.250735478,4.991567225,1
RNA386_FPKM,2.631638858,5.126077453,7.260734876,0
RNA39_FPKM,3.078762839,4.797142099,3.882467687,1
RNA392_FPKM,4.101693137,8.521006781,4.310110655,0
RNA409_FPKM,1.990361042,2.067166881,5.230263948,0
RNA41_FPKM,5.601313958,2.618155004,3.531717128,0
RNA418_FPKM,5.290679981,3.663730849,2.779899312,0
RNA431_FPKM,2.468959885,7.69275751,5.189248608,1
RNA44_FPKM,3.000797045,8.416380311,1.891880029,1
RNA442_FPKM,8.304924205,4.621759146,3.740203181,0
RNA454_FPKM,4.409745724,4.581023965,3.475917217,0
RNA457_FPKM,1.288861068,6.024108218,1.354376171,0
RNA466_FPKM,3.030625355,9.444274362,3.82197221,0
RNA471_FPKM,4.859203833,5.678962237,4.468721828,0
RNA476_FPKM,2.013339603,6.274128065,5.289593684,0
RNA483_FPKM,1.4895102,6.189661503,4.697035036,0
RNA488_FPKM,5.931501327,3.360543355,1.700452712,0
RNA499_FPKM,6.274573376,7.999166257,5.395218855,0
RNA50_FPKM,11.08783393,5.183102141,6.991484455,1
RNA504_FPKM,3.251599231,7.369498816,6.058477311,0
RNA519_FPKM,6.899598437,5.864172422,2.966130426,0
RNA52_FPKM,4.676091179,5.828802028,9.58368992,0
RNA521_FPKM,2.531703164,7.231307701,4.656348173,0
RNA528_FPKM,3.896075016,7.082705234,4.095007342,0
RNA53_FPKM,8.006414786,9.539791079,3.712316891,0
RNA535_FPKM,7.136184689,1.853660292,2.812731576,1
RNA58_FPKM,5.735564621,7.944036518,4.018747886,0
RNA6_FPKM,7.923196034,5.698216814,6.725430853,0
RNA60_FPKM,5.604450281,4.851737502,3.926434264,0
RNA62_FPKM,5.706277813,5.927451372,2.998593047,0
RNA63_FPKM,8.299472701,4.310824602,1.744765263,0
RNA64_FPKM,17.39517589,0.0,2.654252572,0
RNA66_FPKM,8.117186002,0.843393338,4.265770764,0
RNA67_FPKM,4.338909168,14.48628449,4.885206403,0
RNA69_FPKM,5.812274763,8.150422558,1.832199628,0
RNA7_FPKM,1.847222847,7.675575836,3.882493226,0
RNA72_FPKM,3.989904432,6.216827837,1.797265977,0
RNA74_FPKM,1.597736677,8.298015385,5.037569758,0
RNA75_FPKM,5.342262212,7.567411194,3.828219781,0
RNA78_FPKM,4.190720061,6.529726606,2.831578701,1
RNA86_FPKM,6.347060559,8.991445213,1.819445384,1
RNA87_FPKM,3.256520715,7.103076371,5.133809127,0
RNA89_FPKM,3.930700864,1.750093623,4.425951344,0
RNA94_FPKM,0.578969063,0.0,1.825455399,1
RNA95_FPKM,4.239242741,5.661423842,1.909001745,0
RNA97_FPKM,2.140989252,4.447946663,4.500275447,0
RNA98_FPKM,2.230702823,4.634328346,2.344424928,1
R_JS001_FPKM,2.777882524,16.23089603,3.284097463,1
R_JS002_FPKM,4.325331718,8.985678988,2.272634621,1
R_JS003_FPKM,1.791123245,11.16421691,1.883067525,1
R_JS004_FPKM,2.942104939,9.167332449,3.710513523,1
R_JS005_FPKM,0.0,16.30790565,0.970515582,1
R_JS006_FPKM,2.486468464,10.65370835,0.979435088,1
R_JS007_FPKM,7.919202441,10.57676263,4.458493385,1
R_JS008_FPKM,1.92087641,10.97291016,3.028205164,1
R_JS009_FPKM,3.41612657,9.581922432,1.077306967,1
R_JS010_FPKM,4.535078914,8.636482775,1.588669932,1
R_JS011_FPKM,3.68134435,19.1196775,3.22434686,1
R_JS012_FPKM,0.627616358,16.62572676,3.957674919,1
R_JS013_FPKM,0.984182696,9.968452329,0.775767537,1
R_JS014_FPKM,3.403511632,14.84880889,2.146214394,1
R_JS015_FPKM,1.667344073,9.525376619,0.8759416,1
R_JS016_FPKM,1.044774466,12.20850782,1.647056218,1
R_JS017_FPKM,1.143590694,5.346431192,2.704665191,1
R_JS018_FPKM,0.639904786,14.95015084,3.025206993,1
R_JS019_FPKM,1.243107118,5.811843844,0.980387429,1
R_JS020_FPKM,1.989320553,14.46688971,2.091508955,1
R_JS021_FPKM,1.17447636,4.574597815,3.702250912,1
R_JS022_FPKM,2.609563851,16.26631199,1.028475165,1
R_JS023_FPKM,1.818719606,11.3333193,1.911108746,1
R_JS024_FPKM,0.668180867,12.49438697,3.160102451,1
R_JS025_FPKM,0.61881955,15.42549776,0.975550821,1
R_JS026_FPKM,0.592531295,9.229772687,1.867308537,1
R_JS027_FPKM,1.393316153,13.02732841,1.464591204,1
R_JS028_FPKM,1.692909635,9.672200093,2.668822248,1
R_JS029_FPKM,0.567335367,11.49623321,2.684051611,1
R_JS030_FPKM,3.588141842,15.8416008,0.94276668,1
R_JS031_FPKM,1.998305505,8.303036828,5.250449759,1
R_JS032_FPKM,0.512296217,5.58965669,0.807619919,1
R_JS033_FPKM,1.273045198,8.927624235,1.003966723,1
R_JS034_FPKM,0.596706674,15.80383309,1.881381042,1
R_JS035_FPKM,4.639295151,8.131509556,8.227174374,1
R_JS036_FPKM,1.598757383,16.60632971,3.360525323,1
R_JS037_FPKM,2.703384151,34.75530399,2.130902801,1
R_JS038_FPKM,0.0,5.983824735,1.009037112,1
R_JS039_FPKM,2.314771689,9.015454935,2.736174812,1
R_JS040_FPKM,1.201435789,10.29696038,1.894028185,1
R_JS041_FPKM,0.621327188,13.54619605,1.95793758,1
