,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,SNORD36C,SNORD99,SNORA3B,SNORD59A,SNORA17B.1,SNORD124,SNORA63B,SNORA70.21,SNORD38A,AC008810.1,SNORA8,SNORA4,SNORA24,SNORD87,SNORA2B,SNORA6,SNORA70G,SNORA20,SNORA22,SNORA60,SNORD34,AC076966.1,SNORD125,SNORA21,snoZ196,SNORA52,SNORA66,AC087441.1,SNORD14C,SNORA33,AP000254.1,SNORA30,SNORD51,SNORD73B,AL355598.1,SNORA9B,SNORD14D,AL355987.6,SNORA31,AC127002.1,SNORD101,AL389886.1,U3.1,Diagnosis
RNA140_FPKM,4.555662753,4.436235958,3.59093417,1.695870493,1.721372305,0.0,0.565088058,1.402633428,0.515451945,0.569305134,1.155861938,5.155625572,15.72825035,24.41944373,10.56594805,0.733527768,42.18817426,0.615216838,13.08242952,0.595991312,12.07830578,30.96708131,5.242958395,10.28955131,1.114274662,0.505211178,0.537231605,4.046756977,2.277831377,0.569305134,29.01972952,0.0,5.564290844,0.577930969,1.715231783,6.264188996,4.589915856,0.556838598,2.601619506,11.74022212,2.155459279,0.591371224,0.953586099,0.0,0.0,0.573585623,2.631523179,11.56233996,5.870111058,0.591371224,2.091172995,0.0,0.0,1
RNA145_FPKM,3.270572392,4.247036264,1.718653728,0.541288777,1.647816179,0.0,0.0,0.268654356,1.974129282,0.0,1.10718159,4.935744847,16.17049102,13.63548495,8.428253484,1.404668912,13.06507023,0.58930633,14.60944816,0.0,8.408251352,22.23131674,2.788130677,9.848465181,3.198954019,3.869816341,0.0,6.087134994,2.180381595,0.0,9.259383836,0.0,3.804636653,0.553590795,2.462466874,23.43980069,1.647816179,0.0,3.320126519,7.866625931,1.650684371,0.0,0.913424812,1.014916458,0.0,0.0,0.839930862,4.426835359,14.60903671,0.0,1.001013493,0.0,0.0,0
RNA150_FPKM,1.207323523,5.643535538,2.854965037,3.595141158,3.041002859,1.273868914,2.995950965,2.081745339,0.546558622,0.0,1.225616304,2.186234488,9.880399693,26.96464592,6.222359696,1.555589924,33.54136231,0.0,8.089067605,0.0,10.47563821,35.75720525,3.70491646,9.997724006,1.771328673,5.892698255,1.708957945,1.838424456,1.207323523,0.603661762,18.23003324,0.0,5.055667253,3.676848911,3.635536002,9.055534953,2.432802287,0.0,0.919212228,5.600123726,1.828037877,0.627059504,2.022266901,1.123481612,0.627059504,3.041002859,8.36800097,4.902465215,11.20087471,0.0,1.108091453,0.0,0.374493871,1
RNA151_FPKM,3.247396018,1.686406374,3.413177862,0.537367297,1.635906265,0.0,1.611670616,0.799910049,0.490166115,0.0,1.09916038,0.98033223,13.84127536,5.802014218,2.789728487,2.092072435,17.69001444,0.0,4.144573118,0.0,12.52275171,21.54846048,1.660881933,5.704445522,1.588142578,3.362222857,0.51087736,1.648299494,0.0,0.0,22.47368365,0.0,1.510739043,2.197879684,0.815107697,9.742622546,1.635906265,0.0,0.824370285,6.137044382,0.409856413,0.562361124,0.906807313,1.007563681,0.0,1.090458257,3.334714003,3.846179178,23.99014226,0.0,1.986725317,0.0,0.0,0
RNA152_FPKM,3.76485814,3.910437581,1.978745397,1.245876731,1.26461172,0.662178578,1.245876731,0.309178968,1.70466242,1.255174319,0.0,7.953887434,10.91126941,8.96912466,10.99520225,2.425865751,21.87518953,0.0,12.01126604,0.657005308,6.653851094,32.29219013,6.418233761,17.00531429,1.22768875,8.352794832,1.184460273,3.184805389,0.627587159,0.0,16.57993437,0.0,4.37910741,4.458997501,3.778625079,17.5697812,5.690082924,0.0,0.955644084,3.880699929,1.899986621,0.651912243,4.2037204,1.168009436,0.0,2.528553624,0.966628498,13.3769925,10.99520225,0.0,1.152009306,0.622938366,0.0,0
RNA155_FPKM,4.083563759,5.453796116,3.678638949,1.737135059,1.175504927,0.0,1.15809004,0.287393668,1.584548872,0.583366251,1.184410268,3.169097743,14.32037467,11.46417951,9.019213645,1.503289955,10.80357666,0.0,11.16631979,0.0,7.87285393,16.42626428,2.386903135,15.80911244,0.570591808,2.070757024,1.651501641,4.145435937,1.166732503,0.583366251,30.82610412,0.0,2.442846177,4.737122956,2.634980146,17.49996677,2.938762318,0.0,0.888307701,12.62710954,1.32493352,0.0,2.931415413,1.085709412,0.0,0.587752464,0.898518134,7.698148625,26.45632495,0.0,1.07083668,0.57904502,0.0,0
RNA165_FPKM,3.277676461,9.192963042,3.100749483,3.903934189,0.660319322,1.383031021,1.952323749,0.645753455,0.593395066,0.0,1.330643482,5.935251969,17.43335421,21.08124462,16.21634202,1.688893651,29.2796369,1.416491449,17.5672453,0.0,10.11113962,36.91787113,4.69353882,0.986769324,3.846942449,8.725999584,3.093018632,4.657981707,2.622284895,0.655391566,39.58873968,1.372226091,2.745455271,6.65467645,1.973538648,11.14381251,7.264960611,0.0,0.997982612,7.432613548,2.481404778,0.68079434,1.097780873,1.219756525,1.36158868,0.660319322,4.038921562,8.650641674,9.459285929,0.68079434,3.610461727,0.650536814,0.0,0
RNA174_FPKM,4.790462705,10.26367838,0.94413466,4.16052264,4.826481222,1.263802301,1.188910313,0.885126244,0.542239501,0.0,1.215931002,3.253437004,13.47597467,10.6989986,5.555180374,3.086594081,38.49095519,0.647189082,14.90256047,0.626964423,10.39098487,37.79634902,4.900167958,9.917711695,2.928884895,10.6281443,1.695453087,3.039827504,1.796674167,0.598891389,22.60351816,0.0,9.194545217,3.039827504,3.606806567,8.383811039,4.826481222,0.0,4.559741256,10.4937309,4.986871982,0.622104233,2.006286153,0.0,1.244208467,4.22308689,3.68972166,9.11880398,12.9623172,0.0,2.198669756,0.594455156,0.371534473,1
RNA179_FPKM,7.354808984,7.640166703,1.932730994,1.82535705,1.235204019,1.293560114,3.041712109,1.207684072,0.0,0.0,0.0,5.549069388,16.30110797,19.71187743,6.317972853,1.579635909,46.74151946,0.0,5.866159067,0.641727088,18.31709553,39.87524414,6.896775101,5.536766314,2.997307553,5.439314377,0.57845822,4.355403555,1.838979117,0.612993039,21.97932218,1.283454176,4.277407653,7.466245484,3.690899634,7.967802024,3.70505415,0.0,0.933421219,5.68611849,1.392221479,1.273504919,3.080290022,1.140848156,1.273504919,0.617602009,0.944150198,4.355403555,24.00761191,0.0,3.375660298,1.2169047,0.0,0
RNA18_FPKM,11.6620919,2.869705829,7.741352221,0.609369633,6.183762969,0.647755122,5.483554364,0.0,8.336249845,0.0,1.246437885,7.780405923,3.767062121,9.870397856,3.163232596,0.0,50.82017281,5.306572087,18.79893732,0.642694535,66.27188549,104.8956435,4.39503846,33.26866098,2.401133847,9.259539822,2.31658688,3.115304829,2.454890575,0.613917167,16.21831094,0.0,0.0,4.984961657,0.0,0.613917167,4.947480742,0.0,0.934828414,15.81696501,8.828928328,0.0,1.028311255,1.142568062,0.0,0.0,0.945573568,5.6081806,68.96151832,1.91313722,4.506237493,0.0,0.0,1
RNA185_FPKM,4.674583534,8.194236419,1.842591495,3.480450601,1.766394102,0.616615264,1.740225301,1.439524605,1.587367673,1.753212057,1.18651725,6.349470692,18.53007989,34.45414323,12.64876215,2.258946304,43.92654459,0.0,17.8982186,0.611797957,10.70363825,56.17460371,4.781635065,7.918026203,4.572220391,18.14962983,1.654439546,7.711703683,1.168808038,0.0,39.70287666,0.0,3.262922439,0.593258625,1.759778394,11.68743176,4.120932744,0.0,7.118115836,12.04704505,3.981380407,1.214110675,2.936630195,2.175281626,1.214110675,1.177596068,8.100049794,7.118445058,10.239888,0.0,6.436449742,1.1601502,0.0,1
RNA2_FPKM,4.176597308,16.73341768,5.643085753,4.14565955,4.208000295,1.888434209,2.369132554,0.881732149,0.53996417,2.386812647,1.210828745,7.563027557,19.52912172,33.04533665,6.149962952,1.537658148,48.09857785,0.644473364,10.27847762,0.624333572,8.627645868,47.50510008,3.661544191,17.06728784,1.167273338,9.000477947,2.252344329,7.873684305,1.193406324,0.596378337,45.04075608,0.0,2.498241089,5.45070783,4.491545976,9.54595129,6.011241983,0.0,1.817232356,9.839672868,6.323395624,0.619493776,3.997911184,1.109926349,0.619493776,1.803241688,7.351479729,11.50748953,13.52938278,0.619493776,2.190636265,0.59196072,0.0,0
