,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,SNORD36C,SNORD99,SNORA3B,SNORD59A,SNORA17B.1,SNORD124,SNORA63B,SNORA70.21,SNORD38A,AC008810.1,SNORA8,SNORA4,SNORA24,SNORD87,SNORA2B,SNORA6,SNORA70G,SNORA20,SNORA22,SNORA60,SNORD34,Diagnosis
RNA205_FPKM,6.178730348,3.851280047,1.948294612,1.840056022,0.622575346,0.0,0.0,1.826249201,0.559476493,0.0,1.254583652,4.475811947,24.01675133,17.66252866,7.005787597,0.796178087,15.48217314,0.667762266,17.74232102,0.0,9.530141361,26.9986382,6.952308302,13.95463451,1.208795927,6.579833832,0.0,8.154222952,0.0,0.617929261,34.98379718,0
RNA209_FPKM,3.232916825,8.05991302,2.03846105,4.493005974,0.0,0.682460441,3.208969293,0.955667887,0.585624838,1.939863173,1.313219333,5.854200736,18.5196313,17.32944435,11.99730763,2.499439089,33.81354995,0.0,11.14035708,0.0,11.22050354,34.53294701,3.968575042,12.65661952,1.897384418,5.738393852,1.220205558,6.564374785,0.646809522,0.646809522,37.83117416,0
RNA213_FPKM,3.512750316,6.385581002,4.614789631,0.581121657,1.179720658,0.617727746,1.162243315,0.865273056,0.530077187,0.0,1.188657935,5.300771874,29.94446921,10.46018983,10.86309821,3.017362451,19.77356436,0.632672772,11.20734625,0.612901748,6.208941015,26.15159255,7.785844646,13.22301681,0.572638129,6.754606944,2.20989926,4.754631741,0.585458386,0.585458386,13.26048204,0
RNA219_FPKM,5.478210978,3.793696491,4.797910268,0.604181293,3.06633363,0.642239957,1.208362586,0.299869392,1.653333944,0.608690109,0.0,5.511113146,22.41414066,19.57547389,19.44999009,0.784273794,19.89377428,0.0,16.31289491,1.274444915,12.3226904,21.2771915,4.358407037,20.16200495,3.572166769,9.722917496,1.148795416,2.471650744,0.608690109,0.608690109,34.46386249,0
RNA23_FPKM,2.385115971,14.86537396,6.580393744,3.550820474,2.403049174,1.887621482,2.367448445,4.112396486,2.699210487,1.192203163,1.210266847,5.398420973,16.46840587,34.09125761,5.531451478,4.609238115,49.36996148,0.64417429,15.97959777,0.624043843,21.26854297,61.37318309,6.09897942,23.34144342,4.082726046,11.64094652,6.189711327,4.23737476,1.192203163,0.596101582,1.125036788,1
RNA246_FPKM,4.73778565,8.20245271,0.829972422,2.612876144,0.530433503,0.0,2.090300915,1.296831909,0.953346701,0.526475044,1.068903877,4.766733505,15.61641808,24.45477068,8.139609326,2.035028535,38.99928838,0.568932709,16.12424098,0.0,12.68748306,46.51770239,4.846284558,14.26732787,1.029892787,12.14640928,0.496814478,3.206711631,0.526475044,0.526475044,19.87165481,1
RNA253_FPKM,7.263875745,8.488598981,1.908879666,3.605034629,0.609662149,0.0,1.201887197,3.578527022,0.547872066,0.605112432,0.0,9.865128546,14.24147812,28.11964628,12.47918305,2.339806129,36.27062423,0.0,12.74677549,0.0,16.33977153,44.08391722,7.430224045,7.291398276,2.368064988,8.057610512,2.284682418,4.91617005,1.210856505,0.605112432,35.41645184,1
RNA26_FPKM,2.557497014,29.88702906,1.007954706,14.5966774,3.865089472,0.674615354,1.903914444,2.834872609,4.631143242,1.918122761,1.298123484,2.315571621,15.69639389,22.84697333,12.52189884,6.590473075,46.66912234,1.381873387,24.47889999,0.0,31.43513416,64.56832621,9.156229768,20.21572078,4.377613502,31.20654469,6.033531688,7.139679164,2.557497014,0.639374254,1.206706338,0
RNA277_FPKM,3.624825045,4.518626346,6.858286482,2.159090189,0.0,0.0,0.71944215,0.357076067,0.656247907,0.0,1.471586216,11.81664225,28.92364177,25.90816578,7.47350936,2.802665149,26.06622623,0.0,13.87937452,0.758786643,8.387090628,47.87348574,7.41645967,21.83272397,3.545449314,0.643209869,2.736632857,4.416320841,2.175202802,0.724811121,57.47146827,0
RNA288_FPKM,5.085044302,4.40167026,8.906909231,1.121353306,2.846192799,1.191989734,1.682673675,0.835150537,6.64973871,0.0,0.0,5.115454626,20.2268595,13.12215105,3.494115311,0.727801424,26.46614863,0.610414098,11.89683761,0.0,42.48240918,66.37964607,7.512681901,22.11598492,1.104983184,20.0547168,2.132762635,4.014593474,2.260091748,0.564860807,11.72927652,0
