,PLOD1,RHBG,MFSD9,RBM5,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,PEX1,UBQLN1,S1PR3,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,C14orf39,IGDCC4,NOXO1,TBC1D24,KRTAP9-8,ZNRF4,ANGPTL6,LIM2,SLC27A5,CTSA,EDA2R,Diagnosis
SEQ12129,7.779076448,6.803576245,7.249586672,7.279998968,8.602941387,5.702916004,5.911558616,7.880177625,8.415227526,8.057178607,9.105458498,6.774552979,7.918666189,6.31903569,7.592429477,7.833901312,7.467096875,6.567774373,7.87365926,6.514760917,7.109281102,4.727253356,7.631810964,5.01382949,5.131872436,6.90031712,5.971999596,7.002767524,6.567774373,5.74121927,0
SEQ12128,7.818389627,6.473303774,7.122275232,6.946138673,8.765937717,5.691771862,6.417276808,8.017594105,8.273777497,7.852801284,9.07494666,6.753642332,8.043280977,6.007656609,7.746925461,7.900543774,7.292564768,6.513678841,7.299819612,6.742670173,7.054592419,5.073814631,7.410947683,4.972603042,5.273268679,6.775308343,5.850821846,7.248204495,6.431531268,5.66218801,1
SEQ12150,8.092073567,6.789913228,6.906265466,7.17129223,8.455600669,5.471267169,6.276811547,7.507472095,8.035429349,8.287286548,9.032808461,6.674149684,8.061854937,6.113789898,7.666529588,8.022028989,7.507472095,6.242587749,7.461334903,6.599234086,7.17129223,4.727253356,7.788246395,4.977700798,5.080997614,6.811860329,5.967361279,7.55211946,6.419378619,5.617210808,0
SEQ12165,7.676543614,6.14159526,7.038633051,6.985024746,8.846398556,5.824609541,6.270352415,8.037621836,8.199943136,7.897080409,9.399877101,6.943342417,8.159611968,6.113932575,7.709107218,8.069118973,7.267506027,6.588175188,7.3943878,7.01209978,7.210940347,5.027115368,7.311122691,4.727253356,4.727253356,6.606669045,5.896589786,7.175830875,6.363769211,5.896589786,0
SEQ12132,7.871069593,6.936682407,7.121042458,6.875952087,8.573559987,5.337077059,6.053806665,7.799302665,8.19951622,8.013539618,9.081193725,6.492080705,8.092594614,6.011616876,7.558858878,8.092594614,7.252192545,6.310354839,7.520849535,6.875952087,7.386020657,5.226394268,7.583631639,5.081074847,5.081074847,6.790301772,5.921601484,7.155044568,6.674522005,5.711332475,1
SEQ12149,7.87169078,7.103297537,7.207655178,7.130155637,8.500829298,5.697869469,6.137405501,7.45911332,8.073939773,8.274423711,8.943161973,6.692875926,7.87169078,6.250292252,7.689478064,7.947294711,7.280954195,6.30274716,7.707058324,6.655164346,7.280954195,4.727253356,7.707058324,4.727253356,5.347969301,7.019325242,6.137405501,7.156487153,6.53467751,6.011360487,1
SEQ12133,7.873682524,6.452691736,7.204820852,7.100045885,8.791730289,5.690125076,6.493109179,7.774179638,8.142926027,7.876504995,9.274051453,6.81363835,8.048805514,6.054199565,7.786258783,7.848022024,7.204820852,6.285181845,7.477949095,6.970082967,7.095083602,4.915882163,7.35641402,4.99382545,4.99382545,6.584966508,5.903109839,7.028837625,6.385046403,6.111158434,0
SEQ12140,7.997455042,6.417467909,7.148104973,7.09094417,8.530116464,5.251774544,6.313905594,7.448133145,7.76755374,7.997455042,8.932885952,6.629173028,8.095018371,6.073304814,7.402482641,8.123022175,7.402482641,6.349453859,7.148104973,7.031231166,7.031231166,5.367924626,7.706780976,4.727253356,5.099161326,6.760968012,5.929095875,7.306355671,6.159467368,5.549975957,1
SEQ12195,7.881260002,6.74685061,6.865732191,7.02590721,8.610281048,5.665794186,6.208848783,7.536236806,8.370548667,8.026422932,9.143424966,6.725921231,7.8991347,5.772184931,7.709239269,8.208888696,7.416008547,6.208848783,7.570357307,6.884526296,7.168815442,5.064193713,7.440907283,4.727253356,5.308244484,6.704641891,5.953581235,7.364815281,6.544655006,5.607045038,0
SEQ12126,7.663500486,6.687153501,7.075027536,6.9813746,8.947851649,5.619041108,6.458579414,7.822211431,7.880984522,7.902406152,9.516196854,6.924723591,8.100428749,6.063044174,7.984976587,7.814688816,7.278457903,6.325782268,7.395508391,7.100619204,7.198369108,4.727253356,7.022322697,4.727253356,4.727253356,6.651861055,5.936770234,6.819271226,6.253243354,5.936770234,1
SEQ12174,7.884186214,6.742041126,6.963158454,6.890433845,8.709706455,5.800187711,6.379532134,7.548981979,8.05017586,8.034022014,9.043994563,6.752484265,8.034022014,6.055994751,7.800435579,8.025875337,7.241483202,6.276546769,7.47225379,6.597806755,7.129196271,5.140777849,7.435349804,5.140777849,5.310097572,6.688500401,5.936378246,7.048764114,6.393529763,5.914980814,0
SEQ12135,7.882731237,6.466973454,6.948207145,7.105316796,8.810492732,5.709860452,6.590160237,8.281802904,8.235337914,7.839924362,9.273365256,6.927188833,8.155074139,6.144101083,7.773163136,7.972065793,7.354156433,6.24073316,7.262499879,6.984200643,7.019239821,5.208885505,7.287010599,4.727253356,5.092053459,6.504512695,5.854995822,7.274810429,6.259095415,5.841478871,1
SEQ12145,7.959987029,6.654721265,7.193205994,6.900446309,8.622530755,5.679144834,6.397364067,7.389898283,8.146276826,8.049290637,9.088473169,6.68342778,8.045824795,6.21674447,7.723631726,7.911214789,7.454947622,6.432681356,7.619484438,6.720716042,6.985536537,4.727253356,7.547107315,5.111260483,5.170234478,6.962870365,5.966200148,7.06547799,6.500338073,5.72616885,0
SEQ12136,7.920264961,6.547075164,7.006578963,7.17180393,8.676491236,5.747614095,6.338722975,7.675745688,8.180665543,8.122273853,9.228942879,6.833902846,8.080888582,6.022372513,7.799388502,7.864895576,7.341101429,6.41976997,7.389636722,6.671551833,7.214644002,5.102435049,7.389636722,4.944270843,5.102435049,6.725085326,5.829004354,7.02057661,6.362455025,5.609091034,1
SEQ12142,7.902433402,6.550302284,7.047252514,7.021712552,8.602857036,5.482202266,6.103073254,7.633647322,8.044511794,8.084888795,9.20941689,6.734590888,8.150992666,5.9239084,7.713631684,7.973107634,7.470787615,6.362701023,7.628148245,6.64583077,7.088760289,4.727253356,7.507334142,4.96844144,5.207964592,6.904959848,5.675944124,7.121062953,6.156589294,5.552432376,0
SEQ12168,7.742372238,6.894415669,7.15220534,7.178002469,8.673209566,5.522922858,6.03080378,7.666872224,8.233696462,7.947163048,9.160687296,6.701490894,8.147305273,6.073542681,7.660891818,7.892357391,7.338465923,6.247277308,7.46144765,6.915333814,7.024789645,5.086684207,7.488854438,4.727253356,5.29339479,6.795886775,6.073542681,7.015205301,6.333276111,5.631141208,1
SEQ12125,7.51639771,6.50988301,6.97540434,6.805630137,8.850931389,5.531508494,6.201874511,7.582765379,8.219154727,7.75660652,9.077872405,7.004044193,8.265499154,5.924340634,8.063726864,7.637231183,7.164038317,6.400766561,7.340541522,7.176547949,7.018135116,5.034603152,7.176547949,4.727253356,5.161097478,6.629104927,6.146157539,7.018135116,6.305613225,5.992733368,0
SEQ12156,7.852161785,6.850356319,6.965645705,7.216403504,8.675772088,5.412466525,5.84601773,7.871290714,8.192724601,7.998375775,9.164466151,6.788641112,7.954291951,6.137669015,7.731566629,7.972091089,7.319162479,6.208019387,7.622464779,6.788641112,7.071656833,4.727253356,7.540664034,5.072266532,5.412466525,6.506544411,6.022707601,6.965645705,6.678686505,6.022707601,1
SEQ12157,7.801481231,6.64202445,7.040265964,6.856370628,8.875295134,5.508345203,6.348607261,7.533890023,7.996105676,7.835846783,9.245449341,6.856370628,7.91825441,6.094769515,7.723999903,7.970629731,7.439407335,6.137809859,7.377870637,6.902014022,7.118699166,5.098948395,7.346035553,4.990443843,5.181861874,6.628213139,5.789746216,7.060310423,6.416592667,5.97879209,0
SEQ12170,7.795978991,6.469521249,7.21004011,7.154088043,8.684896356,5.803168835,6.176176963,7.664498883,8.281554062,7.777935658,9.230827623,6.705005815,8.124887943,5.994343295,7.954067679,8.120147344,7.459741882,6.385526729,7.590343964,6.832555236,6.85661643,4.727253356,7.281217854,4.727253356,4.993910764,6.744622445,5.832936411,6.959714918,6.332109068,6.018868889,1
SEQ12158,7.760875284,6.564665244,6.987955154,7.001773154,8.836241478,5.668852211,6.25812462,7.924586278,8.096337148,7.90335336,9.40867098,6.931189539,8.314960448,6.03717416,7.999813386,7.917544147,7.055649273,6.727517596,7.361357578,6.856593576,7.094672749,4.727253356,7.169467139,4.727253356,4.727253356,6.583844746,5.713136903,6.841147911,6.153240029,5.755242665,0
SEQ12175,7.984528405,6.638775241,7.023689988,7.125755532,8.675654902,5.722046222,6.04248525,7.437857224,8.100370517,7.99205349,8.890740049,6.736900334,8.014391073,6.04248525,7.565687252,7.890948682,7.180768763,6.439905815,7.701308973,6.755646735,7.111643115,5.179154659,7.524376313,5.047446203,5.047446203,6.862722141,5.93437966,6.977431444,6.532296382,6.1087494,1
SEQ12197,7.771624454,6.550038354,7.159811189,6.918960089,8.76179337,5.558550351,6.234572961,7.92452307,8.562562467,7.942517694,9.454058711,6.670097929,8.195586567,6.094257431,7.541669411,8.172980083,7.078701124,6.444770323,7.377491757,7.236312457,7.078701124,4.727253356,7.350399416,5.07053304,5.07053304,6.550038354,6.131063243,7.027563702,6.359280509,6.444770323,0
SEQ12159,7.928723061,6.704858365,6.804881939,7.065679189,8.494784247,5.547636486,6.196153738,7.471497261,8.214156308,8.069110927,8.971696117,7.085256616,7.885904704,6.023892402,7.662516768,7.980478785,7.142327507,6.379581973,7.542776646,7.04581019,7.283666251,5.098081344,7.396333761,5.098081344,5.098081344,6.780598798,5.623608416,6.730608166,6.445557105,5.623608416,1
SEQ12153,7.956415945,6.504536576,7.163032181,7.189738685,8.778211128,5.73495557,6.539973254,7.875049099,8.12531434,8.041955447,9.302748644,7.014882682,8.261571753,6.233049344,7.93496769,8.092557455,7.542011499,6.186776868,7.311073906,6.82736967,7.068044169,4.727253356,7.542011499,4.9287582,5.176382381,6.420798439,6.034867311,7.781814904,5.993207387,6.126067106,0
SEQ12171,7.820232043,6.615928533,7.198829351,7.061038534,8.748431815,5.826296938,6.315652411,7.688998309,8.315272331,7.786421083,9.027838503,6.769903718,8.116629478,6.114886257,7.7906923,7.974329964,7.399386751,6.531204145,7.410645725,7.089752475,6.923539875,5.045038438,7.359236672,5.045038438,5.045038438,6.840441654,5.783355762,6.955355775,6.328717193,6.016049324,1
SEQ12152,8.060256282,6.576452655,6.860997314,7.045797422,8.749351897,5.541459657,6.46513453,7.772764872,7.857171491,8.118165797,9.085610065,6.678563453,7.962366083,6.298541599,7.758189604,7.843451466,6.943393758,5.990987936,7.447645283,6.576452655,6.995585846,4.727253356,7.42920227,4.727253356,5.138388163,6.773022139,5.634661483,7.11773546,6.576452655,5.794215836,0
SEQ12203,8.054939492,6.557842479,7.141609808,6.98554631,8.53529974,5.589081437,5.968996656,7.524250437,8.024119918,8.054939492,8.784157497,6.78943282,8.039613687,6.242210702,7.70165449,8.070101007,7.478992145,6.436346725,7.568075602,6.900035139,6.917588562,5.057139683,7.70165449,5.19277786,4.727253356,7.096675487,6.007275382,7.358883663,6.486414399,6.272022369,0
SEQ12173,7.724466662,6.659710656,7.118512046,7.106349052,8.840084399,5.651124475,6.494204059,8.074269325,8.403481112,8.122048939,9.351299581,6.836261221,8.133746188,5.849670503,7.73223356,7.967038993,7.130565753,6.325342158,7.351491656,6.964679412,7.118512046,5.239277716,7.610932683,5.023901827,5.023901827,6.532951773,6.042989115,7.267384074,6.279033598,6.013244272,1
SEQ12151,7.792230274,6.515310025,6.860362265,7.018400925,8.653329151,5.495732787,5.883830924,7.592297702,7.952134359,8.149327698,8.802227544,6.893530182,7.952134359,5.959283835,7.722793589,7.757942342,7.532391817,6.2155669,7.532391817,7.186133113,7.511833569,4.727253356,7.57261509,5.174407188,4.727253356,6.718466058,5.61125086,7.104890987,6.157006601,5.495732787,0
SEQ12172,7.713127262,6.341488177,6.86484641,6.738933257,8.803050872,5.504653446,6.367352028,7.979696341,8.21026808,7.810574297,9.368986494,6.84759297,8.123862369,5.723166364,7.740383476,8.060799246,7.235992398,6.465491478,7.155860021,7.128055089,7.169549996,5.364511873,7.274348373,5.047819406,4.727253356,6.392658033,6.043925938,6.979634737,6.172714574,6.141932459,1
