,PLOD1,RHBG,GRHL1,CEBPZ,MFSD9,CCDC115,RBM5,OR5H14,ODAM,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,MALSU1,PEX1,ZNF398,C8orf22,UBQLN1,S1PR3,OR1Q1,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,TPCN1,CCDC60,ZMYM5,C14orf39,IGDCC4,FEM1B,NOXO1,TBC1D24,UMOD,RAC3,ANGPTL6,OR1I1,CYP4F2,CCDC8,LIM2,SLC27A5,C20orf194,CTSA,EDA2R,CTAG1A,CDY2B,MT-ND5,Diagnosis
SEQ12198,7.707438967,6.386955023,8.503070628,6.531496001,7.204201896,5.886568147,6.805604438,4.727253356,5.642678403,8.961942869,5.601361537,6.514346033,8.015572138,8.263621514,7.963802884,9.292954545,6.64529678,6.859262116,8.185662189,6.153587317,8.296428329,5.9458718,5.122931918,7.749009468,8.108468262,7.183779084,6.386955023,7.183779084,8.990736356,7.795997665,7.714453789,6.805604438,7.031410059,7.495137305,5.007477362,7.357385454,6.265624121,5.855492698,6.531496001,5.007477362,6.791834488,5.408394742,5.91666978,7.273350002,8.964848361,6.327876173,6.001830049,5.211108032,4.727253356,5.122931918,1
SEQ12176,8.096864867,6.671491496,8.376495198,6.330543078,6.966845732,5.654324817,7.145600944,4.970473803,5.59222257,8.526558617,5.559215889,6.404037928,7.618793928,8.035335503,8.056144065,9.004030575,6.284109836,6.948495487,8.136447233,6.113877539,7.957780031,5.997188237,4.970473803,7.832807059,7.95334385,7.596043987,6.404037928,7.641177829,9.207838263,7.711538342,7.753138898,6.822508895,7.16144261,7.037800399,5.147534871,7.646718027,6.037550256,5.933467299,6.781148567,5.268574066,6.636652491,5.71203457,5.955161299,7.438305659,8.808440587,6.076402568,5.739482312,5.070814116,5.070814116,4.970473803,0
SEQ12180,8.053117339,6.829580398,8.5292541,6.702163853,6.900397873,5.257455085,6.728683214,4.727253356,5.257455085,8.664640227,5.831191155,6.498924926,7.839200907,8.273283693,7.950212509,9.193334482,6.292717262,6.675077655,8.12093863,6.400307893,8.176593878,6.25450571,4.727253356,7.558764184,7.950212509,7.328831322,6.498924926,7.572813221,9.081912351,7.614127096,7.544571369,6.989226904,6.675077655,7.377996057,5.257455085,7.515741945,6.25450571,5.705890182,6.173962015,5.103211294,6.498924926,5.770739478,5.992371408,7.169702684,8.90761153,6.329696622,5.558745347,5.103211294,5.374825695,5.103211294,1
SEQ12178,7.76834862,6.732469745,8.532192307,6.341081751,6.962480863,5.980450402,6.98570596,4.727253356,4.727253356,8.613187791,5.737895046,6.552325042,7.728826151,8.142543915,8.049924615,9.402277097,6.301894584,7.008530044,8.049924615,6.415720724,7.973445356,6.032720221,4.727253356,7.617616179,7.701843426,7.074738609,6.645631272,7.617616179,9.179353311,7.701843426,7.674329147,7.158203401,7.217571175,7.448536523,4.727253356,7.49673528,5.866924,5.497754068,6.7601444,5.396469187,6.37899271,5.497754068,5.866924,7.198070373,8.949730764,6.415720724,6.032720221,4.727253356,5.115922175,4.727253356,0
SEQ12122,7.935515375,6.839260997,8.470452158,6.522827983,7.034141125,5.62222127,7.109607892,4.727253356,4.970010881,8.536542344,5.681916181,6.41530072,7.348138947,8.051632917,8.072126945,9.059408803,6.233069113,6.690929973,8.051632917,6.233069113,8.018211843,6.054784376,4.727253356,7.686008628,7.970927395,7.557052103,6.297061348,7.625822281,9.232009266,7.459705509,7.625822281,6.597670549,7.109607892,7.361744997,5.146738665,7.63140248,5.909144976,6.111418115,6.788232231,5.146738665,6.690929973,5.78998793,6.015256967,7.277999191,8.888656057,6.522827983,5.764192792,5.448840327,4.727253356,5.070161743,0
SEQ12113,7.886519361,6.710854562,8.291189334,6.615838939,7.155953591,5.743153263,6.782049972,5.039317743,5.039317743,8.519956413,5.786436317,5.976994416,7.405316057,8.296948924,8.119639913,8.871201809,6.327710292,6.534245917,8.412809845,6.0759224,7.997272532,6.0759224,4.727253356,7.458539737,8.17707368,7.394419597,6.446823642,7.578481293,9.051632802,7.559198665,7.606912266,6.944546465,6.913627176,7.280403446,5.167727125,7.48951439,5.867276054,5.697617584,6.654710846,5.265688708,6.534245917,5.697617584,6.011035919,7.181776397,8.804291545,6.469278368,6.043984132,5.543575108,4.727253356,5.265688708,1
SEQ12099,8.018065622,6.653138895,8.516869018,6.506058722,6.970865351,5.471431901,7.048077505,4.727253356,5.40782096,8.561339255,5.557040036,6.452829177,7.734738451,7.990787872,8.100066397,9.106635715,6.289707372,6.873371875,8.100066397,5.867114112,8.213329667,6.184957303,4.727253356,7.713930508,8.034850572,7.481781376,6.362409282,7.335536806,9.157692872,7.604966178,7.66703189,6.698548481,7.041240902,7.081744208,5.29821788,7.718116947,6.338677774,5.867114112,6.606025245,5.373483526,6.680580305,5.703903383,5.726019389,7.577494775,8.850384642,6.350603816,5.867114112,5.40782096,4.727253356,5.440392817,0
SEQ12107,7.934453274,6.704063145,8.36934547,6.287642241,7.112069157,5.741899702,7.130415072,5.092448363,5.242356677,8.551935455,5.800823483,6.214103069,7.550326556,8.08863605,7.944599094,9.066803228,6.135373992,6.704063145,8.11576305,6.005298545,8.023241198,5.85616415,5.092448363,7.379365536,8.106778328,7.33308517,6.251470069,7.589956734,9.264264199,7.882598179,7.690427075,6.678568097,7.130415072,7.317303761,5.092448363,7.602919362,5.85616415,5.958041128,6.996366162,4.727253356,6.453305608,5.800823483,6.093767211,7.148513769,8.901141078,6.251470069,6.050468851,5.6103342,4.727253356,5.092448363,1
SEQ12111,7.79364562,6.670629538,8.333838933,6.22989015,6.938801196,5.786379617,6.986386645,4.727253356,5.22177579,8.468725409,5.672584247,6.22989015,7.500633028,8.070333353,8.200442735,9.210310719,6.176899039,6.717484337,8.091467249,6.102016954,8.078824818,6.280492515,4.727253356,7.708168733,7.83450516,7.455119399,6.375459749,7.824401255,9.183212737,7.49422221,7.58740023,6.705932158,7.076715938,7.337883795,4.727253356,7.468277172,5.786379617,5.887379234,6.95804204,4.97542078,6.571324479,5.46462173,6.140103408,7.177620409,8.952681199,6.34465863,6.158655925,5.503594663,4.727253356,5.077785092,0
SEQ12120,7.831433144,6.879891453,8.239521088,6.58148543,7.34570875,5.592965257,7.090355701,4.727253356,4.727253356,8.66187487,5.844859437,6.042588874,7.793053325,8.281442591,7.946484727,9.07969782,6.230318247,6.597413114,8.498166133,5.962607654,8.031113667,6.186325914,4.727253356,7.685248253,8.058232941,7.224041734,6.016616256,7.583564804,9.113443702,7.363500051,7.733438277,6.841286313,7.023850696,7.481974551,5.119041316,7.381063254,5.813000582,5.633909785,6.760438171,5.004713554,6.352892069,5.633909785,5.710077278,7.023850696,8.864755249,6.532431171,5.905518179,5.45474372,4.727253356,5.004713554,1
