,PLOD1,LCE1E,MFSD9,SNX18,UBQLN1,S1PR3,MINPP1,ZNF143,DHCR7,KRTAP3-2,CTSA,Diagnosis
SEQ12168,7.742372238,4.981737112,7.15220534,8.233696462,8.147305273,6.073542681,7.660891818,7.892357391,7.338465923,4.727253356,6.333276111,1
SEQ12125,7.51639771,4.727253356,6.97540434,8.219154727,8.265499154,5.924340634,8.063726864,7.637231183,7.164038317,4.727253356,6.305613225,0
SEQ12156,7.852161785,5.214026914,6.965645705,8.192724601,7.954291951,6.137669015,7.731566629,7.972091089,7.319162479,4.727253356,6.678686505,1
SEQ12157,7.801481231,5.181861874,7.040265964,7.996105676,7.91825441,6.094769515,7.723999903,7.970629731,7.439407335,4.990443843,6.416592667,0
SEQ12170,7.795978991,5.187817042,7.21004011,8.281554062,8.124887943,5.994343295,7.954067679,8.120147344,7.459741882,5.103830939,6.332109068,1
SEQ12158,7.760875284,4.727253356,6.987955154,8.096337148,8.314960448,6.03717416,7.999813386,7.917544147,7.055649273,5.029771638,6.153240029,0
SEQ12175,7.984528405,4.727253356,7.023689988,8.100370517,8.014391073,6.04248525,7.565687252,7.890948682,7.180768763,5.047446203,6.532296382,1
SEQ12197,7.771624454,5.07053304,7.159811189,8.562562467,8.195586567,6.094257431,7.541669411,8.172980083,7.078701124,4.727253356,6.359280509,0
SEQ12159,7.928723061,5.098081344,6.804881939,8.214156308,7.885904704,6.023892402,7.662516768,7.980478785,7.142327507,4.727253356,6.445557105,1
SEQ12153,7.956415945,5.129288584,7.163032181,8.12531434,8.261571753,6.233049344,7.93496769,8.092557455,7.542011499,5.011993557,5.993207387,0
SEQ12171,7.820232043,5.22821154,7.198829351,8.315272331,8.116629478,6.114886257,7.7906923,7.974329964,7.399386751,5.045038438,6.328717193,1
SEQ12152,8.060256282,5.138388163,6.860997314,7.857171491,7.962366083,6.298541599,7.758189604,7.843451466,6.943393758,4.727253356,6.576452655,0
SEQ12203,8.054939492,5.19277786,7.141609808,8.024119918,8.039613687,6.242210702,7.70165449,8.070101007,7.478992145,4.727253356,6.486414399,0
SEQ12173,7.724466662,4.727253356,7.118512046,8.403481112,8.133746188,5.849670503,7.73223356,7.967038993,7.130565753,4.727253356,6.279033598,1
SEQ12151,7.792230274,4.727253356,6.860362265,7.952134359,7.952134359,5.959283835,7.722793589,7.757942342,7.532391817,4.727253356,6.157006601,0
SEQ12172,7.713127262,5.504653446,6.86484641,8.21026808,8.123862369,5.723166364,7.740383476,8.060799246,7.235992398,4.727253356,6.172714574,1
