,AC093525.8,AC131649.2,Diagnosis
RNA471_FPKM,32.63038683,0.09778979,0
RNA476_FPKM,23.85654464,0.081042365,0
RNA483_FPKM,35.749048,0.029975875,0
RNA488_FPKM,44.14976002,0.016280523,0
RNA499_FPKM,41.46290684,0.103310116,0
RNA50_FPKM,8.690883482,0.167354105,1
RNA504_FPKM,27.59836337,0.062464481,0
RNA519_FPKM,43.90517996,0.0,0
RNA52_FPKM,2.428001083,0.0,0
RNA521_FPKM,10.78522869,0.07642447,0
RNA528_FPKM,38.83906165,0.058805367,0
RNA53_FPKM,28.49784288,0.085302168,0
RNA535_FPKM,18.82402704,0.053859469,1
RNA58_FPKM,35.88827872,0.153905641,0
RNA6_FPKM,26.10831149,0.055197865,0
RNA60_FPKM,29.9078818,0.150390074,0
RNA62_FPKM,39.63137354,0.03827367,0
RNA63_FPKM,28.39641821,0.033409562,0
RNA64_FPKM,16.41696421,0.118579551,0
RNA66_FPKM,19.88403128,0.114346823,0
RNA67_FPKM,23.33251858,0.187109241,0
RNA69_FPKM,20.13770742,0.105269406,0
RNA7_FPKM,34.55417857,0.055762077,0
RNA72_FPKM,19.52204177,0.13765948,0
RNA74_FPKM,6.43428605,0.096461687,0
RNA75_FPKM,8.680073352,0.058646746,0
RNA78_FPKM,28.33425187,0.0,1
RNA86_FPKM,26.6191239,0.1219385,1
RNA87_FPKM,23.93027454,0.058973895,0
RNA89_FPKM,10.03626766,0.050858769,0
RNA94_FPKM,9.772133744,0.0,1
RNA95_FPKM,21.04247996,0.255920263,0
RNA97_FPKM,13.75453308,0.021543333,0
RNA98_FPKM,23.31359937,0.089784239,1
R_JS001_FPKM,43.47692901,0.524079722,1
R_JS002_FPKM,41.36427449,0.87043072,1
R_JS003_FPKM,51.51257736,0.216292556,1
R_JS004_FPKM,39.59726335,0.408498855,1
R_JS005_FPKM,59.69100052,0.538951516,1
R_JS006_FPKM,40.15778951,0.187647429,1
R_JS007_FPKM,33.71904285,0.102455687,1
R_JS008_FPKM,49.60567179,0.386522266,1
R_JS009_FPKM,44.6885785,0.268152669,1
R_JS010_FPKM,52.57895435,0.152118354,1
R_JS011_FPKM,41.74035197,0.185209762,1
R_JS012_FPKM,46.75315155,0.625258935,1
R_JS013_FPKM,72.92460442,0.356542762,1
R_JS014_FPKM,55.70030252,0.246580162,1
R_JS015_FPKM,80.96579174,0.251660403,1
R_JS016_FPKM,58.36558078,0.252293661,1
R_JS017_FPKM,53.50829801,0.241697892,1
R_JS018_FPKM,42.92082182,0.656525294,1
R_JS019_FPKM,35.7553997,0.11259711,1
R_JS020_FPKM,46.08976378,0.440429981,1
R_JS021_FPKM,68.82735645,0.088627036,1
R_JS022_FPKM,54.92078126,0.453015061,1
R_JS023_FPKM,47.45212463,0.548940702,1
R_JS024_FPKM,55.11421712,0.181551829,1
R_JS025_FPKM,66.04402155,0.205448008,1
R_JS026_FPKM,43.94692966,0.125172343,1
R_JS027_FPKM,54.45048635,0.182283313,1
R_JS028_FPKM,52.96572308,0.136282793,1
R_JS029_FPKM,51.06089572,0.479719207,1
R_JS030_FPKM,55.47627616,0.324963468,1
R_JS031_FPKM,40.70711153,0.341850247,1
R_JS032_FPKM,54.34600995,0.061885227,1
R_JS033_FPKM,51.10696356,0.288249573,1
R_JS034_FPKM,52.54307474,0.450243533,1
R_JS035_FPKM,37.92608056,0.227560846,1
R_JS036_FPKM,47.78140675,0.466493786,1
R_JS037_FPKM,35.77057541,0.836577466,1
R_JS038_FPKM,55.34549434,0.115929022,1
R_JS039_FPKM,38.01664962,0.296932505,1
R_JS040_FPKM,34.31213188,0.380829144,1
R_JS041_FPKM,45.2041277,0.46865379,1
