,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,IGLV2-18,IGHV4-31,IGKV1-16,IGLV4-60,IGKV1-6,IGKV3-20,IGKV2-28,IGHV3-72,IGHV3-13,IGKV1D-33,IGKV1D-39,IGHV1-46,IGLV7-43,IGLV3-1,IGKV2-30,IGHV3-11,Diagnosis
RNA140_FPKM,26.73550685,1.080782698,4.218302773,34.53938389,35.29394042,22.41049075,11.02509653,12.15012321,0.243858832,4.689507199,6.868070865,20.76379241,31.12983436,3.566977095,10.7373297,59.99953326,6.237992678,0.178240392,2.220638427,2.108050933,6.627067972,17.17007485,5.478686369,2.681235011,3.37195811,7.890875148,40.99697481,1.281528741,8.919413098,24.92584846,3.913407372,16.4562368,1
RNA145_FPKM,4.914928826,0.620848589,0.55065214,12.8570826,15.52213751,3.513529333,7.656307624,1.020237762,0.0,2.652478732,1.278326714,14.43919768,6.828627359,1.034600332,7.157693865,31.63487243,2.786543245,0.0,0.966256928,0.807102579,2.498914174,9.861087778,6.555361601,12.43743612,2.718016135,1.625338377,18.06701401,0.557626135,3.035706332,18.72013448,2.247470259,6.949299913,0
RNA150_FPKM,11.07357998,0.229152057,0.0,6.884628302,5.460324491,8.806026868,12.37467307,2.033564482,0.129218332,0.677854827,3.033604209,7.713021537,5.499880363,0.572880142,2.235671951,10.52511228,0.440821123,1.13398144,0.641989492,1.564184343,0.0,3.64028428,1.244471939,0.655870346,0.752471405,2.541175089,8.605607938,0.493988861,1.470739564,5.691006212,0.0,2.907448279,1
RNA151_FPKM,8.413953933,0.410852544,1.093344388,17.67628273,22.30265659,4.957712007,1.849248786,1.823421289,0.0,2.329854922,1.994539424,6.240854482,7.807682755,0.616361284,5.102468859,36.26439252,1.185697729,0.677850744,0.959430432,3.806784547,1.526947991,4.533017681,2.231693217,0.980096195,1.518104236,1.423999853,16.589083,0.110755092,4.521201266,9.11159333,2.417555687,4.14016119,0
RNA152_FPKM,3.511538219,0.238234219,0.844968925,12.84812294,12.61227477,8.727443686,27.3923926,0.469813851,0.0,0.587142893,2.942938351,8.017070362,7.38399896,0.833693584,2.535130607,37.50895502,1.603781117,0.0,1.334632251,3.251865581,1.991529023,4.834668209,2.155868263,1.931589585,1.759955881,3.411716797,12.97022775,0.385175631,3.27603122,13.3095476,1.724831665,4.088514342,0
RNA155_FPKM,1.450812599,0.0,0.589229229,0.756006554,1.367993859,1.583038557,3.321523439,0.436709931,0.0,0.218354966,0.195427694,0.908966019,0.664343436,0.775067342,0.392819486,1.162268086,0.639000635,0.0,0.0,1.079711018,0.0,0.586283083,0.0,0.422546366,0.0,0.102318164,0.415803605,0.35803547,0.40608352,0.982048714,0.801754643,0.330533098,0
RNA165_FPKM,1.222810013,0.248788866,0.441318944,9.174622901,9.881953787,7.338529832,6.718663366,0.736211469,0.0,2.576336666,0.658909265,8.783814602,4.479017979,0.248788866,1.765517727,19.42899599,3.111402455,0.0,0.697258482,0.242603508,0.6935887,4.831198806,0.675804375,0.830883223,0.817177153,2.184444786,11.21342799,0.402387337,6.844559942,7.283214281,2.252352029,3.899909202,0
RNA174_FPKM,18.2457661,0.227341207,1.209595755,25.60973826,25.07633775,9.751167463,17.27640937,2.465576371,0.256394397,2.129327295,2.006062237,13.99609549,10.2293394,0.681896757,4.233922703,34.90157447,3.279787807,0.187503379,0.849221652,4.876664867,2.11164446,8.626134793,3.497910301,1.735045367,2.052735676,3.360965414,18.14028179,0.490085167,4.376886326,16.12936865,5.76118297,5.089375654,1
RNA179_FPKM,3.811133968,0.232694241,0.0,8.419646331,5.543780024,2.079332838,1.395955246,1.147014343,0.131215762,0.688229332,1.026577837,2.482989468,1.163261005,0.465283382,2.270044066,21.06715921,0.895068304,0.0,0.434608821,0.226909026,0.432321407,2.258693845,1.052900345,0.222002884,0.573077213,2.257512837,6.771479464,0.12540621,0.426706843,1.444505702,0.210618121,2.257263153,0
RNA18_FPKM,3.053191677,1.397974895,0.0,2.863550123,3.495476283,0.0,4.193924684,0.0,0.0,0.0,3.084412443,8.989805122,2.329859702,2.213484864,4.13312868,17.58082253,3.809783415,0.0,1.305516238,0.681753319,0.0,3.084412443,1.265346507,4.445765087,2.103965989,2.691368393,6.562302365,0.125595268,0.0,0.826520947,1.898153434,1.912696354,1
