,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,TMEM198B,UOX,CRYZL2P,CDIPTOSP,AL590556.2,FMO6P,CETN4P,SLC66A1L,OACYLP,AC104162.1,AHSA2P,SLC22A20P,MBL1P,CUTALP,GUCY1B2,EGFEM1P,MGAT4EP,Diagnosis
RNA277_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058216793,0.885316373,0.919163876,0.0,0.142217475,0.246201864,1.601603469,0.189645953,1.078103352,0.0,0.0,0.924586121,0.027167746,0.032364109,0.0,0.0,0.962835033,1.848898,0.0,0.239291096,0.0,0.14530268,0.0,0.0,0.0,0.0,0.0,6.638718752,0.033912491,0.0,0.320593695,0.018884832,0.0,0.0,0
RNA288_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102829468,0.871434034,1.074349552,0.0,0.05966967,0.182255654,1.883806399,0.221673029,1.26013578,0.0,0.0,1.421983679,0.084713928,0.126139168,0.0,0.0,0.496606707,1.658191375,0.0,0.621553796,0.0,0.188705704,0.0,0.044336337,0.0,0.016472546,0.0,8.859992783,0.013207354,0.0,4.018821623,0.0,0.0,0.0,0
RNA29_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061738678,1.55306913,1.601387959,0.196142068,0.24860422,0.203981818,1.94572963,0.057460475,1.329443541,0.0,0.0,1.52976102,0.082341263,0.049045321,0.0,0.0,0.277846071,1.136286044,0.156247355,0.483379166,0.0,0.0,0.0,0.008619408,0.0,0.0,0.0,11.08303789,0.0,0.0,6.139894916,0.0,0.0,0.0,0
RNA295_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291550498,1.252381466,1.266886378,0.035704929,0.105549777,0.243903938,1.728528994,0.15683853,0.738664036,0.0,0.0,0.905480934,0.543131878,0.04461972,0.018108258,0.0,0.587711253,2.410129107,0.0,0.241872361,0.095237396,0.03339105,0.0,0.0,0.0,0.0,0.0,4.762896313,0.105147018,0.0,1.416903329,0.013024003,0.0,0.0,0
RNA3_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271671618,1.812024363,0.714856469,0.15101475,0.148886948,0.282732669,1.586418595,0.110621912,1.115126399,0.042404381,0.0,0.473073139,0.132096576,0.062959543,0.0510791,0.013137365,0.757742156,2.755519345,0.025071867,0.589347982,0.0,0.0,0.0,0.0,0.0,0.0,0.124668759,10.00258539,0.016484173,0.0,4.234694117,0.036737622,0.0,0.0,0
RNA302_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104891211,1.259298217,1.348487637,0.040000637,0.05912801,0.134262526,1.236695419,0.087864955,1.021216896,0.0,0.0,1.37148501,0.50361221,0.074997028,0.0,0.0,0.438994362,1.380496385,0.079631044,0.172451841,0.053372116,0.0,0.0,0.0,0.0,0.0,0.059415544,5.984367065,0.078543389,0.0,2.147223373,0.043761634,0.0,0.0,0
RNA303_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033065538,2.093206082,0.355940178,0.0,0.194876654,0.120371516,1.614960716,0.044059539,0.873843421,0.0,0.0,1.017625509,0.484111767,0.025071311,0.061021091,0.0,0.578828456,0.952416016,0.039935778,0.234757975,0.107025613,0.0,0.0,0.0,0.0,0.0,0.039724924,5.691137533,0.0,0.0,3.443898953,0.043888201,0.0,0.0,1
RNA31_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073089942,1.954384345,0.983443996,0.088647829,0.177918098,0.150154585,1.862417497,0.162326809,1.046228335,0.0,0.0,1.14547582,0.255886353,0.05541597,0.067449796,0.0,0.659327591,1.19442143,0.0,0.751048432,0.0,0.124375272,0.0,0.029221925,0.0,0.0,0.065865046,5.867665177,0.304727614,0.0,2.690527757,0.097023836,0.0093329,0.0,1
RNA314_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222912395,1.17934733,0.313181038,0.050431482,0.106496154,0.212705628,2.118028942,0.092298613,1.501010672,0.042467838,0.0,1.350068849,0.079364371,0.031525978,0.025577037,0.013156649,0.089263045,3.243089595,0.050190596,0.636712203,0.0,0.0,0.0,0.05538133,0.0,0.0,0.0,5.990985785,0.049507525,0.0,3.032669758,0.055167728,0.0,0.0,1
RNA319_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110436205,0.99441173,0.290591908,0.040927155,0.129697471,0.239599402,1.552542079,0.239824826,1.109753258,0.057472424,0.0,1.057720074,0.257763696,0.0,0.0,0.021354288,0.61606789,3.281191992,0.06113005,0.466550901,0.109216704,0.114824541,0.0,0.026977984,0.0,0.0,0.0,6.727414314,0.147395894,0.0,4.875183118,0.0,0.0,0.0,0
