,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,Diagnosis
R_JS026_FPKM,18.78515754,1.798977976,0.797787972,16.88866949,18.65340918,17.68385528,24.73496352,3.769275092,0.126835772,0.332570418,3.968802256,20.67479849,16.41507291,0.449744494,3.789250524,34.96692857,1
R_JS027_FPKM,21.08434855,1.939561966,1.251158315,3.611782897,8.869542806,8.509146223,12.34269901,1.912473112,0.0,0.173869068,1.244902524,6.948004653,7.40558426,0.793449181,2.033054338,9.024040443,1
R_JS028_FPKM,3.508953321,0.214136987,0.380049082,3.364040179,3.402748366,8.614552826,12.42441107,2.534635655,0.120751368,0.52808579,0.378148837,3.86869673,1.71376577,0.42838562,1.139949201,15.6013472,1
R_JS029_FPKM,10.58744784,0.430938946,1.719871182,15.00471594,11.59803239,6.931351348,21.32922999,0.0,0.0,1.380832481,1.330968206,5.659805712,3.878022355,0.107681217,1.528668899,27.42429191,1
R_JS030_FPKM,1.859284636,0.454023614,1.006723214,15.96580535,9.616619216,8.115357833,13.39437492,1.343047505,0.12801145,1.455079605,0.801351678,7.454805451,9.761959908,0.68103542,2.214991612,27.70605865,1
R_JS031_FPKM,8.905487959,0.252854521,0.448530884,22.27251296,41.2842261,6.101627787,9.356145707,2.244167825,0.142584099,1.246745429,2.901106662,7.888318792,6.574481761,0.632136302,5.831135833,13.27337921,1
R_JS032_FPKM,11.47233588,1.167316664,0.862704057,6.375985511,5.494023244,3.998697942,12.06177184,2.493780049,0.109660852,1.246890025,0.858390537,4.152433757,3.696419377,0.194552777,1.380444832,13.02002403,1
R_JS033_FPKM,18.60481229,0.966749007,0.643028211,30.36010073,19.6202151,5.614945809,12.08301818,1.906252829,0.272504883,2.859379243,5.971444844,23.8061953,11.11626918,0.845752608,6.644480316,65.00968599,1
R_JS034_FPKM,10.94386602,1.132321226,1.004294957,21.03036915,16.98870018,4.047902912,4.982546852,2.903058292,0.0,1.004949958,2.1984437,18.59230774,6.114868078,0.679416554,4.419193564,23.33007657,1
R_JS035_FPKM,6.310162982,1.100742993,0.195300254,17.43483474,5.633684244,1.573836836,13.42766413,1.302252927,0.0,0.325563232,1.16551637,3.794902668,3.301987534,0.110098444,1.952360108,12.13240258,1
R_JS036_FPKM,11.76287249,1.213787475,0.538275099,14.64029195,6.78366596,16.26969933,15.5758216,5.385317289,0.0,0.299208784,1.78508181,19.76115617,4.450330542,0.809079883,4.305804272,26.01405609,1
R_JS037_FPKM,14.5001166,3.848744898,5.006539372,66.22227461,28.30431144,9.172030036,35.15181099,6.830926405,0.144753206,5.565929246,7.019573512,44.65493959,22.57936248,2.950733962,13.19924889,108.4193078,1
R_JS038_FPKM,18.70543255,0.242969276,1.50848513,18.08232833,14.58017353,12.15932685,23.5675521,1.677030955,0.137009832,0.958303403,1.500942704,10.97015337,18.95113585,0.607423191,4.094459639,37.94127888,1
R_JS039_FPKM,21.40775619,0.439234861,1.363704184,21.74590034,9.498000658,1.766592839,16.47356209,4.115119805,0.123841778,0.541486535,1.163073281,17.31030283,6.369807407,0.439347601,2.532622055,50.58535287,1
R_JS040_FPKM,27.45648548,1.368207329,1.618216077,9.65393797,30.79180608,12.83944843,29.41850784,0.0,0.128588176,1.574060315,4.226251427,17.41076487,8.89403106,1.596355787,7.686172779,40.25078942,1
R_JS041_FPKM,9.267690596,0.0,0.418152498,3.219222311,6.241153516,4.634842099,10.84379309,3.71924175,0.13299975,1.278465523,2.080308678,5.61210131,3.300206402,0.707187086,2.090762491,12.83801541,1
