,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,Diagnosis
RNA213_FPKM,28.03279901,1.333451961,1.77402717,91.35410307,52.17270383,5.958531271,27.55931837,2.629872136,0.0,4.492545605,1.765157034,47.25563155,22.00305,1.111209968,4.730932939,113.162149,0
RNA219_FPKM,4.541873293,0.231060834,1.229615194,27.6084663,11.62276598,3.510369791,13.86345557,2.278337278,0.0,0.113916864,0.611733559,5.500859912,5.776520861,0.693182503,3.074037986,19.55702584,0
RNA23_FPKM,20.02169277,0.679115944,1.003726513,11.591156,7.590512712,6.068339252,9.053981306,2.231749453,0.382951962,0.0,4.794083101,9.848254961,5.65867097,1.131680317,5.420505449,16.18815464,1
RNA246_FPKM,10.47514495,0.199851716,0.0,10.09709556,9.346908146,8.036576297,5.995179674,1.576300618,0.112695936,2.561603074,4.056162084,10.66357007,3.597144986,0.299777575,2.481410946,19.27481256,1
RNA253_FPKM,15.9971457,0.919050718,1.83421988,45.02877735,46.03249125,19.91931429,7.812770306,2.945611887,0.129528859,13.25478064,1.013986523,24.52294734,79.50615925,2.068043944,15.48932232,107.4994931,1
RNA26_FPKM,1.192707424,0.24270864,0.215266708,0.828589458,0.0,0.216901645,3.397920962,0.0,0.0,0.239318855,0.0,0.398493721,0.48541728,0.0,0.0,595.2789492,0
RNA277_FPKM,2.704885376,0.0,0.488322827,3.570376477,4.371899871,3.689323475,11.28427637,0.814182054,0.0,0.678389045,0.0,0.903725269,1.926569522,0.0,0.488322827,12.64087437,0
RNA288_FPKM,1.932201004,0.85793851,0.0,7.614569087,4.920806645,3.258262337,19.94528556,0.0,0.120912697,0.422978065,1.703489841,4.401468163,3.217084779,0.428969255,4.565175783,18.29328456,0
RNA29_FPKM,15.70920717,1.042386742,1.6641521,14.51952288,8.463335362,0.0,12.09190989,1.233393921,0.0,3.083595086,1.28786882,15.40344949,4.795202701,1.042386742,7.396429952,46.09893415,0
RNA295_FPKM,3.72832125,0.189751975,1.17762257,10.61953459,120.3511395,3.72912071,5.500556553,0.374032901,0.0,0.654600255,0.669518893,6.851175257,0.379330818,0.189665409,1.514064225,15.68086384,0
RNA3_FPKM,4.163596863,0.535245295,1.898637297,7.490198993,11.8064033,3.347506297,1.873050566,1.846890642,0.150911812,4.485132321,2.125049317,8.127112589,2.675610542,0.535091312,4.508819719,15.4492389,0
RNA302_FPKM,4.351403351,0.637580969,0.565492668,15.38095076,13.69084912,2.089172488,11.47596874,0.83812786,0.119874113,2.514544203,0.750124435,8.025255616,4.462903882,0.743790164,1.696333525,17.98769795,0
RNA303_FPKM,2.618840006,0.0,0.378085456,7.422943213,25.20793475,6.667430667,17.47952763,0.21016482,0.120190105,1.156000756,2.445605078,10.84967019,2.771223885,0.426378897,2.835980007,32.58868529,1
RNA31_FPKM,7.525037393,0.0,0.62687637,4.986449128,5.82124351,2.105317072,21.20274622,0.929068862,0.132896915,0.232267216,1.45525862,10.05671664,5.889520138,0.471114239,2.925353034,16.2304271,1
RNA314_FPKM,14.7021282,1.071776453,1.188054757,9.695334286,21.27957203,15.08425359,20.89778556,2.113333576,0.151133324,2.113474296,4.728709821,13.41665582,6.965833378,0.937768718,4.039588697,34.98258893,1
RNA319_FPKM,5.166837917,0.217505221,1.350582789,10.39728443,9.982845569,8.359614157,21.9712801,1.072551017,0.0,1.287018455,3.071556464,3.571666295,17.83803035,0.0,2.122426812,24.83568021,0
RNA32_FPKM,11.07468964,0.0,0.999507309,1.538716989,5.71780464,3.02106479,7.887688267,1.944381256,0.47649294,0.972190628,2.485932675,4.856431323,5.352433659,0.845127898,2.748473363,8.317670359,1
RNA328_FPKM,4.246047192,0.225365667,0.799728502,27.85644893,14.91903686,8.863251945,26.59786171,2.889257795,0.127083196,0.555650872,2.983845184,9.437066753,8.340029271,0.901569782,5.597719508,30.31869914,0
RNA331_FPKM,14.08657002,0.0,0.0,5.26418077,9.072062103,3.180123627,20.95523227,0.389796957,0.0,0.292399635,1.046790694,8.276776774,2.372330184,0.988400706,2.45472328,7.52331063,0
RNA334_FPKM,1.12095697,0.391070253,0.346853767,5.339666449,5.17609561,1.921919916,35.9739228,0.385608378,0.0,0.771119429,0.51759214,6.098976174,1.5640836,0.293253337,2.601140616,16.676565,0
RNA335_FPKM,9.409856055,0.0,0.45286579,14.46887217,22.98208337,7.301359997,16.3401541,3.524519595,0.0,3.272655756,0.450601461,6.078207814,7.914645735,1.404207049,5.43462547,48.41322341,1
RNA336_FPKM,8.560258427,0.889541921,0.788965573,17.15764062,4.121313871,9.738003965,12.89805161,2.411923932,0.125373893,0.877118152,11.57874069,10.04066972,4.892378486,0.55593818,3.944646787,19.40607736,0
RNA35_FPKM,10.13490511,1.258476351,0.744124207,9.308290629,7.40364077,5.248230438,15.93980505,0.827266577,0.0,1.654422793,1.295706276,9.814100899,3.984951262,0.629238175,1.302217363,22.155884,0
RNA358_FPKM,51.2974073,1.123369612,20.17758372,337.3212862,86.75136867,17.82089143,28.36724016,2.215653609,0.0,15.92403834,1.98300998,200.8251609,17.6944849,3.370406416,26.15624435,157.9309359,0
RNA365_FPKM,8.053647463,0.281071188,0.498330219,17.84014237,12.14917928,3.766245448,8.70949349,0.554009573,0.0,2.631756713,1.23972246,13.60778802,2.24771258,1.404784657,3.239526444,23.9645203,0
RNA368_FPKM,7.611048209,0.43213118,0.766712282,28.92112629,17.54587619,5.021395532,21.39494543,0.426095828,0.0,2.983324604,1.144234486,6.031986538,5.618842026,0.864451808,3.066849127,32.47150913,0
RNA37_FPKM,4.640747238,0.453304026,0.804102116,10.36831894,5.600361466,3.645941495,5.439648311,0.446972964,0.0,2.681837785,1.400037923,2.232785877,3.626432208,1.019874632,2.613226464,13.68138095,0
RNA379_FPKM,10.06844915,0.315298372,3.075226753,18.50902041,16.41225635,6.478938786,8.195356051,0.310894763,0.0,0.0,1.390951291,15.26721521,4.09784957,0.945552027,2.795577694,18.61383595,1
RNA38_FPKM,1.035858989,0.0,0.186912749,4.749731747,4.464686718,3.390935349,7.377886293,0.623540816,0.0,0.623540816,2.046297936,3.634062965,2.108011049,0.0,1.308794694,7.192234294,0
RNA383_FPKM,5.26023962,0.917569404,2.44128301,20.82969091,16.39631412,5.12474546,13.30390241,1.583214578,0.0,0.678565642,0.607222048,16.57050341,8.257484177,2.17906722,4.068741901,50.11695125,0
RNA385_FPKM,28.179725,0.751191399,1.332644943,17.13181926,11.00511978,8.727654604,7.812799521,1.629597386,0.084751975,3.407392361,1.591126502,22.69481796,7.512352174,1.352232155,2.798463697,28.68730928,1
RNA386_FPKM,12.47868906,0.499489528,2.436905467,15.51925968,13.00498795,10.04473482,26.22601185,2.709185407,0.0,0.123188623,2.42472094,13.32800209,6.743964342,1.623524333,4.209180639,31.30185275,0
RNA39_FPKM,2.297246677,0.0,0.621983276,2.553429538,1.856409935,0.417733865,9.115595579,0.921814954,0.131860171,0.230453738,1.856409935,2.302589111,0.934871823,0.701153867,0.414585117,7.208008928,1
RNA392_FPKM,27.6285603,1.297431,1.15073654,11.16195581,10.99187932,16.4646525,3.892293,1.279310455,0.0,0.0,0.6870336,9.373005399,2.854447658,0.778508329,6.904419241,13.62077706,0
RNA409_FPKM,7.426162331,1.259411999,4.914518568,72.39784112,56.67794255,43.44043028,55.66109096,11.17542208,0.142063942,1.365906697,4.445285835,62.64810814,17.8819609,4.155637225,36.18810661,99.15233503,0
RNA41_FPKM,1.91557006,0.0,0.377202776,8.710414044,8.631280087,1.710086053,13.39502944,0.0,0.0,1.886826791,3.377419955,12.21827937,4.890243675,0.956776191,2.828659929,16.32231746,0
RNA418_FPKM,8.955893331,0.446398932,0.98962378,13.86577903,13.39189616,5.584100143,19.63828985,1.760442734,0.0,2.640556849,5.120351834,9.709645748,7.141077648,0.892689092,2.375174251,18.15650107,0
