,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,Diagnosis
RNA302_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104891211,1.259298217,1.348487637,0.040000637,0.05912801,0.134262526,1.236695419,0.087864955,1.021216896,0.0,0.0,1.37148501,0.50361221,0.074997028,0.0,0.0,0.438994362,0
RNA303_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033065538,2.093206082,0.355940178,0.0,0.194876654,0.120371516,1.614960716,0.044059539,0.873843421,0.0,0.0,1.017625509,0.484111767,0.025071311,0.061021091,0.0,0.578828456,1
RNA31_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073089942,1.954384345,0.983443996,0.088647829,0.177918098,0.150154585,1.862417497,0.162326809,1.046228335,0.0,0.0,1.14547582,0.255886353,0.05541597,0.067449796,0.0,0.659327591,1
RNA314_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222912395,1.17934733,0.313181038,0.050431482,0.106496154,0.212705628,2.118028942,0.092298613,1.501010672,0.042467838,0.0,1.350068849,0.079364371,0.031525978,0.025577037,0.013156649,0.089263045,1
RNA319_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110436205,0.99441173,0.290591908,0.040927155,0.129697471,0.239599402,1.552542079,0.239824826,1.109753258,0.057472424,0.0,1.057720074,0.257763696,0.0,0.0,0.021354288,0.61606789,0
RNA32_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139039727,1.526214805,4.703967065,0.371049301,0.201551727,0.214198375,1.391883873,0.038816394,1.167638185,0.0,0.0,1.021062545,0.751028186,0.099395062,0.107543636,0.0,0.290956499,1
RNA328_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127144957,1.144880646,1.731358883,0.042406226,0.170223443,0.209197657,1.95518093,0.26403401,1.06261731,0.0,0.0,1.335094129,0.311603914,0.07955277,0.06454119,0.0,0.352966925,0
RNA331_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111512955,1.33879726,0.099034124,0.0,0.204302716,0.236528577,2.214005607,0.177077696,1.400197669,0.0,0.0,1.537953459,0.078089222,0.093025314,0.018872892,0.009708083,0.704763629,0
RNA334_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038598403,1.655048856,0.163237774,0.03677455,0.054400682,0.175987345,2.683330425,0.202079634,1.558410862,0.0,0.0,0.933334029,0.057912407,0.0460006,0.0,0.0,0.710020226,0
RNA335_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061205334,1.253539261,0.127912885,0.096077071,0.213114179,0.195558688,1.990346316,0.228696225,1.529231785,0.013496072,0.140047074,0.496554058,0.075638556,0.150166086,0.0,0.0,0.884669555,1
