,PIEZO1,UBE2Q1,TTYH3,Diagnosis
R_JS027_FPKM,44.83687703,12.30939044,23.53049284,1
R_JS028_FPKM,40.00142079,13.22036913,32.48968197,1
R_JS029_FPKM,43.17123028,11.86557027,28.08098005,1
R_JS030_FPKM,29.10461507,12.77009099,13.77464045,1
R_JS031_FPKM,27.59757449,11.86207789,22.33785788,1
R_JS032_FPKM,39.5188165,10.37789815,43.04572735,1
R_JS033_FPKM,28.15287181,10.36640004,18.78679908,1
R_JS034_FPKM,32.97787013,13.63258921,21.04397469,1
R_JS035_FPKM,25.72216553,16.82947781,17.18994043,1
R_JS036_FPKM,42.10271135,13.32391492,27.10092676,1
R_JS037_FPKM,31.88775168,11.7167405,14.82346936,1
R_JS038_FPKM,29.60616676,10.27110677,24.2752543,1
R_JS039_FPKM,45.60537424,12.34001929,29.08154449,1
R_JS040_FPKM,42.65570487,9.54594597,17.52148677,1
R_JS041_FPKM,31.39081313,9.981924009,26.0676365,1
