,PIEZO1,UBE2Q1,TTYH3,CAMTA2,Diagnosis
R_JS024_FPKM,29.88711627,9.758219222,25.71704888,20.97948786,1
R_JS025_FPKM,39.7546998,10.30283952,26.99882273,20.70237067,1
R_JS026_FPKM,37.12366598,11.48174457,28.74195147,17.27815728,1
R_JS027_FPKM,44.83687703,12.30939044,23.53049284,15.96426573,1
R_JS028_FPKM,40.00142079,13.22036913,32.48968197,16.07665712,1
R_JS029_FPKM,43.17123028,11.86557027,28.08098005,16.56240703,1
R_JS030_FPKM,29.10461507,12.77009099,13.77464045,14.41495612,1
R_JS031_FPKM,27.59757449,11.86207789,22.33785788,14.50930733,1
R_JS032_FPKM,39.5188165,10.37789815,43.04572735,18.22643765,1
R_JS033_FPKM,28.15287181,10.36640004,18.78679908,14.2896111,1
R_JS034_FPKM,32.97787013,13.63258921,21.04397469,19.14405712,1
R_JS035_FPKM,25.72216553,16.82947781,17.18994043,12.99283321,1
R_JS036_FPKM,42.10271135,13.32391492,27.10092676,20.24667928,1
R_JS037_FPKM,31.88775168,11.7167405,14.82346936,13.54753443,1
R_JS038_FPKM,29.60616676,10.27110677,24.2752543,16.0963962,1
R_JS039_FPKM,45.60537424,12.34001929,29.08154449,15.1252201,1
R_JS040_FPKM,42.65570487,9.54594597,17.52148677,15.2306823,1
R_JS041_FPKM,31.39081313,9.981924009,26.0676365,18.21494115,1
