,ENSG00000009780,ENSG00000060069,ENSG00000072135,ENSG00000073111,ENSG00000075275,ENSG00000078142,ENSG00000083223,ENSG00000105656,ENSG00000131748,ENSG00000133083,ENSG00000133961,ENSG00000137393,ENSG00000141736,ENSG00000143294,ENSG00000145936,ENSG00000146966,ENSG00000154252,ENSG00000162576,ENSG00000164754,ENSG00000170819,ENSG00000172062,ENSG00000174326,ENSG00000176349,ENSG00000179412,ENSG00000180264,ENSG00000181873,ENSG00000197149,ENSG00000197536,ENSG00000199591,ENSG00000202374,ENSG00000212856,ENSG00000215016,ENSG00000220181,ENSG00000223717,ENSG00000223720,ENSG00000225912,ENSG00000226526,ENSG00000227131,ENSG00000228597,ENSG00000230373,ENSG00000230793,ENSG00000232091,ENSG00000232715,ENSG00000233686,ENSG00000233840,ENSG00000233873,ENSG00000234229,ENSG00000234931,ENSG00000237194,ENSG00000238468,ENSG00000238924,ENSG00000245849,ENSG00000249052,ENSG00000251079,ENSG00000252461,ENSG00000254703,ENSG00000256006,ENSG00000256902,ENSG00000257640,ENSG00000257643,ENSG00000258066,ENSG00000259140,ENSG00000259921,ENSG00000267083,ENSG00000268061,ENSG00000268738,ENSG00000271612,ENSG00000272209,ENSG00000273515,ENSG00000277435,Diagnosis
sample_49,729,708,782,353,206,2870,927,313,617,2509,1540,294,1115,1328,12,1313,19,302,5026,8,88,92,9,0,3,819,71,340,12,7,0,0,0,0,0,0,8,0,0,15,22,0,4,0,0,1,0,0,32,0,0,417,0,31,5,0,18,14,0,1,23,0,17,29,25,7,1,3,0,0,1
sample_50,543,793,858,350,108,2600,1006,409,688,2368,1578,279,799,1197,1,1369,36,144,6015,4,72,66,16,0,3,930,51,340,7,12,0,0,0,0,0,0,5,0,0,96,21,0,5,0,0,1,0,0,32,0,0,471,0,58,4,2,65,16,1,4,21,0,33,55,29,0,0,1,0,0,1
sample_51,708,1094,907,467,208,3095,1162,547,788,3655,1964,728,1132,1287,3,1767,14,262,6210,1,70,95,99,0,0,1340,57,354,10,12,0,0,0,0,0,0,8,1,0,26,31,0,6,0,0,2,0,0,47,0,1,602,0,95,4,3,129,24,0,0,24,0,44,34,30,11,3,8,0,0,1
sample_52,563,795,667,273,59,2317,1024,352,579,2820,1513,545,805,1170,2,1655,29,171,6253,11,115,44,7,0,1,870,54,262,10,9,0,0,0,0,0,0,4,0,1,18,21,0,1,0,0,2,0,0,39,0,0,395,0,71,3,1,75,20,0,1,16,0,22,28,35,10,5,6,0,0,1
sample_53,1015,1230,1089,437,69,2792,1364,566,1058,3231,2052,721,1470,1811,3,1933,44,237,6187,6,118,59,23,0,1,1529,72,499,8,12,0,0,0,0,0,2,11,0,0,41,30,0,4,0,0,0,0,0,80,0,0,626,0,90,3,2,40,25,0,0,28,0,31,61,36,0,2,3,0,0,1
sample_54,769,842,882,362,108,2495,1026,516,778,2512,1779,669,997,1380,1,1474,23,130,4977,9,127,60,32,0,0,1175,68,423,8,25,0,0,0,0,0,0,15,0,0,49,28,0,3,0,0,0,0,0,54,0,0,569,0,76,9,2,48,9,0,0,11,0,29,43,23,1,0,9,0,0,1
sample_55,735,734,803,354,37,3022,1099,356,647,2790,1599,667,1156,1381,5,1518,31,211,5930,4,126,63,1,0,3,936,56,362,4,8,0,2,0,0,0,0,7,0,0,30,30,0,6,0,0,1,0,0,44,0,0,480,0,64,4,3,72,7,0,0,27,0,18,24,18,0,4,8,0,0,1
sample_56,677,581,797,582,77,2591,1184,348,767,2298,1787,656,932,1559,4,1249,18,120,8364,1,144,74,17,0,0,752,56,215,6,9,0,0,0,0,0,0,5,0,0,16,13,0,3,0,0,1,0,0,33,0,0,505,0,19,2,1,65,8,0,0,14,0,11,20,53,0,0,8,0,0,1
sample_57,615,699,847,359,85,2392,942,380,498,2337,1638,349,739,1179,1,1379,20,125,5112,5,103,44,16,0,1,952,67,337,12,13,0,0,0,0,0,0,12,0,0,37,14,0,4,0,1,0,0,0,39,0,0,376,0,32,4,0,66,16,1,2,21,0,27,36,21,0,1,5,0,0,1
sample_58,754,1032,876,522,96,2490,1086,373,635,2746,1737,650,788,1290,4,1704,42,167,6174,3,123,83,27,0,1,1159,55,191,10,3,0,0,0,0,0,0,14,0,0,46,15,1,4,0,0,0,0,0,44,0,0,476,0,69,7,0,135,12,0,1,15,0,28,30,37,0,0,9,0,0,1
sample_59,632,702,710,329,94,2330,1105,397,662,2953,1743,619,1012,1323,5,1840,24,219,5954,6,115,66,12,0,0,972,40,318,8,12,0,0,0,0,0,0,3,0,0,29,23,0,1,0,0,0,0,0,93,0,0,412,0,70,3,2,80,17,1,2,24,0,24,44,24,0,0,5,0,0,1
sample_60,740,1050,873,560,116,2540,1275,526,798,3388,1941,642,1004,1725,1,2164,32,222,8206,6,116,47,8,0,0,1386,67,274,4,6,0,0,0,0,0,1,5,0,0,51,18,0,4,0,0,3,0,0,48,0,0,665,0,62,7,0,76,23,0,0,8,0,20,30,33,1,0,9,0,0,1
sample_61,925,937,1318,420,124,3460,1379,474,967,3566,2014,295,1402,1530,4,1797,28,247,5557,5,122,46,10,0,4,1438,55,624,7,38,0,0,0,0,0,0,2,0,0,52,42,0,5,0,0,1,0,0,76,0,2,495,0,78,2,0,32,17,0,4,30,0,51,42,49,19,3,1,0,0,1
sample_62,572,739,675,403,57,2171,1054,337,513,2360,1305,413,1099,1143,3,1400,23,147,5869,4,110,56,19,0,0,1012,59,212,5,6,0,0,0,0,0,1,5,0,0,11,17,0,5,0,0,0,0,0,41,0,0,462,0,64,5,1,73,8,0,0,17,0,20,23,31,0,3,11,0,0,1
sample_63,674,763,972,352,223,3134,1053,398,726,3584,1754,437,1001,1236,2,1554,26,218,4827,5,117,76,45,0,3,1135,60,488,10,30,0,0,0,0,0,0,4,1,0,28,34,0,2,0,0,2,0,0,47,0,0,524,0,26,1,1,60,19,0,0,30,0,26,33,26,10,2,5,0,0,1
sample_64,479,698,786,338,205,2260,865,354,601,2938,1439,400,1032,1010,3,1309,21,152,3997,9,78,73,26,0,1,975,38,387,6,15,0,0,0,0,0,0,4,2,1,37,34,0,4,0,0,0,0,0,47,0,0,449,0,39,6,2,80,17,0,2,40,0,31,53,22,3,0,2,0,0,1
sample_65,680,689,821,330,212,3113,1061,351,652,2915,1654,377,1118,1120,5,1308,27,297,4821,4,112,115,9,0,1,1058,47,447,10,35,0,0,0,0,0,0,11,1,0,26,24,0,3,0,1,1,0,0,66,0,0,500,0,34,6,0,46,13,0,1,16,0,24,40,20,0,3,6,0,0,1
sample_66,643,769,1000,415,259,2928,1065,412,725,2629,1651,377,1367,1343,5,1665,44,358,4914,3,129,110,14,0,1,1106,66,498,10,22,0,0,0,0,1,1,12,0,0,33,29,0,3,0,0,1,0,0,65,0,0,505,0,26,6,3,50,19,0,1,27,0,30,45,27,0,1,3,0,0,1
sample_67,450,1003,870,347,166,2520,948,384,656,2446,1601,352,742,1223,2,1371,24,200,5957,2,125,63,41,0,2,893,66,330,4,30,0,1,0,0,0,1,0,0,0,25,17,0,11,0,0,2,0,0,25,0,0,448,0,2,1,2,74,22,0,0,29,0,13,22,41,0,0,4,0,0,1
sample_68,665,819,978,444,232,3220,1153,382,731,3117,1908,596,1124,1308,7,1459,20,278,5596,4,83,89,12,0,1,983,65,506,12,34,0,0,0,0,0,0,4,0,0,38,19,0,3,0,1,2,0,0,73,0,0,429,0,79,2,0,68,19,0,0,23,0,23,39,28,0,3,10,0,0,1
sample_69,991,1255,1333,627,465,3914,1508,645,1260,5865,2376,773,2231,2035,7,2859,33,661,7948,6,100,156,41,0,1,1326,88,621,3,18,0,0,0,0,0,0,3,2,0,26,47,0,4,0,0,1,0,0,44,0,0,684,0,56,3,5,10,35,0,0,31,0,14,42,58,8,4,2,0,0,1
sample_70,934,923,1207,569,181,3721,1517,417,921,2460,2073,353,1241,1912,3,1730,28,226,8109,11,136,122,16,0,0,1102,64,371,18,13,0,1,0,0,1,1,4,0,0,34,27,0,8,0,0,1,0,0,44,0,0,553,0,59,5,0,36,13,0,0,12,0,13,28,53,9,2,5,0,0,1
sample_71,662,760,754,370,92,2584,1163,357,643,2612,1651,397,1094,1158,3,1195,47,162,5659,4,133,74,17,0,0,1197,55,273,12,7,0,0,0,0,0,0,13,0,0,25,25,0,3,0,0,0,0,0,51,0,0,630,0,59,6,1,84,11,1,2,35,0,35,30,32,0,2,5,0,0,1
sample_72,746,786,1052,394,118,2421,1149,442,810,2996,1741,402,1340,1365,4,1707,28,208,4620,7,110,47,5,0,0,1381,41,461,21,21,0,0,0,0,0,0,4,2,0,34,29,0,4,0,0,0,0,0,52,0,0,368,0,66,2,0,32,17,0,1,24,0,46,48,50,9,2,3,0,0,1
sample_73,604,764,871,423,736,2759,1119,611,622,6958,1713,971,1707,1335,10,1997,14,570,5642,9,108,94,40,0,1,915,81,446,9,13,0,0,0,0,0,0,7,1,0,14,33,0,4,0,0,0,0,0,43,0,0,512,1,36,2,2,46,11,0,1,27,0,16,30,42,5,2,7,0,0,1
sample_74,605,994,951,530,120,2125,1034,492,770,2762,1694,513,1368,1465,4,1748,50,223,4970,6,122,69,45,0,0,1350,72,386,7,3,0,0,0,0,0,0,15,0,0,46,22,1,3,0,0,0,0,0,70,0,0,539,0,71,11,2,87,15,0,3,22,0,37,38,33,0,0,9,0,0,1
sample_75,871,857,925,439,315,3139,1202,560,670,3117,1781,663,1281,1389,4,1408,30,291,5652,8,136,54,46,0,2,1267,85,456,7,19,0,0,0,0,0,0,22,1,0,18,23,0,2,0,0,1,0,0,71,0,0,621,0,31,15,0,88,18,0,1,11,0,39,33,26,0,0,10,0,0,1
sample_76,894,1049,1080,540,386,3214,1263,593,875,3415,2048,632,1624,1647,3,1778,43,373,6008,6,133,75,52,0,1,1613,76,528,9,28,0,0,0,0,0,2,24,1,0,22,35,0,2,0,1,0,0,0,73,0,0,612,0,32,16,2,96,15,0,0,26,0,47,37,37,0,4,5,0,0,1
sample_77,952,1265,1210,437,146,3715,1529,644,1011,3761,2022,661,1522,1789,3,2212,63,236,5841,8,173,110,30,0,3,1920,56,737,19,16,0,0,0,0,0,0,23,1,0,84,58,0,2,0,0,0,0,0,102,0,0,664,0,102,21,3,60,34,0,2,36,0,27,62,28,0,2,6,0,0,1
sample_78,455,563,790,286,290,2150,886,454,700,4273,1747,764,1050,914,3,1488,14,422,3570,0,38,68,10,0,2,589,63,702,12,27,0,0,0,0,2,0,4,0,0,22,35,0,0,0,0,2,0,0,36,0,0,379,0,60,3,1,31,18,2,0,31,0,30,39,17,1,1,3,0,0,1
sample_79,737,774,787,372,121,2505,1234,364,716,2975,1759,604,1149,1318,1,1788,31,194,5539,7,111,73,12,1,3,1193,52,365,11,11,0,0,0,0,0,0,3,0,0,25,33,0,9,0,0,0,0,0,46,0,0,504,0,80,5,0,30,17,0,2,33,0,20,41,27,3,3,7,0,0,1
sample_80,836,709,802,390,90,3171,1349,412,707,3923,1985,673,1114,1424,5,1943,23,219,6512,6,124,67,22,0,0,1369,49,445,12,12,0,0,0,0,0,0,5,0,0,22,40,1,7,0,0,0,0,0,58,0,0,548,0,100,1,1,33,10,0,0,21,0,19,56,30,6,3,4,0,0,1
