,ENSG00000010671,ENSG00000035664,ENSG00000048707,ENSG00000056736,ENSG00000070061,ENSG00000072135,ENSG00000087884,ENSG00000100227,ENSG00000100228,ENSG00000101276,ENSG00000101282,ENSG00000102743,ENSG00000105479,ENSG00000107902,ENSG00000111725,ENSG00000112877,ENSG00000116652,ENSG00000117643,ENSG00000120549,ENSG00000120820,ENSG00000122643,ENSG00000126215,ENSG00000128191,ENSG00000129170,ENSG00000130544,ENSG00000130669,ENSG00000130733,ENSG00000130856,ENSG00000132842,ENSG00000136531,ENSG00000138315,ENSG00000145708,ENSG00000150637,ENSG00000152457,ENSG00000156427,ENSG00000157168,ENSG00000158290,ENSG00000159905,ENSG00000163815,ENSG00000164638,ENSG00000165066,ENSG00000165487,ENSG00000167994,ENSG00000169239,ENSG00000169271,ENSG00000170615,ENSG00000170949,ENSG00000172232,ENSG00000175164,ENSG00000176087,ENSG00000180573,ENSG00000185361,ENSG00000188976,ENSG00000196171,ENSG00000198178,ENSG00000201021,ENSG00000201351,ENSG00000205356,ENSG00000205364,ENSG00000206677,ENSG00000206687,ENSG00000207002,ENSG00000207989,ENSG00000211514,ENSG00000215354,ENSG00000217268,ENSG00000221468,ENSG00000221548,ENSG00000222118,ENSG00000223542,ENSG00000223586,ENSG00000224254,ENSG00000225721,ENSG00000226048,ENSG00000226397,ENSG00000226469,ENSG00000226791,ENSG00000228327,ENSG00000229373,ENSG00000229625,ENSG00000230606,ENSG00000230757,ENSG00000231170,ENSG00000231291,ENSG00000231489,ENSG00000231630,ENSG00000231684,ENSG00000232004,ENSG00000232043,ENSG00000232419,ENSG00000233036,ENSG00000234001,ENSG00000234089,ENSG00000235572,ENSG00000235728,ENSG00000235829,ENSG00000236859,ENSG00000237261,ENSG00000237442,ENSG00000237643,ENSG00000238246,ENSG00000239887,ENSG00000240291,ENSG00000240382,ENSG00000240713,ENSG00000242396,ENSG00000242999,ENSG00000243136,ENSG00000243150,ENSG00000243420,ENSG00000244363,ENSG00000244556,ENSG00000249209,ENSG00000249380,ENSG00000249506,ENSG00000250102,ENSG00000250118,ENSG00000250563,ENSG00000250903,ENSG00000250968,ENSG00000251073,ENSG00000251074,ENSG00000251621,ENSG00000251916,ENSG00000252438,ENSG00000252815,ENSG00000253172,ENSG00000253560,ENSG00000253768,ENSG00000253989,ENSG00000254263,ENSG00000254315,ENSG00000254419,ENSG00000255320,ENSG00000256742,ENSG00000257721,ENSG00000258088,ENSG00000258120,ENSG00000258679,ENSG00000258717,ENSG00000259038,ENSG00000259306,ENSG00000259425,ENSG00000260066,ENSG00000260693,ENSG00000263952,ENSG00000265567,ENSG00000265859,ENSG00000266306,ENSG00000266325,ENSG00000266463,ENSG00000266910,ENSG00000267083,ENSG00000267270,ENSG00000267416,ENSG00000267559,ENSG00000269604,ENSG00000271243,ENSG00000272886,ENSG00000272942,ENSG00000272954,ENSG00000273051,ENSG00000273090,ENSG00000273445,ENSG00000273983,ENSG00000274251,ENSG00000275441,ENSG00000276496,ENSG00000276662,ENSG00000277512,ENSG00000277563,ENSG00000278499,ENSG00000278765,ENSG00000278896,ENSG00000279511,ENSG00000279694,ENSG00000279987,ENSG00000280104,ENSG00000283205,ENSG00000283402,Disese Group
sample_33,12,43,12091,58,3583,908,148,1905,264,24,111,65,58,413,1273,371,201,1232,3067,22,535,324,1652,0,727,1070,556,1558,911,1852,4,1,211,227,11,836,2094,371,19,844,12,1180,197,611,1,75,1138,1,12,1003,1348,40,1336,0,0,0,0,4289,69,0,1,1,0,9,0,0,0,0,0,0,0,0,8,3,6,25,2,126,0,0,13,0,4,0,0,0,1,1,1,0,9,0,0,0,0,0,202,0,0,0,0,246,75,0,0,0,26,0,11,1,2,0,0,0,0,0,0,0,873,0,2,0,0,0,24,0,0,0,0,0,0,0,29,24,139,0,42,0,0,5,19,0,0,0,6,0,0,2,1,1,0,48,24,153,24,0,2,0,1052,5,11,0,4,0,0,69,12,0,0,0,10,0,7,36,0,11,0,0,0,0,0
sample_34,17,27,13238,185,3127,761,249,2643,226,71,68,115,62,733,1327,292,86,1218,1683,35,868,250,1779,0,633,1256,1011,2152,1165,2039,4,7,134,141,7,927,2586,354,8,587,16,1167,725,495,20,13,1384,4,17,1241,3672,45,1881,0,0,0,0,4129,609,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,7,2,1,124,0,0,11,0,7,0,0,0,1,1,0,0,2,0,0,0,0,0,260,0,0,0,0,156,39,0,0,4,11,1,11,0,11,0,2,0,0,0,0,0,1337,0,0,0,3,0,20,0,0,0,3,0,0,0,1,9,137,0,70,0,0,9,83,0,0,0,15,0,0,0,1,0,1,45,19,162,10,0,4,0,1106,3,6,0,2,0,4,10,42,0,2,0,2,0,3,23,0,47,0,0,0,0,0
sample_35,15,81,13992,128,4039,881,190,1882,244,40,71,113,80,452,1370,348,306,1514,4050,32,652,357,2106,1,786,1124,546,1673,1201,2945,2,2,196,227,10,1346,2804,452,27,1015,15,1787,240,1224,9,37,1376,7,23,1025,1422,65,1523,0,0,0,0,4412,164,0,4,3,5,7,0,0,0,0,0,0,0,0,10,3,0,23,3,191,0,0,25,1,10,0,0,0,0,0,2,0,4,0,0,0,0,0,206,0,0,0,0,394,83,0,0,2,35,0,2,0,1,0,4,0,2,0,0,0,977,0,1,0,2,0,37,0,1,0,1,0,0,0,45,29,188,0,43,0,0,6,29,0,0,0,31,0,0,0,0,0,0,72,36,149,32,4,2,0,1391,1,24,0,2,0,3,27,15,0,0,0,14,0,6,68,0,7,0,0,0,0,0
sample_36,19,21,11012,64,2880,639,124,1951,225,24,108,73,65,450,966,282,178,960,1989,13,565,242,1417,1,578,890,536,1160,902,2195,3,3,94,219,6,759,2342,386,7,840,6,1350,219,1103,4,23,1214,1,11,916,1341,41,1054,0,0,0,0,3249,104,0,3,1,4,2,0,0,0,0,0,0,0,1,5,2,8,6,0,170,1,0,9,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0,186,0,0,0,0,197,43,0,0,3,16,0,43,0,0,0,0,0,0,0,0,0,729,0,0,0,2,0,28,0,0,0,1,0,0,0,10,32,169,0,35,0,0,6,17,0,0,0,3,0,0,1,0,2,0,29,20,116,13,3,3,0,1264,6,15,0,4,0,0,45,6,0,0,0,6,0,5,12,0,24,0,0,0,0,0
sample_37,52,76,11674,207,4027,850,204,2608,331,15,50,95,71,424,909,226,193,1849,4421,86,529,217,1669,0,599,1209,635,1491,1086,2524,7,11,148,240,9,1073,2585,389,6,1402,6,1406,212,1341,20,38,1336,2,14,1227,2227,88,1459,0,0,0,0,2970,125,0,2,1,2,5,0,0,0,0,0,0,0,0,18,4,6,14,3,200,0,0,31,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,209,0,0,0,0,656,91,0,0,1,23,0,63,0,2,0,1,0,1,0,0,0,821,0,0,0,0,0,15,0,3,0,1,0,0,0,8,16,143,0,83,0,0,10,36,0,0,0,4,0,0,1,3,1,0,49,22,249,21,4,2,0,1147,8,9,0,2,0,1,38,23,0,0,0,15,0,3,37,0,42,0,0,0,0,0
sample_38,14,59,11866,137,4448,798,191,2065,237,20,97,82,66,430,1011,264,179,1418,4376,27,611,208,1971,2,652,1069,570,1653,1053,2368,4,13,134,202,10,841,2576,385,13,749,6,1696,293,1079,7,51,1869,1,14,1086,1675,40,1329,0,0,0,0,3619,123,0,2,0,0,12,0,0,0,0,0,0,0,0,8,1,8,9,3,196,0,0,15,0,5,0,0,0,0,2,0,0,5,0,0,0,0,0,230,0,0,0,0,511,74,0,0,1,18,0,16,0,0,0,1,0,0,0,0,1,988,0,1,0,1,0,15,0,0,0,0,0,0,0,9,8,208,0,63,0,0,19,24,0,1,0,5,0,0,0,3,0,2,30,26,199,18,3,1,0,1298,5,14,0,5,0,0,43,11,0,0,0,17,0,7,24,0,17,0,0,0,0,0
sample_39,54,101,9356,322,4239,1022,223,3932,399,25,31,113,70,639,1458,270,83,1614,3687,95,824,285,1777,0,728,1788,1065,1878,1283,1402,5,2,108,199,4,610,2243,212,3,1229,12,1355,363,1126,31,39,1087,0,5,2229,5920,98,2322,0,0,0,0,3419,396,0,0,1,2,3,0,0,0,0,0,0,0,0,10,4,4,4,4,151,0,0,10,0,14,0,0,0,0,2,1,0,2,0,0,0,0,0,225,0,0,1,0,487,50,0,0,3,13,0,95,1,9,0,1,0,0,0,1,0,1293,0,1,0,0,0,7,0,0,0,4,0,0,0,4,6,162,0,88,0,0,11,129,0,0,0,8,0,0,1,0,1,0,17,15,226,17,1,2,0,1078,4,5,0,0,0,3,13,31,0,1,0,5,0,4,13,0,92,0,0,0,0,0
sample_40,16,43,10933,98,3444,602,147,1477,129,20,90,64,41,357,714,234,176,1261,4148,19,385,190,1624,0,365,941,324,1164,871,1929,2,0,164,142,3,658,1789,284,6,661,8,1286,200,674,10,13,1598,0,13,764,1157,22,929,0,0,0,0,3034,81,0,5,0,2,12,0,0,0,0,0,0,0,2,6,3,2,14,5,195,0,0,13,0,8,0,0,0,0,1,0,0,2,0,0,0,0,0,183,0,0,0,0,336,53,0,0,1,14,0,6,0,1,0,5,0,0,0,0,0,702,0,2,0,0,0,47,0,0,0,1,0,0,0,12,15,192,0,62,0,0,8,19,0,0,1,7,0,0,1,1,0,1,48,34,183,22,0,0,0,891,6,8,0,3,0,0,48,8,0,0,0,16,0,2,48,0,9,0,0,0,0,0
sample_41,11,53,12512,62,4158,850,199,1932,311,22,156,103,76,658,997,300,196,2675,2868,24,624,286,1859,1,747,845,650,1591,1328,4260,4,118,169,244,13,1137,2493,393,30,1687,11,1216,353,693,5,60,1614,5,93,1206,1240,70,1709,0,0,0,0,3938,67,0,1,3,14,3,0,0,0,0,0,0,0,0,9,4,3,15,1,132,0,0,24,0,5,0,0,0,1,5,0,0,5,0,0,0,0,0,263,0,0,0,0,378,65,1,0,3,23,0,2,0,4,0,0,0,1,0,0,0,888,0,1,0,8,0,33,0,0,0,1,0,0,0,18,28,181,0,28,0,0,15,17,0,2,0,11,0,0,2,6,0,0,44,34,201,18,1,0,0,1113,11,8,0,5,0,3,28,12,0,0,0,12,0,6,38,0,7,0,0,0,0,1
sample_42,6,54,12925,92,5027,698,189,1855,126,12,73,33,74,426,678,283,167,2554,2291,22,496,190,1778,0,535,792,545,1600,1129,3725,3,21,172,206,3,1058,1904,358,16,1147,8,1171,234,336,9,17,1394,3,60,877,1122,56,1341,0,0,0,0,2987,40,0,3,0,4,7,0,0,0,0,0,1,0,0,2,4,0,7,3,150,0,0,19,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,204,0,0,0,0,302,63,0,0,7,25,0,3,0,5,0,0,0,0,0,0,0,914,0,1,0,3,0,16,0,0,1,1,0,0,0,10,20,187,0,34,0,0,17,20,0,0,0,13,0,0,1,41,0,1,30,16,186,17,0,3,0,1017,8,7,0,4,0,1,16,11,0,0,0,8,0,4,39,0,12,0,0,0,0,1
sample_43,19,54,13539,100,4532,801,177,2062,279,40,251,78,69,436,1030,305,232,2391,3360,28,566,240,1883,0,718,984,633,1699,1064,4019,2,12,142,242,9,1316,2438,430,13,1107,15,1248,174,541,5,51,1220,1,60,1266,1249,84,1751,0,0,0,0,4001,52,0,6,0,11,6,0,0,0,0,0,0,0,0,8,7,0,18,1,146,1,0,25,0,11,0,0,0,0,4,0,0,5,0,0,0,1,0,183,0,0,0,0,345,84,0,0,2,20,0,1,0,3,0,0,0,0,0,0,0,751,0,2,0,7,0,28,0,0,0,1,0,1,0,12,12,164,0,19,0,2,14,16,0,0,0,3,0,0,0,2,1,1,63,26,143,21,0,2,0,1044,2,11,0,5,0,0,45,12,0,0,0,10,0,14,67,0,12,0,0,0,0,1
sample_44,17,18,10811,37,3234,702,185,1619,150,23,87,63,64,436,803,214,157,2800,1690,14,529,226,1264,0,560,680,513,1316,1023,3995,4,11,113,188,5,1324,2225,325,20,1103,23,940,227,370,7,30,1199,1,83,979,812,68,1258,0,0,0,0,2831,117,0,3,0,16,9,0,0,0,0,0,0,0,0,7,3,5,8,2,123,0,0,29,0,18,0,0,0,1,3,0,0,4,0,0,0,0,0,197,0,0,0,0,150,78,0,0,4,11,0,3,0,1,0,0,0,0,0,0,0,694,0,2,0,5,0,24,0,0,0,0,0,1,0,15,16,104,0,35,0,0,22,13,0,0,0,4,0,0,0,1,0,1,43,28,149,24,2,2,0,953,4,3,0,1,0,0,32,8,0,0,0,9,0,10,41,0,6,0,0,0,0,1
sample_46,16,44,11668,68,4304,892,181,1838,160,47,114,52,99,419,928,298,227,2131,2982,33,493,280,1653,0,577,841,512,1534,954,3713,0,19,96,207,11,1155,2085,387,11,1095,8,1467,236,478,9,56,1384,5,99,924,1125,79,1443,0,1,0,0,3422,42,0,2,0,6,9,0,0,0,0,0,1,0,0,6,3,1,15,2,140,1,1,39,0,9,0,0,0,2,3,0,0,4,0,0,0,0,0,230,0,1,0,0,450,84,0,0,1,16,0,1,0,0,0,1,0,0,0,0,0,873,0,1,0,4,0,23,0,0,0,1,0,0,0,14,28,158,0,39,0,0,14,13,0,0,0,9,0,0,0,4,0,1,44,29,201,30,2,3,0,1084,4,6,0,3,0,4,61,9,0,0,0,18,0,5,44,0,16,0,0,0,0,1
sample_47,12,42,12557,83,3880,876,190,1648,272,50,220,63,64,579,864,325,164,2187,2496,28,483,250,1773,1,484,853,569,1584,1049,2921,0,20,179,146,6,871,1859,366,20,1171,7,1116,713,366,4,27,1306,7,58,998,1099,72,1564,0,0,0,0,4431,136,0,3,1,9,8,0,0,0,0,0,1,0,2,11,5,0,15,1,209,1,1,19,0,6,0,0,0,1,2,1,0,2,0,0,0,0,0,182,0,0,0,0,314,61,0,0,2,14,0,1,1,1,0,3,0,0,0,0,0,938,0,0,0,3,0,65,0,0,2,4,0,0,0,22,25,190,0,68,0,0,18,18,0,0,0,13,0,0,2,1,0,4,44,38,180,28,1,3,0,980,9,9,0,7,0,3,54,10,0,1,0,21,0,10,81,0,6,0,0,0,0,1
sample_48,10,23,11693,84,3501,829,202,1765,134,20,52,41,67,411,766,360,168,1494,2433,27,562,273,1597,0,558,805,444,1455,882,2671,3,12,166,158,8,935,1907,427,7,864,12,1274,358,481,5,19,1728,5,29,755,754,55,1183,0,0,0,0,2783,46,0,4,1,6,6,0,0,0,0,1,0,0,2,6,2,2,21,0,171,1,0,13,0,4,0,0,0,1,1,0,0,2,0,0,0,1,0,214,0,0,0,0,331,57,0,0,4,25,0,5,1,2,0,1,0,0,0,0,1,785,0,1,0,1,0,30,0,0,0,0,0,0,0,21,36,291,0,23,0,0,8,13,0,0,0,5,0,0,2,7,0,0,40,25,192,22,0,0,0,1051,6,9,0,4,0,1,38,15,0,0,0,13,0,6,31,0,5,0,0,1,1,1
sample_49,9,37,11333,71,3621,782,156,1780,257,20,125,70,56,498,1034,227,163,2327,3652,29,583,245,1513,0,727,845,727,1307,1177,3410,3,33,118,203,5,1190,2258,336,18,1734,11,1030,178,691,6,31,1352,5,58,1065,1196,52,1621,0,0,0,0,3712,73,0,3,2,10,4,0,0,0,0,0,0,0,0,6,1,3,9,3,206,0,0,25,0,0,0,0,0,1,3,0,0,2,0,0,0,0,1,201,0,0,0,0,509,64,0,0,2,23,0,3,0,5,0,0,0,0,0,0,0,881,0,3,0,2,0,16,0,0,1,4,0,0,0,17,21,114,0,31,0,1,33,22,0,1,0,15,0,0,1,0,0,1,52,29,146,19,0,4,0,1034,3,11,0,7,0,2,35,10,0,0,0,13,0,7,37,0,12,0,0,0,0,1
sample_50,7,48,14024,79,3605,858,235,1998,219,35,246,36,82,547,772,304,191,2443,2947,28,416,252,1874,0,543,911,449,1397,1105,3738,2,9,137,174,7,1095,1773,439,13,1196,23,1213,328,558,11,49,1606,6,82,883,945,59,1186,0,0,0,0,3427,46,0,5,2,5,5,0,0,0,0,0,0,0,0,5,7,2,12,0,296,1,0,20,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,218,0,0,0,0,478,73,0,0,4,21,0,1,1,1,0,2,0,0,0,0,0,935,0,1,0,2,0,47,0,0,0,4,0,0,0,8,18,222,0,24,0,1,19,15,0,3,0,13,0,0,0,11,0,1,57,55,230,22,1,1,0,1072,2,10,0,3,0,0,35,7,0,0,0,16,0,11,78,0,6,0,0,1,1,1
sample_51,22,61,13032,84,4378,907,199,2179,368,27,166,86,104,888,1050,433,217,1480,3671,15,538,378,2328,0,700,1191,528,1603,1292,2161,3,8,215,184,10,716,2431,447,12,1464,9,1495,583,980,6,71,2111,4,21,1116,1299,42,1456,0,0,0,0,4513,128,0,5,2,3,9,0,0,0,0,0,0,0,0,19,2,0,16,1,213,1,0,24,1,8,0,0,0,1,1,0,0,2,0,0,0,0,0,249,0,0,0,0,393,92,0,0,0,25,0,5,0,2,0,0,0,0,0,0,0,1057,0,0,0,2,0,56,0,0,0,3,0,0,0,13,36,261,0,63,0,2,3,23,0,0,0,20,0,0,1,3,0,4,57,34,269,24,0,2,0,1322,7,13,0,5,0,0,66,15,0,0,0,25,0,7,75,0,14,0,0,0,0,1
sample_52,8,51,12082,117,3794,667,176,1719,166,32,113,61,65,456,677,296,153,1360,2837,18,448,213,1858,0,531,1029,357,1409,925,2013,2,5,183,186,6,759,1782,413,8,968,12,1149,228,619,12,19,1574,2,15,710,906,53,995,0,0,0,0,2977,41,0,4,0,6,9,0,0,0,0,0,0,0,3,10,6,0,9,2,200,1,1,25,1,11,0,0,0,1,0,0,0,1,0,0,0,0,0,227,0,0,0,0,310,75,0,0,0,23,0,3,0,0,1,0,0,0,0,0,0,882,0,0,0,1,0,45,0,0,0,3,0,0,0,16,23,287,0,31,0,0,13,26,0,0,0,8,0,0,1,1,0,0,51,28,195,21,2,2,0,1064,3,15,0,2,0,1,54,10,0,0,0,22,0,17,56,0,8,0,0,0,1,1
sample_53,19,47,15720,162,5361,1089,228,2583,375,36,255,78,87,641,1497,452,215,1871,5132,43,570,425,2666,1,824,1791,753,1897,1045,2085,8,0,190,272,17,1063,2216,519,15,1442,16,1486,210,849,3,45,1604,2,28,1310,1754,58,1990,0,1,0,0,5849,120,0,7,0,6,8,0,0,0,0,0,0,0,0,16,7,0,27,6,238,1,0,47,0,21,0,0,0,0,2,0,0,5,0,0,0,0,0,271,0,0,0,0,475,100,0,0,4,18,0,2,0,0,0,2,0,0,0,0,0,984,0,1,0,1,0,60,0,0,1,2,0,0,0,30,26,209,0,52,0,1,9,35,0,0,0,7,0,0,3,1,0,0,92,61,223,18,5,2,0,1409,6,16,0,1,0,0,91,19,0,1,0,30,0,11,94,0,14,0,0,0,0,1
sample_54,16,21,12793,65,3907,882,212,1960,230,17,61,61,75,479,1221,360,189,1580,2411,22,505,368,1704,0,631,1176,530,1453,1114,1887,1,0,177,182,8,723,2310,356,11,1200,14,1402,308,606,3,34,1274,2,8,962,1425,38,1192,0,0,0,0,4615,143,0,2,1,4,8,0,0,0,0,0,0,0,0,4,0,1,17,0,212,0,0,29,0,8,0,0,0,1,3,0,0,1,0,0,0,0,0,260,0,0,0,0,278,81,0,0,0,27,0,4,0,4,0,1,0,1,0,0,0,1082,0,0,0,2,0,53,0,0,0,1,0,0,0,17,31,193,0,58,0,0,17,36,0,0,0,11,0,0,1,1,0,1,60,43,229,29,0,1,0,1135,3,17,0,6,0,0,58,8,0,0,0,14,0,5,71,0,22,0,0,0,0,1
sample_55,13,54,13007,82,3462,803,169,1891,224,19,123,62,76,509,1201,326,212,1343,3736,24,564,306,1992,0,571,1011,404,1357,1087,1988,4,3,200,188,4,720,2336,371,18,907,8,1521,350,791,8,19,1497,2,17,959,1664,48,1164,0,0,0,0,4018,146,0,2,0,3,7,0,0,0,0,0,0,0,2,19,2,1,15,1,158,0,0,16,0,8,0,0,0,0,1,0,0,3,0,0,0,0,0,197,0,0,0,0,320,77,0,0,1,29,0,11,0,1,0,1,0,0,0,0,0,832,0,0,0,3,0,19,0,1,0,1,0,0,0,26,28,178,0,35,0,0,8,30,0,0,0,14,0,0,2,4,0,0,61,24,230,20,2,0,0,1142,2,16,0,0,0,0,48,18,0,0,0,18,0,12,54,0,11,0,0,0,1,1
sample_56,19,22,12093,93,4836,797,179,2472,206,45,77,68,89,501,1245,290,174,1245,2866,17,671,316,1840,0,584,1132,621,1866,1146,2000,1,2,107,202,6,760,2452,382,6,557,4,1552,312,605,12,40,1188,3,22,1206,2762,48,1641,0,0,0,0,3894,144,0,1,0,1,4,0,0,0,0,0,0,0,0,8,3,2,9,1,151,0,0,27,0,7,0,0,0,1,2,0,0,4,0,0,0,0,0,247,0,0,0,0,378,70,0,0,1,11,0,34,0,3,1,2,0,0,0,0,0,1017,0,1,0,2,0,26,0,0,0,4,0,1,0,12,17,168,0,49,0,0,3,31,0,0,0,15,0,0,0,1,0,0,43,20,198,18,1,4,0,1178,6,12,0,2,0,0,41,23,0,0,0,7,0,3,13,0,21,0,0,0,0,1
sample_57,5,22,11329,80,3395,847,154,1525,209,46,99,53,62,538,893,276,179,1470,2244,28,494,240,1668,0,444,893,445,1416,855,1829,1,2,172,154,5,720,1795,399,16,829,13,1137,460,469,4,13,1372,7,20,827,1233,47,1192,0,0,0,0,3907,166,0,4,0,2,4,0,0,0,0,0,0,0,0,6,2,1,12,0,214,0,0,17,0,4,0,0,0,1,1,3,0,2,0,0,0,0,0,200,0,0,0,0,335,62,0,0,1,21,0,45,1,1,0,3,0,0,0,0,0,948,0,0,0,0,0,57,0,0,0,4,0,0,0,25,18,200,0,64,0,0,9,33,0,0,0,14,0,0,0,1,0,4,56,36,174,21,0,3,0,962,3,7,0,6,0,3,55,14,0,0,0,16,0,3,87,0,15,0,0,0,1,1
sample_58,10,37,12094,65,3798,876,236,1956,220,23,36,66,73,503,903,311,174,1141,2841,26,582,299,2130,0,621,1160,436,1383,889,1809,2,5,171,148,5,626,2045,408,9,881,8,1544,379,563,12,12,1898,2,8,803,779,31,1175,0,2,0,0,3637,78,0,9,2,4,3,0,0,0,0,0,0,0,1,7,2,1,13,1,233,0,0,19,0,11,0,0,0,1,0,1,0,4,0,0,0,0,0,191,0,0,0,0,458,54,0,0,0,9,0,8,0,1,0,1,0,0,0,0,0,861,0,0,0,1,0,48,0,0,0,2,0,0,0,17,41,332,0,26,0,1,6,22,0,0,0,3,0,0,1,2,2,1,54,30,210,22,2,0,0,1287,4,19,0,2,0,0,46,10,0,0,0,7,0,8,35,0,17,0,0,0,0,1
