,ENSG00000100031,ENSG00000100297,ENSG00000105669,ENSG00000168348,ENSG00000181744,ENSG00000183423,ENSG00000184060,ENSG00000186350,ENSG00000199036,ENSG00000199424,ENSG00000205452,ENSG00000227533,ENSG00000230107,ENSG00000230606,ENSG00000231095,ENSG00000233565,ENSG00000234296,ENSG00000235748,ENSG00000235759,ENSG00000236854,ENSG00000250412,ENSG00000250903,ENSG00000254016,ENSG00000254903,ENSG00000256223,ENSG00000263613,ENSG00000267083,ENSG00000269821,ENSG00000273541,ENSG00000278202,Diagnosis
sample_65,203,360,956,205,576,847,132,2015,7,0,0,353,0,46,1,0,1,0,0,1,49,1070,83,0,621,0,40,4584,0,0,1
sample_66,227,401,1170,189,560,996,179,2360,7,0,0,347,0,47,2,0,0,0,0,0,35,1100,82,0,670,0,45,4217,0,0,1
sample_67,125,273,1230,119,838,716,108,2251,4,0,0,724,0,22,2,0,0,1,0,0,57,828,72,0,542,0,22,5641,0,4,1
sample_68,156,340,1215,229,1005,1341,103,2346,3,0,0,252,3,32,3,0,0,0,0,0,55,1028,44,0,630,0,39,5005,0,1,1
sample_69,231,499,2078,258,1164,1317,165,3391,4,0,0,492,4,66,1,0,0,0,0,0,49,1040,117,0,884,0,42,5162,0,0,1
sample_70,171,379,1816,293,945,1311,109,2341,5,0,0,323,0,70,2,0,0,0,0,0,40,1145,59,0,881,0,28,3896,0,0,1
sample_71,132,352,973,221,603,908,131,2215,2,0,0,455,0,22,0,0,0,0,0,0,35,897,27,0,1064,1,30,2748,0,4,1
sample_72,185,397,1060,268,455,1252,113,2504,0,0,0,396,0,42,0,0,0,1,0,0,37,1172,73,0,618,0,48,3839,0,2,1
sample_73,196,433,1415,202,964,1009,206,2514,4,0,0,366,0,22,1,0,0,1,0,0,31,894,42,0,812,0,30,3943,0,0,1
sample_74,146,465,1323,281,612,960,123,2866,4,0,0,582,2,57,1,0,0,0,0,0,35,976,39,0,976,0,38,2839,0,0,1
sample_75,196,448,1085,370,642,995,150,2935,6,0,0,406,2,42,0,0,1,0,0,0,48,1132,38,0,908,0,33,3244,0,0,1
sample_76,187,573,1300,427,707,1080,185,3246,2,0,0,502,0,54,1,0,0,0,0,3,66,1209,52,0,875,0,37,3784,0,3,1
sample_77,292,461,1191,289,673,1360,141,2696,12,0,0,501,2,22,4,0,0,1,0,1,72,1260,90,0,1080,1,62,5420,0,1,1
sample_78,142,326,725,148,636,1664,116,1774,4,0,0,303,2,17,1,0,0,0,0,1,28,935,33,0,590,0,39,5532,0,4,1
sample_79,146,326,912,231,664,1330,117,2180,4,0,0,436,0,67,1,0,0,0,0,0,38,790,38,0,731,0,41,2742,0,1,1
sample_80,116,358,985,285,881,1403,118,2115,3,0,0,398,2,83,1,0,0,0,0,0,43,919,52,0,888,0,56,3445,0,1,1
