,ENSG00000002586,ENSG00000009413,ENSG00000049768,ENSG00000058063,ENSG00000089335,ENSG00000091181,ENSG00000100605,ENSG00000104047,ENSG00000105428,ENSG00000105948,ENSG00000108417,ENSG00000108465,ENSG00000111247,ENSG00000112877,ENSG00000113593,ENSG00000114735,ENSG00000121486,ENSG00000127249,ENSG00000127564,ENSG00000134640,ENSG00000138356,ENSG00000140854,ENSG00000141497,ENSG00000141510,ENSG00000144730,ENSG00000145375,ENSG00000145700,ENSG00000145982,ENSG00000148985,ENSG00000149260,ENSG00000149932,ENSG00000152240,ENSG00000157890,ENSG00000161921,ENSG00000165120,ENSG00000165655,ENSG00000167384,ENSG00000171496,ENSG00000172954,ENSG00000173662,ENSG00000176723,ENSG00000178700,ENSG00000182197,ENSG00000183111,ENSG00000183604,ENSG00000183638,ENSG00000184260,ENSG00000185904,ENSG00000188626,ENSG00000188897,ENSG00000189320,ENSG00000203737,ENSG00000206106,ENSG00000206685,ENSG00000206839,ENSG00000206871,ENSG00000207129,ENSG00000207165,ENSG00000210191,ENSG00000211668,ENSG00000211770,ENSG00000214204,ENSG00000216708,ENSG00000217643,ENSG00000218676,ENSG00000221375,ENSG00000224050,ENSG00000224970,ENSG00000225230,ENSG00000225760,ENSG00000226002,ENSG00000226617,ENSG00000226762,ENSG00000227726,ENSG00000227757,ENSG00000228532,ENSG00000228759,ENSG00000230054,ENSG00000230606,ENSG00000230793,ENSG00000231004,ENSG00000231068,ENSG00000231134,ENSG00000233691,ENSG00000234127,ENSG00000234568,ENSG00000235172,ENSG00000236576,ENSG00000237007,ENSG00000237194,ENSG00000237574,ENSG00000238290,ENSG00000239887,ENSG00000240877,ENSG00000241431,ENSG00000241963,ENSG00000242850,ENSG00000244610,ENSG00000247373,ENSG00000248492,ENSG00000248564,ENSG00000248671,ENSG00000249364,ENSG00000249715,ENSG00000249859,ENSG00000249920,ENSG00000250927,ENSG00000252206,ENSG00000254913,ENSG00000255726,ENSG00000255920,ENSG00000256299,ENSG00000257292,ENSG00000259236,ENSG00000259347,ENSG00000260974,ENSG00000261075,ENSG00000261284,ENSG00000261315,ENSG00000261460,ENSG00000263445,ENSG00000263666,ENSG00000263815,ENSG00000264322,ENSG00000265494,ENSG00000266450,ENSG00000266745,ENSG00000267980,ENSG00000268355,ENSG00000269837,ENSG00000270906,ENSG00000271074,ENSG00000271184,ENSG00000273077,ENSG00000273211,ENSG00000273398,ENSG00000273454,ENSG00000273554,ENSG00000274911,ENSG00000275226,ENSG00000275552,ENSG00000277467,ENSG00000279009,ENSG00000279025,ENSG00000279384,ENSG00000280300,ENSG00000280703,ENSG00000283225,ENSG00000283393,ENSG00000283505,Disese Group
sample_43,392,6032,27,4216,1895,1,2937,1377,2,384,0,1765,96,305,846,1152,817,289,573,1,26,781,30,160,19,1248,139,441,548,525,687,209,1869,236,0,568,447,5,789,9,128,254,1137,1417,405,14862,962,14,15,17,0,59,0,3,0,0,1,0,4,0,0,0,0,3,2,0,14,4,0,10,39,0,0,20,1,2,0,0,25,22,0,0,1,0,1679,0,0,59,6,67,0,6,345,13,0,0,0,0,134,0,0,81,708,55,58,0,0,5,0,0,4,53,0,0,15,0,0,0,42,1861,2,22,0,4,0,0,2,51,1,216,1,0,0,12,34,2,29,0,12,0,75,0,0,1,22,0,0,2,0,0,1
sample_44,364,5484,12,3117,1639,1,2861,1078,0,346,0,1396,97,214,737,1147,736,208,430,0,30,623,23,180,31,762,111,313,427,422,456,161,729,193,0,416,298,4,566,6,136,230,1265,755,322,10850,646,39,10,12,0,53,0,2,0,0,1,0,5,0,0,1,0,8,0,0,14,0,0,0,74,0,2,18,0,3,0,0,29,16,0,0,1,0,1250,0,0,46,5,25,0,10,150,13,0,1,0,0,175,0,0,96,207,25,75,1,0,7,0,0,2,49,0,0,8,0,0,0,52,511,0,26,0,1,0,0,3,44,0,145,0,1,0,6,30,2,24,0,9,0,17,0,0,0,32,0,0,1,0,0,1
sample_46,263,5885,21,3638,1902,4,2109,1208,1,354,0,1843,125,298,948,1467,704,256,389,0,30,571,39,161,24,1042,158,364,621,464,488,201,1626,147,0,386,355,0,798,3,66,204,1244,1129,370,11724,873,24,15,15,0,78,2,3,0,0,3,0,2,0,0,0,0,8,1,0,5,1,1,4,79,0,0,13,0,1,0,0,39,18,0,0,2,0,1292,0,0,65,1,37,0,10,450,7,0,4,1,0,223,0,0,104,247,67,77,0,0,6,0,0,8,57,0,0,7,0,0,0,49,850,2,22,0,5,0,0,6,40,0,188,2,4,0,4,32,0,21,0,7,0,26,0,0,2,40,0,0,2,0,0,1
sample_47,357,5348,18,3625,1611,3,2526,1037,1,287,0,2481,93,325,750,1637,654,357,530,0,19,734,40,150,23,973,104,526,562,406,632,166,2428,253,0,336,271,4,736,4,140,371,1395,1122,298,23481,951,18,25,53,0,70,0,6,0,0,1,0,5,0,0,0,0,6,4,0,13,3,0,0,30,0,1,23,0,0,1,1,19,23,0,0,4,0,1181,0,0,82,12,46,0,8,314,20,0,3,1,0,211,0,0,128,877,66,69,0,0,11,0,0,6,131,0,0,9,0,0,0,39,1870,0,28,0,12,0,0,7,49,2,198,0,8,0,11,33,2,30,0,8,0,1,0,0,0,14,0,0,2,0,0,1
sample_48,231,5335,12,4650,1855,1,2484,934,0,352,0,1884,91,360,850,1429,740,322,488,0,11,526,35,113,22,826,102,310,505,442,531,182,4384,229,0,396,282,0,737,2,122,196,954,1566,258,20348,510,32,9,20,0,59,0,1,0,0,0,0,4,0,0,0,0,11,3,0,14,2,0,0,56,0,0,12,0,4,0,0,13,16,0,0,0,0,1071,0,0,50,4,43,0,1,331,22,0,6,0,0,167,0,0,71,658,30,52,0,0,4,0,0,3,116,0,0,5,0,0,0,15,1961,0,38,1,2,0,0,0,53,0,254,1,7,0,7,35,4,31,1,8,0,27,0,0,7,24,0,0,0,0,0,1
sample_49,232,5437,35,3533,1684,1,2905,1040,3,306,0,1957,74,227,721,1250,671,199,623,0,10,855,54,267,19,887,108,384,543,738,585,175,1521,304,1,372,323,2,643,0,129,237,1182,1386,356,13862,864,20,14,27,0,57,0,2,0,0,0,0,3,0,0,0,0,12,1,0,4,2,0,0,67,0,0,31,0,0,0,0,25,22,0,0,0,0,1440,0,0,47,7,32,0,9,509,14,0,1,1,0,209,0,0,114,167,33,55,0,0,4,0,0,8,58,0,0,14,0,0,0,37,1226,1,22,0,2,0,0,4,61,0,272,1,0,0,7,37,2,28,1,8,0,65,0,1,1,48,0,0,0,0,0,1
sample_50,301,5754,12,4294,1807,3,2756,1222,5,334,0,2012,92,304,769,1562,540,459,434,0,54,578,34,159,13,859,108,393,470,556,473,162,3887,191,0,353,290,3,866,1,95,241,1112,1838,427,22137,606,66,25,24,0,74,2,12,0,0,1,0,8,0,2,0,0,10,2,0,14,6,0,0,54,0,1,24,0,2,0,0,20,21,0,0,4,0,1485,0,0,63,1,32,0,13,478,6,0,4,0,0,196,0,0,83,1281,44,83,0,0,6,0,0,8,102,0,0,7,0,0,0,45,1621,3,50,0,8,0,0,4,48,0,190,2,4,0,8,23,5,25,0,5,0,107,0,0,2,33,1,0,1,0,0,1
sample_51,288,6718,25,4325,1967,2,2615,1531,4,517,0,2257,139,433,1098,2279,785,444,859,1,47,660,64,401,42,966,232,477,723,654,616,171,2765,372,0,325,391,8,885,7,137,263,1309,1846,387,25448,1056,30,20,73,0,122,0,4,0,0,1,0,4,0,0,0,0,8,1,0,8,2,0,0,73,0,0,25,0,5,1,0,24,31,0,2,8,0,1541,0,0,75,7,47,0,11,393,13,0,6,1,0,326,0,0,134,1295,80,46,0,0,5,0,0,6,115,0,0,16,0,0,0,47,1597,5,56,0,9,0,0,6,60,0,258,0,7,0,13,39,2,18,1,1,0,23,0,0,0,25,0,0,3,0,0,1
sample_52,333,6290,11,5155,1589,3,2026,1307,1,310,0,1602,78,296,781,1525,575,290,349,2,36,473,37,134,41,766,89,351,407,427,456,171,1306,231,0,319,322,2,685,5,125,265,1204,1925,179,17224,503,19,12,57,0,67,0,10,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,8,67,0,0,11,0,5,0,0,25,21,0,1,6,0,1229,0,0,55,4,39,0,11,310,7,0,4,1,0,194,0,0,76,631,59,29,0,0,7,0,0,10,110,1,0,6,0,0,0,37,1985,0,51,0,13,0,0,7,54,0,237,0,0,0,3,32,3,35,1,5,0,22,0,0,2,19,0,0,3,0,0,1
sample_53,436,6890,38,4679,1994,1,2751,1659,3,480,0,2708,102,452,986,2031,730,410,1080,0,53,887,61,274,45,1294,144,585,901,783,834,207,3134,335,1,635,504,2,976,14,136,266,1471,1651,520,21345,1478,25,24,81,1,107,1,2,0,0,0,0,6,0,1,0,0,6,0,0,15,2,0,14,41,0,0,21,0,1,2,1,47,30,0,0,1,0,2538,0,0,101,14,80,0,8,475,9,0,2,2,0,236,1,0,132,839,129,36,1,0,5,0,0,14,80,0,0,13,0,0,0,70,2168,2,72,0,7,0,0,5,82,1,265,1,4,0,12,68,0,40,0,6,0,83,0,1,1,26,0,0,5,0,0,1
