,TRAV18,TRAV1-2,TRBV14,TRBV17,TRBV5-1,TRBV5-7,TRBV10-3,TRBV15,TRBV6-2,TRBV7-4,TRAV41,TRDV2,TRBV6-8,TRAV6,TRAV8-2,TRBV4-2,TRBV23-1,TRBV13,TRGV10,TRBV28,TRAV16,TRAV17,TRAV12-3,TRAV8-6,TRAV14DV4,TRAV9-2,TRAV8-4,TRAV13-2,TRAV19,TRBV9,TRBV10-1,TRBV7-3,TRBV5-3,TRBV6-4,TRBV4-1,TRGV11,TRGV5,TRGV8,TRGV9,TRGV3,TRGV4,TRBV20OR9-2,TRBV18,TRBV6-7,TRAV25,TRAV26-1,TRAV24,TRAV22,TRAV23DV6,TRAV20,TRAV21,TRBV7-6,TRBV5-5,TRBV6-6,TRBV6-5,TRBV11-1,TRDV3,TRBV7-9,TRBV29-1,TRGV2,TRBV20-1,TRBV19,TRBV12-4,TRBV7-7,TRAV4,TRAV5,TRAV12-2,TRAV13-1,TRAV7,TRAV9-1,TRAV12-1,TRAV10,TRAV8-3,TRBV7-1,TRBV10-2,TRGV1,TRBV6-1,TRDV1,TRAV8-7,TRBV2,TRAV8-1,TRAV2,TRAV3,TRBV5-4,TRAV30,TRBV3-1,TRAV29DV5,TRAV34,TRAV26-2,TRAV36DV7,TRAV38-2DV8,TRAV38-1,TRAV27,TRBV27,TRBV24-1,TRBV5-6,TRAV1-1,TRBV16,TRBV12-3,TRBV30,TRBV25-1,TRBV12-5,TRBV7-2,TRAV40,TRAV39,TRBV11-3,Diagnosis
RNA466_FPKM,0.369255272,2.828545356,0.0,0.0,0.872049259,0.0,1.986335422,2.315154192,0.383189433,0.702108006,2.417284509,2.967651982,0.0,1.206287023,6.026900528,1.785071638,2.574765864,3.908938157,6.821214568,20.08205592,3.456155723,3.691757249,3.460610808,2.46129004,3.439865578,5.565772351,3.117148978,3.763851294,1.043554512,1.041291789,0.0,0.0,0.0,0.0,5.661541951,0.0,0.882862242,2.256066396,1.872524715,0.907523198,4.01379422,0.0,2.656717834,0.0,1.410858851,2.873703968,0.473680232,0.350155861,3.375999296,2.400689445,3.078248027,1.035979075,2.552696443,1.674575453,5.744845429,0.0,1.719932789,1.404437917,0.808128452,5.225600337,10.42292846,10.74109537,4.801189232,0.468219941,2.467544088,2.076623396,5.475556821,9.250184834,0.0,0.0,4.538761855,2.785855075,5.954601138,0.0,0.205661164,0.349402838,4.658470495,1.565249326,0.0,6.945279674,5.494752862,6.534915132,5.633839582,3.881902845,0.482113708,1.246393753,1.558574489,0.0,0.0,0.45638292,1.850560596,2.991045533,1.911076695,4.40736783,0.852670965,0.211552499,1.243214177,0.0,6.751810326,12.53739822,2.98444943,0.988087099,1.443086592,0.0,0.245426464,3.729446099,1
RNA469_FPKM,0.344030517,3.012406517,0.0,0.0,0.464335667,0.0,3.085056267,4.314496298,0.714025601,0.0,2.70309692,6.113007286,0.221955172,1.498746807,2.273275855,1.497099832,2.835525299,13.76080256,18.03426662,4.990117971,0.690152405,2.189285109,7.397753503,2.023708924,1.780863853,4.418061491,2.582062729,3.322831335,4.861934098,1.358479478,0.183705616,0.190646634,0.0,0.0,3.043701625,0.326940448,0.822681671,3.881202866,3.009929032,5.355711236,10.12067048,0.0,1.768381162,0.440039033,0.939041114,1.268492409,1.103304865,3.914661511,0.37010618,3.35556859,2.647931676,3.089253623,2.378725289,1.560550799,9.229896339,0.0,0.178086385,0.654351992,0.941377037,3.756365961,9.162851087,11.24303288,3.169148113,0.0,7.664279396,1.505133512,5.272381882,6.096768083,0.0,0.0,4.674767614,1.997010917,4.439103446,0.398351125,0.766447734,0.325534253,3.963643364,1.782770559,0.0,3.595568349,1.120099358,3.697339465,7.291440268,1.391299885,1.572127585,0.0,2.582062729,0.0,1.157289201,1.063015643,2.299343203,1.929689586,2.137036624,11.14745348,2.185180712,0.788403268,5.59907273,0.0,3.516008707,1.523893565,0.397305584,0.736610353,2.305179099,0.0,0.0,2.123861865,0
RNA47_FPKM,1.284847078,3.214315378,0.0,0.0,2.601224145,0.0,0.87787688,0.959247888,1.142801993,0.0,4.807182957,5.591092799,0.0,0.0,3.139050931,0.532470379,1.629200906,0.863793293,19.24384801,22.85258624,5.891404758,4.672171192,6.476966326,1.007723198,3.800502291,6.354327106,4.649352213,4.924528865,4.669263786,0.0,0.0,0.0,0.0,0.0,9.310190268,0.0,0.731600291,1.898272235,3.630757661,2.255959214,3.286818106,0.0,4.528673284,0.0,7.014053527,4.361332479,3.06087685,1.392494361,2.172106127,0.795711063,3.531924483,0.20608334,4.614895639,3.954713414,4.530457308,0.887523878,0.760138098,3.025592967,5.424244249,2.672286986,4.301943891,4.828069263,0.994688081,0.0,6.133722052,2.753113893,6.533411811,10.7681787,0.0,0.0,10.92639704,2.344040649,9.473392808,0.850154452,0.0,0.173730471,13.69515662,1.729350614,0.0,15.53833388,1.536621708,2.320709014,4.201437742,4.305212392,1.917262265,2.685117032,6.543576959,1.1571443,0.0,2.949103257,1.635740211,1.83036086,6.460891535,8.973387519,1.271779646,1.682597353,2.472183904,0.0,22.31283161,13.55053807,0.212033252,0.0,1.84472606,0.254841228,1.463891375,1.236091952,0
RNA471_FPKM,0.246703175,1.754813906,0.0,0.0,1.331560969,0.0,0.0,1.933325965,1.663762241,0.781821205,1.291931178,18.7832144,0.0,0.671514748,1.821510016,1.192611589,0.469155382,6.964137997,24.37579784,22.3610193,1.649356452,2.578551874,7.88778417,1.837744508,4.596363052,4.682499746,1.735458915,3.705769321,2.556256074,1.113048399,0.0,0.0,0.0,0.0,8.728620055,0.0,3.145670035,8.580038443,7.662443069,5.759736244,15.85290051,0.0,1.901706147,0.15769628,1.750459529,1.717839159,2.056662362,1.286391796,2.388085938,1.470162052,3.322227598,3.875932197,1.240253931,1.957945131,6.088030659,0.0,6.383851783,0.938310764,1.079823074,6.483579483,1.182544195,5.210025227,0.0,0.0,3.159542043,3.699775521,3.902044628,6.17985071,0.0,0.0,4.787824889,0.859086636,4.933027387,0.0,0.54947959,1.750387594,6.089389151,2.672417788,0.0,2.577854028,1.835470933,2.806687209,2.8229632,1.595914984,0.483076906,0.693841326,6.941951558,0.0,0.0,0.609675387,3.846494738,0.922362139,1.659847507,5.608523863,0.284906554,0.423950306,0.692071322,0.0,6.766221341,6.191016842,0.427288497,0.0,1.928128707,0.34242712,0.655723377,0.553684791,1
RNA476_FPKM,0.0,6.040245536,0.221575247,0.0,1.241353559,0.0,0.488662925,2.34983758,1.272582579,2.591706256,1.873614774,17.46747906,0.527354711,1.558253871,4.607785622,2.569471599,0.0,3.366494995,20.37505205,34.58880962,3.280091268,15.79378518,4.282417522,4.809208935,2.116051931,8.445202111,5.944210273,5.04495524,3.273782944,0.691762838,0.0,0.0,0.0,0.0,5.786571578,0.0,3.747158783,5.188416037,7.049377976,12.8951544,13.7249201,0.0,3.992253718,0.0,2.231568414,3.851828023,2.359657494,1.162877184,5.936867251,2.215078992,9.438895702,1.376466871,2.312464344,9.271361554,15.35405695,0.0,0.21166953,1.554971221,2.237119579,6.447295464,1.959715546,5.865110916,1.107427249,0.0,4.325783775,7.409109835,14.55074708,11.49128694,0.0,0.0,11.37375232,3.796562228,9.757799507,0.0,2.732025385,1.353837772,8.970793723,0.770336311,0.0,9.185453182,3.422251672,3.101005825,4.678571687,1.487798751,1.6011128,0.9200692,5.368970387,0.0,0.0,2.021050883,4.781044424,2.547654591,2.327721462,13.01339888,1.180093079,0.46830197,1.376466871,0.259249425,10.77420734,7.645121213,1.180093079,0.437537607,2.967283192,0.0,2.988766227,0.458744787,1
RNA479_FPKM,0.0,7.026390425,0.376101398,0.0,0.936681761,0.0,6.638419007,1.631983591,0.36013483,1.539965199,0.908911713,2.495733845,0.22389614,1.511674524,2.697574825,0.503397256,3.74000461,1.020702993,12.52481199,22.23119807,7.193281491,3.785581997,7.270570262,8.164852145,1.616623745,7.169058251,4.394872655,2.979104916,1.634718791,2.740533362,0.370624194,0.0,0.0,0.0,7.572678152,0.0,0.553250608,5.219953407,1.716026581,4.122704735,7.101564519,0.0,2.497214979,0.0,0.757802321,1.848155358,0.890362494,0.493633085,5.599611312,1.316177153,17.80556678,5.842451599,7.852172477,23.61073223,16.94407723,0.0,0.53893118,0.660074212,0.949609252,13.19139231,8.687706117,25.17054951,24.25622955,0.0,7.34419629,6.506366553,7.205285101,24.59900537,0.0,0.0,16.61555901,0.604342353,7.387937767,0.200917326,0.386575108,0.984987828,3.997944975,1.634718791,0.0,2.176035257,4.841947202,2.193717459,4.854117107,1.964720609,0.453107323,0.976324602,5.046033285,0.437527701,0.0,2.358882751,1.159542633,2.162644973,1.436980018,8.679713276,1.402540483,0.596473311,1.168416684,0.0,8.399505188,4.440372911,2.404490402,1.857454199,2.518932556,0.0,4.612771454,6.426751986,0
RNA48_FPKM,0.0,5.448366107,0.0,0.0,10.52585624,0.0,6.348530942,6.416389349,0.0,0.0,2.172860293,30.18659943,0.0,0.0,0.0,3.53006226,11.15137154,0.0,146.8740328,12.43571121,8.432547179,1.96096152,5.489331266,0.0,0.0,5.744292591,25.68556524,200.6863107,0.0,0.0,0.0,0.0,0.0,0.0,6.850626553,0.0,6.348705429,35.88066943,5.260005502,16.04292887,23.23991879,0.0,0.0,0.0,3.442069506,24.74426051,5.534142133,0.0,4.998109935,0.0,16.17700397,0.0,0.0,2.257982655,24.3958613,0.0,2.748540455,3.155969993,0.0,45.49656828,30.75932942,15.07793547,5.214864703,0.0,3.881443601,0.0,3.117200024,5.881208526,0.0,0.0,104.7898046,0.0,23.55128434,0.0,0.0,0.0,39.14471747,0.0,0.0,30.52166095,0.0,0.0,11.53518496,2.684121538,0.0,0.0,6.849579901,0.0,0.0,14.35579698,5.544919431,3.722792932,0.0,83.00787636,7.856515326,1.330876929,46.0032936,0.0,16.95810849,0.0,3.257579526,1.77635294,2.594196654,0.0,0.441136591,0.0,0
RNA482_FPKM,0.83877873,1.468870011,0.181732919,0.0,0.679323028,0.0,1.604580827,2.103954443,0.870430758,0.0,1.318210161,1.845424603,0.216374091,1.096333203,4.825354124,1.622253368,2.978110543,0.789516246,10.81266491,27.57902338,2.692294287,2.89765909,4.255002696,4.078844599,2.257931278,4.870987764,2.83301372,4.680900436,3.319285948,1.324877383,0.0,0.371888005,0.0,0.404491885,8.509374371,0.0,0.668591741,2.050471781,1.021054548,2.336736428,10.51428853,0.0,6.898536302,0.0,2.747364575,1.924402902,1.506420348,0.0,1.624307377,1.999953831,4.303937507,3.954353413,4.639686008,5.136476144,7.021438957,0.0,0.0,8.508857456,2.019853869,1.492612602,20.37482324,10.96519314,1.272665466,0.0,6.72732775,3.984281249,4.976288213,8.611702987,0.0,0.0,5.210381297,1.363330288,7.143317766,0.582692377,1.494900619,0.317504383,6.62666948,1.896712678,0.0,7.363926545,3.433171465,2.545301208,4.835558619,3.663516074,0.657041849,0.943894223,3.934724123,1.903557929,0.902994116,1.866128419,2.803007401,0.836484635,2.084152519,6.866393957,0.775010698,0.192144701,0.94148633,0.425474173,11.55037452,6.935599721,3.487358096,0.897962631,0.749439279,0.0,1.114992874,0.18822338,0
RNA483_FPKM,0.302415707,4.303618964,0.327741161,0.0,1.122644939,0.0,2.892993963,2.05469694,0.15691381,0.0,3.56471409,1.919404467,0.195106908,1.811793318,2.703889067,0.877468084,4.410378133,1.423291148,9.617031561,5.484012763,2.224816111,3.574493437,6.837456507,4.863003826,4.540351036,4.559863652,7.377506189,5.031005126,9.688932388,1.19430624,0.0,0.0,0.0,0.0,3.211109743,0.0,2.531409966,5.26059846,1.380650504,2.230435632,5.60944532,0.0,2.798467136,0.0,1.816289083,3.965182126,0.776049758,1.147221744,1.626830808,2.458350549,4.849922355,1.01848974,2.471506891,2.743870563,11.19820215,0.182778724,0.469633804,1.150570542,0.827653041,4.892672226,16.4335058,14.58571247,2.294479969,0.0,6.064376263,3.402681631,4.934459005,11.09005704,0.0,0.0,4.696860788,1.053424744,6.24428974,0.0,1.347622504,0.429235197,7.135182188,0.71245508,0.0,5.847886175,6.752483256,1.720811336,4.102702893,2.935537992,0.592268151,1.191251748,8.938198087,0.953342471,6.307988078,0.560658334,5.053621888,3.769991063,2.818221022,14.44277314,0.698648469,0.519776997,0.339446202,0.575199904,8.459780935,3.721528787,2.270413154,4.533133174,1.85777792,0.419756818,0.804184492,1.357935942,1
RNA484_FPKM,1.105692635,14.00405013,0.342367881,0.0,1.172557483,0.405251778,5.099234667,2.806440756,0.819583489,1.802611294,1.861625355,10.55889768,0.0,3.78469049,3.806574341,1.374738723,4.005802876,1.858306949,13.43875077,18.52098635,4.013717077,4.02070049,5.225615031,8.052793718,4.415337312,5.468327607,4.890239738,4.068332482,11.16193592,5.524413018,0.506072912,0.0,0.0,0.0,8.012142724,0.0,1.510884346,13.95969443,4.486541344,2.847327668,3.232589763,0.0,4.709158218,0.40407372,1.724582628,1.941359774,1.621007112,2.396575169,3.908351193,1.369471525,8.712913224,1.950274181,3.574320681,4.119885665,16.27350818,0.0,0.654124046,8.011605753,1.210210844,6.515823082,8.582585368,12.59083528,5.30670216,0.0,7.389945712,1.974451134,5.778708217,8.108412656,0.0,0.0,7.358895519,3.300823848,12.84051588,0.548689578,0.879755442,1.046246794,5.54618892,1.488237257,0.0,6.273220514,2.497910271,4.793150338,5.4904198,40.88315591,0.412466943,1.066506597,5.334806986,0.398284699,1.062701528,0.780906516,3.167119591,4.528372912,2.452965173,30.70998043,0.364832965,0.542974062,3.014060098,0.0,13.76437201,7.152195248,2.553830758,2.367419753,3.175157965,0.219245047,1.259831056,2.836762445,0
